,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5
0,X,False,49798000000000.0,50329000000000.0,50637000000000.0,49921000000000.0,50534000000000.0
1,X,False,62324000000000.0,61686000000000.0,62797000000000.0,61799000000000.0,62366000000000.0
2,X,False,41675000000000.0,42121000000000.0,42426000000000.0,42106000000000.0,42148000000000.0
3,X,False,35737000000000.0,35971000000000.0,36350000000000.0,36574000000000.0,35810000000000.0
4,X,True,29136000000000.0,29650000000000.0,29585000000000.0,28928000000000.0,28517000000000.0
5,X,True,70007000000000.0,71785000000000.0,70523000000000.0,67204000000000.0,71613000000000.0
6,X,False,78539000000000.0,78771000000000.0,82272000000000.0,77766000000000.0,81167000000000.0
7,X,False,33288000000000.0,33277000000000.0,32611000000000.0,32211000000000.0,31945000000000.0
8,X,True,35637000000000.0,35277000000000.0,35231000000000.0,35187000000000.0,34494000000000.0
9,X,False,77702000000000.0,77863000000000.0,77800000000000.0,78175000000000.0,78052000000000.0
10,X,False,78670000000000.0,79465000000000.0,78572000000000.0,79060000000000.0,79653000000000.0
11,X,False,105490000000000.0,106280000000000.0,105380000000000.0,106440000000000.0,105560000000000.0
12,X,False,139290000000000.0,138110000000000.0,137690000000000.0,137290000000000.0,137280000000000.0
13,X,False,23656000000000.0,23585000000000.0,23836000000000.0,23698000000000.0,23614000000000.0
14,X,True,3549500000000.0,3264000000000.0,3249300000000.0,3216000000000.0,3153900000000.0
15,X,True,71239000000000.0,70460000000000.0,69888000000000.0,69884000000000.0,70080000000000.0
16,X,False,65433000000000.0,64448000000000.0,63143000000000.0,64089000000000.0,63393000000000.0
17,X,False,93272000000000.0,93831000000000.0,93295000000000.0,94041000000000.0,93858000000000.0
18,X,False,84623000000000.0,84824000000000.0,84991000000000.0,85015000000000.0,84970000000000.0
19,X,False,64394000000000.0,64189000000000.0,63461000000000.0,63958000000000.0,63323000000000.0
20,X,False,56665000000000.0,57062000000000.0,57488000000000.0,56582000000000.0,55657000000000.0
21,X,False,147390000000000.0,147620000000000.0,148030000000000.0,147540000000000.0,146660000000000.0
22,X,False,2493500000000.0,2532300000000.0,2529200000000.0,2542700000000.0,2730600000000.0
23,X,False,34943000000000.0,34333000000000.0,34220000000000.0,34072000000000.0,33697000000000.0
24,X,False,15700000000000.0,15896000000000.0,16638000000000.0,16549000000000.0,17290000000000.0
25,X,False,98157000000000.0,103340000000000.0,99194000000000.0,105470000000000.0,100640000000000.0
26,X,True,211680000000000.0,212950000000000.0,213290000000000.0,213270000000000.0,215310000000000.0
27,X,True,221940000000000.0,221580000000000.0,221070000000000.0,220690000000000.0,221580000000000.0
28,X,True,228280000000000.0,226660000000000.0,227880000000000.0,228270000000000.0,228720000000000.0
29,X,True,235730000000000.0,236250000000000.0,235700000000000.0,235010000000000.0,236520000000000.0
30,X,True,229980000000000.0,229180000000000.0,229780000000000.0,229390000000000.0,229360000000000.0
31,X,False,73913000000000.0,73094000000000.0,72386000000000.0,71981000000000.0,70748000000000.0
32,X,False,152090000000000.0,152540000000000.0,151870000000000.0,151130000000000.0,151580000000000.0
33,X,True,51874000000000.0,51750000000000.0,51438000000000.0,51322000000000.0,51030000000000.0
34,X,False,1589900000000.0,1620600000000.0,2069600000000.0,2232500000000.0,3192800000000.0
35,X,True,83022000000000.0,80732000000000.0,79908000000000.0,79695000000000.0,79693000000000.0
36,X,True,83544000000000.0,82895000000000.0,81509000000000.0,81882000000000.0,82898000000000.0
37,X,False,96192000000000.0,96855000000000.0,97426000000000.0,96388000000000.0,96265000000000.0
38,X,False,41858000000000.0,41911000000000.0,41804000000000.0,39742000000000.0,39668000000000.0
39,M,False,12649000000000.0,13373000000000.0,13292000000000.0,13027000000000.0,13225000000000.0
40,M,False,3090500000000.0,2990900000000.0,3006800000000.0,3806200000000.0,3278800000000.0
41,M,False,20182000000000.0,19911000000000.0,19542000000000.0,19321000000000.0,18939000000000.0
42,M,False,18649000000000.0,18789000000000.0,18660000000000.0,18650000000000.0,18994000000000.0
43,M,True,1852200000000.0,1187700000000.0,2064500000000.0,1280000000000.0,1221300000000.0
44,M,False,2337600000000.0,2240400000000.0,2488400000000.0,2514500000000.0,2416100000000.0
45,M,False,20272000000000.0,20246000000000.0,20418000000000.0,20799000000000.0,21334000000000.0
46,M,False,14874000000000.0,14402000000000.0,13859000000000.0,13648000000000.0,13366000000000.0
47,M,False,10419000000000.0,10166000000000.0,10618000000000.0,11173000000000.0,11409000000000.0
48,M,True,10972000000000.0,11105000000000.0,11257000000000.0,11503000000000.0,11928000000000.0
49,M,True,45529000000000.0,46110000000000.0,46762000000000.0,46767000000000.0,46812000000000.0
50,M,False,16550000000000.0,16512000000000.0,16523000000000.0,16911000000000.0,17080000000000.0
51,M,False,52287000000000.0,52627000000000.0,52573000000000.0,53283000000000.0,53552000000000.0
52,M,True,52740000000000.0,52986000000000.0,52431000000000.0,52779000000000.0,53718000000000.0
53,M,True,25572000000000.0,25485000000000.0,26309000000000.0,25965000000000.0,26829000000000.0
54,M,False,53410000000000.0,52912000000000.0,52828000000000.0,52999000000000.0,53251000000000.0
55,M,False,25696000000000.0,24988000000000.0,25218000000000.0,25361000000000.0,25683000000000.0
56,M,False,26975000000000.0,27252000000000.0,27772000000000.0,27503000000000.0,27398000000000.0
57,M,False,28260000000000.0,28500000000000.0,27762000000000.0,27543000000000.0,27255000000000.0
58,M,True,83914000000000.0,83478000000000.0,82040000000000.0,81623000000000.0,80613000000000.0
59,M,True,38076000000000.0,39062000000000.0,38640000000000.0,38903000000000.0,38950000000000.0
60,M,False,82055000000000.0,82943000000000.0,83035000000000.0,81572000000000.0,80844000000000.0
61,M,False,79376000000000.0,78223000000000.0,77596000000000.0,77178000000000.0,77004000000000.0
62,M,False,32173000000000.0,33241000000000.0,33435000000000.0,33514000000000.0,33449000000000.0
63,M,False,75109000000000.0,75903000000000.0,76312000000000.0,76503000000000.0,77012000000000.0
64,M,True,54608000000000.0,53821000000000.0,53736000000000.0,53337000000000.0,53025000000000.0
65,M,False,54288000000000.0,53846000000000.0,53721000000000.0,54599000000000.0,54052000000000.0
66,M,False,50426000000000.0,50081000000000.0,51694000000000.0,49693000000000.0,49282000000000.0
67,M,False,48371000000000.0,48553000000000.0,47627000000000.0,48086000000000.0,46531000000000.0
68,M,False,47289000000000.0,47365000000000.0,48554000000000.0,48874000000000.0,51369000000000.0
69,M,True,58500000000000.0,58436000000000.0,59169000000000.0,59542000000000.0,60561000000000.0
70,M,False,61840000000000.0,61988000000000.0,61801000000000.0,61915000000000.0,62319000000000.0
71,M,False,68166000000000.0,67005000000000.0,66619000000000.0,66617000000000.0,66421000000000.0
72,M,True,33688000000000.0,33884000000000.0,34092000000000.0,34092000000000.0,34139000000000.0
73,M,False,33791000000000.0,33135000000000.0,33270000000000.0,33485000000000.0,33332000000000.0
74,M,False,15893000000000.0,16530000000000.0,17244000000000.0,16940000000000.0,17161000000000.0
75,M,False,35066000000000.0,35216000000000.0,35249000000000.0,35168000000000.0,35295000000000.0
76,M,False,66865000000000.0,67021000000000.0,67166000000000.0,67082000000000.0,68902000000000.0
77,M,False,50550000000000.0,51893000000000.0,51905000000000.0,53328000000000.0,53665000000000.0
78,M,True,51169000000000.0,51955000000000.0,51219000000000.0,50838000000000.0,50424000000000.0
79,M,False,61495000000000.0,62203000000000.0,61377000000000.0,61508000000000.0,60602000000000.0
80,M,True,12223000000000.0,13406000000000.0,13382000000000.0,14735000000000.0,14501000000000.0
81,M,False,26597000000000.0,26036000000000.0,26313000000000.0,25857000000000.0,28169000000000.0
82,M,False,31524000000000.0,31885000000000.0,31363000000000.0,31729000000000.0,31854000000000.0
83,M,False,7260200000000.0,7699400000000.0,7761800000000.0,8364400000000.0,8075500000000.0
84,M,False,22845000000000.0,23517000000000.0,23544000000000.0,23761000000000.0,24076000000000.0
85,M,False,34940000000000.0,34899000000000.0,35640000000000.0,35230000000000.0,35169000000000.0
86,M,True,55152000000000.0,56320000000000.0,56830000000000.0,57555000000000.0,58612000000000.0
87,M,True,46089000000000.0,45484000000000.0,45262000000000.0,45330000000000.0,45000000000000.0
88,M,False,47273000000000.0,47371000000000.0,48263000000000.0,48161000000000.0,48256000000000.0
89,M,True,42564000000000.0,43195000000000.0,43270000000000.0,43012000000000.0,42178000000000.0
90,M,False,46421000000000.0,46221000000000.0,46755000000000.0,46416000000000.0,46082000000000.0
91,M,True,49112000000000.0,50317000000000.0,51005000000000.0,50579000000000.0,49497000000000.0
92,M,False,47150000000000.0,46771000000000.0,46495000000000.0,46550000000000.0,45913000000000.0
93,M,True,22085000000000.0,21978000000000.0,22354000000000.0,22863000000000.0,23021000000000.0
94,M,False,20255000000000.0,19881000000000.0,19347000000000.0,18989000000000.0,18808000000000.0
95,M,False,20704000000000.0,20224000000000.0,20296000000000.0,20139000000000.0,19758000000000.0
96,M,True,39504000000000.0,40001000000000.0,39394000000000.0,39333000000000.0,40126000000000.0
97,M,True,30364000000000.0,29321000000000.0,29525000000000.0,29360000000000.0,29286000000000.0
98,M,False,32323000000000.0,32612000000000.0,33558000000000.0,34207000000000.0,35135000000000.0
99,M,True,34651000000000.0,34849000000000.0,34375000000000.0,34110000000000.0,34221000000000.0
100,M,False,42423000000000.0,40929000000000.0,40121000000000.0,39958000000000.0,39994000000000.0
101,M,False,36443000000000.0,36347000000000.0,36592000000000.0,36841000000000.0,37169000000000.0
102,M,True,76025000000000.0,76451000000000.0,76347000000000.0,75878000000000.0,74589000000000.0
103,M,True,67899000000000.0,68241000000000.0,67677000000000.0,67968000000000.0,68772000000000.0
104,M,True,65380000000000.0,65827000000000.0,65423000000000.0,67719000000000.0,64951000000000.0
105,M,False,72653000000000.0,73057000000000.0,72491000000000.0,70340000000000.0,72060000000000.0
106,M,False,60514000000000.0,60867000000000.0,61320000000000.0,62119000000000.0,62156000000000.0
107,M,True,76903000000000.0,79301000000000.0,77563000000000.0,79088000000000.0,81174000000000.0
108,M,False,79088000000000.0,81174000000000.0,78296000000000.0,79539000000000.0,81676000000000.0
109,M,False,76156000000000.0,75478000000000.0,75428000000000.0,77065000000000.0,75017000000000.0
110,M,False,82068000000000.0,78555000000000.0,77716000000000.0,75886000000000.0,81488000000000.0
111,M,False,81055000000000.0,80626000000000.0,81260000000000.0,81843000000000.0,80518000000000.0
112,M,False,77948000000000.0,78744000000000.0,78028000000000.0,79844000000000.0,80041000000000.0
113,M,True,81160000000000.0,92922000000000.0,80553000000000.0,78638000000000.0,90155000000000.0
114,M,False,4127900000000.0,6023600000000.0,3934800000000.0,4379900000000.0,6439200000000.0
115,M,True,80157000000000.0,79637000000000.0,77691000000000.0,77737000000000.0,78131000000000.0
116,M,False,10678000000000.0,9830400000000.0,9885100000000.0,11409000000000.0,11604000000000.0
117,M,False,78090000000000.0,76972000000000.0,77316000000000.0,77460000000000.0,76963000000000.0
118,M,False,64257000000000.0,64238000000000.0,63954000000000.0,63655000000000.0,64296000000000.0
119,M,True,17134000000000.0,16980000000000.0,17499000000000.0,17956000000000.0,18122000000000.0
120,M,True,32379000000000.0,16818000000000.0,16486000000000.0,33004000000000.0,16852000000000.0
121,M,False,19072000000000.0,19255000000000.0,19253000000000.0,19124000000000.0,19314000000000.0
122,M,False,52311000000000.0,51935000000000.0,53387000000000.0,54731000000000.0,57047000000000.0
123,M,False,64662000000000.0,64142000000000.0,63737000000000.0,63892000000000.0,63783000000000.0
124,M,False,46917000000000.0,47543000000000.0,48307000000000.0,48501000000000.0,47430000000000.0
125,M,True,21433000000000.0,22741000000000.0,22494000000000.0,23463000000000.0,23792000000000.0
126,M,True,56850000000000.0,57907000000000.0,58234000000000.0,58625000000000.0,58113000000000.0
127,M,True,83135000000000.0,83071000000000.0,83102000000000.0,82754000000000.0,84481000000000.0
128,M,True,95238000000000.0,92277000000000.0,96025000000000.0,93051000000000.0,92888000000000.0
129,M,True,95552000000000.0,94378000000000.0,94038000000000.0,95607000000000.0,94707000000000.0
130,M,True,96582000000000.0,95774000000000.0,96112000000000.0,96426000000000.0,97261000000000.0
131,M,False,104940000000000.0,107250000000000.0,107040000000000.0,108200000000000.0,108160000000000.0
132,M,False,108190000000000.0,108300000000000.0,107940000000000.0,109470000000000.0,109330000000000.0
133,M,False,107040000000000.0,107110000000000.0,108210000000000.0,108640000000000.0,109020000000000.0
134,M,False,47884000000000.0,47904000000000.0,47943000000000.0,48306000000000.0,48651000000000.0
135,M,True,34933000000000.0,36198000000000.0,35863000000000.0,34807000000000.0,36704000000000.0
136,M,False,24538000000000.0,24051000000000.0,24306000000000.0,24409000000000.0,24970000000000.0
137,M,False,32831000000000.0,37440000000000.0,33819000000000.0,32793000000000.0,33119000000000.0
138,M,True,6255100000000.0,6359300000000.0,6347500000000.0,6840400000000.0,6889600000000.0
139,M,False,22828000000000.0,22557000000000.0,22299000000000.0,22561000000000.0,22367000000000.0
140,M,True,41828000000000.0,41505000000000.0,42130000000000.0,41454000000000.0,41832000000000.0
141,M,False,52363000000000.0,53398000000000.0,54163000000000.0,54141000000000.0,55570000000000.0
142,M,False,61781000000000.0,62749000000000.0,61386000000000.0,61114000000000.0,61537000000000.0
143,M,True,73723000000000.0,74153000000000.0,73915000000000.0,74219000000000.0,73809000000000.0
144,M,False,76895000000000.0,76871000000000.0,77471000000000.0,76856000000000.0,76186000000000.0
145,M,False,71197000000000.0,70538000000000.0,70698000000000.0,70079000000000.0,77440000000000.0
146,M,False,96031000000000.0,132410000000000.0,135740000000000.0,96813000000000.0,96541000000000.0
147,M,False,96269000000000.0,96440000000000.0,96096000000000.0,95967000000000.0,95921000000000.0
148,M,False,28952000000000.0,29192000000000.0,29687000000000.0,29356000000000.0,29626000000000.0
149,M,True,26950000000000.0,26382000000000.0,26399000000000.0,26187000000000.0,26136000000000.0
150,M,True,51084000000000.0,51572000000000.0,51380000000000.0,50799000000000.0,51763000000000.0
151,M,False,51572000000000.0,51380000000000.0,50799000000000.0,51763000000000.0,52997000000000.0
152,M,False,56065000000000.0,56464000000000.0,56476000000000.0,57003000000000.0,56841000000000.0
153,M,True,61101000000000.0,60899000000000.0,60887000000000.0,61535000000000.0,62667000000000.0
154,M,False,62881000000000.0,62816000000000.0,64006000000000.0,64734000000000.0,64851000000000.0
155,M,False,68969000000000.0,67012000000000.0,67405000000000.0,67335000000000.0,68867000000000.0
156,M,False,66171000000000.0,67344000000000.0,67140000000000.0,67461000000000.0,67645000000000.0
157,M,False,64338000000000.0,64447000000000.0,63346000000000.0,64155000000000.0,63646000000000.0
158,M,False,75374000000000.0,76406000000000.0,76280000000000.0,76382000000000.0,76714000000000.0
159,M,False,94969000000000.0,94894000000000.0,95208000000000.0,95525000000000.0,94867000000000.0
160,M,False,79277000000000.0,79278000000000.0,79618000000000.0,79809000000000.0,80861000000000.0
161,M,False,61732000000000.0,62154000000000.0,61894000000000.0,61127000000000.0,60735000000000.0
162,M,True,21465000000000.0,21860000000000.0,22021000000000.0,21710000000000.0,21756000000000.0
163,M,False,4166300000000.0,3976500000000.0,4035200000000.0,4167400000000.0,4246300000000.0
164,M,False,17665000000000.0,17679000000000.0,17608000000000.0,17842000000000.0,17516000000000.0
165,M,True,0.0,0.0,0.0,0.0,0.0
166,M,False,28100000000000.0,27855000000000.0,28081000000000.0,28070000000000.0,28237000000000.0
167,M,True,75576000000000.0,75107000000000.0,76277000000000.0,76393000000000.0,77512000000000.0
168,M,True,80483000000000.0,81141000000000.0,81315000000000.0,82474000000000.0,82542000000000.0
169,M,False,85064000000000.0,86460000000000.0,88168000000000.0,86454000000000.0,87495000000000.0
170,M,True,90193000000000.0,89956000000000.0,88715000000000.0,88081000000000.0,87582000000000.0
171,M,False,92898000000000.0,93042000000000.0,91328000000000.0,89570000000000.0,87886000000000.0
172,M,False,95576000000000.0,94474000000000.0,93548000000000.0,92616000000000.0,92239000000000.0
173,M,False,44728000000000.0,44215000000000.0,45129000000000.0,44557000000000.0,45079000000000.0
174,M,False,64807000000000.0,63643000000000.0,64597000000000.0,64056000000000.0,62515000000000.0
175,M,False,19103000000000.0,18979000000000.0,18797000000000.0,18533000000000.0,18589000000000.0
176,M,True,0.0,0.0,0.0,0.0,0.0
177,M,False,2383800000000.0,2828700000000.0,2630900000000.0,2832000000000.0,2874600000000.0
178,M,False,10110000000000.0,10251000000000.0,9346100000000.0,10329000000000.0,9331000000000.0
179,M,False,55265000000000.0,55898000000000.0,56215000000000.0,55010000000000.0,55006000000000.0
180,M,True,17611000000000.0,17534000000000.0,18219000000000.0,18584000000000.0,18263000000000.0
181,M,False,24214000000000.0,24920000000000.0,24985000000000.0,25561000000000.0,25164000000000.0
182,M,True,32494000000000.0,32140000000000.0,32371000000000.0,32771000000000.0,33166000000000.0
183,M,False,35166000000000.0,34341000000000.0,33945000000000.0,33763000000000.0,34402000000000.0
184,M,True,28994000000000.0,28518000000000.0,28424000000000.0,28001000000000.0,28314000000000.0
185,M,False,37669000000000.0,37630000000000.0,37684000000000.0,38213000000000.0,38202000000000.0
186,M,True,54791000000000.0,55519000000000.0,55613000000000.0,55536000000000.0,56497000000000.0
187,M,False,57787000000000.0,58595000000000.0,59654000000000.0,60310000000000.0,61518000000000.0
188,M,False,59872000000000.0,60159000000000.0,60009000000000.0,60438000000000.0,60579000000000.0
189,M,True,75637000000000.0,74680000000000.0,75836000000000.0,76777000000000.0,77248000000000.0
190,M,True,75925000000000.0,76176000000000.0,75650000000000.0,76623000000000.0,76726000000000.0
191,M,True,78892000000000.0,78521000000000.0,78533000000000.0,79536000000000.0,80137000000000.0
192,M,True,82803000000000.0,83308000000000.0,82766000000000.0,82578000000000.0,82041000000000.0
193,M,False,34303000000000.0,33924000000000.0,34570000000000.0,34338000000000.0,34625000000000.0
194,M,True,85637000000000.0,86537000000000.0,86509000000000.0,86783000000000.0,86735000000000.0
195,M,False,87893000000000.0,86831000000000.0,87227000000000.0,87794000000000.0,87309000000000.0
196,M,False,87893000000000.0,87534000000000.0,87931000000000.0,87563000000000.0,87518000000000.0
197,M,True,88238000000000.0,88886000000000.0,88927000000000.0,90196000000000.0,88820000000000.0
198,M,True,88820000000000.0,89254000000000.0,88930000000000.0,89157000000000.0,88387000000000.0
199,M,False,92376000000000.0,92794000000000.0,92079000000000.0,91816000000000.0,90651000000000.0
200,M,False,1671700000000.0,1994000000000.0,2252100000000.0,2516600000000.0,3232100000000.0
201,M,True,89357000000000.0,89104000000000.0,89129000000000.0,89189000000000.0,90347000000000.0
202,M,False,90347000000000.0,90942000000000.0,92049000000000.0,91480000000000.0,91108000000000.0
203,M,False,91993000000000.0,92785000000000.0,92233000000000.0,92471000000000.0,92087000000000.0
204,M,True,101210000000000.0,100740000000000.0,101230000000000.0,101100000000000.0,101060000000000.0
205,M,False,101560000000000.0,100910000000000.0,99983000000000.0,100280000000000.0,99829000000000.0
206,M,True,101120000000000.0,100930000000000.0,101010000000000.0,100990000000000.0,100120000000000.0
207,M,False,100440000000000.0,100810000000000.0,101210000000000.0,101180000000000.0,100620000000000.0
208,M,True,98876000000000.0,98732000000000.0,97840000000000.0,98032000000000.0,96518000000000.0
209,M,False,96085000000000.0,96235000000000.0,95122000000000.0,95650000000000.0,96458000000000.0
210,M,True,100140000000000.0,99343000000000.0,100220000000000.0,99753000000000.0,99969000000000.0
211,M,False,107310000000000.0,108740000000000.0,109390000000000.0,109280000000000.0,109840000000000.0
212,M,False,107880000000000.0,106580000000000.0,107490000000000.0,106850000000000.0,107110000000000.0
213,M,False,49833000000000.0,49808000000000.0,51642000000000.0,50846000000000.0,50189000000000.0
214,M,True,102740000000000.0,103840000000000.0,104940000000000.0,103790000000000.0,104090000000000.0
215,M,True,103330000000000.0,103150000000000.0,101780000000000.0,101600000000000.0,102670000000000.0
216,M,False,99306000000000.0,100090000000000.0,99835000000000.0,98654000000000.0,98295000000000.0
217,M,False,94439000000000.0,93174000000000.0,93110000000000.0,94658000000000.0,93652000000000.0
218,M,False,92561000000000.0,97543000000000.0,93138000000000.0,93999000000000.0,93836000000000.0
219,M,True,149690000000000.0,153130000000000.0,152790000000000.0,151860000000000.0,152240000000000.0
220,M,False,157340000000000.0,158070000000000.0,156820000000000.0,155120000000000.0,154220000000000.0
221,M,False,153220000000000.0,154330000000000.0,154140000000000.0,153810000000000.0,153920000000000.0
222,M,False,138490000000000.0,139180000000000.0,138960000000000.0,138840000000000.0,138600000000000.0
223,M,False,115650000000000.0,116380000000000.0,115160000000000.0,113970000000000.0,113820000000000.0
224,M,False,52367000000000.0,52414000000000.0,51326000000000.0,51627000000000.0,49771000000000.0
225,M,True,83796000000000.0,83788000000000.0,85170000000000.0,85450000000000.0,86820000000000.0
226,M,False,85586000000000.0,84584000000000.0,85329000000000.0,84419000000000.0,84606000000000.0
227,M,False,90442000000000.0,90681000000000.0,91664000000000.0,93480000000000.0,94033000000000.0
228,M,False,51217000000000.0,50839000000000.0,50165000000000.0,50720000000000.0,51102000000000.0
229,M,False,194140000000.0,338160000000.0,407250000000.0,683640000000.0,682230000000.0
230,M,False,407250000000.0,683640000000.0,682230000000.0,851130000000.0,899120000000.0
231,M,False,25428000000000.0,25231000000000.0,24767000000000.0,24883000000000.0,24814000000000.0
232,M,False,55808000000000.0,56139000000000.0,102220000000000.0,55788000000000.0,55913000000000.0
233,M,False,61297000000000.0,61916000000000.0,62345000000000.0,62831000000000.0,63204000000000.0
234,M,False,45800000000000.0,45830000000000.0,45635000000000.0,45113000000000.0,45186000000000.0
235,M,True,720950000000.0,952760000000.0,1377000000000.0,2021400000000.0,2831100000000.0
236,M,True,33648000000000.0,34545000000000.0,34261000000000.0,33798000000000.0,33375000000000.0
237,M,True,9359600000000.0,9697300000000.0,9868000000000.0,9964200000000.0,9965300000000.0
238,M,False,11739000000000.0,11696000000000.0,11794000000000.0,11892000000000.0,11639000000000.0
239,M,True,15390000000000.0,15339000000000.0,15888000000000.0,16360000000000.0,16386000000000.0
240,M,False,25237000000000.0,25574000000000.0,26151000000000.0,26273000000000.0,26498000000000.0
241,M,False,25914000000000.0,25422000000000.0,25170000000000.0,25080000000000.0,24466000000000.0
242,M,True,27309000000000.0,27415000000000.0,27871000000000.0,28657000000000.0,29250000000000.0
243,M,False,37832000000000.0,38502000000000.0,38928000000000.0,38841000000000.0,38820000000000.0
244,M,False,41306000000000.0,41304000000000.0,40470000000000.0,40047000000000.0,38954000000000.0
245,M,False,27288000000000.0,27333000000000.0,27533000000000.0,27287000000000.0,27152000000000.0
246,M,False,41550000000000.0,42038000000000.0,41906000000000.0,42426000000000.0,41698000000000.0
247,M,False,46151000000000.0,46477000000000.0,45783000000000.0,45854000000000.0,45944000000000.0
248,M,True,73994000000000.0,74577000000000.0,75595000000000.0,76400000000000.0,76470000000000.0
249,M,False,74946000000000.0,75882000000000.0,75607000000000.0,76988000000000.0,77259000000000.0
250,M,True,41528000000000.0,41365000000000.0,40739000000000.0,40974000000000.0,41407000000000.0
251,M,False,37721000000000.0,36655000000000.0,36523000000000.0,36561000000000.0,36692000000000.0
252,M,False,1954200000000.0,2437200000000.0,2774900000000.0,3217200000000.0,3344200000000.0
253,M,False,40328000000000.0,40362000000000.0,39634000000000.0,40801000000000.0,39245000000000.0
254,M,False,29805000000000.0,30011000000000.0,30404000000000.0,30534000000000.0,30551000000000.0
255,M,False,37181000000000.0,36929000000000.0,36967000000000.0,36747000000000.0,37196000000000.0
256,M,False,55906000000000.0,55750000000000.0,56521000000000.0,57026000000000.0,56986000000000.0
257,M,False,55179000000000.0,54798000000000.0,55263000000000.0,55494000000000.0,56989000000000.0
258,M,False,48328000000000.0,49261000000000.0,51276000000000.0,50394000000000.0,50586000000000.0
259,M,False,37097000000000.0,36751000000000.0,36892000000000.0,36844000000000.0,36665000000000.0
