,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5
260,M,True,32618000000000.0,33574000000000.0,34113000000000.0,33502000000000.0,33064000000000.0
261,M,False,35583000000000.0,36209000000000.0,36800000000000.0,37260000000000.0,37106000000000.0
262,M,False,24280000000000.0,23941000000000.0,24309000000000.0,24686000000000.0,24658000000000.0
263,M,False,7781400000000.0,7837600000000.0,7872100000000.0,8004200000000.0,8282600000000.0
264,M,False,41963000000000.0,41600000000000.0,41277000000000.0,41377000000000.0,41098000000000.0
265,M,False,25302000000000.0,26115000000000.0,26063000000000.0,25278000000000.0,27309000000000.0
266,M,False,4717600000000.0,5050400000000.0,5317000000000.0,5562300000000.0,5608000000000.0
267,M,False,5303400000000.0,5294600000000.0,5464000000000.0,5770900000000.0,5786400000000.0
268,M,False,32339000000000.0,32856000000000.0,32428000000000.0,34345000000000.0,36260000000000.0
269,M,False,22248000000000.0,22221000000000.0,22163000000000.0,21370000000000.0,21016000000000.0
270,M,True,26879000000000.0,26431000000000.0,26567000000000.0,26488000000000.0,26354000000000.0
271,M,False,26488000000000.0,26354000000000.0,26646000000000.0,26417000000000.0,26762000000000.0
272,M,False,5794800000000.0,5793800000000.0,5881600000000.0,6023500000000.0,6261400000000.0
273,M,False,31732000000000.0,31956000000000.0,32197000000000.0,32236000000000.0,31834000000000.0
274,M,True,27278000000000.0,27302000000000.0,28082000000000.0,27743000000000.0,27573000000000.0
275,M,False,27307000000000.0,26612000000000.0,26745000000000.0,26609000000000.0,26664000000000.0
276,M,True,39997000000000.0,40719000000000.0,41068000000000.0,40780000000000.0,41890000000000.0
277,M,False,49466000000000.0,50142000000000.0,50751000000000.0,52270000000000.0,52997000000000.0
278,M,True,53986000000000.0,52835000000000.0,53192000000000.0,52456000000000.0,51684000000000.0
279,M,True,67382000000000.0,67148000000000.0,66871000000000.0,67186000000000.0,67217000000000.0
280,M,False,71484000000000.0,71371000000000.0,71508000000000.0,71900000000000.0,72425000000000.0
281,M,False,71508000000000.0,71900000000000.0,72425000000000.0,72590000000000.0,72941000000000.0
282,M,False,52604000000000.0,52765000000000.0,52636000000000.0,53015000000000.0,53375000000000.0
283,M,False,75401000000000.0,74865000000000.0,74836000000000.0,74822000000000.0,74982000000000.0
284,M,False,74822000000000.0,74982000000000.0,73453000000000.0,73925000000000.0,74198000000000.0
285,M,True,0.0,0.0,0.0,0.0,0.0
286,M,True,3134300000000.0,3188900000000.0,3220800000000.0,3394200000000.0,3185500000000.0
287,M,True,18373000000000.0,19310000000000.0,19464000000000.0,19613000000000.0,20579000000000.0
288,M,False,24411000000000.0,24986000000000.0,26331000000000.0,26965000000000.0,25871000000000.0
289,M,False,25626000000000.0,24839000000000.0,25442000000000.0,25401000000000.0,25252000000000.0
290,M,False,26087000000000.0,26209000000000.0,26334000000000.0,25916000000000.0,26407000000000.0
291,M,False,29243000000000.0,28640000000000.0,28565000000000.0,28428000000000.0,28967000000000.0
292,M,True,63135000000000.0,62368000000000.0,62530000000000.0,63037000000000.0,62506000000000.0
293,M,False,69292000000000.0,68325000000000.0,68867000000000.0,69250000000000.0,69551000000000.0
294,M,False,50673000000000.0,50543000000000.0,50989000000000.0,50593000000000.0,50441000000000.0
295,M,False,67098000000000.0,69064000000000.0,67578000000000.0,67702000000000.0,66943000000000.0
296,M,True,38130000000000.0,38830000000000.0,39753000000000.0,40332000000000.0,40814000000000.0
297,M,False,39753000000000.0,40332000000000.0,40814000000000.0,41172000000000.0,41327000000000.0
298,M,False,70220000000000.0,69916000000000.0,70236000000000.0,71521000000000.0,71654000000000.0
299,M,False,22506000000000.0,22437000000000.0,22404000000000.0,22391000000000.0,21872000000000.0
300,M,False,59984000000000.0,59746000000000.0,59544000000000.0,59388000000000.0,59205000000000.0
301,M,True,53300000000000.0,53099000000000.0,53037000000000.0,52625000000000.0,53228000000000.0
