,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5
2090,N,False,129.83,133.38,130.54,133.24,135.49
2091,N,False,136.34,134.99,134.44,134.36,133.66
2092,N,False,136.34,134.99,134.44,134.36,133.66
2093,N,False,120.55,120.49,119.47,119.12,117.84
2094,N,False,102.31,103.12,103.16,100.94,101.68
2095,N,False,129.01,131.74,127.62,131.88,126.96
2096,N,False,135.41,132.42,134.94,133.12,136.82
2097,N,False,111.71,111.39,111.65,110.9,111.09
2098,N,False,143.83,140.77,141.46,137.57,142.05
2099,N,False,129.21,126.65,128.46,132.45,130.46
2100,N,False,147.58,144.51,144.96,140.38,143.92
2101,N,False,114.79,117.2,114.83,112.18,114.15
2102,N,False,138.72,141.24,142.89,144.4,146.5
2103,N,False,148.4,150.84,152.05,154.03,152.15
2104,N,False,128.21,126.89,127.12,126.45,127.62
2105,N,False,126.13,127.66,127.7,126.51,90.757
2106,N,False,177.15,178.42,183.99,185.75,189.72
2107,N,False,115.06,115.63,115.82,115.84,115.34
2108,N,False,139.96,136.64,139.64,141.98,134.55
2109,N,False,120.37,118.7,118.33,117.22,115.93
2110,N,False,148.44,153.01,151.71,150.21,150.8
2111,N,False,124.35,123.45,123.87,122.79,122.13
2112,N,False,128.83,126.49,124.23,123.91,128.14
2113,N,False,103.45,101.73,101.89,100.93,100.84
2114,N,False,97.951,96.907,97.22,97.414,96.628
2115,N,False,152.8,163.18,161.7,152.1,150.46
2116,N,False,100.72,102.02,103.05,103.69,102.55
2117,N,False,76.263,77.197,76.419,75.918,73.634
2118,N,False,115.06,113.71,112.61,111.92,112.62
2119,N,False,98.697,100.49,98.149,95.736,96.722
2120,N,False,94.059,94.972,95.047,95.337,95.69
2121,N,False,116.43,118.33,117.09,118.98,120.91
2122,N,False,121.95,121.61,122.37,125.09,125.18
2123,N,False,137.72,137.89,139.42,139.72,143.88
2124,N,False,107.59,108.63,112.51,114.33,118.69
2125,N,False,127.38,125.26,124.49,126.21,125.41
2126,N,False,161.06,167.11,165.87,163.53,164.02
2127,N,False,124.32,125.49,125.43,125.8,126.93
2128,N,False,137.3,139.01,140.6,140.69,136.86
2129,N,False,151.2,153.01,154.22,156.46,158.29
2130,N,False,120.28,120.63,119.91,120.44,119.9
2131,N,False,126.87,127.64,128.71,128.6,130.54
2132,N,False,79.496,80.466,80.769,80.909,80.141
2133,N,False,133.24,135.16,134.2,131.68,132.01
2134,N,False,141.84,140.86,137.44,141.82,142.89
2135,N,False,106.47,106.15,106.39,105.94,105.39
2136,N,False,154.25,152.28,153.85,152.75,152.45
2137,N,False,148.21,148.02,148.16,146.76,147.48
2138,N,False,128.56,124.77,125.51,128.6,126.47
2139,N,False,132.33,132.29,133.81,131.2,132.63
2140,N,False,139.93,137.73,136.24,136.22,134.33
2141,N,False,123.72,123.5,124.62,123.81,123.61
2142,N,False,95.691,95.151,94.125,93.356,92.762
2143,N,False,145.31,148.19,153.88,152.51,152.8
2144,N,False,159.21,161.63,153.75,150.37,153.74
2145,N,False,140.32,141.05,145.5,141.16,139.1
2146,N,False,116.66,115.56,115.1,114.79,112.55
2147,N,False,152.15,152.13,156.31,153.1,151.92
2148,N,False,124.22,128.43,127.26,126.79,129.57
2149,N,False,142.52,140.09,142.32,138.22,143.92
2150,N,False,126.24,127.37,127.71,127.83,129.44
2151,N,False,106.6,106.63,106.67,106.92,106.92
2152,N,False,133.22,133.68,137.39,135.67,137.61
2153,N,False,115.18,116.63,113.98,114.4,115.08
2154,N,False,132.75,133.48,136.1,136.01,137.77
2155,N,False,125.85,128.74,129.58,130.4,130.14
2156,N,False,113.87,114.94,119.67,119.13,119.96
2157,N,False,133.11,134.5,135.05,134.06,134.49
2158,N,False,167.54,169.76,165.97,178.91,171.34
2159,N,False,110.58,110.25,110.0,109.82,109.09
2160,N,False,110.44,111.0,111.05,111.62,111.33
2161,N,False,123.24,122.51,122.9,121.12,120.72
2162,N,False,117.98,119.53,119.56,117.94,120.97
2163,N,False,92.642,92.454,92.058,92.394,92.013
2164,N,False,171.61,174.74,168.17,165.88,161.28
2165,N,False,92.778,92.756,91.689,92.328,91.975
2166,N,False,86.19,86.724,86.731,86.476,87.172
2167,N,False,126.63,128.39,129.86,130.68,130.94
2168,N,False,114.13,115.48,115.51,114.37,115.38
2169,N,False,147.32,144.98,151.94,146.88,145.21
2170,N,False,89.19,89.222,89.329,89.0,89.72
2171,N,False,156.66,153.59,154.54,152.84,149.49
2172,N,False,104.98,104.38,103.97,103.84,103.62
2173,N,False,165.17,158.95,158.04,157.35,153.61
2174,N,False,137.07,138.57,135.95,139.71,140.02
2175,N,False,145.43,143.03,144.84,149.96,146.42
2176,N,False,157.49,151.67,149.08,152.68,150.39
2177,N,False,125.47,126.99,127.89,125.76,125.72
2178,N,False,99.841,98.983,99.425,98.881,99.843
2179,N,False,102.76,101.25,100.46,99.841,98.983
2180,N,False,125.56,130.69,130.02,134.61,135.69
2181,N,False,130.27,131.91,131.94,133.41,130.65
2182,N,False,107.45,104.97,107.79,106.75,105.83
2183,N,False,121.82,122.39,123.74,122.41,122.75
2184,N,False,82.819,82.597,83.892,85.254,88.591
2185,N,False,131.74,130.32,133.39,133.46,133.8
2186,N,False,98.828,99.319,99.183,99.403,100.21
2187,N,False,132.11,140.45,141.0,142.65,143.08
2188,N,False,123.24,122.66,121.83,121.36,122.4
2189,N,False,108.73,108.64,108.2,108.58,109.14
2190,N,False,136.53,135.69,137.17,135.5,135.19
2191,N,False,135.97,134.02,131.71,130.58,126.31
2192,N,False,140.62,143.12,141.56,139.31,139.05
2193,N,False,144.8,143.48,151.86,145.96,145.78
2194,N,False,121.53,120.69,121.61,121.36,120.81
2195,N,False,89.61,89.56,89.236,89.435,89.072
2196,N,False,117.56,113.61,112.99,109.66,112.51
2197,N,False,153.89,151.19,153.88,147.52,141.13
2198,N,False,115.55,115.01,115.25,114.83,114.55
2199,N,False,72.387,80.871,73.403,72.863,75.012
2200,N,False,127.67,127.67,126.0,125.98,126.45
2201,N,False,108.63,109.26,107.64,108.58,107.74
2202,N,False,144.02,143.97,144.96,144.11,148.03
2203,N,False,104.11,104.97,104.67,105.31,105.45
2204,N,False,104.98,103.95,104.29,104.01,103.33
2205,N,False,97.645,97.576,97.792,97.847,98.791
2206,N,False,94.049,93.758,94.147,93.234,92.776
2207,N,False,122.19,122.07,123.15,121.09,119.25
2208,N,False,99.075,98.743,98.658,98.238,99.472
2209,N,False,128.81,127.2,129.27,129.11,128.47
2210,N,False,153.8,167.74,153.05,160.63,150.65
2211,N,False,127.2,129.27,129.11,128.47,124.99
2212,N,False,136.57,138.59,138.92,135.53,130.27
2213,N,False,160.63,157.89,160.05,164.27,166.03
2214,N,False,100.97,101.15,100.94,101.53,101.77
2215,N,False,109.57,108.43,107.81,108.35,107.66
2216,N,False,143.7,141.53,143.16,141.77,146.78
2217,N,False,122.64,121.79,120.46,120.03,119.71
2218,N,False,124.74,126.71,124.62,128.3,133.0
2219,N,False,121.2,121.13,120.18,118.95,119.51
2220,N,False,118.62,117.83,116.49,115.51,116.46
2221,N,False,108.46,108.82,110.31,109.78,109.61
2222,N,False,141.18,139.45,140.52,138.86,142.68
2223,N,False,152.87,153.09,155.22,155.53,154.05
2224,N,False,140.98,141.01,141.16,148.91,151.99
2225,N,False,142.55,140.21,139.74,138.88,139.06
2226,N,False,100.16,99.23,99.326,99.084,98.149
2227,N,False,101.61,101.27,100.74,101.99,103.37
2228,N,False,112.91,113.53,112.77,110.77,110.05
2229,N,False,115.6,117.46,115.25,116.15,117.71
2230,N,False,133.21,135.26,136.28,136.54,136.49
2231,N,False,123.59,121.5,129.71,127.58,124.81
2232,N,False,149.26,148.47,150.31,149.25,147.38
2233,N,False,133.48,132.94,132.66,132.6,131.12
2234,N,False,103.99,103.56,104.11,103.9,106.54
2235,N,False,129.12,132.73,132.96,135.57,134.9
2236,N,False,141.33,137.85,140.16,141.7,137.58
2237,N,False,131.67,132.27,131.92,130.72,129.72
2238,N,False,133.89,131.58,128.7,122.46,123.38
2239,N,False,154.98,156.15,157.66,159.49,158.01
2240,N,False,109.36,109.31,110.13,110.54,110.64
2241,N,False,153.66,155.17,150.39,148.8,150.51
2242,N,False,82.181,82.665,83.22,82.893,82.721
2243,N,False,126.67,127.73,129.85,132.52,132.71
2244,N,False,172.07,176.16,177.41,174.6,175.94
2245,N,False,131.11,133.0,137.88,135.78,134.55
2246,N,False,96.325,96.979,97.517,98.429,98.794
2247,N,False,125.25,123.8,125.45,125.56,125.42
2248,N,False,64.745,65.318,65.105,64.894,64.206
2249,N,False,117.85,116.68,117.93,118.18,117.65
2250,N,False,108.15,105.46,107.11,106.85,106.69
2251,N,False,153.3,152.19,153.8,155.34,161.44
2252,N,False,117.9,119.37,119.39,118.03,119.61
2253,N,False,119.74,120.42,120.18,121.62,122.1
2254,N,False,139.64,141.77,141.82,142.3,141.64
2255,N,False,133.39,133.89,131.11,130.26,128.47
2256,N,False,112.84,110.61,109.85,111.23,114.08
2257,N,False,204.95,201.46,213.52,205.46,207.51
2258,N,False,142.2,141.01,141.39,140.91,143.77
2259,N,False,114.84,114.5,115.78,115.31,115.45
2260,N,False,170.61,172.36,172.93,179.41,183.08
2261,N,False,119.37,120.85,120.66,120.48,121.98
2262,N,False,171.95,175.28,181.82,173.55,172.17
2263,N,False,125.42,128.98,129.44,131.9,136.15
2264,N,False,136.52,137.27,139.71,139.52,144.81
2265,N,False,113.62,112.44,113.63,114.2,113.06
2266,N,False,78.154,78.59,78.039,76.902,77.601
2267,N,False,127.94,126.51,127.62,127.12,127.85
2268,N,False,131.81,132.79,131.72,131.39,131.73
2269,N,False,131.81,132.79,131.72,131.39,131.73
2270,N,False,116.61,114.26,110.63,111.72,108.96
2271,N,False,120.75,119.55,123.05,120.72,120.59
2272,N,False,142.55,140.65,139.78,134.65,138.55
2273,N,False,114.57,113.12,113.82,116.5,116.37
2274,N,False,126.16,127.69,121.33,123.83,124.56
2275,N,False,125.18,124.35,122.46,120.81,122.34
2276,N,False,69.003,69.723,69.366,68.999,68.315
2277,N,False,128.21,125.21,124.45,122.22,120.35
2278,N,False,80.322,80.761,81.009,81.122,80.879
2279,N,False,144.86,147.96,146.42,146.52,151.55
2280,N,False,148.43,146.29,145.22,144.34,142.61
2281,N,False,156.61,147.04,147.37,155.44,157.62
2282,N,False,153.82,159.75,154.39,153.0,157.03
2283,N,False,125.6,126.06,126.25,129.23,130.6
2284,N,False,130.54,129.53,131.9,131.71,133.51
2285,N,False,86.479,86.992,88.334,90.01,90.567
2286,N,False,130.69,130.12,130.81,133.35,133.76
2287,N,False,144.16,144.41,141.34,136.74,140.93
2288,N,False,131.39,128.05,128.63,131.45,130.69
2289,N,False,108.42,110.09,110.05,108.26,110.12
2290,N,False,107.79,106.1,106.98,106.73,106.61
2291,N,False,93.913,94.518,94.731,94.721,94.263
2292,N,False,158.87,156.23,157.95,153.68,147.47
2293,N,False,85.922,87.185,87.461,85.241,84.837
2294,N,False,120.86,124.66,127.67,123.88,115.48
2295,N,False,117.09,117.33,117.55,121.49,120.22
2296,N,False,121.46,120.79,120.28,120.44,117.91
2297,N,False,128.73,129.63,130.7,129.84,129.88
2298,N,False,100.03,100.36,100.84,101.87,101.73
2299,N,False,158.55,158.36,164.42,168.4,160.0
2300,N,False,161.06,164.21,160.26,154.22,155.46
2301,N,False,145.9,145.46,148.6,146.09,139.35
2302,N,False,99.774,100.16,99.5,100.27,100.2
2303,N,False,161.87,160.44,164.16,165.34,162.33
2304,N,False,122.18,120.06,118.75,119.8,122.57
2305,N,False,172.73,162.38,160.02,161.41,164.63
2306,N,False,138.19,135.06,134.53,133.77,132.89
2307,N,False,114.85,115.0,114.42,114.11,113.63
2308,N,False,142.33,137.81,140.01,136.99,136.68
2309,N,False,96.626,95.7,94.88,94.809,94.503
2310,N,False,146.93,144.52,142.91,138.45,140.98
2311,N,False,119.68,119.13,118.94,120.06,119.77
2312,N,False,134.49,137.18,137.75,140.51,139.04
2313,N,False,134.43,136.47,133.51,132.14,132.43
2314,N,False,97.524,97.02,96.851,94.872,96.394
2315,N,False,144.05,136.68,136.65,131.01,133.81
2316,N,False,152.81,153.92,155.61,151.67,146.6
2317,N,False,96.829,95.951,95.82,96.185,97.011
2318,N,False,155.69,148.81,149.68,149.51,146.27
2319,N,False,167.5,170.46,167.96,171.91,163.47
2320,N,False,122.73,125.77,129.54,119.29,118.46
2321,N,False,119.66,119.02,119.01,117.79,121.19
2322,N,False,63.871,63.492,63.201,64.248,65.059
2323,N,False,156.6,157.4,153.06,154.38,146.84
2324,N,False,142.32,135.48,127.19,142.13,134.98
2325,N,False,176.59,177.0,171.68,179.57,162.95
2326,N,False,126.3,129.89,123.09,128.32,133.94
2327,N,False,138.74,137.87,137.44,140.3,141.37
2328,N,False,137.56,130.32,130.74,136.91,134.0
2329,N,False,140.49,141.09,144.75,142.87,144.67
2330,N,False,137.05,135.96,133.92,134.33,130.01
2331,N,False,106.73,105.64,105.61,104.23,103.74
2332,N,False,106.73,105.64,105.61,104.23,103.74
2333,N,False,106.73,105.64,105.61,104.23,103.74
2334,N,False,107.6,105.44,101.99,99.833,98.347
2335,N,False,124.89,124.72,123.32,122.12,122.11
2336,N,False,87.691,87.507,86.83,86.495,85.725
2337,N,False,127.21,125.56,126.46,128.0,125.75
2338,N,False,92.515,93.308,94.252,96.83,95.933
2339,N,False,69.994,70.163,70.16,68.625,67.668
2340,N,False,128.34,132.99,134.65,134.14,135.15
2341,N,False,137.34,134.94,129.75,128.74,126.76
2342,N,False,131.67,132.8,134.88,134.11,132.59
2343,N,False,132.5,131.59,135.89,137.32,140.17
2344,N,False,106.76,107.94,111.02,110.42,114.37
2345,N,False,114.58,116.04,114.51,115.15,114.05
2346,N,False,130.87,130.91,131.14,129.44,127.24
2347,N,False,128.4,130.11,129.81,129.21,129.25
2348,N,False,131.3,131.58,128.83,127.04,127.0
2349,N,False,129.61,127.04,121.8,123.93,119.62
2350,N,False,90.372,90.643,91.675,91.002,90.698
2351,N,False,144.86,143.15,145.89,142.6,138.53
2352,N,False,148.94,153.4,146.68,142.72,140.91
2353,N,False,90.731,90.22,86.931,98.475,101.35
2354,N,False,125.93,124.08,120.99,117.57,118.53
2355,N,False,84.993,85.107,85.897,87.836,89.033
2356,N,False,127.24,134.19,137.89,141.42,138.97
2357,N,False,145.14,140.94,146.91,148.38,149.36
2358,N,False,165.53,162.73,159.0,168.01,168.92
2359,N,False,141.28,138.32,143.5,140.44,141.84
2360,N,False,136.46,127.49,126.46,127.98,134.21
2361,N,False,111.36,108.35,109.1,109.55,106.61
2362,N,False,149.52,156.98,158.41,151.66,153.4
2363,N,False,163.11,165.87,158.92,155.62,150.05
2364,N,False,113.11,111.71,113.75,112.35,114.0
2365,N,False,147.93,160.59,148.03,135.76,140.81
2366,N,False,148.85,145.36,146.24,148.37,152.48
2367,N,False,128.53,126.47,127.96,131.28,134.73
2368,N,False,132.57,140.2,144.81,148.45,150.77
2369,N,False,164.19,169.59,175.49,157.71,141.49
2370,N,False,142.25,141.21,138.98,137.24,133.65
2371,N,False,179.55,191.85,194.23,184.07,182.08
2372,N,False,137.62,137.5,138.46,137.12,136.49
2373,N,False,108.55,110.39,111.38,113.38,115.42
2374,N,False,149.69,148.52,144.16,137.81,134.25
2375,N,False,175.78,169.3,168.95,182.63,183.86
2376,N,False,192.88,190.12,188.99,174.16,180.09
2377,N,False,107.63,107.82,107.97,107.9,106.7
2378,N,False,89.653,88.678,88.137,87.591,88.366
2379,N,False,114.67,115.0,113.75,114.4,115.18
2380,N,False,137.89,135.13,137.51,139.59,138.52
2381,N,False,142.71,140.14,142.03,143.66,142.86
2382,N,False,132.26,144.05,140.76,140.42,144.0
2383,N,False,131.52,129.02,126.17,124.27,123.68
2384,N,False,169.52,176.58,173.29,172.55,174.03
2385,N,False,149.09,141.76,140.55,140.87,143.99
2386,N,False,153.64,152.96,149.26,152.26,151.6
2387,N,False,122.56,121.68,123.68,121.36,119.26
2388,N,False,154.28,153.71,156.36,153.42,158.24
2389,N,False,120.66,120.11,123.0,124.52,125.74
2390,N,False,29.705,89.514,100.08,101.58,120.33
2391,N,False,140.1,137.93,135.72,136.98,138.23
2392,N,False,88.454,87.544,83.181,83.815,83.729
2393,N,False,150.69,153.42,151.5,153.85,155.65
2394,N,False,132.96,134.97,133.88,135.16,136.55
2395,N,False,146.19,138.21,143.78,146.13,147.97
2396,N,False,103.05,105.36,104.95,106.37,106.32
2397,N,False,76.071,77.107,78.223,77.629,79.274
2398,N,False,141.57,139.89,141.42,142.14,141.83
2399,N,False,133.28,134.07,132.22,129.61,127.69
2400,N,False,91.868,81.199,81.008,82.257,94.171
2401,N,False,158.66,154.35,142.11,138.84,139.56
2402,N,False,24.052,169.87,62.568,80.566,71.583
2403,N,False,142.83,129.75,136.27,110.56,112.07
2404,N,False,133.33,131.67,129.58,128.55,126.47
2405,N,False,152.89,153.39,151.28,151.6,150.16
2406,N,False,111.15,112.88,116.58,117.95,119.57
2407,N,False,111.08,110.77,109.65,111.91,114.59
2408,N,False,142.45,144.59,147.16,130.65,137.18
2409,N,False,128.94,132.15,123.31,127.79,132.25
2410,N,False,143.8,145.91,145.0,141.1,141.41
2411,N,False,96.11,96.16,95.515,95.233,96.242
2412,N,False,64.832,71.364,66.766,66.691,68.187
2413,N,False,79.388,78.768,78.966,79.63,78.979
2414,N,False,111.25,112.04,115.06,117.68,115.29
2415,N,False,105.2,104.54,103.52,102.56,102.1
2416,N,False,113.53,111.47,113.11,113.65,115.74
2417,N,False,113.95,112.78,117.84,118.56,119.28
2418,N,False,95.898,95.748,95.262,94.629,93.309
2419,N,False,147.55,149.47,150.82,153.39,152.04
2420,N,False,96.841,97.646,98.749,97.062,97.658
2421,N,False,119.14,117.43,118.52,117.45,116.92
2422,N,False,137.45,135.67,136.01,136.34,134.84
2423,N,False,120.75,121.34,121.31,121.12,122.79
2424,N,False,157.11,152.67,153.23,158.57,157.75
2425,N,False,143.77,144.55,143.22,141.98,142.31
