,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5
1713,B,False,114.13,112.0,108.77,107.49,108.56
1714,B,False,105.94,104.93,106.7,105.23,107.47
1715,B,False,128.13,128.18,128.54,131.08,131.22
1716,B,False,113.63,103.31,83.77,104.98,88.051
1717,B,False,103.37,103.09,105.19,114.18,117.82
1718,B,False,120.67,118.59,118.48,117.98,117.57
1719,B,False,92.996,93.796,94.043,93.185,93.88
1720,B,False,129.19,130.38,131.61,134.37,135.98
1721,B,False,104.19,105.27,105.64,107.95,110.07
1722,B,False,132.32,129.97,132.69,132.64,132.66
1723,B,False,146.02,152.02,153.82,154.86,151.04
1724,B,False,96.286,98.084,97.252,97.68,97.294
1725,B,False,143.79,145.57,145.4,145.14,144.44
1726,B,False,139.62,130.3,127.27,134.96,138.45
1727,B,False,121.8,122.2,124.1,125.33,124.79
1728,B,False,120.8,122.35,124.19,126.83,129.01
1729,B,False,83.745,82.637,82.296,85.592,85.126
1730,B,False,124.03,125.27,125.35,123.72,125.97
1731,B,False,116.74,121.16,122.62,120.19,120.73
1732,B,False,67.786,83.438,75.197,70.685,74.012
1733,B,False,129.57,126.89,126.6,126.59,126.21
1734,B,False,138.66,138.13,135.65,134.57,134.1
1735,B,False,148.82,148.53,145.68,148.1,146.53
1736,B,False,120.74,124.76,124.97,125.4,127.65
1737,B,False,107.45,108.09,108.89,108.44,110.3
1738,B,False,126.26,125.65,124.39,123.88,124.34
1739,B,False,75.841,73.529,75.677,74.16,76.491
1740,B,False,114.06,113.37,114.38,115.56,114.25
1741,B,False,68.571,67.769,70.447,66.774,74.495
1742,B,False,110.56,111.05,109.77,110.43,110.99
1743,B,False,128.36,127.15,124.51,128.73,128.3
1744,B,False,67.649,67.311,67.643,66.855,66.56
1745,B,False,113.48,113.78,114.84,114.71,114.96
1746,B,False,114.2,114.12,112.77,114.57,114.79
1747,B,False,120.23,123.44,124.1,123.73,124.31
1748,B,True,119.62,119.32,119.64,120.35,121.98
1749,B,False,116.98,117.79,117.54,117.89,119.7
1750,B,False,102.7,102.01,102.14,102.65,100.56
1751,B,False,62.659,62.112,60.994,61.845,61.373
1752,B,False,126.18,123.79,121.01,115.68,127.54
1753,B,False,154.59,150.48,154.8,155.31,152.65
1754,B,False,108.28,109.02,107.41,106.87,107.78
1755,B,False,106.23,105.06,104.87,105.08,105.54
1756,B,False,100.74,101.11,102.67,100.34,100.91
1757,B,False,98.475,98.922,99.942,100.08,100.89
1758,B,False,133.29,140.36,141.74,145.48,146.93
1759,B,False,126.36,126.73,124.11,123.12,123.78
1760,B,False,126.39,126.01,123.08,122.89,122.21
1761,B,False,111.36,111.2,110.68,110.66,111.34
1762,B,False,71.693,71.949,72.839,73.32,75.521
1763,B,False,69.021,70.8,69.013,70.04,66.11
1764,B,False,78.695,78.662,79.512,78.961,78.932
1765,B,False,98.195,97.186,97.774,97.692,96.95
1766,B,False,138.37,138.65,137.42,139.24,142.48
1767,B,False,108.27,112.91,109.44,111.91,108.8
1768,B,False,110.27,78.082,60.837,93.435,93.726
1769,B,False,143.82,146.22,150.72,152.7,146.8
1770,B,False,108.52,106.08,106.29,108.13,108.44
1771,B,False,132.24,133.25,135.4,134.39,134.48
1772,B,False,125.47,127.54,128.75,130.71,132.37
1773,B,False,109.73,110.69,109.99,110.93,111.38
1774,B,False,100.03,97.832,97.817,99.909,101.03
1775,B,False,90.909,91.914,91.345,90.907,90.943
1776,B,False,151.7,147.91,145.28,145.31,148.38
1777,B,False,89.631,93.027,89.793,96.833,89.816
1778,B,False,123.11,119.22,119.0,116.54,115.57
1779,B,False,119.64,124.33,127.54,127.86,127.45
1780,B,False,100.6,98.523,97.036,97.021,97.571
1781,B,False,100.88,103.09,105.06,105.31,106.2
1782,B,False,131.82,132.61,130.85,129.19,129.55
1783,B,False,120.81,120.84,120.75,120.46,123.16
1784,B,False,140.82,147.63,149.27,154.95,152.4
1785,B,False,58.622,59.072,59.236,59.079,59.719
1786,B,False,146.97,145.18,150.2,154.05,160.6
1787,B,False,105.78,107.74,108.64,110.36,112.29
1788,B,False,0.0,0.0,46.274,18.584,76.988
1789,B,False,109.06,109.15,110.38,109.2,110.57
1790,B,False,100.95,103.5,105.47,103.92,104.4
