,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5
0,X,False,0.11124,0.10488,0.13981,0.18104,0.14171
1,X,False,0.39676,0.45178,0.47101,0.44905,0.42835
2,X,False,0.066541,0.064499,0.027927,0.045047,0.046233
3,X,False,0.37759,0.43689,0.44408,0.47136,0.42905
4,X,True,0.2471,0.16808,0.27453,0.22309,0.24328
5,X,True,-0.009289,-0.03405,-0.0037035,0.088627,0.064271
6,X,False,-0.028996,-0.0033343,-0.050259,-0.0084686,0.069043
7,X,False,-0.013727,0.015115,0.024974,0.046231,0.00053605
8,X,True,0.088182,0.068162,-0.0069056,0.068125,0.074085
9,X,False,0.026096,0.013547,-0.047343,0.00024238,-0.0013328
10,X,False,-0.025496,-0.03644,-0.0036902,-0.014751,0.015097
11,X,False,-0.2113,-0.16079,-0.12979,-0.17618,-0.13679
12,X,False,0.24945,0.26023,0.25616,0.27467,0.25066
13,X,False,-0.084806,-0.089071,-0.057105,-0.099041,-0.057116
14,X,True,-0.36071,-0.053037,-0.049399,-0.05944,-0.010515
15,X,True,0.13647,0.18064,0.17251,0.18773,0.12359
16,X,False,-0.0080651,0.0166,0.044873,0.05679,0.054917
17,X,False,-0.071349,-0.067366,-0.045246,-0.033926,-0.045122
18,X,False,-0.040821,-0.040536,-0.052127,-0.12343,-0.057423
19,X,False,0.23124,0.19962,0.13257,0.16393,0.15869
20,X,False,-0.14417,-0.21463,-0.18271,-0.15557,-0.20316
21,X,False,0.18994,0.20608,0.19843,0.1938,0.19995
22,X,False,-0.080412,-0.065701,-0.05682,-0.03249,-0.15779
23,X,False,-0.066379,-0.057506,-0.05837,-0.070427,-0.036716
24,X,False,0.47934,0.5576,0.6568,0.60961,0.4609
25,X,False,-0.034101,-0.085632,-0.07016,-0.061271,-0.057418
26,X,True,0.060584,0.080046,0.10009,0.091575,0.087557
27,X,True,0.073373,0.080457,0.058172,0.060684,0.041216
28,X,True,0.020414,0.021388,0.054361,0.067182,0.070624
29,X,True,0.10832,0.091256,0.11392,0.11016,0.11579
30,X,True,0.066035,0.052623,0.059599,0.079203,0.06265
31,X,False,0.017255,0.02227,0.0038469,0.018414,0.050084
32,X,False,0.21326,0.19875,0.21198,0.21443,0.19487
33,X,True,0.12352,0.15816,0.26462,0.16581,0.20941
34,X,False,0.24106,0.1152,-0.24006,-0.51174,-0.51778
35,X,True,0.10294,0.023538,-0.00097538,-0.04241,0.061468
36,X,True,0.12661,0.11535,0.038478,0.073222,-0.0043441
37,X,False,-0.33315,-0.19588,-0.32639,-0.24664,-0.19869
38,X,False,-0.2529,-0.29507,-0.406,-0.42005,-0.35676
39,M,False,-0.13928,-0.12102,-0.20535,-0.09096,-0.16092
40,M,False,-0.36592,-0.74456,-0.83645,-0.61915,-0.503
41,M,False,-0.21485,-0.11105,-0.14628,-0.1472,-0.12457
42,M,False,0.724,0.67457,0.72304,0.61225,0.57656
43,M,True,0.35191,0.73354,0.0077968,0.68104,0.81349
44,M,False,0.4957,0.65528,0.12461,0.20384,0.23982
45,M,False,0.21497,0.11834,0.04523,0.13078,0.078544
46,M,False,-0.30999,-0.3372,-0.30464,-0.31557,-0.22995
47,M,False,-0.35787,-0.19513,-0.32859,-0.26615,-0.19823
48,M,True,0.22749,0.25255,0.29752,0.11,0.079731
49,M,True,0.013596,0.078197,0.022146,-0.0017799,0.053234
50,M,False,-0.27733,-0.23795,-0.22426,-0.20306,-0.24586
51,M,False,0.20009,0.19108,0.17003,0.18543,0.14537
52,M,True,-0.090532,-0.10605,-0.10652,-0.092416,-0.027129
53,M,True,0.44324,0.34465,0.39161,0.34702,0.41112
54,M,False,-0.018995,0.005152,-0.028279,-0.070775,-0.05068
55,M,False,0.36929,0.42551,0.37371,0.29728,0.40748
56,M,False,0.49185,0.43945,0.38964,0.29875,0.36101
57,M,False,-0.15971,-0.17853,-0.16718,-0.17831,-0.24411
58,M,True,-0.035897,-0.040305,-0.01738,-0.020016,0.028326
59,M,True,-0.19164,-0.17553,-0.13665,-0.15652,-0.22605
60,M,False,0.069058,0.052544,0.036903,0.028504,0.0073888
61,M,False,-0.015001,0.0074687,-0.020595,-0.022002,-0.011165
62,M,False,0.080958,0.13154,0.23509,0.069231,0.13037
63,M,False,-0.043055,-0.067878,-0.13113,-0.067931,-0.093325
64,M,True,-0.046988,-0.025751,-0.014154,-0.021734,-0.027579
65,M,False,-0.016117,-0.01645,-0.019462,-0.0041246,-0.0049707
66,M,False,-0.23379,-0.23787,-0.18564,-0.2315,-0.22624
67,M,False,-0.093265,-0.053961,-0.073806,-0.068239,-0.046165
68,M,False,-0.035346,0.0093915,-0.11164,-0.041631,0.072961
69,M,True,0.29088,0.23414,0.24488,0.27963,0.2797
70,M,False,0.36805,0.31189,0.30096,0.30414,0.31321
71,M,False,0.15408,0.17262,0.10839,0.15588,0.10819
72,M,True,0.048934,-0.023026,-0.041376,-0.10559,-0.10785
73,M,False,0.053005,0.11685,0.064456,0.10468,0.060521
74,M,False,0.14867,0.19707,0.24849,0.087054,0.25345
75,M,False,0.048067,0.10848,0.023652,0.076708,0.10513
76,M,False,0.1334,0.13219,0.11667,0.07298,0.083689
77,M,False,0.065555,0.085077,0.12617,0.14803,0.20394
78,M,True,0.23047,0.22161,0.2029,0.19029,0.090267
79,M,False,0.055825,0.059411,0.10158,0.034802,0.079039
80,M,True,0.39521,0.17219,0.13281,0.20204,0.063568
81,M,False,-0.068505,-0.074103,-0.19397,-0.058568,-0.10878
82,M,False,-0.0060028,0.082128,0.0045813,0.075405,0.029869
83,M,False,0.24743,0.20129,0.19144,0.18317,0.20623
84,M,False,-0.17612,-0.31167,-0.19444,-0.10508,-0.16778
85,M,False,0.15591,0.089705,0.17538,0.070312,0.072725
86,M,True,0.25207,0.30202,0.25511,0.29882,0.15864
87,M,True,0.10859,0.026411,0.057117,0.10063,0.087448
88,M,False,0.08608,0.030355,0.086279,0.061377,0.078544
89,M,True,0.32462,0.28651,0.32386,0.32201,0.32616
90,M,False,-0.01983,-0.036189,-0.034617,-0.091343,0.11539
91,M,True,-0.008391,-0.027435,0.0023131,0.034166,-0.038812
92,M,False,0.024017,-0.031645,0.036318,0.012385,0.013001
93,M,True,0.13234,0.082422,0.081139,0.074056,0.10358
94,M,False,0.017623,-0.080147,-0.08978,-0.14962,-0.087714
95,M,False,-0.059472,-0.046463,-0.068652,-0.091329,-0.12899
96,M,True,0.43971,0.44681,0.43351,0.38353,0.38872
97,M,True,0.34769,0.2678,0.29985,0.25552,0.21272
98,M,False,0.15422,0.13929,0.10734,0.11538,0.11797
99,M,True,0.17242,0.10083,0.11303,0.095924,0.17757
100,M,False,0.058485,0.031838,0.089737,-0.0026742,0.032784
101,M,False,-0.1157,-0.072263,-0.097051,-0.089025,-0.052747
102,M,True,0.069387,0.069591,0.033883,0.033915,0.013106
103,M,True,-0.060785,-0.042074,-0.031506,-0.018268,0.00013594
104,M,True,0.043523,-0.011672,0.010172,0.0025446,0.0088568
105,M,False,0.11477,0.065849,0.10301,0.073708,0.0049924
106,M,False,-0.046097,-0.077584,-0.061557,-0.06648,-0.071198
107,M,True,0.052352,0.044499,0.020446,0.041599,0.068189
108,M,False,0.041599,0.068189,0.10813,0.063803,0.0829
109,M,False,0.059934,0.09036,0.085399,0.063974,0.06784
110,M,False,0.015885,0.038032,0.018329,0.09716,-0.01835
111,M,False,0.089106,0.1193,0.16907,0.17863,0.15221
112,M,False,0.077129,0.091233,0.040098,0.061594,0.15859
113,M,True,0.093062,0.082095,0.091947,0.093693,0.053939
114,M,False,0.032747,-0.034215,-0.049159,-0.32856,-0.13691
115,M,True,0.070217,0.066713,0.026618,0.042908,0.073535
116,M,False,-0.11405,-0.24353,-0.33173,-0.37406,-0.39538
117,M,False,0.15741,0.16548,0.1884,0.21554,0.22246
118,M,False,0.29095,0.29971,0.29416,0.32688,0.29678
119,M,True,0.49386,0.41033,0.41342,0.5326,0.56259
120,M,True,0.13311,0.58325,0.62319,0.2865,0.70996
121,M,False,0.46445,0.44883,0.47514,0.45942,0.33906
122,M,False,0.14081,0.11314,0.10967,0.10004,0.060391
123,M,False,0.053725,0.046754,0.045663,0.068319,0.098785
124,M,False,0.017462,0.055853,0.015935,0.035427,0.053832
125,M,True,-0.013125,-0.057591,0.070977,0.068762,0.070406
126,M,True,0.15691,0.078579,0.18602,0.17489,0.0011169
127,M,True,0.021931,0.041026,0.040051,-0.0071426,0.017641
128,M,True,-0.04627,-0.023186,-0.023378,0.018224,0.0047408
129,M,True,-0.024442,0.0026484,-2.4001e-05,-0.033003,-0.007434
130,M,True,-0.018249,-0.021362,-0.023083,-0.004175,-0.0090557
131,M,False,0.01887,0.030216,0.026823,0.035092,0.012252
132,M,False,0.030099,0.032436,0.0006779,0.026663,0.028038
133,M,False,0.074719,0.038137,0.064324,0.046511,0.053151
134,M,False,0.052024,-0.024998,0.021586,0.071167,0.058029
135,M,True,-0.038767,-0.095671,-0.022764,-0.031728,-0.017819
136,M,False,0.085319,0.092495,0.087087,0.074997,0.11433
137,M,False,0.054792,0.042062,-0.037803,0.08121,-0.12974
138,M,True,0.5394,0.31506,0.59105,0.58144,0.66433
139,M,False,0.034114,0.14021,0.089709,0.020504,0.0076721
140,M,True,-0.12237,-0.1016,-0.15613,-0.16354,-0.24734
141,M,False,-0.17131,-0.14848,-0.15089,-0.13417,-0.16506
142,M,False,-0.092545,-0.084178,-0.09075,-0.080306,-0.13066
143,M,True,-0.10618,-0.069728,-0.053264,-0.006528,-0.088635
144,M,False,-0.056602,-0.060061,-0.0069313,-0.019754,-0.0030709
145,M,False,0.0054704,0.008937,0.01144,0.027682,0.016317
146,M,False,0.11091,0.039205,0.035228,0.079432,0.064144
147,M,False,-0.019808,-0.050939,0.022653,0.063137,0.057004
148,M,False,-0.10015,-0.1918,-0.13597,-0.1368,-0.19052
149,M,True,0.056236,0.076989,0.10311,-0.017353,0.034347
150,M,True,0.083021,0.094024,0.009543,0.056972,0.096133
151,M,False,0.094024,0.009543,0.056972,0.096133,0.0083613
152,M,False,-0.036676,0.0099499,-0.017509,0.00018657,0.0066094
153,M,True,-9.4441e-05,-0.02298,-0.0425,-0.0016025,-0.034581
154,M,False,-0.0015493,0.025832,0.016825,-0.0037951,0.034719
155,M,False,-0.070561,-0.0098671,-0.049026,-0.033918,-0.0081902
156,M,False,-0.027187,-0.034321,0.017461,0.041083,-0.017921
157,M,False,0.037932,0.061351,0.032134,0.082151,0.03859
158,M,False,0.031445,0.025289,0.037625,0.02925,0.012926
159,M,False,-0.072984,-0.11385,-0.084517,-0.064859,-0.063332
160,M,False,0.12157,0.10988,0.1417,0.17256,0.1309
161,M,False,-0.10684,-0.063184,-0.08403,-0.097343,-0.10874
162,M,True,0.25652,0.25323,0.1452,0.18971,0.20414
163,M,False,0.51736,0.60917,0.5313,0.15385,0.52124
164,M,False,0.29983,0.19832,0.23797,0.29944,0.16842
165,M,True,0.0,0.0,0.0,0.0,0.0
166,M,False,0.13315,0.036259,0.11579,0.059943,-0.011219
167,M,True,-0.19333,-0.17196,-0.18844,-0.16158,-0.18601
168,M,True,-0.040219,-0.06462,-0.04725,-0.00021032,-0.031147
169,M,False,-0.037745,0.036763,0.011339,0.019575,-0.0033698
170,M,True,-0.057832,-0.1064,-0.025084,-0.071407,-0.05127
171,M,False,0.013896,-0.01588,-0.0051532,-0.038093,-0.030889
172,M,False,0.10764,0.12695,0.11167,0.087553,0.10378
173,M,False,-0.035567,-0.00045353,-0.058205,-0.046846,-0.077954
174,M,False,-0.10004,-0.068897,-0.09189,-0.089572,-0.068284
175,M,False,0.23804,0.096295,0.09995,0.16056,0.11879
176,M,True,0.0,0.0,0.0,0.0,0.0
177,M,False,-0.34896,0.24118,0.089992,0.19276,0.11432
178,M,False,0.038669,0.068471,0.12221,-0.16714,0.06992
179,M,False,0.024118,0.014839,-0.036508,0.027521,0.075283
180,M,True,0.3524,0.27001,0.2965,0.28946,0.21108
181,M,False,0.17853,0.2426,0.11326,0.097365,0.08913
182,M,True,-0.18598,-0.1027,-0.099538,-0.15679,-0.14796
183,M,False,0.079855,0.085359,0.067728,0.058306,0.050085
184,M,True,0.16307,0.26148,0.084116,0.082335,0.16225
185,M,False,0.19633,0.22862,0.23434,0.18008,0.19894
186,M,True,-0.050285,-0.056343,-0.099665,-0.10238,-0.13119
187,M,False,-0.10333,-0.17515,-0.14619,-0.14972,-0.14075
188,M,False,-0.09259,-0.11969,-0.055645,-0.087224,-0.04363
189,M,True,-0.11809,-0.16034,-0.17554,-0.21236,-0.098483
190,M,True,-0.14019,-0.14112,-0.12875,-0.065918,-0.11114
191,M,True,-0.090393,-0.094477,-0.021318,-0.043448,-0.046699
192,M,True,-0.034117,-0.00079323,-0.02294,-0.085295,-0.038061
193,M,False,0.20831,0.18063,0.25589,0.19144,0.18092
194,M,True,-0.10186,-0.093644,-0.066634,-0.078959,-0.089353
195,M,False,-0.10541,-0.079806,-0.11233,-0.12472,-0.14495
196,M,False,-0.12363,-0.10678,-0.085368,-0.074875,-0.085187
197,M,True,-0.11132,-0.11001,-0.12119,-0.12941,-0.18077
198,M,True,-0.18077,-0.14418,-0.15629,-0.051235,-0.10625
199,M,False,-0.051465,-0.055816,-0.045985,-0.00021074,-0.011744
200,M,False,0.46849,0.48857,0.67928,0.2861,0.80333
201,M,True,-0.13755,-0.12856,-0.10936,-0.1817,-0.095057
202,M,False,-0.095057,-0.10409,-0.14382,-0.15868,-0.14177
203,M,False,-0.10347,-0.12867,-0.14376,-0.059488,-0.08292
204,M,True,-0.06768,-0.11695,-0.04958,-0.0074123,-0.044627
205,M,False,-0.05928,-0.074321,-0.14568,-0.10162,-0.078435
206,M,True,-0.1933,-0.18675,-0.12314,-0.16817,-0.1691
207,M,False,-0.18686,-0.17098,-0.19623,-0.21672,-0.15111
208,M,True,-0.093321,-0.078502,-0.021269,-0.087868,-0.12839
209,M,False,-0.14396,-0.15074,-0.098092,-0.13914,-0.10846
210,M,True,-0.14626,-0.12663,-0.12122,-0.1083,-0.1445
211,M,False,-0.05406,-0.070567,-0.058276,-0.054242,-0.066328
212,M,False,-0.15803,-0.11275,-0.15278,-0.18196,-0.18244
213,M,False,0.22148,0.25493,0.056413,0.14151,0.10944
214,M,True,-0.1483,-0.14612,-0.18469,-0.20393,-0.12432
215,M,True,-0.1473,-0.12544,-0.11804,-0.10736,-0.046504
216,M,False,-0.1349,-0.094335,-0.094953,-0.096352,-0.078395
217,M,False,-0.16247,-0.10628,-0.15991,-0.1134,-0.15594
218,M,False,-0.10006,-0.19442,-0.1157,-0.10891,-0.12574
219,M,True,0.16081,0.16468,0.18639,0.15433,0.16855
220,M,False,0.16216,0.18524,0.19016,0.1444,0.16466
221,M,False,0.16647,0.13414,0.12074,0.11564,0.12646
222,M,False,0.23974,0.25121,0.24135,0.24097,0.23925
223,M,False,-0.14241,-0.12015,-0.092988,-0.11394,-0.14852
224,M,False,-0.053389,-0.082521,-0.086276,-0.094794,-0.09473
225,M,True,0.023169,-0.012167,0.018078,0.032113,0.036175
226,M,False,0.017575,0.0064139,-0.0025456,-0.019988,-0.0029274
227,M,False,0.0089454,-0.026102,-0.0085106,0.022133,-0.00012574
228,M,False,0.12525,0.088003,0.10198,0.095866,0.072501
229,M,False,-1.8215,-0.076763,-1.194,0.5512,0.37841
230,M,False,-1.194,0.5512,0.37841,0.184,-0.9431
231,M,False,-0.27969,-0.2979,-0.30887,-0.21853,-0.24444
232,M,False,-0.01693,-0.028217,-0.014261,-0.074317,-0.061344
233,M,False,-0.14589,-0.15652,-0.15248,-0.073023,-0.083044
234,M,False,-0.18563,-0.16896,-0.15464,-0.072319,-0.061859
235,M,True,-0.01263,0.77863,1.9152,1.2748,1.2767
236,M,True,-0.061125,-0.037883,-0.054012,0.00175,-0.0083667
237,M,True,0.1115,0.15762,0.07233,-0.027514,-0.079988
238,M,False,0.26757,0.22982,0.016727,0.30026,0.069187
239,M,True,0.097049,0.066649,0.16216,0.018623,0.11748
240,M,False,0.13839,0.10611,0.019796,-0.10071,-0.03519
241,M,False,0.20646,0.25077,0.24204,0.28317,0.26416
242,M,True,0.31136,0.21654,0.46462,0.44029,0.54375
243,M,False,0.18524,0.23394,0.20526,0.14313,0.23517
244,M,False,0.34745,0.27559,0.32023,0.26518,0.23907
245,M,False,-0.077114,-0.068528,-0.055094,-0.080451,-0.057081
246,M,False,0.12113,0.037485,0.063636,-0.090749,-0.12096
247,M,False,-0.13275,-0.1551,-0.18908,-0.12057,-0.1229
248,M,True,-0.039181,0.001399,-0.04058,0.00080999,-0.027278
249,M,False,-0.068754,-0.05426,-0.079768,-0.092801,-0.097091
250,M,True,0.18148,0.16969,0.22514,0.19696,0.15652
251,M,False,0.17286,0.062146,0.033395,0.096487,0.10586
252,M,False,0.27666,0.13852,0.37664,0.47234,0.497
253,M,False,0.11202,0.077661,0.044329,0.052445,0.10633
254,M,False,0.33775,0.34573,0.42726,0.41218,0.42716
255,M,False,0.057785,0.075566,0.040018,0.067314,0.07815
256,M,False,-0.13295,-0.038834,-0.017184,-0.010163,-0.038805
257,M,False,0.15636,0.16809,0.14403,0.18226,0.19904
258,M,False,0.11926,0.091264,0.11998,0.18328,0.1691
259,M,False,-0.17608,-0.22707,-0.17551,-0.22345,-0.20474
260,M,True,-0.079326,-0.097137,-0.039127,-0.073233,-0.046112
261,M,False,-0.084948,-0.052669,-0.0031232,-0.081567,-0.13686
262,M,False,-0.12111,-0.074293,-0.16292,-0.12896,-0.14541
263,M,False,-0.60242,-0.57587,-0.58383,-0.69538,-0.56968
264,M,False,-0.15449,-0.21456,-0.19314,-0.24178,-0.22606
265,M,False,-0.33736,-0.30879,-0.27053,-0.30777,-0.26341
266,M,False,-0.74417,-0.78253,-0.89931,-0.79001,-0.83884
267,M,False,-0.12469,-0.10102,-0.035644,-0.060874,-0.077799
268,M,False,-0.16839,-0.05733,-0.031752,-0.17788,-0.02774
269,M,False,0.21925,0.32948,0.29711,0.26789,0.35082
270,M,True,0.27685,0.23052,0.19688,0.15727,0.19105
271,M,False,0.15727,0.19105,0.32876,0.30969,0.45692
272,M,False,0.11544,0.019925,0.010009,0.067276,0.16045
273,M,False,-0.085383,-0.051835,-0.025109,-0.023016,-0.059514
274,M,True,0.32827,0.34079,0.39352,0.28917,0.38258
275,M,False,0.12757,0.20753,0.19038,0.21714,0.13857
276,M,True,0.14133,0.12235,0.090668,0.1014,0.1984
277,M,False,0.21668,0.28303,0.17437,0.24451,0.28028
278,M,True,0.31412,0.337,0.36826,0.34815,0.3652
279,M,True,0.22973,0.19751,0.19968,0.19804,0.19224
280,M,False,0.1849,0.15943,0.18742,0.2443,0.25381
281,M,False,0.18742,0.2443,0.25381,0.25942,0.22888
282,M,False,0.15863,0.20066,0.1897,0.13439,0.14731
283,M,False,0.35628,0.38674,0.4621,0.44648,0.4576
284,M,False,0.44648,0.4576,0.36861,0.41363,0.45254
285,M,True,0.0,0.0,0.0,0.0,0.0
286,M,True,-0.25187,-0.062384,-0.090912,-0.22209,-0.06826
287,M,True,0.21979,0.0022181,-0.024008,-0.021503,0.10816
288,M,False,-0.22943,-0.024,-0.044212,0.047296,-0.020689
289,M,False,-0.10999,-0.066691,-0.0551,-0.016907,-0.10199
290,M,False,-0.095115,-0.13637,0.0036132,-0.030135,0.072469
291,M,False,-0.0039367,-0.028924,-0.12501,-0.14594,-0.21991
292,M,True,0.16387,0.20895,0.25953,0.23742,0.21842
293,M,False,0.20637,0.15138,0.14568,0.16363,0.17444
294,M,False,0.095502,0.066695,0.10249,0.10979,0.079708
295,M,False,0.057317,0.067461,0.11013,0.064713,0.077017
296,M,True,-0.11317,-0.056441,-0.071245,-0.033964,0.044114
297,M,False,-0.071245,-0.033964,0.044114,-0.011736,-0.045563
298,M,False,0.054537,0.0064939,0.017237,0.053041,0.082101
299,M,False,-0.068909,-0.10162,-0.11011,-0.18029,-0.15342
300,M,False,0.088524,0.065207,0.078155,0.11412,0.132
301,M,True,0.23402,0.16477,0.21571,0.22372,0.18551
302,M,False,0.21958,0.21172,0.2053,0.20462,0.17618
303,M,True,-0.16647,-0.21534,-0.20297,-0.16618,-0.15082
304,M,True,-0.046353,-0.055285,-0.058673,-0.051203,-0.048244
305,M,True,-0.15097,-0.22787,-0.15475,-0.16619,-0.2283
306,M,True,-0.13285,-0.17441,-0.18302,-0.17693,-0.15689
307,M,True,-0.1072,-0.097228,-0.036413,-0.075614,-0.085177
308,M,False,0.096369,0.11502,0.22464,0.21089,0.22898
309,M,False,-0.066436,0.053286,0.059555,0.089697,0.1503
310,M,False,-0.090685,-0.050006,-0.027034,-0.04546,-0.021609
311,M,False,0.0015874,-0.0060267,0.0093338,0.0039132,-0.011058
312,M,True,0.21011,0.13105,0.25866,0.32137,0.24707
313,M,True,0.006111,0.12674,0.13157,0.11143,0.17059
314,M,False,0.1099,0.12492,0.15416,0.074978,0.16993
315,M,False,-0.33218,-0.37748,-0.33484,-0.39425,-0.82475
316,M,True,-0.09879,-0.079117,-0.19478,-0.14689,-0.13089
317,M,False,-0.1502,-0.17733,-0.18092,-0.18367,-0.18831
318,M,False,-0.14156,-0.19077,-0.19723,-0.19432,-0.25422
319,M,True,-0.041392,-0.020599,0.11403,-0.011272,0.09574
320,M,False,-0.034616,-0.052566,-0.062655,-0.10807,-0.1139
321,M,True,0.109,0.1245,0.048269,0.094103,0.069291
322,M,False,0.094103,0.069291,0.036069,-0.072601,-0.094849
323,M,False,0.00010318,0.028995,0.032126,0.050852,0.09689
324,M,True,-0.30819,-0.27107,-0.28265,-0.30961,-0.21163
325,M,False,-0.086002,-0.14348,-0.14065,-0.17111,-0.15093
326,M,False,-0.15745,-0.11861,-0.18256,-0.1397,-0.11539
327,M,False,-0.14682,-0.13443,-0.17498,-0.21749,-0.19726
328,M,False,0.35766,0.39288,0.43097,0.43427,0.49189
329,M,True,0.28729,0.30976,0.29718,0.25985,0.29613
330,M,False,0.15072,0.15723,0.15212,0.098625,0.18288
331,M,True,-0.3448,-0.38362,-0.31559,-0.33995,-0.31603
332,M,True,0.20243,0.10234,0.14173,0.17393,0.19733
333,M,True,-0.041684,-0.0078515,-0.026756,0.013645,0.010951
334,M,False,0.034335,0.040924,-0.0034321,-0.0072917,0.031754
335,M,False,0.0094474,0.00064973,0.013602,0.032633,-0.013806
336,M,False,-0.098283,-0.14894,-0.045466,-0.031549,-0.031225
337,M,False,0.13055,0.050658,0.11228,0.22266,0.15227
338,M,True,0.1948,0.16547,0.17195,0.14942,0.12838
339,M,False,-0.18739,-0.17543,-0.22919,-0.2247,-0.12582
340,M,False,-0.097122,-0.098008,-0.142,-0.10382,-0.089987
341,M,False,-0.5578,-0.63457,-0.024667,-0.0079241,0.2144
342,M,False,1.1428,0.97148,0.99676,0.98162,0.90402
343,M,False,0.27118,0.28109,0.26344,0.19679,0.24078
344,M,False,0.27281,0.40992,0.19869,0.14694,0.16842
345,M,False,0.21247,-0.0072474,0.24663,0.37504,0.294
346,M,False,0.22495,0.12528,0.1575,0.14727,0.16166
347,M,True,-0.045659,-0.053362,-0.060827,-0.042273,-0.020176
348,M,False,-0.055012,-0.043885,-0.010487,-0.027934,-0.029195
349,M,False,-0.036864,-0.043065,-0.028395,-0.090755,-0.036074
350,M,True,0.077555,0.10731,0.12147,0.10501,0.1221
351,M,False,0.090009,0.09463,0.066822,0.10928,0.07135
352,M,True,0.17779,0.11127,0.061481,0.013027,0.13109
353,M,True,0.17762,0.18438,0.14502,0.15358,0.18791
354,M,False,0.17904,0.16616,0.1757,0.16484,0.16922
355,M,False,0.17361,0.21077,0.18588,0.25167,0.1934
356,M,False,0.18107,0.22192,0.18776,0.15128,0.13301
357,M,False,0.19009,0.20122,0.16977,0.23485,0.30362
358,M,False,0.19808,0.24687,0.26312,0.19288,0.27231
359,M,False,0.13694,0.18546,0.11407,0.19233,0.22341
360,M,True,0.14506,0.12318,0.13983,0.13262,0.20844
361,M,False,0.19184,0.23631,0.11796,0.14942,0.18182
362,M,False,0.27105,0.25788,0.25205,0.24707,0.24667
363,M,False,0.17939,0.27436,0.24105,0.1749,0.17429
364,M,True,0.23172,0.27473,0.24598,0.27823,0.24868
365,M,False,0.17963,0.10189,0.10993,0.097135,0.04202
366,M,False,-0.052657,-0.093411,-0.081408,-0.077715,-0.10225
367,M,True,0.12888,0.12648,0.15354,0.15211,0.15842
368,M,True,0.28122,0.29053,0.2644,0.18056,0.23829
369,M,True,0.17045,0.12924,0.16735,0.04954,0.054921
