,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5
370,M,True,0.29429,0.30947,0.24114,0.35896,0.26201
371,M,True,0.17351,0.14269,0.20764,0.14439,0.20956
372,M,True,0.32733,0.26529,0.26933,0.25177,0.17543
373,M,True,0.17789,0.23869,0.21555,0.34682,0.27667
374,M,False,0.20171,0.28184,0.2282,0.17473,0.18153
375,M,False,0.32905,0.15377,0.20171,0.18917,0.22645
376,M,True,0.14519,0.20341,0.16468,0.1871,0.23441
377,M,False,0.062029,0.10262,0.090422,0.075933,0.043428
378,M,False,0.031967,0.075912,0.049439,0.099003,0.071962
379,M,False,-0.023737,0.012365,-0.0052217,0.015351,-0.027646
380,M,False,0.29223,0.33971,0.31212,0.29334,0.307
381,M,False,-0.22621,-0.25947,-0.22716,-0.1506,-0.19259
382,M,False,-0.056006,-0.093776,-0.041844,-0.041502,-0.056954
383,M,False,0.21769,0.14125,0.25829,0.28408,0.19743
384,M,False,-0.09324,-0.13652,-0.13589,-0.1502,-0.11009
385,M,False,-0.095927,-0.019748,-0.06701,-0.080166,-0.059607
386,M,False,0.28313,0.33541,0.31582,0.28781,0.24465
387,M,False,0.22525,0.33961,0.31828,0.31674,0.24016
388,M,True,0.066676,0.28173,0.17553,0.09132,0.15261
389,M,True,-0.16509,-0.18448,-0.24526,-0.33385,-0.32639
390,M,True,-0.10381,-0.15949,-0.22105,-0.16491,-0.23562
391,M,False,-0.099929,-0.0016663,0.012248,0.087042,0.001435
392,M,False,-0.1324,-0.087621,-0.0091069,-0.038161,-0.08992
393,M,False,-0.061147,-0.1341,-0.20599,-0.14252,0.035655
394,M,True,-0.32894,-0.27581,-0.32254,-0.28489,-0.26314
395,M,False,-0.287,-0.33581,-0.36245,-0.30286,-0.39137
396,M,False,-0.11796,-0.11222,-0.25624,-0.093074,-0.19873
397,M,True,-0.21937,-0.22959,-0.21192,-0.21369,-0.24124
398,M,True,-0.089446,-0.017676,-0.030107,-0.057451,-0.0092169
399,M,False,-0.055658,-0.098802,-0.066417,-0.089813,-0.068425
400,M,False,0.16261,0.21669,0.14342,0.20066,0.23806
401,M,False,-0.11049,-0.10212,-0.19514,-0.091322,-0.15571
402,M,True,0.23542,0.081058,0.067051,0.12309,0.063162
403,M,False,0.090986,0.051871,0.069914,0.16916,0.095925
404,M,False,0.20629,0.17848,0.24149,0.24797,0.32169
405,M,False,-0.11497,-0.11358,-0.12241,-0.14517,-0.11114
406,M,False,-0.052682,0.00067003,-0.11374,-0.07129,-0.04906
407,M,False,0.16513,0.11424,0.15653,0.10629,0.14364
408,M,False,0.10148,0.12116,0.10947,0.11818,0.085531
409,M,True,-0.21949,-0.24447,-0.23167,-0.26502,-0.26783
410,M,False,-0.13599,-0.14345,-0.098239,-0.12631,-0.098223
411,M,False,-0.071246,-0.034297,-0.015783,-0.021241,0.041367
412,M,False,-0.036313,-0.042709,-0.079728,-0.084754,-0.097595
413,M,False,0.11227,0.17711,0.047016,0.088523,0.06937
414,M,False,0.14202,0.1363,0.12554,0.11757,0.14238
415,M,True,0.80138,0.60788,0.5512,0.49344,0.55602
