,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5
0,X,False,171.11,170.05,172.19,169.78,168.43
1,X,False,228.15,226.86,227.39,226.86,226.08
2,X,False,284.27,280.42,282.42,282.18,279.68
3,X,False,83.003,76.922,79.425,77.401,79.738
4,X,True,47.656,50.036,46.362,47.108,48.24
5,X,True,266.22,265.98,266.06,264.61,267.67
6,X,False,359.3,318.92,327.6,350.96,315.87
7,X,False,841.33,705.29,822.42,696.52,687.68
8,X,True,103.4,102.04,101.87,102.12,104.85
9,X,False,203.94,201.7,167.05,214.25,216.8
10,X,False,214.24,207.49,206.45,205.09,201.74
11,X,False,298.89,299.49,300.01,300.54,300.95
12,X,False,493.8,491.61,493.69,499.2,499.87
13,X,False,406.3,391.83,398.12,397.63,392.35
14,X,True,68.409,85.981,38.666,69.845,99.218
15,X,True,246.94,249.03,249.22,248.14,246.39
16,X,False,99.646,91.492,96.589,99.075,96.155
17,X,False,270.95,271.04,270.77,270.24,268.89
18,X,False,273.56,272.72,272.71,273.96,274.0
19,X,False,303.85,305.81,305.74,305.74,301.96
20,X,False,218.0,218.79,216.02,216.11,214.26
21,X,False,332.11,332.69,333.96,333.57,332.99
22,X,False,105.33,111.41,118.24,152.65,128.46
23,X,False,1392.8,775.41,755.1,718.58,775.36
24,X,False,95.23,94.664,94.663,109.9,101.11
25,X,False,183.84,183.66,224.78,227.92,223.0
26,X,True,198.2,198.19,198.91,199.43,200.09
27,X,True,248.83,249.51,245.77,248.56,249.12
28,X,True,265.66,265.59,265.75,266.75,267.1
29,X,True,268.52,268.07,264.0,265.33,265.5
30,X,True,266.24,264.89,267.88,267.08,268.27
31,X,False,208.22,207.61,207.97,208.88,206.95
32,X,False,697.01,697.75,695.14,695.34,695.09
33,X,True,99.678,97.698,100.14,100.72,99.625
34,X,False,47.421,47.061,60.697,52.814,52.566
35,X,True,118.22,118.29,118.92,117.04,116.95
36,X,True,107.05,115.89,115.65,105.49,104.68
37,X,False,104.32,104.22,103.55,102.68,103.09
38,X,False,315.51,316.69,316.95,307.23,308.33
39,M,False,83.404,83.044,83.371,84.523,84.178
40,M,False,0.0,0.0,0.0,0.0,0.0
41,M,False,198.13,197.71,197.25,198.18,197.71
42,M,False,92.751,93.273,92.811,93.84,92.808
43,M,True,22.701,27.169,69.865,98.551,78.668
44,M,False,76.214,82.884,88.225,91.57,103.92
45,M,False,8.2462,933.86,934.48,966.93,940.24
46,M,False,270.28,269.27,270.19,270.2,271.09
47,M,False,166.76,164.85,164.8,170.2,167.45
48,M,True,208.15,200.21,194.68,198.86,203.97
49,M,True,167.91,169.38,170.12,171.42,170.8
50,M,False,142.74,137.31,137.54,140.99,134.73
51,M,False,185.85,185.99,184.31,182.74,184.38
52,M,True,204.58,206.6,205.69,206.23,205.49
53,M,True,197.27,197.82,199.16,200.5,200.06
54,M,False,206.27,205.78,207.38,207.55,207.25
55,M,False,204.07,205.18,207.01,207.39,208.76
56,M,False,225.76,226.22,224.04,224.92,226.53
57,M,False,210.22,130.55,127.88,210.25,210.15
58,M,True,185.32,186.77,187.48,187.18,188.06
59,M,True,197.25,201.65,201.05,202.98,205.6
60,M,False,185.55,184.62,184.52,186.05,185.39
61,M,False,185.11,185.94,185.41,185.17,187.54
62,M,False,264.46,262.7,261.85,261.75,261.15
63,M,False,192.84,193.34,192.98,192.43,193.55
64,M,True,203.3,207.4,212.06,213.07,216.62
65,M,False,211.96,219.33,216.65,226.55,219.41
66,M,False,179.79,176.54,173.97,161.67,157.93
67,M,False,129.73,289.92,243.12,186.48,113.52
68,M,False,519.75,513.85,450.06,514.18,521.04
69,M,True,212.23,211.56,211.6,212.06,212.45
70,M,False,221.34,221.07,221.17,219.56,217.99
71,M,False,253.4,251.92,253.86,253.2,254.29
72,M,True,80.205,56.25,55.677,53.763,56.304
73,M,False,58.525,53.642,56.634,53.718,54.727
74,M,False,326.43,322.56,337.86,318.27,244.75
75,M,False,231.27,367.58,389.98,298.88,247.18
76,M,False,284.43,283.64,287.67,294.49,289.52
77,M,False,240.56,240.55,237.03,237.11,235.08
78,M,True,231.34,221.65,211.95,159.7,172.13
79,M,False,343.48,358.18,371.87,380.63,403.79
80,M,True,328.46,326.46,320.99,314.95,333.96
81,M,False,525.68,539.06,538.83,536.01,540.8
82,M,False,492.88,492.3,496.28,499.11,498.46
83,M,False,224.42,226.28,232.35,224.19,241.17
