,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5
84,M,False,176.06,171.87,174.54,176.18,174.71
85,M,False,132.58,133.96,134.51,133.68,134.23
86,M,True,105.1,106.25,107.81,107.75,109.81
87,M,True,143.59,143.76,144.53,144.66,145.84
88,M,False,175.64,175.61,175.84,176.44,176.92
89,M,True,162.8,163.47,163.96,163.42,163.12
90,M,False,183.19,182.64,183.72,183.57,183.29
91,M,True,262.69,262.23,264.17,265.85,265.5
92,M,False,277.28,277.91,278.18,278.39,277.87
93,M,True,269.51,266.73,265.14,267.76,272.84
94,M,False,231.37,231.88,232.72,232.65,233.38
95,M,False,237.8,237.8,237.8,237.8,238.6
96,M,True,130.27,132.38,130.88,129.39,129.98
97,M,True,46.9,46.736,46.882,51.675,53.934
98,M,False,72.55,71.468,78.47,82.991,77.555
99,M,True,80.528,79.261,87.353,94.337,95.701
100,M,False,89.89,93.848,93.672,96.342,93.947
101,M,False,231.89,228.39,227.36,228.67,230.4
102,M,True,163.33,162.85,161.52,160.41,161.96
103,M,True,186.26,187.58,188.98,186.71,184.83
104,M,True,289.81,292.43,310.48,299.86,310.4
105,M,False,265.07,265.14,263.42,263.71,264.26
106,M,False,161.48,162.92,163.0,166.49,171.75
107,M,True,266.29,266.35,265.36,265.62,265.2
108,M,False,265.62,265.2,265.92,267.16,268.27
109,M,False,268.07,266.98,266.3,266.53,266.25
110,M,False,267.61,268.62,268.49,268.65,267.7
111,M,False,271.23,270.52,270.71,271.34,272.32
112,M,False,271.76,271.41,271.24,270.36,269.7
113,M,True,266.47,265.47,264.97,264.26,264.33
114,M,False,0.0,0.0,0.0,0.0,0.0
115,M,True,264.74,264.68,263.7,262.67,261.66
116,M,False,0.0,0.0,0.0,0.0,42.202
117,M,False,261.62,260.31,261.07,262.28,262.81
118,M,False,294.62,294.99,292.28,292.98,294.77
119,M,True,106.41,123.7,125.42,127.39,114.58
120,M,True,46.315,58.479,76.578,62.015,70.198
121,M,False,72.45,69.157,71.449,68.143,69.969
122,M,False,194.93,192.82,192.18,192.72,193.87
123,M,False,499.9,499.13,503.19,515.5,509.32
124,M,False,468.31,468.59,478.23,460.39,457.47
125,M,True,227.17,234.65,242.69,245.89,254.78
126,M,True,312.78,280.35,333.42,297.67,274.54
127,M,True,333.82,312.09,288.05,284.66,349.1
128,M,True,262.31,260.66,259.84,256.89,260.18
129,M,True,254.29,248.08,249.14,256.59,258.01
130,M,True,268.1,265.47,270.52,269.68,271.81
131,M,False,283.19,281.91,283.38,284.26,286.76
132,M,False,286.62,286.14,284.27,282.77,285.21
133,M,False,285.64,285.88,284.81,286.61,287.16
134,M,False,340.93,340.6,342.11,341.07,343.44
135,M,True,728.57,714.26,707.85,685.32,690.42
136,M,False,112.8,107.19,132.8,135.18,131.12
137,M,False,587.33,570.8,577.55,566.09,557.65
138,M,True,70.091,69.245,68.486,70.129,64.655
139,M,False,79.467,79.355,76.727,72.963,81.607
140,M,True,609.27,604.67,598.71,604.83,613.88
141,M,False,684.68,691.56,689.56,531.23,521.17
142,M,False,477.32,519.73,475.16,600.64,622.82
143,M,True,556.89,558.93,557.42,559.51,560.8
144,M,False,559.62,561.48,560.48,560.18,559.86
145,M,False,226.29,299.67,297.62,294.96,303.57
146,M,False,294.64,294.34,294.06,294.08,296.01
147,M,False,525.98,525.9,526.72,526.27,526.08
148,M,False,318.53,318.85,317.8,318.37,319.39
149,M,True,98.248,104.47,103.44,104.97,103.84
150,M,True,281.01,280.53,276.42,280.65,278.75
151,M,False,280.53,276.42,280.65,278.75,277.21
152,M,False,283.62,279.94,280.06,268.16,273.43
153,M,True,267.94,266.3,262.95,329.35,263.61
154,M,False,250.65,247.73,239.83,237.72,238.56
155,M,False,233.84,239.19,241.59,236.13,234.52
156,M,False,248.05,245.79,240.65,245.79,245.84
157,M,False,222.65,212.07,207.21,204.63,206.37
158,M,False,198.25,199.99,195.21,193.8,194.32
159,M,False,317.27,317.41,314.6,312.42,312.16
160,M,False,314.48,312.35,311.03,309.76,309.32
161,M,False,291.51,292.97,294.02,293.05,292.04
162,M,True,182.74,185.42,188.37,190.68,190.23
163,M,False,0.0,0.0,0.0,0.0,0.0
164,M,False,398.09,401.76,400.8,402.11,407.76
165,M,True,65.3,69.146,41.75,21.835,23.672
166,M,False,85.801,197.5,186.55,193.45,192.35
167,M,True,355.68,353.97,356.29,354.87,350.92
168,M,True,344.23,338.13,339.08,342.83,331.77
169,M,False,337.71,337.59,335.89,343.77,347.9
170,M,True,329.41,328.4,329.38,331.0,327.25
171,M,False,316.33,312.26,316.64,314.57,314.25
172,M,False,310.65,307.86,310.29,312.38,305.94
173,M,False,120.93,111.06,107.87,76.663,79.473
174,M,False,555.78,565.36,570.24,567.31,558.19
175,M,False,56.887,61.459,59.269,55.335,60.979
176,M,True,13.737,32.798,15.024,16.271,10.071
177,M,False,0.0,0.0,0.0,0.0,0.0
178,M,False,0.0,0.0,0.0,0.0,0.0
179,M,False,209.85,210.46,211.38,211.02,212.44
180,M,True,905.32,528.75,75.538,645.18,76.531
181,M,False,102.61,99.284,99.708,96.13,97.898
182,M,True,308.86,314.88,310.13,322.4,327.33
183,M,False,440.34,439.3,438.66,436.12,436.94
184,M,True,365.53,367.48,378.01,380.15,379.31
185,M,False,503.42,506.38,509.55,510.72,510.59
186,M,True,223.61,222.38,219.23,219.62,221.26
187,M,False,211.34,212.11,211.91,211.63,210.74
188,M,False,207.76,210.1,210.1,207.89,207.26
189,M,True,265.19,265.92,264.66,263.55,264.54
190,M,True,268.28,263.26,262.69,263.8,264.08
191,M,True,260.79,261.5,262.43,261.98,263.44
192,M,True,263.17,263.46,263.95,264.82,264.99
193,M,False,758.86,758.08,756.86,755.88,750.47
194,M,True,260.87,261.61,262.81,263.46,262.28
195,M,False,263.17,263.7,263.0,264.12,263.55
196,M,False,265.82,264.16,265.19,264.8,264.4
197,M,True,264.96,264.41,265.29,253.5,264.59
198,M,True,264.59,264.7,254.8,267.36,266.04
199,M,False,249.57,249.07,249.87,252.08,250.68
200,M,False,159.77,180.03,31.016,173.91,169.7
201,M,True,247.38,250.23,251.66,251.37,250.46
202,M,False,250.46,248.79,250.13,251.15,249.62
203,M,False,251.91,250.63,250.33,250.95,250.9
204,M,True,245.6,244.85,243.53,241.28,240.71
205,M,False,242.76,244.4,245.72,247.24,245.65
206,M,True,257.74,257.01,256.69,259.28,260.77
207,M,False,260.47,261.94,260.87,261.27,261.92
208,M,True,272.26,273.0,273.54,273.36,272.79
209,M,False,274.03,273.6,276.05,276.07,274.43
210,M,True,275.92,277.67,275.16,276.57,279.96
211,M,False,278.52,279.4,279.85,281.97,283.54
212,M,False,304.5,304.6,303.69,302.46,302.84
213,M,False,234.5,231.79,230.7,218.14,209.58
214,M,True,306.49,305.54,306.24,305.35,303.41
215,M,True,322.54,324.4,323.89,324.63,326.58
216,M,False,329.84,330.06,331.72,328.94,332.05
217,M,False,337.71,336.2,338.02,336.47,340.48
218,M,False,333.29,327.99,329.39,326.93,327.12
219,M,True,347.76,352.12,351.87,349.39,345.31
220,M,False,344.41,344.52,340.85,340.99,342.76
221,M,False,345.05,348.21,346.46,343.75,342.07
222,M,False,571.54,569.95,568.67,566.27,564.54
223,M,False,572.52,573.19,575.42,575.76,573.01
224,M,False,471.08,458.54,437.71,432.9,426.05
225,M,True,1087.7,1082.4,1085.2,1092.4,1099.1
226,M,False,1104.4,1102.5,1094.7,1091.5,1091.4
227,M,False,1067.1,1068.6,1066.1,1064.1,1061.9
228,M,False,1021.8,1025.1,1025.1,1020.1,1022.5
229,M,False,52.746,44.263,52.909,58.933,57.785
230,M,False,52.909,58.933,57.785,54.365,81.888
231,M,False,188.61,186.47,183.97,184.75,187.89
232,M,False,272.0,273.1,275.82,266.68,270.02
233,M,False,202.17,205.01,204.83,201.73,207.26
234,M,False,557.52,558.26,562.19,559.07,560.54
235,M,True,143.78,151.49,146.8,150.45,151.07
236,M,True,178.73,181.75,182.34,182.12,182.59
237,M,True,899.53,904.21,0.0,0.0,917.13
238,M,False,69.065,69.34,69.065,70.456,69.893
239,M,True,0.0,0.0,0.0,0.0,0.0
240,M,False,78.802,78.622,77.904,76.964,77.017
241,M,False,86.262,85.82,85.653,85.463,85.248
242,M,True,241.3,246.21,245.74,244.48,238.92
243,M,False,212.65,213.4,215.2,215.05,211.41
244,M,False,191.31,189.11,187.87,187.75,190.35
245,M,False,223.15,229.43,221.58,221.24,221.4
246,M,False,233.35,232.67,230.7,229.99,230.48
247,M,False,248.02,247.23,246.63,244.96,246.84
248,M,True,362.81,364.1,363.14,365.1,364.56
249,M,False,356.5,356.85,359.74,361.21,361.0
250,M,True,54.143,65.402,67.469,64.474,65.566
251,M,False,52.526,46.119,43.136,49.445,48.585
252,M,False,111.88,112.76,113.92,114.75,113.09
253,M,False,349.36,346.07,353.42,349.78,353.89
254,M,False,129.79,128.3,127.1,128.24,133.3
255,M,False,166.84,166.62,167.4,166.34,164.39
256,M,False,222.06,220.87,220.92,219.53,218.25
257,M,False,195.43,196.99,201.06,199.9,201.4
258,M,False,222.64,220.64,223.85,224.83,223.9
259,M,False,241.7,236.71,240.96,231.1,237.89
260,M,True,213.43,214.88,216.93,216.22,219.53
261,M,False,217.67,215.35,212.37,213.46,214.22
262,M,False,26.369,26.643,26.688,27.144,27.143
263,M,False,0.0,0.0,0.0,0.0,0.0
264,M,False,232.68,233.35,233.63,233.05,232.82
265,M,False,122.8,122.53,122.53,122.8,123.49
266,M,False,282.71,352.35,406.68,413.41,397.94
267,M,False,396.32,0.0,0.0,0.0,417.9
268,M,False,536.11,541.09,545.3,551.0,557.18
269,M,False,325.96,332.45,338.86,345.32,345.32
270,M,True,84.604,80.51,79.136,76.788,77.841
271,M,False,76.788,77.841,76.803,57.704,59.408
272,M,False,280.84,284.08,260.42,270.51,276.68
273,M,False,340.83,355.51,360.86,358.19,358.27
274,M,True,331.49,330.77,331.72,332.47,333.37
275,M,False,307.2,307.94,309.33,316.11,317.55
276,M,True,196.53,193.69,205.52,202.07,237.02
277,M,False,170.93,171.81,172.45,175.59,172.77
278,M,True,173.1,173.0,172.36,173.64,171.19
279,M,True,205.62,204.41,204.17,205.03,203.86
280,M,False,206.69,207.26,207.35,207.41,207.32
281,M,False,207.35,207.41,207.32,207.2,207.87
282,M,False,361.85,365.66,373.31,383.47,386.84
283,M,False,219.91,221.51,222.0,222.13,222.61
284,M,False,222.13,222.61,223.34,223.26,223.15
285,M,True,84.89,79.289,33.271,30.623,58.741
286,M,True,161.36,182.04,175.23,212.86,205.08
287,M,True,142.05,142.05,141.09,141.76,142.11
288,M,False,70.343,68.212,72.025,70.362,72.535
289,M,False,78.376,76.254,75.166,79.797,80.546
290,M,False,75.026,104.33,103.86,107.18,111.5
291,M,False,71.597,73.352,72.613,71.727,72.103
292,M,True,297.07,298.84,298.54,298.51,298.02
293,M,False,249.63,250.01,251.24,248.52,253.4
294,M,False,466.16,465.79,468.01,468.31,467.43
295,M,False,261.71,259.12,259.29,256.27,262.58
296,M,True,141.08,140.52,140.57,140.75,141.43
297,M,False,140.57,140.75,141.43,141.32,141.68
298,M,False,259.7,260.68,260.48,263.46,259.14
299,M,False,534.87,747.78,621.01,647.03,750.52
300,M,False,221.37,222.33,222.03,221.46,220.36
301,M,True,229.59,227.4,227.99,227.92,229.12
302,M,False,225.64,226.24,227.36,225.96,225.27
303,M,True,278.38,277.51,275.18,275.4,274.55
304,M,True,270.86,270.88,269.73,270.21,269.08
305,M,True,273.42,273.73,274.46,275.36,273.63
306,M,True,271.59,272.23,271.62,271.4,271.21
307,M,True,275.78,276.6,277.94,277.64,278.33
308,M,False,92.541,91.301,89.499,86.983,86.629
309,M,False,179.56,208.86,201.01,184.25,198.42
310,M,False,400.3,396.93,397.81,398.56,402.45
311,M,False,47.41,47.096,45.912,45.697,47.3
312,M,True,148.69,150.36,147.95,149.66,150.15
313,M,True,171.7,175.29,172.8,175.78,175.62
314,M,False,156.97,161.5,165.07,166.24,165.07
315,M,False,214.03,189.65,224.09,132.96,125.85
316,M,True,61.062,62.262,56.472,101.49,63.654
317,M,False,51.083,50.732,49.66,50.426,50.216
318,M,False,282.92,276.83,286.87,278.11,287.23
319,M,True,468.62,472.17,479.17,474.71,476.32
320,M,False,683.11,684.21,689.41,695.7,697.89
321,M,True,322.7,325.56,327.51,331.73,334.03
322,M,False,331.73,334.03,329.67,327.15,326.94
323,M,False,570.38,572.92,573.87,571.62,577.07
324,M,True,335.69,339.46,339.25,340.25,336.3
325,M,False,333.97,333.07,327.65,324.07,327.29
326,M,False,322.51,318.08,320.89,324.8,327.48
327,M,False,294.09,294.64,298.39,295.18,290.59
328,M,False,151.66,151.23,148.85,158.24,155.14
329,M,True,218.21,219.06,219.03,222.08,218.85
330,M,False,360.27,357.53,356.86,357.26,363.08
331,M,True,106.62,77.554,77.678,74.119,83.456
332,M,True,396.38,440.18,354.05,400.43,397.55
333,M,True,224.89,224.77,217.76,218.19,216.13
334,M,False,727.04,755.7,768.33,743.61,741.79
335,M,False,630.77,718.66,697.55,670.36,719.24
336,M,False,495.86,511.22,512.11,511.26,411.89
337,M,False,162.69,163.63,165.47,164.35,165.56
338,M,True,333.91,336.24,335.28,338.15,337.69
339,M,False,0.0,0.0,0.0,0.0,0.0
340,M,False,286.97,347.84,285.25,276.72,272.55
341,M,False,90.415,99.941,116.39,106.9,102.84
342,M,False,182.25,176.93,181.54,172.56,184.52
343,M,False,140.37,58.958,83.069,60.07,63.95
344,M,False,58.052,66.887,59.061,62.152,133.92
345,M,False,384.69,388.02,376.74,391.86,333.51
346,M,False,199.33,216.73,240.26,247.45,257.66
347,M,True,608.32,359.16,521.68,611.38,516.43
348,M,False,624.34,544.29,518.99,551.81,413.7
349,M,False,509.84,301.36,458.03,536.07,571.57
350,M,True,242.98,243.81,241.69,241.61,238.99
351,M,False,239.72,236.8,236.39,234.53,233.36
352,M,True,297.82,298.78,298.36,294.27,294.08
353,M,True,206.35,205.51,204.65,204.44,203.74
354,M,False,203.95,203.69,203.69,203.31,202.85
355,M,False,198.34,198.32,199.25,197.84,196.88
356,M,False,263.2,260.14,259.29,259.06,256.07
357,M,False,195.85,195.25,195.54,195.64,195.75
358,M,False,197.83,198.16,198.3,197.63,198.26
359,M,False,257.99,254.23,252.78,253.54,254.11
360,M,True,186.8,186.25,188.65,188.8,188.72
361,M,False,266.01,265.77,267.11,256.71,257.67
362,M,False,262.79,262.12,261.71,260.59,261.59
363,M,False,299.69,299.89,301.87,301.69,301.4
364,M,True,336.06,334.76,335.3,334.94,336.93
365,M,False,349.16,350.7,349.72,347.33,162.36
366,M,False,191.53,189.39,192.0,192.48,192.69
367,M,True,428.53,426.27,426.0,426.71,423.78
368,M,True,404.16,403.82,405.39,406.03,407.98
369,M,True,376.17,375.25,372.63,373.05,372.95
370,M,True,339.22,340.33,337.9,336.62,335.77
371,M,True,316.64,319.61,318.1,316.24,316.93
372,M,True,289.45,287.25,288.84,286.52,286.6
373,M,True,289.33,289.97,290.53,289.92,287.53
374,M,False,285.63,282.14,282.06,283.66,282.48
375,M,False,278.55,278.66,278.1,277.6,275.86
376,M,True,236.71,236.13,236.71,237.7,238.98
377,M,False,242.1,240.46,239.75,237.15,237.61
378,M,False,236.26,236.22,238.66,238.58,237.88
379,M,False,237.99,237.83,238.57,238.61,238.04
380,M,False,192.32,191.92,192.8,197.3,197.83
381,M,False,103.47,103.87,103.47,0.0,0.0
382,M,False,387.1,350.81,394.04,390.22,389.23
383,M,False,201.94,201.87,202.23,204.01,202.71
384,M,False,787.43,780.87,762.78,757.3,739.03
385,M,False,0.0,0.0,0.0,0.0,0.0
386,M,False,1667.7,1668.2,1670.2,1602.1,1617.7
387,M,False,251.23,251.76,253.47,253.5,254.34
388,M,True,56.392,104.87,81.471,155.92,156.11
389,M,True,0.0,0.0,0.0,0.0,0.0
390,M,True,103.99,103.94,102.22,96.566,102.99
391,M,False,110.81,110.98,89.122,102.01,98.201
392,M,False,109.75,106.8,111.69,109.54,110.82
393,M,False,146.5,149.35,150.93,149.05,144.08
394,M,True,190.82,192.03,194.38,199.7,198.29
395,M,False,201.66,205.02,213.42,213.1,213.52
396,M,False,29.681,12.616,34.903,16.003,20.924
397,M,True,197.58,197.64,197.13,196.25,197.05
398,M,True,214.27,206.3,171.81,179.03,174.49
399,M,False,389.82,388.2,413.67,419.79,415.3
400,M,False,1099.2,1098.1,1094.9,1095.2,1094.2
401,M,False,210.65,210.68,211.39,211.38,210.83
402,M,True,314.07,312.28,315.22,313.64,315.41
403,M,False,304.17,302.82,306.61,308.02,304.71
404,M,False,66.456,68.47,70.901,71.117,72.723
405,M,False,61.596,60.504,61.942,62.439,62.817
406,M,False,823.61,827.03,821.96,0.0,839.19
407,M,False,746.5,746.92,786.93,751.39,781.0
408,M,False,223.01,225.12,225.71,227.94,230.12
409,M,True,266.0,266.34,266.04,261.42,262.25
410,M,False,318.53,314.69,317.17,323.89,332.07
411,M,False,795.26,783.46,802.65,811.19,809.68
412,M,False,557.64,558.21,555.35,556.92,555.49
413,M,False,439.64,438.5,436.68,436.26,434.04
414,M,False,314.83,314.48,314.73,316.93,317.8
415,M,True,85.88,95.205,106.45,95.342,268.55
416,M,True,265.22,603.29,604.95,567.46,614.05
417,M,True,724.81,735.13,741.9,736.56,750.28
418,M,True,332.68,336.51,339.83,340.3,341.14
419,M,True,853.41,861.78,876.13,855.68,859.27
420,M,False,1020.7,1003.5,1065.5,1035.0,1030.5
421,M,False,68.646,64.844,62.403,61.979,61.678
422,M,False,1073.9,1095.8,1080.1,1096.7,1154.0
423,M,False,399.83,394.73,393.92,395.19,391.35
424,M,False,1260.6,1272.7,1303.2,1285.3,1286.0
425,M,False,211.62,212.26,205.05,197.13,192.41
426,M,False,671.7,690.41,695.86,692.85,685.32
427,M,False,612.24,615.26,605.03,521.91,511.1
428,M,True,47.684,47.732,48.758,48.703,48.0
429,M,False,71.563,73.425,77.661,76.026,82.107
430,M,False,425.15,425.39,426.23,423.6,425.95
431,M,False,712.13,717.66,696.93,686.91,714.88
432,M,False,735.11,726.84,729.22,729.7,729.23
433,M,True,1645.3,1640.4,1641.3,1639.9,1640.0
434,M,False,1641.3,1639.9,1640.0,1188.4,1063.7
435,M,False,982.16,801.73,1621.8,989.45,1221.5
436,M,True,152.76,183.68,55.57,205.38,71.478
437,M,True,218.62,220.84,221.11,207.83,218.55
438,M,False,190.94,189.1,189.58,188.76,186.54
439,M,False,190.91,190.66,192.13,192.59,193.06
440,M,False,193.06,188.86,189.59,187.17,188.95
441,M,False,186.19,183.9,181.44,182.67,185.24
442,M,True,190.09,187.47,189.38,187.18,186.87
443,M,False,188.31,188.54,187.43,189.08,187.17
444,M,True,219.74,219.71,221.2,221.19,221.61
445,M,True,229.13,229.76,231.01,231.05,232.26
446,M,True,266.46,268.13,269.14,269.83,269.78
447,M,False,269.14,269.83,269.78,268.58,266.99
448,M,False,266.96,268.16,269.79,267.99,267.89
449,M,False,267.51,266.41,265.84,266.75,266.13
450,M,False,265.87,265.96,265.59,265.96,264.89
451,M,True,265.7,265.95,265.37,264.36,265.23
452,M,False,261.05,262.24,263.25,263.12,263.19
453,M,False,271.2,271.12,271.13,270.58,270.44
454,M,False,267.09,255.94,267.14,268.63,267.92
455,M,False,267.09,268.39,267.8,267.43,267.67
456,M,True,259.76,261.42,261.05,262.61,234.25
457,M,True,263.7,266.84,175.23,174.05,172.34
458,M,False,171.35,161.78,163.02,170.6,172.19
459,M,False,332.78,476.96,501.27,455.71,444.22
460,M,False,581.67,509.27,610.47,620.17,602.92
461,M,False,541.92,541.41,578.14,538.33,563.87
462,M,False,588.9,576.54,581.88,606.54,543.49
463,M,False,463.64,488.22,501.39,447.27,494.56
464,M,False,494.56,504.95,475.28,459.61,487.01
465,M,False,530.23,546.64,536.93,565.87,549.64
466,M,True,479.65,483.46,488.42,488.3,491.07
467,M,False,631.31,624.66,630.83,627.51,575.71
468,M,True,392.13,526.47,512.02,649.2,515.54
469,M,True,643.32,474.34,208.18,207.49,206.74
470,M,True,208.16,213.54,211.15,210.03,211.54
471,M,False,203.17,201.13,203.76,202.98,201.12
472,M,False,196.74,196.58,195.4,197.06,200.7
473,M,False,202.78,203.77,203.74,204.57,203.64
474,M,False,180.11,179.21,178.75,178.66,180.73
475,M,True,444.05,469.68,453.84,455.03,463.82
476,M,True,527.86,492.14,643.89,664.84,437.22
477,M,False,486.83,484.11,501.62,501.88,497.21
478,M,False,298.92,299.95,298.42,298.79,296.82
479,M,True,250.21,248.34,246.54,245.49,248.55
480,M,True,253.1,256.05,252.63,250.7,253.09
481,M,False,259.29,259.31,258.13,253.05,254.92
482,M,False,239.03,237.5,228.74,238.79,237.71
483,M,False,657.14,663.77,664.31,678.43,698.37
484,M,True,892.88,885.91,880.46,876.93,871.61
485,M,True,222.49,222.44,221.12,219.19,229.04
486,M,False,907.01,909.84,902.04,905.86,917.9
487,M,True,647.41,647.28,647.84,655.78,659.12
488,M,True,740.4,743.24,743.17,744.69,749.05
489,M,False,250.58,250.9,251.63,251.86,252.54
490,M,False,960.82,988.57,910.0,824.15,991.32
491,M,False,122.29,122.53,122.73,125.29,126.63
492,M,False,263.66,265.25,266.19,265.73,265.28
493,M,False,316.88,316.19,317.23,317.58,317.74
494,M,False,429.24,428.7,428.18,428.89,429.25
495,M,False,391.93,393.11,396.35,395.81,396.39
496,M,False,114.27,114.26,82.294,185.42,73.023
497,M,True,391.65,392.18,392.26,394.46,395.24
498,M,False,377.64,377.35,379.61,378.65,378.4
499,M,False,378.78,380.08,377.84,377.85,379.19
500,M,False,532.66,532.88,536.53,538.75,537.96
501,M,False,703.7,705.41,705.47,709.86,711.12
502,M,False,735.33,731.27,728.71,736.03,782.41
503,M,False,0.0,0.0,0.0,0.0,0.0
504,M,False,140.2,129.91,126.76,158.45,110.93
505,M,False,239.92,217.25,165.96,171.24,121.47
506,M,False,237.63,242.25,245.9,250.58,257.18
507,M,True,162.89,156.64,159.9,155.06,159.66
508,M,False,162.62,162.32,165.04,163.47,161.78
509,M,True,139.75,138.19,139.65,135.06,134.57
510,M,True,98.169,99.138,100.09,99.725,100.42
511,M,False,98.844,97.68,95.636,96.385,95.799
512,M,True,104.5,104.88,106.04,106.58,106.64
513,M,True,114.3,114.7,113.66,113.27,113.62
514,M,False,113.27,113.62,113.97,113.57,115.1
515,M,False,115.32,115.91,115.99,116.55,115.74
516,M,False,130.94,131.1,130.07,130.96,131.1
517,M,False,142.67,143.84,143.32,142.94,144.02
518,M,False,186.9,185.86,186.01,186.8,186.53
519,M,True,213.49,212.76,211.96,210.94,210.44
520,M,True,222.36,224.33,225.23,226.83,228.05
521,M,False,234.27,238.03,236.48,238.47,238.6
522,M,False,224.82,225.31,220.04,220.78,222.8
523,M,False,226.84,228.38,226.59,224.69,228.08
524,M,False,303.41,170.55,294.19,295.69,296.55
525,M,True,0.0,0.0,0.0,0.0,0.0
526,M,True,77.201,76.922,119.39,132.74,138.08
527,M,False,100.19,104.32,107.99,112.5,122.77
528,M,False,130.34,138.81,148.38,141.0,133.72
529,M,False,92.752,126.96,127.81,74.698,58.883
530,M,False,414.78,409.44,402.41,386.67,378.99
