,FLARE_TYPE,COINCIDENCE,SAVNCPP_1,SAVNCPP_2,SAVNCPP_3,SAVNCPP_4,SAVNCPP_5
0,X,False,13441000000000.0,12261000000000.0,13697000000000.0,15390000000000.0,17569000000000.0
1,X,False,10216000000000.0,10992000000000.0,11903000000000.0,11343000000000.0,10558000000000.0
2,X,False,35099000000000.0,35459000000000.0,33438000000000.0,32545000000000.0,31551000000000.0
3,X,False,9718700000000.0,10063000000000.0,9479000000000.0,9727700000000.0,9943000000000.0
4,X,True,18909000000000.0,19823000000000.0,20391000000000.0,19676000000000.0,19498000000000.0
5,X,True,26581000000000.0,5239600000000.0,20741000000000.0,8630400000000.0,16928000000000.0
6,X,False,8865200000000.0,13544000000000.0,2765700000000.0,6920600000000.0,9755700000000.0
7,X,False,24832000000000.0,23810000000000.0,24808000000000.0,25355000000000.0,24560000000000.0
8,X,True,33348000000000.0,32100000000000.0,33119000000000.0,33247000000000.0,35962000000000.0
9,X,False,79137000000000.0,78937000000000.0,76721000000000.0,79367000000000.0,77971000000000.0
10,X,False,75839000000000.0,80033000000000.0,77458000000000.0,77889000000000.0,80215000000000.0
11,X,False,50193000000000.0,47116000000000.0,45159000000000.0,42845000000000.0,41912000000000.0
12,X,False,59416000000000.0,56582000000000.0,55785000000000.0,58894000000000.0,59070000000000.0
13,X,False,10164000000000.0,15234000000000.0,14154000000000.0,13688000000000.0,13949000000000.0
14,X,True,1047500000000.0,284280000000.0,335810000000.0,657620000000.0,657720000000.0
15,X,True,36237000000000.0,35802000000000.0,38451000000000.0,36487000000000.0,39332000000000.0
16,X,False,18820000000000.0,18505000000000.0,9365800000000.0,12111000000000.0,11461000000000.0
17,X,False,36218000000000.0,37487000000000.0,36973000000000.0,35881000000000.0,39638000000000.0
18,X,False,15001000000000.0,14010000000000.0,12278000000000.0,16153000000000.0,14082000000000.0
19,X,False,11109000000000.0,15268000000000.0,15829000000000.0,13667000000000.0,16486000000000.0
20,X,False,25515000000000.0,28021000000000.0,27156000000000.0,25473000000000.0,25812000000000.0
21,X,False,66474000000000.0,66590000000000.0,66444000000000.0,66697000000000.0,68947000000000.0
22,X,False,278290000000.0,230560000000.0,201390000000.0,116990000000.0,598390000000.0
23,X,False,6105600000000.0,3695100000000.0,6534900000000.0,7191400000000.0,7608700000000.0
24,X,False,10782000000000.0,10913000000000.0,13516000000000.0,11983000000000.0,11045000000000.0
25,X,False,21557000000000.0,7000900000000.0,23366000000000.0,5077300000000.0,21924000000000.0
26,X,True,21960000000000.0,18435000000000.0,26104000000000.0,29959000000000.0,27525000000000.0
27,X,True,7857600000000.0,8603000000000.0,6214500000000.0,6478000000000.0,4395700000000.0
28,X,True,13063000000000.0,11839000000000.0,14049000000000.0,19675000000000.0,17520000000000.0
29,X,True,29478000000000.0,29506000000000.0,30889000000000.0,26057000000000.0,25406000000000.0
30,X,True,59234000000000.0,62193000000000.0,61220000000000.0,60942000000000.0,60766000000000.0
31,X,False,54104000000000.0,55215000000000.0,53057000000000.0,52294000000000.0,53254000000000.0
32,X,False,56466000000000.0,56145000000000.0,54518000000000.0,53723000000000.0,52538000000000.0
33,X,True,58396000000000.0,58707000000000.0,58260000000000.0,57819000000000.0,58295000000000.0
34,X,False,237290000000.0,292370000000.0,320910000000.0,773600000000.0,883840000000.0
35,X,True,74517000000000.0,74009000000000.0,73178000000000.0,74129000000000.0,77670000000000.0
36,X,True,80880000000000.0,81401000000000.0,79030000000000.0,78017000000000.0,84522000000000.0
37,X,False,102270000000000.0,95492000000000.0,94087000000000.0,93014000000000.0,96991000000000.0
38,X,False,12335000000000.0,18109000000000.0,16037000000000.0,12441000000000.0,12252000000000.0
39,M,False,9393800000000.0,9859000000000.0,10590000000000.0,9482800000000.0,9145900000000.0
40,M,False,1221800000000.0,1367600000000.0,1399700000000.0,1187700000000.0,949010000000.0
41,M,False,3126600000000.0,1617700000000.0,2124900000000.0,2117100000000.0,1787100000000.0
42,M,False,7092100000000.0,6658400000000.0,7064900000000.0,5952400000000.0,5681400000000.0
43,M,True,1871700000000.0,1277500000000.0,131430000000.0,1243100000000.0,1439000000000.0
44,M,False,1266600000000.0,1693000000000.0,1194500000000.0,1701700000000.0,857990000000.0
45,M,False,4766600000000.0,4599000000000.0,3964700000000.0,4482900000000.0,4681000000000.0
46,M,False,5484200000000.0,8784900000000.0,8858700000000.0,10264000000000.0,8553600000000.0
47,M,False,2706400000000.0,1490900000000.0,2479300000000.0,2057500000000.0,1560600000000.0
48,M,True,1142800000000.0,1266400000000.0,1542900000000.0,1112800000000.0,419830000000.0
49,M,True,19789000000000.0,21233000000000.0,23570000000000.0,21765000000000.0,19939000000000.0
50,M,False,4016900000000.0,4169400000000.0,4115800000000.0,5116300000000.0,5234400000000.0
51,M,False,29799000000000.0,31803000000000.0,32580000000000.0,30526000000000.0,30452000000000.0
52,M,True,29311000000000.0,29763000000000.0,29172000000000.0,27151000000000.0,29152000000000.0
53,M,True,5440700000000.0,4232100000000.0,4877500000000.0,4301100000000.0,5129300000000.0
54,M,False,26022000000000.0,25726000000000.0,26193000000000.0,27148000000000.0,27652000000000.0
55,M,False,4185800000000.0,4801200000000.0,4227500000000.0,3436600000000.0,4718700000000.0
56,M,False,6402900000000.0,5761500000000.0,5176000000000.0,3999000000000.0,4801900000000.0
57,M,False,26880000000000.0,24464000000000.0,26960000000000.0,26736000000000.0,27055000000000.0
58,M,True,54397000000000.0,51527000000000.0,52716000000000.0,51027000000000.0,51580000000000.0
59,M,True,10291000000000.0,9138500000000.0,7177300000000.0,8065200000000.0,8214300000000.0
60,M,False,44706000000000.0,39328000000000.0,37966000000000.0,41012000000000.0,38633000000000.0
61,M,False,38011000000000.0,37552000000000.0,33709000000000.0,34239000000000.0,35760000000000.0
62,M,False,2542300000000.0,2473700000000.0,4034800000000.0,3290200000000.0,3884200000000.0
63,M,False,35120000000000.0,35363000000000.0,34306000000000.0,34252000000000.0,33497000000000.0
64,M,True,3133300000000.0,1601100000000.0,3379000000000.0,2033800000000.0,1231200000000.0
65,M,False,18440000000000.0,19963000000000.0,14060000000000.0,19790000000000.0,21341000000000.0
66,M,False,12763000000000.0,15568000000000.0,18528000000000.0,17359000000000.0,16568000000000.0
67,M,False,21826000000000.0,19488000000000.0,23174000000000.0,29276000000000.0,25992000000000.0
68,M,False,33054000000000.0,30736000000000.0,34482000000000.0,33847000000000.0,38492000000000.0
69,M,True,7728900000000.0,6288600000000.0,6552600000000.0,7490100000000.0,7489000000000.0
70,M,False,9580300000000.0,8106100000000.0,7842400000000.0,7949900000000.0,8230800000000.0
71,M,False,4601500000000.0,5081200000000.0,3175100000000.0,4561500000000.0,3167700000000.0
72,M,True,29067000000000.0,28383000000000.0,27528000000000.0,26518000000000.0,29051000000000.0
73,M,False,15443000000000.0,29387000000000.0,29854000000000.0,29723000000000.0,24804000000000.0
74,M,False,3515100000000.0,4534000000000.0,7915300000000.0,2107800000000.0,4054800000000.0
75,M,False,7721700000000.0,7827400000000.0,6708300000000.0,6667300000000.0,7636700000000.0
76,M,False,6536400000000.0,5858000000000.0,7374400000000.0,7333500000000.0,11865000000000.0
77,M,False,13924000000000.0,13892000000000.0,14849000000000.0,16541000000000.0,13893000000000.0
78,M,True,14661000000000.0,15136000000000.0,15634000000000.0,16341000000000.0,18314000000000.0
79,M,False,16032000000000.0,17883000000000.0,19089000000000.0,18891000000000.0,18172000000000.0
80,M,True,6710900000000.0,15372000000000.0,6684100000000.0,3585300000000.0,4358300000000.0
81,M,False,17360000000000.0,15941000000000.0,16398000000000.0,16555000000000.0,16323000000000.0
82,M,False,18093000000000.0,16839000000000.0,19694000000000.0,18740000000000.0,19024000000000.0
83,M,False,1903900000000.0,3361300000000.0,2765500000000.0,3020200000000.0,2927100000000.0
84,M,False,15154000000000.0,15544000000000.0,13709000000000.0,13045000000000.0,12183000000000.0
85,M,False,3097100000000.0,1770500000000.0,3504200000000.0,1402600000000.0,1449900000000.0
86,M,True,5414000000000.0,6545900000000.0,5525100000000.0,6521400000000.0,3440400000000.0
87,M,True,42584000000000.0,42591000000000.0,42305000000000.0,41444000000000.0,45249000000000.0
88,M,False,27825000000000.0,27881000000000.0,28773000000000.0,27101000000000.0,26507000000000.0
89,M,True,41247000000000.0,43275000000000.0,44630000000000.0,44607000000000.0,41649000000000.0
90,M,False,42732000000000.0,44323000000000.0,46376000000000.0,44128000000000.0,46214000000000.0
91,M,True,44633000000000.0,46628000000000.0,47450000000000.0,45201000000000.0,45327000000000.0
92,M,False,39264000000000.0,39600000000000.0,38381000000000.0,37250000000000.0,34948000000000.0
93,M,True,2059300000000.0,1278600000000.0,1271200000000.0,1172600000000.0,1649600000000.0
94,M,False,4284000000000.0,3729300000000.0,3102800000000.0,3533600000000.0,2398500000000.0
95,M,False,2113600000000.0,3183500000000.0,2531900000000.0,2638200000000.0,2450800000000.0
96,M,True,8267400000000.0,8557100000000.0,8217400000000.0,7269100000000.0,7452500000000.0
97,M,True,16401000000000.0,15446000000000.0,14167000000000.0,13946000000000.0,12873000000000.0
98,M,False,13289000000000.0,12477000000000.0,12877000000000.0,15009000000000.0,14867000000000.0
