,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5
547,M,False,3.177e+23,3.1993e+23,3.2185e+23,3.3031e+23,3.409e+23
548,M,True,3.75e+23,3.6982e+23,3.761e+23,3.7231e+23,3.7337e+23
549,M,True,4.1051e+23,4.0919e+23,4.0081e+23,4.0582e+23,4.0741e+23
550,M,False,4.6012e+23,4.6199e+23,4.741e+23,4.6976e+23,4.6759e+23
551,M,True,5.7725e+23,5.7696e+23,5.8451e+23,5.8593e+23,6.0087e+23
552,M,False,8.4085e+23,8.4482e+23,8.5061e+23,8.4818e+23,8.5203e+23
553,M,True,1.2377e+24,1.2382e+24,1.243e+24,1.243e+24,1.2434e+24
554,M,False,1.429e+24,1.4273e+24,1.4266e+24,1.4345e+24,1.4381e+24
555,M,False,1.7117e+24,1.7248e+24,1.72e+24,1.7228e+24,1.7191e+24
556,M,True,1.4856e+24,1.4864e+24,1.4798e+24,1.4579e+24,1.459e+24
557,M,False,1.4937e+24,1.5033e+24,1.4997e+24,1.5152e+24,1.49e+24
558,M,False,1.188e+24,1.1724e+24,1.1764e+24,1.1707e+24,1.1902e+24
559,M,False,2.7488e+23,2.7341e+23,2.7253e+23,2.6808e+23,2.7078e+23
560,M,False,3.094e+23,3.1135e+23,3.1389e+23,3.1416e+23,3.1755e+23
561,M,True,8.7345e+23,8.732e+23,8.7599e+23,8.7329e+23,8.6847e+23
562,M,True,9.8787e+23,9.8915e+23,9.896e+23,9.8716e+23,9.8942e+23
563,M,True,4.9526e+22,5.1172e+22,5.1979e+22,5.4013e+22,5.3114e+22
564,M,True,1.0532e+24,1.057e+24,1.0624e+24,1.0641e+24,1.0643e+24
565,M,True,1.0782e+24,1.0796e+24,1.0879e+24,1.0905e+24,1.0928e+24
566,M,False,1.097e+24,1.1027e+24,1.1094e+24,1.111e+24,1.1156e+24
567,M,True,3.2032e+23,3.6661e+23,3.3546e+23,3.3155e+23,3.3912e+23
568,M,True,1.2584e+24,1.2585e+24,1.2573e+24,1.2595e+24,1.2636e+24
569,M,False,1.2831e+24,1.2844e+24,1.2857e+24,1.2851e+24,1.2824e+24
570,M,False,3.0337e+23,3.3383e+23,3.2308e+23,2.9809e+23,3.2376e+23
571,M,False,1.2824e+24,1.2792e+24,1.276e+24,1.2742e+24,1.2696e+24
572,M,False,1.2696e+24,1.2702e+24,1.2722e+24,1.2745e+24,1.2743e+24
573,M,False,2.9774e+23,3.3263e+23,3.1876e+23,3.2562e+23,3.1344e+23
574,M,True,1.3265e+24,1.3309e+24,1.3308e+24,1.3303e+24,1.3372e+24
575,M,True,1.4602e+24,1.4623e+24,1.4603e+24,1.4651e+24,1.4716e+24
576,M,False,1.5124e+24,1.5106e+24,1.5105e+24,1.4996e+24,1.5033e+24
577,M,True,1.5236e+24,1.5176e+24,1.5217e+24,1.5183e+24,1.5179e+24
578,M,True,1.3913e+24,1.3835e+24,1.385e+24,1.3838e+24,1.3705e+24
579,M,True,1.2966e+24,1.2854e+24,1.2835e+24,1.2967e+24,1.2901e+24
580,M,False,1.1246e+24,1.1173e+24,1.0991e+24,1.0766e+24,1.1054e+24
581,M,False,1.1073e+24,1.1093e+24,1.0998e+24,1.1326e+24,1.1018e+24
582,M,False,4.2957e+23,4.2175e+23,4.1629e+23,4.2253e+23,4.4323e+23
583,M,True,2.6715e+23,2.6762e+23,2.6671e+23,2.6894e+23,2.7384e+23
584,M,False,2.7861e+23,2.8343e+23,2.8318e+23,2.8498e+23,2.8902e+23
585,M,True,3.2204e+22,3.2284e+22,3.2222e+22,3.2024e+22,3.1988e+22
586,M,False,3.2222e+22,3.2024e+22,3.1988e+22,3.1824e+22,3.2306e+22
587,M,False,8.9084e+23,8.8734e+23,8.8093e+23,8.9194e+23,8.7609e+23
