,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5
262,M,False,0.0,0.0,0.0,0.0,0.0
263,M,False,0.0,0.0,0.0,0.0,0.0
264,M,False,37954.0,36675.0,38381.0,34608.0,40324.0
265,M,False,0.0,0.0,0.0,0.0,0.0
266,M,False,2407.6,2110.6,1461.3,5006.0,1248.9
267,M,False,0.0,0.0,0.0,0.0,98.244
268,M,False,14436.0,16432.0,14817.0,9263.1,14241.0
269,M,False,6299.5,6647.5,6029.3,6909.3,6186.6
270,M,True,22903.0,14444.0,22798.0,23532.0,15373.0
271,M,False,23532.0,15373.0,15834.0,26117.0,19942.0
272,M,False,29614.0,13695.0,11937.0,7644.6,10551.0
273,M,False,20798.0,19559.0,19318.0,22172.0,20100.0
274,M,True,10144.0,10624.0,10777.0,10320.0,10762.0
275,M,False,10794.0,10238.0,9611.3,10666.0,9790.1
276,M,True,3468.3,3304.5,6691.7,6049.1,5682.2
277,M,False,27683.0,30600.0,29275.0,27243.0,30242.0
278,M,True,26541.0,27443.0,35974.0,30448.0,29299.0
279,M,True,81307.0,88746.0,94522.0,88443.0,89067.0
280,M,False,98104.0,102020.0,84739.0,101070.0,97794.0
281,M,False,84739.0,101070.0,97794.0,104860.0,96399.0
282,M,False,14463.0,10458.0,14607.0,14294.0,14833.0
283,M,False,112100.0,117950.0,113440.0,115930.0,109770.0
284,M,False,115930.0,109770.0,101690.0,110160.0,108150.0
285,M,True,42577.0,28052.0,34519.0,69015.0,25889.0
286,M,True,13676.0,10863.0,8294.3,3421.8,7713.3
287,M,True,1336.8,1371.5,1341.5,1439.3,8223.0
288,M,False,8559.6,6939.5,6762.1,7237.3,6818.1
289,M,False,9317.8,13490.0,14496.0,12379.0,12060.0
290,M,False,5719.6,5933.1,6205.0,5963.6,5901.6
291,M,False,22919.0,18399.0,17325.0,21511.0,18088.0
292,M,True,24349.0,21518.0,21476.0,22169.0,21765.0
293,M,False,29249.0,36651.0,42283.0,32664.0,40704.0
294,M,False,5257.0,5281.6,6593.9,6606.6,1348.1
295,M,False,60334.0,44365.0,45608.0,52614.0,37207.0
296,M,True,25459.0,29089.0,29576.0,24413.0,24692.0
297,M,False,29576.0,24413.0,24692.0,27921.0,27656.0
298,M,False,23495.0,23202.0,23894.0,44344.0,35813.0
299,M,False,164.62,637.29,125.43,1035.2,692.97
300,M,False,30925.0,25607.0,31074.0,32068.0,32916.0
301,M,True,20860.0,25844.0,27275.0,25220.0,24792.0
302,M,False,22588.0,23286.0,24157.0,23232.0,24075.0
303,M,True,26722.0,34046.0,35357.0,33060.0,29161.0
304,M,True,57637.0,59908.0,57968.0,57787.0,62220.0
305,M,True,67412.0,77227.0,74077.0,78565.0,79770.0
306,M,True,81439.0,87115.0,84901.0,86142.0,89082.0
307,M,True,86904.0,83466.0,77048.0,79917.0,80914.0
308,M,False,12833.0,13007.0,12347.0,12915.0,11827.0
309,M,False,376310.0,406240.0,332150.0,345270.0,349610.0
310,M,False,16395.0,16606.0,17103.0,16113.0,13698.0
311,M,False,21626.0,15134.0,18401.0,17192.0,10321.0
312,M,True,46303.0,39112.0,36234.0,35236.0,34535.0
313,M,True,27557.0,25741.0,24542.0,26632.0,23495.0
314,M,False,41890.0,48149.0,50139.0,46784.0,45132.0
315,M,False,44861.0,93279.0,85046.0,89458.0,120670.0
316,M,True,1885.4,1879.3,0.0,4168.7,1838.3
