,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5
594,M,False,96.218,95.283,94.191,92.947,92.37
595,M,False,115.98,115.02,114.56,114.83,114.34
596,M,False,125.31,124.66,125.69,125.57,127.29
597,M,True,116.96,117.45,118.42,118.71,120.14
598,M,False,118.24,117.9,117.98,117.52,116.8
599,M,False,79.787,79.752,80.089,79.967,79.871
600,M,True,84.079,83.918,83.449,83.611,83.557
601,M,False,83.557,83.197,83.299,83.433,84.332
602,M,True,69.598,69.481,69.899,69.864,69.718
603,M,False,73.021,73.395,73.753,73.625,73.831
604,M,False,73.753,73.625,73.831,74.106,73.759
605,M,True,64.923,66.661,64.107,64.1,62.623
606,M,False,66.545,71.807,69.059,67.702,68.86
607,M,True,105.18,105.43,103.48,101.48,101.47
608,M,False,111.78,107.45,108.1,107.1,108.11
609,M,True,83.266,82.521,83.234,82.687,82.875
610,M,True,90.147,90.667,90.789,90.872,91.81
611,M,False,98.296,98.802,99.179,99.216,100.13
612,M,True,96.3,96.684,97.571,98.573,99.068
613,M,False,96.488,95.711,95.777,94.857,94.178
614,M,False,91.101,91.077,91.618,91.126,91.164
615,M,False,94.674,93.441,92.087,91.385,90.713
616,M,False,84.464,84.829,84.805,85.377,85.467
617,M,False,91.511,91.961,91.56,91.539,91.346
618,M,True,115.96,114.76,113.27,112.35,110.72
619,M,True,111.71,113.65,113.68,113.71,114.83
620,M,False,114.83,113.44,112.96,110.77,109.86
621,M,False,107.03,106.0,105.64,104.44,104.45
622,M,False,105.64,104.44,104.45,103.47,102.72
623,M,False,106.43,106.75,107.01,108.01,108.65
624,M,False,108.99,108.25,108.1,107.34,106.74
625,M,False,103.65,102.14,100.99,100.99,100.76
626,M,False,100.76,100.41,100.74,101.5,100.94
627,M,True,96.825,99.185,100.16,100.62,100.5
628,M,True,102.46,103.22,103.37,104.46,105.1
629,M,False,103.9,103.05,102.78,103.5,102.43
630,M,True,104.33,104.15,103.11,102.39,101.39
631,M,True,104.75,103.88,102.93,103.06,102.59
632,M,False,102.93,103.06,102.59,102.22,102.3
