,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5
2416,N,False,3961.0,3918.7,3968.3,3951.1,3928.1
2417,N,False,1576.7,1579.8,1627.4,1685.5,1666.6
2418,N,False,13798.0,14106.0,14468.0,14422.0,14395.0
2419,N,False,3859.4,3975.6,4054.3,4047.4,4131.6
2420,N,False,5588.8,5585.4,5707.4,5588.8,5630.4
2421,N,False,3543.7,3370.5,3321.3,3278.1,3310.7
2422,N,False,1810.2,1781.8,1803.1,1808.3,1804.0
2423,N,False,7096.4,7064.0,6952.6,6980.4,6929.2
2424,N,False,4315.5,4156.6,4163.3,4250.8,4236.9
2425,N,False,2906.5,2941.3,2880.1,2774.1,2834.8
