,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5
0,X,False,50.356,50.329,50.44,50.601,50.497
1,X,False,50.115,50.201,50.097,49.974,49.751
2,X,False,38.993,39.151,39.317,39.399,39.261
3,X,False,43.866,43.994,43.996,43.732,44.165
4,X,True,39.761,39.341,39.202,39.252,38.756
5,X,True,41.563,42.092,41.55,41.098,40.705
6,X,False,41.175,40.776,40.9,40.485,40.714
7,X,False,24.542,24.25,24.494,24.535,24.592
8,X,True,44.422,44.898,44.984,44.424,44.609
9,X,False,45.82,45.717,45.734,46.155,45.898
10,X,False,45.938,46.017,45.675,45.84,45.895
11,X,False,39.981,40.172,40.235,40.609,40.685
12,X,False,45.286,45.451,45.516,45.648,45.703
13,X,False,38.886,37.619,37.761,37.395,37.576
14,X,True,47.638,44.498,44.741,44.979,46.014
15,X,True,37.736,37.491,37.391,37.855,37.918
16,X,False,35.581,35.609,35.381,35.478,35.56
17,X,False,38.599,38.622,38.601,38.657,38.533
18,X,False,44.19,44.219,44.121,44.2,44.32
19,X,False,44.453,44.461,44.499,44.707,44.403
20,X,False,32.363,0.0,32.224,32.77,32.398
21,X,False,48.282,48.385,48.266,48.143,48.267
22,X,False,13.479,13.787,13.292,13.561,14.056
23,X,False,26.058,25.632,25.84,26.22,25.925
24,X,False,44.793,42.833,42.925,42.74,42.862
25,X,False,38.165,38.071,37.772,38.12,37.459
26,X,True,46.185,46.162,46.038,46.002,46.001
27,X,True,49.106,49.16,49.2,49.159,49.285
28,X,True,47.971,47.855,47.731,47.584,47.479
29,X,True,44.958,44.918,44.801,44.727,44.658
30,X,True,39.494,39.545,39.655,39.563,39.607
31,X,False,33.325,33.123,33.325,33.076,33.251
32,X,False,36.603,36.428,36.377,36.386,36.235
33,X,True,39.5,39.706,39.643,39.796,39.867
34,X,False,44.594,40.079,42.416,44.943,51.721
35,X,True,49.695,49.148,49.141,48.902,48.839
36,X,True,48.791,48.974,48.482,48.629,48.687
37,X,False,43.546,43.288,43.408,43.436,43.424
38,X,False,36.691,37.143,37.508,36.718,36.9
39,M,False,34.321,36.054,34.564,34.931,34.115
40,M,False,26.255,25.691,25.107,27.569,25.501
41,M,False,32.235,31.996,31.719,31.488,31.534
42,M,False,27.692,27.853,27.593,27.422,27.812
43,M,True,39.145,34.934,36.917,35.563,34.27
44,M,False,25.718,25.179,26.396,25.814,24.354
45,M,False,21.587,21.728,22.115,21.884,22.063
46,M,False,30.387,29.979,30.062,30.697,30.807
47,M,False,26.693,26.689,26.982,27.666,28.139
48,M,True,40.993,40.947,41.845,42.306,42.431
49,M,True,50.653,50.588,50.041,49.822,49.844
50,M,False,29.803,29.142,28.739,29.326,29.327
51,M,False,50.865,50.719,50.635,50.75,50.731
52,M,True,41.791,41.557,41.791,41.734,41.821
53,M,True,41.291,41.202,41.37,41.347,41.477
54,M,False,40.848,40.373,40.654,40.647,40.728
55,M,False,41.525,41.447,41.395,41.535,41.488
56,M,False,41.876,42.142,42.34,42.165,42.155
57,M,False,27.329,27.776,27.438,27.31,27.526
58,M,True,39.937,39.701,39.616,39.395,39.289
59,M,True,31.655,31.685,32.004,31.173,31.462
60,M,False,38.49,38.558,39.121,39.487,39.563
61,M,False,39.543,39.216,39.391,39.486,38.903
62,M,False,43.344,43.983,43.945,43.617,43.479
63,M,False,35.933,36.151,35.873,0.0,35.873
64,M,True,33.812,33.657,33.326,33.193,33.59
65,M,False,33.274,33.147,33.241,33.423,32.987
66,M,False,33.653,33.982,34.067,34.104,34.387
67,M,False,35.865,35.994,35.658,35.577,35.094
68,M,False,35.238,35.562,35.757,35.916,36.306
69,M,True,51.453,51.402,51.332,51.289,51.416
