,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5
70,M,False,51.228,51.299,51.192,51.222,51.302
71,M,False,47.696,47.504,47.332,47.335,47.385
72,M,True,36.179,35.912,36.307,35.635,35.965
73,M,False,33.022,33.543,33.799,33.264,33.197
74,M,False,47.852,48.158,48.713,48.337,48.18
75,M,False,34.987,35.011,34.551,35.111,35.026
76,M,False,32.742,32.832,32.754,32.787,33.018
77,M,False,39.446,39.622,39.593,39.652,39.993
78,M,True,27.764,27.383,27.605,26.984,27.503
79,M,False,27.65,27.411,27.225,27.424,27.202
80,M,True,44.653,43.378,44.398,45.084,43.956
81,M,False,40.966,40.362,40.125,39.834,41.058
82,M,False,28.376,28.656,28.525,28.844,28.673
83,M,False,42.647,42.332,41.721,41.734,42.119
84,M,False,29.982,30.872,31.551,31.487,31.891
85,M,False,37.69,37.582,37.639,38.032,37.945
86,M,True,46.231,45.959,45.592,45.45,45.473
87,M,True,45.677,45.459,45.411,45.259,45.111
88,M,False,53.472,53.553,53.805,53.591,53.615
89,M,True,43.947,43.987,43.967,43.929,43.845
90,M,False,43.618,43.674,43.442,43.064,43.132
91,M,True,43.355,43.195,42.912,42.74,42.802
92,M,False,40.187,40.025,39.943,39.899,40.103
93,M,True,28.87,29.085,29.373,29.297,29.556
94,M,False,27.359,26.982,26.772,26.661,26.314
95,M,False,26.165,26.34,26.286,26.27,26.337
96,M,True,42.011,41.929,41.468,41.589,0.0
97,M,True,38.299,38.407,38.242,38.562,38.72
98,M,False,35.099,35.294,35.287,35.468,35.528
99,M,True,37.002,36.891,36.68,36.782,36.784
100,M,False,32.852,32.85,33.082,32.764,33.182
101,M,False,26.531,26.611,26.608,26.357,26.239
102,M,True,33.2,33.469,33.559,33.414,33.28
103,M,True,30.459,30.324,30.434,30.206,30.173
104,M,True,42.249,42.235,41.912,42.237,42.129
105,M,False,40.611,40.751,40.319,40.798,40.828
106,M,False,30.306,30.444,30.546,30.704,30.331
107,M,True,41.277,41.011,41.012,41.359,41.401
108,M,False,41.359,41.401,41.295,41.539,41.828
109,M,False,42.103,41.763,41.869,41.669,42.444
110,M,False,41.982,41.886,42.564,43.088,42.671
111,M,False,42.453,42.389,42.672,42.653,42.759
112,M,False,42.982,42.843,43.073,43.03,43.204
113,M,True,44.133,45.101,44.044,44.093,44.694
114,M,False,28.022,32.819,27.668,27.096,33.048
115,M,True,45.362,45.632,45.835,45.123,45.364
116,M,False,33.445,33.193,32.602,33.631,33.113
117,M,False,48.032,48.286,48.182,48.497,48.478
118,M,False,53.842,53.866,54.059,53.827,54.105
119,M,True,48.414,48.777,48.938,48.768,48.541
120,M,True,51.607,49.729,50.408,52.356,50.619
121,M,False,51.796,51.04,50.654,50.241,50.512
122,M,False,41.829,41.922,42.392,42.3,42.166
123,M,False,29.466,29.524,29.324,29.21,29.334
124,M,False,28.857,28.897,28.853,28.764,28.799
125,M,True,48.218,48.18,47.807,47.247,47.22
126,M,True,44.61,44.332,44.529,44.134,42.825
127,M,True,39.781,39.805,40.21,39.555,39.722
128,M,True,40.378,40.3,40.401,40.002,39.888
129,M,True,40.027,40.079,40.25,40.234,40.315
130,M,True,40.333,40.261,40.419,40.378,40.304
131,M,False,40.61,40.786,40.811,0.0,40.936
132,M,False,40.927,41.119,41.071,41.331,41.385
133,M,False,41.806,41.988,42.092,42.138,42.2
134,M,False,33.35,33.262,33.13,33.227,33.199
135,M,True,29.52,29.472,29.241,28.979,29.199
136,M,False,25.739,25.644,25.683,25.673,25.649
137,M,False,27.276,27.105,26.888,26.755,26.615
138,M,True,34.178,33.683,33.892,34.462,34.685
139,M,False,42.216,42.632,42.541,42.441,42.392
140,M,True,29.851,29.805,29.438,30.101,29.461
141,M,False,28.381,28.445,28.731,28.488,29.112
142,M,False,28.593,28.901,28.699,28.645,28.448
143,M,True,32.114,32.117,32.335,32.168,32.261
144,M,False,32.592,32.612,32.449,32.597,32.32
145,M,False,34.76,34.756,34.93,34.915,35.121
146,M,False,36.722,39.739,39.625,36.94,36.758
147,M,False,37.591,37.53,0.0,37.221,37.326
148,M,False,28.858,29.06,29.017,29.393,29.628
149,M,True,46.513,47.387,46.349,46.736,46.727
150,M,True,42.038,42.473,42.246,41.653,41.825
151,M,False,42.473,42.246,41.653,41.825,41.586
152,M,False,42.453,42.228,42.226,42.634,0.0
153,M,True,42.797,42.551,42.544,42.287,42.42
154,M,False,42.587,42.512,42.823,43.059,43.276
155,M,False,43.164,43.439,43.584,43.078,43.176
156,M,False,43.512,43.969,43.77,44.263,44.347
157,M,False,43.868,43.939,43.946,43.742,43.647
158,M,False,45.095,45.291,45.301,45.702,45.698
159,M,False,47.374,47.51,47.503,47.713,47.828
160,M,False,44.537,44.13,44.026,44.024,43.638
161,M,False,33.626,33.356,33.159,33.149,32.95
162,M,True,33.336,33.482,33.794,33.83,34.295
163,M,False,29.235,29.557,29.539,30.164,30.471
164,M,False,41.627,41.447,41.359,41.312,41.267
165,M,True,0.0,0.0,0.0,0.0,0.0
166,M,False,36.861,36.592,36.639,36.516,36.772
167,M,True,39.315,39.016,38.985,39.279,38.867
168,M,True,41.695,41.767,41.87,41.804,41.618
169,M,False,41.609,41.863,41.341,41.614,41.584
170,M,True,41.708,41.57,41.641,41.459,41.313
171,M,False,42.693,42.523,42.391,42.518,42.576
172,M,False,44.695,44.628,44.635,44.631,44.76
173,M,False,29.011,29.215,29.107,28.974,29.179
174,M,False,25.817,25.713,25.708,25.557,25.406
175,M,False,45.748,46.019,45.718,45.776,45.937
176,M,True,0.0,0.0,0.0,0.0,0.0
177,M,False,35.572,38.883,39.223,34.315,33.874
178,M,False,31.579,31.902,31.457,32.707,31.872
179,M,False,43.642,43.928,44.082,44.405,44.436
180,M,True,33.415,33.259,33.686,33.555,33.317
181,M,False,32.968,33.281,33.023,32.99,32.894
182,M,True,30.141,30.132,30.202,30.211,30.412
183,M,False,30.864,30.765,30.898,30.668,30.855
184,M,True,34.195,34.277,34.392,34.42,34.605
185,M,False,36.693,36.702,36.563,36.965,37.004
186,M,True,45.83,46.11,46.103,45.974,46.117
187,M,False,46.301,46.246,46.275,46.346,46.298
188,M,False,46.578,46.654,46.822,46.851,47.036
189,M,True,48.095,48.26,48.344,48.432,48.637
190,M,True,48.154,48.131,48.239,48.251,48.329
191,M,True,48.595,48.448,48.633,48.691,48.519
192,M,True,48.441,48.462,48.51,48.297,48.259
193,M,False,41.644,41.931,41.537,41.775,41.868
194,M,True,48.363,48.161,48.209,48.301,48.151
195,M,False,47.754,47.667,47.697,47.562,47.73
196,M,False,47.703,47.676,47.773,47.649,47.541
197,M,True,47.318,47.47,47.604,47.568,47.437
198,M,True,47.437,47.65,47.473,47.288,47.362
199,M,False,47.393,47.149,47.135,46.967,46.903
200,M,False,26.826,27.28,28.161,29.423,32.877
201,M,True,47.188,47.313,47.051,47.206,47.41
202,M,False,47.41,47.327,47.288,47.087,46.883
203,M,False,46.545,46.66,46.586,46.512,46.573
204,M,True,45.569,45.409,45.626,45.514,45.45
205,M,False,45.031,44.956,45.176,45.174,45.114
206,M,True,44.495,44.317,44.111,44.018,43.876
207,M,False,43.839,43.753,43.964,43.905,43.813
208,M,True,42.87,42.976,42.991,42.841,42.869
209,M,False,42.792,42.896,43.161,43.092,42.897
210,M,True,41.686,41.578,41.521,41.585,41.424
211,M,False,40.536,40.53,40.398,40.319,39.962
212,M,False,39.816,40.325,40.204,40.116,39.856
213,M,False,33.482,33.091,33.735,34.695,33.777
214,M,True,38.816,38.757,38.677,38.669,38.9
215,M,True,36.543,36.003,35.96,35.714,35.951
216,M,False,35.743,35.65,35.481,35.652,35.865
217,M,False,35.901,35.674,35.65,35.701,35.845
218,M,False,35.303,35.459,35.331,35.302,35.116
219,M,True,38.827,38.805,39.148,38.969,39.184
220,M,False,40.669,40.645,40.774,40.739,40.765
221,M,False,40.779,40.699,40.873,40.988,41.175
222,M,False,43.909,43.763,43.663,43.59,43.467
223,M,False,32.807,32.936,33.002,32.881,32.809
224,M,False,31.041,30.548,30.811,30.937,30.56
225,M,True,29.619,29.677,29.719,29.9,30.194
226,M,False,30.68,30.657,30.833,30.552,30.511
227,M,False,34.309,34.259,34.356,34.268,34.049
228,M,False,27.308,27.304,27.182,27.079,27.218
229,M,False,25.315,27.403,29.003,29.299,24.835
230,M,False,29.003,29.299,24.835,30.438,32.834
231,M,False,33.51,33.566,33.212,33.19,32.971
232,M,False,32.927,32.715,41.042,32.363,32.266
233,M,False,30.591,30.45,30.519,30.493,30.657
234,M,False,28.878,28.411,28.305,28.09,28.139
235,M,True,60.826,60.678,62.161,61.42,59.998
236,M,True,38.795,38.584,37.347,37.852,37.063
237,M,True,34.707,34.821,35.251,34.606,33.936
238,M,False,33.794,33.62,34.409,34.348,33.169
239,M,True,32.856,31.243,31.971,30.925,30.209
240,M,False,30.717,30.977,30.668,30.708,30.635
241,M,False,31.255,31.159,31.211,31.175,31.232
242,M,True,34.918,34.896,35.103,35.163,35.456
243,M,False,39.97,40.06,40.522,39.975,40.276
244,M,False,42.862,42.87,43.022,43.138,42.745
245,M,False,24.343,24.297,24.192,24.112,24.082
246,M,False,45.632,45.912,45.433,45.407,45.348
247,M,False,41.059,40.82,40.858,41.196,41.004
248,M,True,40.951,41.276,41.399,41.201,41.474
249,M,False,41.821,42.048,41.588,41.62,41.616
250,M,True,34.004,34.017,33.973,33.821,34.109
251,M,False,32.689,32.638,32.616,32.607,32.487
252,M,False,33.953,34.098,40.317,39.429,38.55
253,M,False,30.732,30.126,30.026,30.036,30.07
254,M,False,37.71,37.535,37.596,37.322,37.254
255,M,False,42.056,41.779,41.653,41.602,41.856
256,M,False,47.354,47.074,47.446,47.392,47.552
257,M,False,41.812,41.742,41.679,41.534,41.549
258,M,False,34.801,34.676,34.578,34.806,34.757
259,M,False,26.344,26.073,26.176,26.178,26.14
260,M,True,30.566,30.744,30.654,31.006,30.765
261,M,False,33.246,33.335,33.317,33.521,33.683
262,M,False,23.558,23.545,23.57,23.562,23.513
263,M,False,22.414,23.147,23.027,22.876,22.737
264,M,False,36.469,36.472,36.286,36.257,36.175
265,M,False,30.001,30.266,30.192,30.215,30.346
266,M,False,52.74,52.047,51.633,51.589,51.339
267,M,False,28.459,28.166,28.004,27.878,28.381
268,M,False,34.755,34.693,34.137,34.314,35.029
269,M,False,33.04,33.035,33.185,33.26,33.241
270,M,True,47.931,47.877,47.67,47.527,47.373
271,M,False,47.527,47.373,47.537,47.63,47.916
272,M,False,28.051,27.171,27.446,27.292,28.346
273,M,False,33.138,0.0,33.108,33.35,33.143
274,M,True,34.548,34.556,34.7,34.692,34.546
275,M,False,33.033,32.727,32.91,33.15,33.078
276,M,True,34.442,34.666,35.143,34.965,34.909
277,M,False,39.343,39.581,39.707,39.746,39.755
278,M,True,41.069,40.944,40.902,40.908,40.753
279,M,True,46.913,46.964,47.263,47.031,47.093
280,M,False,48.003,47.867,47.954,48.074,48.154
281,M,False,47.954,48.074,48.154,48.34,48.181
282,M,False,39.811,39.838,40.039,40.037,40.024
283,M,False,47.588,47.713,47.659,47.761,47.824
284,M,False,47.761,47.824,47.978,47.835,47.773
285,M,True,0.0,0.0,0.0,0.0,0.0
286,M,True,44.105,44.176,45.662,43.984,43.393
287,M,True,39.442,39.062,39.688,38.888,39.073
288,M,False,37.823,38.194,38.36,39.115,39.065
289,M,False,38.45,37.993,38.529,38.176,37.693
290,M,False,37.841,37.837,38.098,38.634,38.166
291,M,False,37.982,38.632,39.189,39.062,38.86
292,M,True,39.286,39.17,39.086,38.955,39.103
293,M,False,36.611,36.37,36.937,36.486,36.643
294,M,False,40.008,39.818,39.818,39.622,39.558
295,M,False,35.77,36.076,36.221,36.276,36.249
296,M,True,47.34,47.366,47.495,47.614,47.755
297,M,False,47.495,47.614,47.755,47.884,47.776
298,M,False,36.134,36.057,36.061,35.888,36.103
299,M,False,30.182,30.455,30.415,30.67,30.242
300,M,False,43.466,43.814,43.601,43.697,43.894
301,M,True,44.133,44.033,44.124,44.238,44.042
302,M,False,42.767,42.741,42.897,43.018,43.513
303,M,True,37.087,37.05,37.156,37.165,37.231
304,M,True,37.493,37.559,37.552,37.807,37.62
305,M,True,39.505,39.478,39.605,39.869,39.986
306,M,True,41.306,41.449,41.198,41.149,41.124
307,M,True,43.288,43.346,43.318,43.119,43.196
308,M,False,40.865,41.03,41.131,40.993,41.284
309,M,False,30.979,30.924,32.281,32.396,31.946
310,M,False,34.049,34.21,34.512,34.08,34.093
311,M,False,36.195,36.049,35.903,35.554,35.925
312,M,True,44.888,44.589,44.456,44.454,44.071
313,M,True,43.955,43.934,43.863,43.946,44.142
314,M,False,41.79,41.561,41.613,41.577,41.422
315,M,False,36.337,36.743,35.277,37.403,36.12
316,M,True,40.442,40.228,40.003,39.94,39.582
317,M,False,36.776,36.682,37.026,37.17,37.411
318,M,False,32.749,32.463,32.003,32.113,32.373
319,M,True,44.867,44.563,45.289,45.288,45.649
320,M,False,44.206,44.236,44.298,43.689,43.595
321,M,True,36.78,37.038,36.849,36.53,36.474
322,M,False,36.53,36.474,36.204,36.224,35.778
323,M,False,30.873,30.91,30.675,30.846,30.992
324,M,True,35.892,35.921,35.793,35.823,35.665
325,M,False,34.482,34.627,34.543,34.437,34.607
326,M,False,34.469,34.681,34.768,34.329,34.478
327,M,False,32.901,32.719,32.867,33.29,32.809
328,M,False,35.62,35.768,35.99,35.729,35.786
329,M,True,42.005,42.081,41.874,42.124,42.192
330,M,False,40.15,40.107,39.898,39.795,40.009
331,M,True,21.854,22.045,20.889,21.053,20.755
332,M,True,38.518,38.345,37.981,38.305,38.7
333,M,True,35.773,36.272,35.845,36.101,36.019
334,M,False,36.346,36.326,36.326,36.184,36.092
335,M,False,37.983,38.004,38.226,37.847,37.79
336,M,False,28.514,28.533,27.956,27.83,27.694
337,M,False,46.63,46.759,46.77,46.766,46.737
338,M,True,47.174,47.238,47.282,47.23,0.0
339,M,False,23.217,23.216,23.384,23.001,22.666
340,M,False,34.922,34.884,34.917,0.0,34.588
341,M,False,31.919,35.421,36.813,37.853,37.327
342,M,False,48.771,47.618,46.985,46.014,46.193
343,M,False,44.771,43.06,42.886,41.861,41.38
344,M,False,40.723,42.515,41.26,40.925,40.311
345,M,False,36.485,37.008,35.781,37.122,35.339
346,M,False,36.713,36.032,35.43,35.282,36.052
347,M,True,37.019,37.046,36.95,36.973,36.889
348,M,False,37.054,36.945,36.862,36.765,36.831
349,M,False,37.617,37.523,37.427,37.54,37.592
350,M,True,37.263,37.235,0.0,37.169,36.92
351,M,False,38.633,38.517,38.528,38.486,38.665
352,M,True,34.663,34.663,34.454,34.611,34.77
353,M,True,42.517,42.74,42.954,42.942,42.952
354,M,False,43.021,43.134,43.237,43.424,43.415
355,M,False,44.837,44.865,44.655,44.562,44.668
356,M,False,37.637,37.498,37.492,37.337,37.529
357,M,False,45.0,44.929,44.903,44.973,44.98
358,M,False,45.509,45.572,45.667,45.719,45.722
359,M,False,41.801,41.492,41.629,41.437,41.464
360,M,True,48.538,48.551,48.557,48.405,48.527
361,M,False,48.665,48.473,48.57,48.572,48.627
362,M,False,48.337,48.395,48.499,48.477,48.596
363,M,False,46.062,46.023,46.068,46.132,46.008
364,M,True,38.961,38.828,38.607,38.611,38.531
365,M,False,37.198,37.237,37.123,36.99,36.851
366,M,False,37.474,37.252,37.241,37.276,37.263
367,M,True,39.493,39.166,39.349,39.636,39.613
368,M,True,41.228,41.215,41.525,41.629,41.829
369,M,True,45.136,44.985,44.606,44.73,45.33
370,M,True,44.738,44.543,44.473,44.383,44.375
371,M,True,45.925,46.546,46.478,46.6,46.321
372,M,True,46.439,46.328,46.306,46.173,46.194
373,M,True,46.14,46.034,46.258,45.825,46.081
374,M,False,46.453,46.314,46.385,46.694,46.397
375,M,False,46.527,46.689,46.981,47.017,47.193
376,M,True,47.055,47.162,47.327,46.987,46.894
377,M,False,47.17,47.153,46.906,46.705,46.837
378,M,False,46.842,46.775,46.751,46.877,46.888
379,M,False,46.944,47.058,47.13,47.118,47.135
380,M,False,41.943,42.009,42.172,42.33,42.262
381,M,False,30.349,30.526,30.738,30.428,30.438
382,M,False,37.712,37.589,37.572,37.36,37.299
383,M,False,37.616,37.109,37.626,37.754,37.956
384,M,False,0.0,21.116,21.063,21.406,21.507
385,M,False,17.563,17.531,17.382,17.402,17.269
386,M,False,30.525,30.392,30.389,30.494,30.33
387,M,False,45.249,45.251,45.083,44.75,44.703
388,M,True,22.949,22.209,21.399,21.887,20.306
389,M,True,22.883,23.139,22.848,23.325,23.086
390,M,True,24.271,23.836,24.029,23.708,23.815
391,M,False,27.452,26.128,26.19,26.073,25.981
392,M,False,28.275,28.952,29.703,29.66,30.484
393,M,False,31.061,31.148,31.582,31.207,31.851
394,M,True,32.355,32.464,32.033,31.929,31.756
395,M,False,31.668,32.039,32.062,32.259,32.53
396,M,False,19.536,20.507,20.333,20.519,20.09
397,M,True,31.066,31.119,30.987,30.629,30.685
398,M,True,29.51,29.54,29.533,29.496,29.56
399,M,False,29.846,28.733,28.001,28.906,29.216
400,M,False,27.788,27.641,27.929,27.873,27.936
401,M,False,42.175,41.986,42.511,42.356,42.85
402,M,True,38.115,38.049,37.8,37.95,38.437
403,M,False,36.94,37.261,37.895,37.89,37.675
404,M,False,34.387,34.688,35.054,34.965,34.652
405,M,False,27.16,27.448,27.346,27.703,27.646
406,M,False,32.11,32.1,32.186,32.075,32.323
407,M,False,33.873,33.784,33.464,33.212,32.939
408,M,False,46.703,46.708,46.568,46.551,46.532
409,M,True,31.05,31.066,31.048,31.199,31.153
410,M,False,29.24,29.447,29.335,28.812,28.969
411,M,False,36.73,36.381,36.289,36.715,36.24
412,M,False,35.422,35.649,35.326,35.479,35.248
413,M,False,26.964,26.869,26.881,26.697,26.525
414,M,False,46.01,46.133,46.117,46.192,46.289
415,M,True,46.347,45.352,45.688,44.687,44.915
416,M,True,39.814,38.988,39.067,38.659,38.883
417,M,True,36.743,37.456,36.115,36.024,35.768
418,M,True,40.711,40.341,40.595,40.438,40.547
419,M,True,33.167,33.067,32.922,33.543,33.703
420,M,False,31.016,31.092,31.832,30.862,30.464
421,M,False,34.806,35.016,34.809,35.552,35.253
422,M,False,31.121,31.249,31.096,31.216,31.234
423,M,False,38.669,39.152,38.678,39.128,39.358
424,M,False,30.565,30.536,30.513,30.571,30.626
425,M,False,28.026,28.291,28.043,27.685,27.391
426,M,False,32.656,32.494,32.521,32.65,32.657
427,M,False,21.191,21.268,21.2,21.007,21.022
428,M,True,28.923,28.753,29.053,28.846,28.818
429,M,False,27.871,27.152,27.506,27.624,27.697
430,M,False,24.548,24.88,24.89,24.944,25.189
431,M,False,33.08,32.984,32.874,32.957,32.678
432,M,False,34.335,34.203,33.882,34.014,33.876
433,M,True,26.295,26.127,25.929,25.6,25.791
434,M,False,25.929,25.6,25.791,25.682,25.889
435,M,False,26.329,26.288,25.94,26.082,26.095
436,M,True,28.549,27.983,28.295,28.702,28.097
437,M,True,38.611,38.74,38.647,38.38,38.302
438,M,False,39.339,39.224,39.136,39.135,39.094
439,M,False,39.42,39.581,39.713,39.707,39.715
440,M,False,39.715,39.914,39.809,40.05,39.906
441,M,False,39.482,39.577,39.554,39.623,39.526
442,M,True,43.212,43.38,43.421,43.52,43.553
443,M,False,44.433,44.316,44.289,44.318,44.228
444,M,True,47.543,47.554,47.719,47.867,47.851
445,M,True,49.169,49.126,49.057,49.009,49.048
446,M,True,42.798,42.7,42.619,42.532,42.557
447,M,False,42.619,42.532,42.557,42.479,42.566
448,M,False,42.617,42.61,42.64,42.703,42.618
449,M,False,41.98,41.945,41.852,41.79,41.703
450,M,False,41.664,41.656,41.649,41.582,41.58
451,M,True,41.182,41.069,40.928,40.876,40.742
452,M,False,40.106,40.032,40.058,40.029,39.921
453,M,False,39.052,39.027,38.934,38.76,38.707
454,M,False,37.829,37.819,37.766,37.76,37.645
455,M,False,37.389,37.303,37.275,37.186,37.114
456,M,True,35.136,35.157,35.233,35.38,35.328
457,M,True,33.556,33.644,33.655,33.666,34.032
458,M,False,33.707,33.53,33.531,33.424,33.37
459,M,False,33.61,33.61,33.554,33.662,33.72
460,M,False,33.953,33.827,33.677,33.719,33.823
461,M,False,33.786,33.688,33.781,33.827,33.703
462,M,False,34.794,34.946,34.968,34.76,34.951
463,M,False,35.801,36.471,36.5,36.683,36.611
464,M,False,36.611,37.081,36.731,36.89,37.35
465,M,False,38.064,37.853,38.047,38.348,38.085
466,M,True,27.307,27.118,26.895,28.187,27.655
467,M,False,29.204,29.403,29.233,29.418,29.824
468,M,True,28.493,27.537,28.654,29.027,28.762
469,M,True,28.97,29.21,29.594,29.311,29.256
470,M,True,30.541,30.493,30.696,30.474,30.605
471,M,False,30.637,30.761,30.79,30.898,31.202
472,M,False,30.881,30.809,31.124,30.798,30.697
473,M,False,31.837,31.786,31.66,31.946,32.077
474,M,False,39.474,39.17,39.24,39.285,39.444
475,M,True,30.601,30.919,30.67,30.553,30.605
476,M,True,0.0,31.229,31.166,31.36,31.602
477,M,False,31.091,31.089,31.148,31.265,31.058
478,M,False,47.787,48.077,48.173,48.175,48.221
479,M,True,49.123,49.242,49.176,49.135,49.17
480,M,True,47.812,47.71,47.81,47.89,47.726
481,M,False,47.782,47.758,47.581,47.64,47.553
482,M,False,45.633,45.4,45.406,45.377,45.441
483,M,False,27.336,27.317,27.379,27.494,27.582
484,M,True,38.939,38.864,39.17,38.936,38.881
485,M,True,38.645,38.388,38.618,39.03,38.648
486,M,False,39.154,39.194,38.911,38.892,39.001
487,M,True,38.327,38.533,38.56,38.647,38.524
488,M,True,33.277,33.288,33.109,33.053,33.216
489,M,False,0.0,52.552,52.357,52.458,52.382
490,M,False,32.721,32.552,32.477,32.573,32.458
491,M,False,32.376,32.351,32.192,32.215,32.316
492,M,False,46.876,47.047,47.235,47.241,47.032
493,M,False,49.638,49.675,49.75,49.687,49.795
494,M,False,40.283,40.312,40.395,40.401,40.332
495,M,False,44.191,44.313,44.376,44.127,44.011
496,M,False,22.77,21.473,22.505,19.617,21.458
497,M,True,47.584,47.556,47.483,47.384,47.236
498,M,False,47.519,47.657,47.421,47.344,47.726
499,M,False,48.34,48.696,48.358,48.459,48.305
500,M,False,29.796,29.591,29.542,29.406,29.58
501,M,False,34.802,35.009,35.206,35.285,35.366
502,M,False,34.495,34.757,34.645,34.318,33.409
503,M,False,29.607,28.972,28.368,28.799,28.31
504,M,False,29.677,29.382,30.532,31.316,30.677
505,M,False,32.172,32.872,30.62,31.017,32.593
506,M,False,31.955,32.261,32.105,32.854,31.953
507,M,True,31.728,32.081,32.127,32.276,32.448
508,M,False,32.934,33.163,32.988,33.22,33.211
509,M,True,34.058,34.354,34.105,34.509,34.341
510,M,True,38.25,38.704,38.759,39.052,38.864
511,M,False,39.618,39.78,39.406,39.24,39.323
512,M,True,43.348,43.473,43.25,43.674,43.79
513,M,True,44.295,44.177,44.28,44.476,44.226
514,M,False,44.476,44.226,44.332,44.662,44.564
515,M,False,44.919,44.699,44.754,45.05,44.972
516,M,False,44.635,44.823,44.988,45.015,44.998
517,M,False,46.109,46.101,46.129,46.252,45.981
518,M,False,47.087,46.996,46.602,46.85,46.77
519,M,True,43.245,43.246,43.461,43.244,43.176
520,M,True,42.784,42.66,42.575,42.532,42.58
521,M,False,41.259,41.139,41.082,41.053,40.927
522,M,False,30.535,30.274,30.518,30.136,29.951
523,M,False,34.177,33.83,33.706,33.682,33.753
524,M,False,39.322,40.517,40.064,39.08,38.667
525,M,True,24.243,24.274,24.067,24.362,23.194
526,M,True,26.245,26.019,26.684,26.529,27.295
527,M,False,27.967,27.072,27.041,26.826,26.681
528,M,False,26.401,27.281,26.976,26.824,26.574
529,M,False,30.457,30.638,29.802,30.065,30.307
530,M,False,35.997,35.408,35.241,36.32,37.045
531,M,True,42.338,42.341,42.403,42.308,42.117
532,M,False,42.197,42.409,42.297,42.073,41.931
