,FLARE_TYPE,COINCIDENCE,USFLUX_1,USFLUX_2,USFLUX_3,USFLUX_4,USFLUX_5
0,X,False,2.2347e+22,2.2461e+22,2.2477e+22,2.2463e+22,2.2548e+22
1,X,False,3.071e+22,3.0608e+22,3.0666e+22,3.0647e+22,3.0692e+22
2,X,False,3.7925e+22,3.7978e+22,3.7873e+22,3.7857e+22,3.7764e+22
3,X,False,1.7717e+22,1.7588e+22,1.769e+22,1.7736e+22,1.7525e+22
4,X,True,1.5746e+22,1.5836e+22,1.5753e+22,1.5509e+22,1.5381e+22
5,X,True,5.8235e+22,6.1151e+22,5.8866e+22,5.9676e+22,6.2901e+22
6,X,False,8.2251e+22,8.2968e+22,8.2805e+22,8.3479e+22,8.3521e+22
7,X,False,4.3263e+22,4.3423e+22,4.3423e+22,4.3093e+22,4.2561e+22
8,X,True,3.7589e+22,3.765e+22,3.7415e+22,3.7812e+22,3.7567e+22
9,X,False,5.3177e+22,5.3154e+22,5.3328e+22,5.3297e+22,5.3473e+22
10,X,False,5.3603e+22,5.3729e+22,5.3986e+22,5.3848e+22,5.409e+22
11,X,False,5.8973e+22,5.8904e+22,5.9041e+22,5.9162e+22,5.902e+22
12,X,False,8.6688e+22,8.6234e+22,8.637e+22,8.5996e+22,8.5594e+22
13,X,False,2.4442e+22,2.5005e+22,2.5214e+22,2.5152e+22,2.524e+22
14,X,True,2.5646e+21,2.842e+21,3.0198e+21,3.2127e+21,3.4002e+21
15,X,True,5.2401e+22,5.2582e+22,5.2415e+22,5.2282e+22,5.2423e+22
16,X,False,6.7741e+22,6.7913e+22,6.7243e+22,6.7186e+22,6.6938e+22
17,X,False,7.1163e+22,7.1447e+22,7.1406e+22,7.1588e+22,7.1844e+22
18,X,False,4.7765e+22,4.789e+22,4.788e+22,4.7764e+22,4.7745e+22
19,X,False,3.4688e+22,3.4361e+22,3.417e+22,3.4057e+22,3.4155e+22
20,X,False,5.2006e+22,5.204e+22,5.2122e+22,5.1761e+22,5.2055e+22
21,X,False,8.9208e+22,8.9111e+22,8.8961e+22,8.8875e+22,8.8594e+22
22,X,False,4.2591e+21,4.3219e+21,4.3714e+21,4.4773e+21,4.6519e+21
23,X,False,3.7209e+22,3.6997e+22,3.6646e+22,3.5569e+22,3.5395e+22
24,X,False,1.5205e+22,1.557e+22,1.5811e+22,1.6154e+22,1.6347e+22
25,X,False,1.1706e+23,1.1686e+23,1.1847e+23,1.174e+23,1.1994e+23
26,X,True,1.2769e+23,1.2813e+23,1.2873e+23,1.2895e+23,1.2993e+23
27,X,True,1.4203e+23,1.4203e+23,1.422e+23,1.423e+23,1.422e+23
28,X,True,1.4996e+23,1.5027e+23,1.5078e+23,1.5131e+23,1.5202e+23
29,X,True,1.6319e+23,1.6333e+23,1.6352e+23,1.6348e+23,1.6392e+23
30,X,True,1.8469e+23,1.8416e+23,1.8417e+23,1.8414e+23,1.841e+23
31,X,False,4.7366e+22,4.745e+22,4.7204e+22,4.7105e+22,4.6665e+22
32,X,False,9.7678e+22,9.7938e+22,9.7809e+22,9.7853e+22,9.8112e+22
33,X,True,2.6646e+22,2.6659e+22,2.668e+22,2.6613e+22,2.644e+22
