,FLARE_TYPE,COINCIDENCE,USFLUX_1,USFLUX_2,USFLUX_3,USFLUX_4,USFLUX_5
34,X,False,1.349e+21,1.6207e+21,1.8909e+21,2.0895e+21,2.103e+21
35,X,True,3.7078e+22,3.6799e+22,3.6766e+22,3.6831e+22,3.6958e+22
36,X,True,3.766e+22,3.7889e+22,3.7805e+22,3.7994e+22,3.8172e+22
37,X,False,4.8634e+22,4.8669e+22,4.873e+22,4.8635e+22,4.884e+22
38,X,False,4.5546e+22,4.4086e+22,4.3277e+22,4.2845e+22,4.1966e+22
39,M,False,5.9002e+21,5.9875e+21,6.1943e+21,6.3268e+21,6.4014e+21
40,M,False,2.3558e+21,2.4558e+21,2.3362e+21,2.4588e+21,2.5449e+21
41,M,False,1.6341e+22,1.6307e+22,1.628e+22,1.6189e+22,1.6083e+22
42,M,False,1.1044e+22,1.1093e+22,1.1082e+22,1.1055e+22,1.1145e+22
43,M,True,2.3827e+21,2.5089e+21,2.4162e+21,2.5239e+21,2.5259e+21
44,M,False,3.4208e+21,3.4876e+21,3.4914e+21,3.6567e+21,3.7543e+21
45,M,False,2.2346e+22,2.2503e+22,2.2573e+22,2.3008e+22,2.336e+22
46,M,False,1.8496e+22,1.8128e+22,1.8033e+22,1.7788e+22,1.7636e+22
47,M,False,1.0055e+22,1.0171e+22,1.0101e+22,1.0237e+22,1.0285e+22
48,M,True,5.3807e+21,5.4665e+21,5.5546e+21,5.6049e+21,5.692e+21
49,M,True,1.8798e+22,1.8862e+22,1.9111e+22,1.9208e+22,1.9338e+22
50,M,False,1.1431e+22,1.1715e+22,1.1974e+22,1.2165e+22,1.2309e+22
51,M,False,2.6059e+22,2.6175e+22,2.6205e+22,2.6287e+22,2.6258e+22
52,M,True,3.1465e+22,3.1396e+22,3.1224e+22,3.1245e+22,3.1337e+22
53,M,True,1.4898e+22,1.4887e+22,1.4916e+22,1.4839e+22,1.4872e+22
54,M,False,3.2514e+22,3.2574e+22,3.2547e+22,3.2713e+22,3.2696e+22
55,M,False,1.4104e+22,1.4083e+22,1.4077e+22,1.4155e+22,1.4209e+22
56,M,False,1.5165e+22,1.5186e+22,1.5331e+22,1.5339e+22,1.5291e+22
57,M,False,2.4996e+22,2.4493e+22,2.4651e+22,2.4604e+22,2.4317e+22
58,M,True,5.3947e+22,5.4056e+22,5.3843e+22,5.396e+22,5.4052e+22
59,M,True,2.9009e+22,2.9427e+22,2.9627e+22,3.0236e+22,3.0187e+22
60,M,False,5.7196e+22,5.7127e+22,5.6382e+22,5.5592e+22,5.5087e+22
61,M,False,5.4214e+22,5.4148e+22,5.3917e+22,5.3474e+22,5.3859e+22
62,M,False,2.2201e+22,2.228e+22,2.2268e+22,2.2392e+22,2.2356e+22
63,M,False,6.0695e+22,6.0357e+22,6.0393e+22,6.0071e+22,6.0339e+22
64,M,True,4.3839e+22,4.3856e+22,4.4175e+22,4.4009e+22,4.3812e+22
65,M,False,4.6236e+22,4.6255e+22,4.6451e+22,4.658e+22,4.6907e+22
66,M,False,5.0414e+22,4.9989e+22,4.9686e+22,4.973e+22,4.9883e+22
67,M,False,5.365e+22,5.3203e+22,5.2892e+22,5.2744e+22,5.2211e+22
68,M,False,5.0286e+22,5.0357e+22,5.0508e+22,5.0663e+22,5.017e+22
69,M,True,2.9227e+22,2.9399e+22,2.9494e+22,2.9596e+22,2.9662e+22
70,M,False,2.97e+22,2.9665e+22,2.9737e+22,2.9729e+22,2.9835e+22
71,M,False,3.8716e+22,3.8721e+22,3.8772e+22,3.8742e+22,3.8673e+22
72,M,True,2.2881e+22,2.2967e+22,2.2855e+22,2.3023e+22,2.2677e+22
73,M,False,2.3831e+22,2.359e+22,2.3692e+22,2.3915e+22,2.3876e+22
74,M,False,1.9681e+22,2.0239e+22,2.0523e+22,2.0827e+22,2.1117e+22
75,M,False,3.6119e+22,3.6009e+22,3.6204e+22,3.6095e+22,3.6098e+22
76,M,False,5.4421e+22,5.4195e+22,5.3987e+22,5.3772e+22,5.3843e+22
77,M,False,2.4059e+22,2.4585e+22,2.4891e+22,2.5451e+22,2.5807e+22
78,M,True,4.7636e+22,4.7312e+22,4.648e+22,4.617e+22,4.543e+22
79,M,False,5.1909e+22,5.2e+22,5.1952e+22,5.1368e+22,5.1253e+22
80,M,True,1.387e+22,1.4564e+22,1.4508e+22,1.4874e+22,1.539e+22
81,M,False,2.6655e+22,2.6476e+22,2.6887e+22,2.6601e+22,2.6099e+22
82,M,False,2.3794e+22,2.3997e+22,2.3849e+22,2.3938e+22,2.4065e+22
83,M,False,9.113e+21,9.6172e+21,9.9074e+21,1.021e+22,1.0617e+22
84,M,False,1.473e+22,1.4833e+22,1.4904e+22,1.5101e+22,1.5238e+22
85,M,False,2.4363e+22,2.4333e+22,2.4442e+22,2.4306e+22,2.4346e+22
86,M,True,2.2593e+22,2.2807e+22,2.305e+22,2.3271e+22,2.3385e+22
87,M,True,2.0546e+22,2.0454e+22,2.0377e+22,2.0403e+22,2.0374e+22
88,M,False,2.8649e+22,2.8622e+22,2.8655e+22,2.8642e+22,2.8617e+22
89,M,True,1.9806e+22,1.9874e+22,1.9878e+22,1.99e+22,1.9807e+22
90,M,False,2.2494e+22,2.2361e+22,2.2406e+22,2.259e+22,2.2626e+22
91,M,True,3.6065e+22,3.6444e+22,3.6881e+22,3.7296e+22,3.7448e+22
92,M,False,3.8195e+22,3.8082e+22,3.815e+22,3.8029e+22,3.7967e+22
93,M,True,1.8591e+22,1.8496e+22,1.8494e+22,1.8614e+22,1.8591e+22
94,M,False,1.8928e+22,1.8802e+22,1.8803e+22,1.8821e+22,1.8906e+22
95,M,False,2.06e+22,2.0268e+22,2.0052e+22,1.971e+22,1.9347e+22
96,M,True,2.0402e+22,2.0564e+22,2.0598e+22,2.0472e+22,2.0597e+22
97,M,True,1.6713e+22,1.6381e+22,1.6376e+22,1.6353e+22,1.6301e+22
98,M,False,1.9659e+22,1.984e+22,2.0253e+22,2.0369e+22,2.0373e+22
99,M,True,1.9941e+22,2.0042e+22,2.0034e+22,1.9992e+22,2.0022e+22
100,M,False,2.8296e+22,2.7894e+22,2.7164e+22,2.6897e+22,2.652e+22
101,M,False,4.0891e+22,4.0832e+22,4.0847e+22,4.1353e+22,4.1532e+22
102,M,True,5.3322e+22,5.3032e+22,5.3055e+22,5.2928e+22,5.2948e+22
103,M,True,5.9675e+22,6.0044e+22,6.0139e+22,6.039e+22,6.1277e+22
104,M,True,6.1417e+22,6.1908e+22,6.2049e+22,6.1853e+22,6.1303e+22
105,M,False,6.164e+22,6.1567e+22,6.2029e+22,6.1336e+22,6.1575e+22
106,M,False,6.6108e+22,6.651e+22,6.6929e+22,6.7558e+22,6.8589e+22
107,M,True,6.1885e+22,6.2738e+22,6.3339e+22,6.3691e+22,6.3367e+22
108,M,False,6.3691e+22,6.3367e+22,6.398e+22,6.3015e+22,6.1977e+22
109,M,False,6.1274e+22,6.1418e+22,6.1078e+22,6.1722e+22,6.0179e+22
110,M,False,6.025e+22,6.1207e+22,6.0032e+22,5.979e+22,6.0412e+22
111,M,False,6.2071e+22,6.2114e+22,6.1785e+22,6.1806e+22,6.1202e+22
112,M,False,5.8569e+22,5.8339e+22,5.7918e+22,5.8018e+22,5.8121e+22
113,M,True,5.4969e+22,5.6879e+22,5.4793e+22,5.4487e+22,5.6695e+22
114,M,False,3.3519e+21,3.8155e+21,3.4833e+21,3.688e+21,4.3158e+21
115,M,True,5.3332e+22,5.2986e+22,5.2442e+22,5.3723e+22,5.383e+22
116,M,False,7.372e+21,7.6103e+21,7.8016e+21,7.9958e+21,8.2268e+21
117,M,False,4.7627e+22,4.723e+22,4.7291e+22,4.7152e+22,4.6895e+22
118,M,False,3.7583e+22,3.7588e+22,3.7456e+22,3.7443e+22,3.7426e+22
119,M,True,8.9156e+21,8.9632e+21,9.0319e+21,9.0328e+21,9.2e+21
120,M,True,1.0054e+22,8.4604e+21,8.3158e+21,9.7952e+21,8.1398e+21
121,M,False,9.5258e+21,9.601e+21,9.6984e+21,9.6835e+21,9.6853e+21
122,M,False,3.705e+22,3.7384e+22,3.7733e+22,3.8331e+22,3.9187e+22
123,M,False,7.071e+22,7.0348e+22,7.0124e+22,7.0096e+22,6.9981e+22
124,M,False,6.3e+22,6.3231e+22,6.3455e+22,6.3702e+22,6.3627e+22
125,M,True,2.9466e+22,3.0292e+22,3.1119e+22,3.2149e+22,3.2666e+22
126,M,True,6.4075e+22,6.4706e+22,6.5087e+22,6.585e+22,6.8157e+22
127,M,True,8.6827e+22,8.7091e+22,8.6788e+22,8.6948e+22,8.6987e+22
128,M,True,8.2182e+22,8.309e+22,8.3171e+22,8.4058e+22,8.4478e+22
129,M,True,8.2294e+22,8.1514e+22,8.0853e+22,8.0748e+22,8.0689e+22
130,M,True,7.8423e+22,7.8228e+22,7.8242e+22,7.8299e+22,7.8705e+22
131,M,False,8.0352e+22,8.1018e+22,8.1653e+22,8.2186e+22,8.2717e+22
132,M,False,8.252e+22,8.2302e+22,8.2017e+22,8.1875e+22,8.1742e+22
133,M,False,7.63e+22,7.6242e+22,7.6305e+22,7.6282e+22,7.6137e+22
134,M,False,3.6445e+22,3.6398e+22,3.6376e+22,3.6379e+22,3.6408e+22
135,M,True,4.7168e+22,4.6841e+22,4.6313e+22,4.605e+22,4.5989e+22
136,M,False,2.263e+22,2.2327e+22,2.2501e+22,2.2512e+22,2.2546e+22
137,M,False,2.9614e+22,2.9286e+22,2.959e+22,2.9309e+22,2.8944e+22
138,M,True,3.1468e+21,3.2068e+21,3.2497e+21,3.318e+21,3.3549e+21
139,M,False,8.7325e+21,8.6741e+21,8.6399e+21,8.7213e+21,8.6955e+21
140,M,True,4.4099e+22,4.4499e+22,4.5501e+22,4.5513e+22,4.6438e+22
141,M,False,5.894e+22,5.9999e+22,6.0402e+22,6.0792e+22,6.1005e+22
142,M,False,6.566e+22,6.5012e+22,6.4975e+22,6.4761e+22,6.4348e+22
143,M,True,5.8444e+22,5.8527e+22,5.8344e+22,5.854e+22,5.8524e+22
144,M,False,6.0254e+22,6.0365e+22,6.035e+22,6.0474e+22,6.0275e+22
145,M,False,8.2999e+22,8.268e+22,8.1878e+22,8.1666e+22,8.1475e+22
146,M,False,7.993e+22,8.6153e+22,8.6663e+22,7.8805e+22,7.9241e+22
147,M,False,6.0036e+22,6.0034e+22,5.996e+22,6.024e+22,6.043e+22
148,M,False,2.7455e+22,2.7177e+22,2.7413e+22,2.7137e+22,2.7005e+22
149,M,True,3.2815e+22,3.1998e+22,3.2528e+22,3.2112e+22,3.2121e+22
150,M,True,4.341e+22,4.2971e+22,4.308e+22,4.3403e+22,4.3489e+22
151,M,False,4.2971e+22,4.308e+22,4.3403e+22,4.3489e+22,4.3744e+22
152,M,False,4.5974e+22,4.617e+22,4.6526e+22,4.6014e+22,4.6e+22
153,M,True,4.7333e+22,4.7566e+22,4.763e+22,4.7847e+22,4.8087e+22
154,M,False,4.8136e+22,4.8199e+22,4.7975e+22,4.81e+22,4.8059e+22
155,M,False,4.8947e+22,4.8673e+22,4.8787e+22,4.9187e+22,4.9631e+22
156,M,False,4.8959e+22,4.8798e+22,4.9385e+22,4.9025e+22,4.9203e+22
157,M,False,4.7703e+22,4.7704e+22,4.7579e+22,4.7867e+22,4.8088e+22
158,M,False,5.3437e+22,5.3246e+22,5.3491e+22,5.2937e+22,5.303e+22
159,M,False,5.647e+22,5.6436e+22,5.64e+22,5.6272e+22,5.6121e+22
160,M,False,4.8329e+22,4.8573e+22,4.8791e+22,4.8816e+22,4.9227e+22
161,M,False,5.6462e+22,5.6956e+22,5.7615e+22,5.7615e+22,5.759e+22
162,M,True,1.038e+22,1.0582e+22,1.0618e+22,1.0639e+22,1.0614e+22
163,M,False,2.7672e+21,2.7605e+21,2.7377e+21,2.7405e+21,2.7848e+21
164,M,False,1.0432e+22,1.0484e+22,1.0503e+22,1.0504e+22,1.0549e+22
165,M,True,0.0,0.0,0.0,0.0,0.0
166,M,False,1.9642e+22,1.9504e+22,1.9532e+22,1.954e+22,1.944e+22
167,M,True,5.8126e+22,5.8385e+22,5.8447e+22,5.8667e+22,5.8972e+22
168,M,True,5.3303e+22,5.3357e+22,5.3412e+22,5.369e+22,5.3571e+22
169,M,False,5.4567e+22,5.4963e+22,5.5738e+22,5.5471e+22,5.5578e+22
170,M,True,5.7635e+22,5.7887e+22,5.7485e+22,5.7377e+22,5.7267e+22
171,M,False,5.687e+22,5.6517e+22,5.5856e+22,5.5146e+22,5.4455e+22
172,M,False,5.3406e+22,5.3223e+22,5.3013e+22,5.2553e+22,5.2499e+22
173,M,False,4.8045e+22,4.7924e+22,4.8281e+22,4.8169e+22,4.8166e+22
174,M,False,6.4923e+22,6.399e+22,6.3514e+22,6.2888e+22,6.2342e+22
175,M,False,1.1259e+22,1.1263e+22,1.1298e+22,1.1232e+22,1.1197e+22
176,M,True,0.0,0.0,0.0,0.0,0.0
177,M,False,2.3498e+21,2.4343e+21,2.511e+21,2.8341e+21,2.9188e+21
178,M,False,1.2002e+22,1.2135e+22,1.1846e+22,1.1824e+22,1.1744e+22
179,M,False,3.2082e+22,3.2094e+22,3.2049e+22,3.1826e+22,3.1966e+22
180,M,True,1.3593e+22,1.3815e+22,1.3925e+22,1.399e+22,1.3944e+22
181,M,False,1.7451e+22,1.7495e+22,1.7733e+22,1.794e+22,1.793e+22
182,M,True,2.4717e+22,2.4624e+22,2.4506e+22,2.4551e+22,2.4518e+22
183,M,False,2.5378e+22,2.5055e+22,2.4852e+22,2.4668e+22,2.4696e+22
184,M,True,1.9505e+22,1.927e+22,1.9073e+22,1.8749e+22,1.8824e+22
185,M,False,2.33e+22,2.3333e+22,2.3305e+22,2.3437e+22,2.3513e+22
186,M,True,3.0767e+22,3.061e+22,3.0664e+22,3.0674e+22,3.0789e+22
187,M,False,3.0987e+22,3.1251e+22,3.1596e+22,3.1782e+22,3.2247e+22
188,M,False,3.269e+22,3.2593e+22,3.26e+22,3.2662e+22,3.2546e+22
189,M,True,3.6119e+22,3.6221e+22,3.6482e+22,3.6657e+22,3.6738e+22
190,M,True,3.6604e+22,3.6718e+22,3.673e+22,3.6859e+22,3.6891e+22
191,M,True,3.7388e+22,3.7544e+22,3.7681e+22,3.7859e+22,3.8105e+22
192,M,True,3.8651e+22,3.8665e+22,3.8712e+22,3.8643e+22,3.8528e+22
193,M,False,2.1288e+22,2.1152e+22,2.1423e+22,2.1374e+22,2.1413e+22
194,M,True,4.1083e+22,4.1103e+22,4.1132e+22,4.1304e+22,4.1207e+22
195,M,False,4.132e+22,4.1251e+22,4.1371e+22,4.1445e+22,4.1192e+22
196,M,False,4.1275e+22,4.1282e+22,4.1341e+22,4.1429e+22,4.1377e+22
197,M,True,4.1673e+22,4.1705e+22,4.1811e+22,4.1891e+22,4.1702e+22
198,M,True,4.1702e+22,4.1781e+22,4.1846e+22,4.1948e+22,4.1932e+22
199,M,False,4.3117e+22,4.3322e+22,4.3117e+22,4.2888e+22,4.2615e+22
200,M,False,2.6571e+21,2.8878e+21,3.1964e+21,3.3565e+21,3.7007e+21
201,M,True,4.2034e+22,4.1889e+22,4.213e+22,4.2103e+22,4.2166e+22
202,M,False,4.2166e+22,4.2522e+22,4.2591e+22,4.2632e+22,4.2707e+22
203,M,False,4.332e+22,4.344e+22,4.3357e+22,4.3496e+22,4.3278e+22
204,M,True,4.8757e+22,4.8711e+22,4.8677e+22,4.8667e+22,4.8554e+22
205,M,False,4.8591e+22,4.8521e+22,4.8318e+22,4.8484e+22,4.856e+22
206,M,True,4.9235e+22,4.9334e+22,4.9518e+22,4.9622e+22,4.9631e+22
207,M,False,4.9823e+22,4.9802e+22,4.9776e+22,5.004e+22,5.0195e+22
208,M,True,5.1925e+22,5.1699e+22,5.161e+22,5.1448e+22,5.0949e+22
209,M,False,5.0613e+22,5.0647e+22,5.0298e+22,5.0554e+22,5.0689e+22
210,M,True,5.2375e+22,5.2552e+22,5.2748e+22,5.2801e+22,5.3041e+22
211,M,False,5.8524e+22,5.902e+22,5.9193e+22,5.9287e+22,5.9518e+22
212,M,False,6.1143e+22,6.0644e+22,6.1074e+22,6.1564e+22,6.1681e+22
213,M,False,6.0069e+22,6.1537e+22,6.1598e+22,6.1005e+22,6.2841e+22
214,M,True,6.4866e+22,6.5304e+22,6.544e+22,6.5432e+22,6.5405e+22
215,M,True,7.6229e+22,7.6993e+22,7.7206e+22,7.7563e+22,7.7724e+22
216,M,False,7.841e+22,7.8119e+22,7.8029e+22,7.7556e+22,7.7011e+22
217,M,False,7.5574e+22,7.5808e+22,7.5708e+22,7.5883e+22,7.599e+22
218,M,False,7.8337e+22,7.8399e+22,7.9133e+22,7.9336e+22,8.0031e+22
219,M,True,1.1173e+23,1.1313e+23,1.121e+23,1.1286e+23,1.1255e+23
220,M,False,1.092e+23,1.0856e+23,1.0787e+23,1.0709e+23,1.0651e+23
221,M,False,1.0594e+23,1.0597e+23,1.058e+23,1.0557e+23,1.0565e+23
222,M,False,8.9202e+22,8.959e+22,8.9897e+22,8.9829e+22,9.0173e+22
223,M,False,1.152e+23,1.1508e+23,1.1455e+23,1.1454e+23,1.1471e+23
224,M,False,6.7742e+22,6.7255e+22,6.6195e+22,6.5414e+22,6.531e+22
225,M,True,8.2633e+22,8.2134e+22,8.2456e+22,8.2267e+22,8.291e+22
226,M,False,7.8431e+22,7.8097e+22,7.8338e+22,7.8424e+22,7.8598e+22
227,M,False,6.6822e+22,6.7401e+22,6.7827e+22,6.8584e+22,6.8922e+22
228,M,False,4.2088e+22,4.2184e+22,4.2314e+22,4.2291e+22,4.2567e+22
229,M,False,2.1447e+20,3.603e+20,4.8344e+20,6.3188e+20,7.7703e+20
230,M,False,4.8344e+20,6.3188e+20,7.7703e+20,9.6472e+20,1.078e+21
231,M,False,1.8274e+22,1.8091e+22,1.8184e+22,1.8293e+22,1.8332e+22
232,M,False,3.3738e+22,3.3823e+22,4.0689e+22,3.3807e+22,3.3932e+22
233,M,False,4.6915e+22,4.7087e+22,4.7242e+22,4.7556e+22,4.784e+22
234,M,False,3.6504e+22,3.7161e+22,3.747e+22,3.7595e+22,3.7943e+22
235,M,True,3.1866e+20,5.615e+20,6.9749e+20,1.0109e+21,1.3803e+21
236,M,True,3.3606e+22,3.37e+22,3.4351e+22,3.4e+22,3.4185e+22
237,M,True,9.475e+21,9.6118e+21,9.8011e+21,9.9231e+21,1.0111e+22
238,M,False,1.0923e+22,1.0968e+22,1.078e+22,1.0713e+22,1.0991e+22
239,M,True,1.2405e+22,1.2962e+22,1.2797e+22,1.3174e+22,1.3617e+22
240,M,False,1.7805e+22,1.792e+22,1.829e+22,1.8544e+22,1.864e+22
241,M,False,1.7345e+22,1.7342e+22,1.7438e+22,1.7282e+22,1.7236e+22
242,M,True,1.4435e+22,1.4417e+22,1.4519e+22,1.461e+22,1.4749e+22
243,M,False,1.6104e+22,1.6131e+22,1.6148e+22,1.616e+22,1.6093e+22
244,M,False,1.6541e+22,1.6609e+22,1.6404e+22,1.6352e+22,1.6199e+22
245,M,False,3.0722e+22,3.0843e+22,3.1083e+22,3.114e+22,3.1161e+22
246,M,False,2.0646e+22,2.0654e+22,2.086e+22,2.1037e+22,2.1051e+22
247,M,False,2.8967e+22,2.9091e+22,2.8825e+22,2.8688e+22,2.8705e+22
248,M,True,5.7648e+22,5.7511e+22,5.7839e+22,5.7932e+22,5.7747e+22
249,M,False,5.4631e+22,5.4627e+22,5.4889e+22,5.5233e+22,5.5454e+22
250,M,True,2.2984e+22,2.2895e+22,2.2686e+22,2.2721e+22,2.2706e+22
251,M,False,2.0232e+22,2.0027e+22,2.0084e+22,1.9986e+22,2.0024e+22
252,M,False,8.8847e+20,1.0468e+21,1.109e+21,1.2507e+21,1.3442e+21
253,M,False,4.1108e+22,4.1189e+22,4.091e+22,4.0936e+22,4.0506e+22
254,M,False,1.7848e+22,1.7903e+22,1.7972e+22,1.8174e+22,1.8257e+22
255,M,False,2.4922e+22,2.4963e+22,2.4874e+22,2.5003e+22,2.5176e+22
256,M,False,2.4414e+22,2.4463e+22,2.4529e+22,2.4617e+22,2.4622e+22
257,M,False,2.428e+22,2.4202e+22,2.4194e+22,2.4488e+22,2.4844e+22
258,M,False,2.5376e+22,2.5767e+22,2.6385e+22,2.6553e+22,2.6842e+22
259,M,False,2.8345e+22,2.8125e+22,2.787e+22,2.7757e+22,2.7691e+22
260,M,True,2.8027e+22,2.8167e+22,2.8404e+22,2.8066e+22,2.7974e+22
261,M,False,2.5348e+22,2.5433e+22,2.5418e+22,2.5326e+22,2.5269e+22
262,M,False,2.7117e+22,2.7062e+22,2.719e+22,2.7255e+22,2.7613e+22
263,M,False,6.6407e+21,6.6506e+21,6.7553e+21,6.8568e+21,7.102e+21
264,M,False,2.9687e+22,2.949e+22,2.9282e+22,2.9025e+22,2.889e+22
265,M,False,2.8999e+22,2.8777e+22,2.8898e+22,2.8769e+22,2.8545e+22
266,M,False,6.811e+21,7.0683e+21,7.3151e+21,7.5724e+21,7.7231e+21
267,M,False,8.4693e+21,8.5453e+21,8.5611e+21,8.7639e+21,8.9154e+21
268,M,False,3.8525e+22,3.8911e+22,3.9251e+22,3.9855e+22,4.0119e+22
269,M,False,1.3226e+22,1.3151e+22,1.3072e+22,1.2768e+22,1.2744e+22
270,M,True,1.4337e+22,1.4299e+22,1.4294e+22,1.427e+22,1.4216e+22
271,M,False,1.427e+22,1.4216e+22,1.4303e+22,1.4307e+22,1.444e+22
272,M,False,8.8078e+21,9.0998e+21,9.1198e+21,9.1795e+21,9.224e+21
273,M,False,2.1534e+22,2.1508e+22,2.1578e+22,2.1672e+22,2.1627e+22
274,M,True,1.5297e+22,1.5336e+22,1.5479e+22,1.5244e+22,1.5196e+22
275,M,False,1.5356e+22,1.5246e+22,1.5285e+22,1.5325e+22,1.5341e+22
276,M,True,2.3641e+22,2.3575e+22,2.3541e+22,2.3637e+22,2.3751e+22
277,M,False,2.3477e+22,2.371e+22,2.3909e+22,2.4432e+22,2.465e+22
278,M,True,2.5958e+22,2.5815e+22,2.5828e+22,2.5638e+22,2.5535e+22
279,M,True,2.925e+22,2.9098e+22,2.9075e+22,2.9238e+22,2.9167e+22
280,M,False,3.0288e+22,3.0386e+22,3.0651e+22,3.0772e+22,3.0873e+22
281,M,False,3.0651e+22,3.0772e+22,3.0873e+22,3.0911e+22,3.1112e+22
282,M,False,3.7215e+22,3.7256e+22,3.7062e+22,3.7242e+22,3.7213e+22
283,M,False,3.4617e+22,3.4347e+22,3.4343e+22,3.4194e+22,3.4294e+22
284,M,False,3.4194e+22,3.4294e+22,3.4012e+22,3.4036e+22,3.3978e+22
285,M,True,0.0,0.0,0.0,0.0,0.0
286,M,True,4.0421e+21,4.1387e+21,4.1343e+21,4.253e+21,4.2322e+21
287,M,True,1.606e+22,1.6382e+22,1.6367e+22,1.6615e+22,1.6826e+22
288,M,False,1.8798e+22,1.8812e+22,1.9051e+22,1.9051e+22,1.866e+22
289,M,False,1.7931e+22,1.7909e+22,1.8106e+22,1.8037e+22,1.8128e+22
290,M,False,1.8687e+22,1.8891e+22,1.8781e+22,1.8546e+22,1.885e+22
291,M,False,1.9133e+22,1.8936e+22,1.8709e+22,1.8779e+22,1.9001e+22
292,M,True,4.4416e+22,4.4432e+22,4.4243e+22,4.4392e+22,4.4263e+22
293,M,False,5.5386e+22,5.563e+22,5.5372e+22,5.6103e+22,5.6234e+22
294,M,False,3.4505e+22,3.4634e+22,3.4788e+22,3.4757e+22,3.4819e+22
295,M,False,5.7922e+22,5.7849e+22,5.7196e+22,5.7445e+22,5.7699e+22
296,M,True,2.0167e+22,2.0304e+22,2.0443e+22,2.0636e+22,2.0666e+22
297,M,False,2.0443e+22,2.0636e+22,2.0666e+22,2.0929e+22,2.0968e+22
298,M,False,6.266e+22,6.2581e+22,6.3235e+22,6.3628e+22,6.3742e+22
299,M,False,2.9679e+22,2.9478e+22,2.9168e+22,2.8857e+22,2.8504e+22
300,M,False,3.3026e+22,3.3044e+22,3.3428e+22,3.3433e+22,3.3523e+22
301,M,True,2.9011e+22,2.8912e+22,2.8858e+22,2.8727e+22,2.8884e+22
302,M,False,2.6158e+22,2.5899e+22,2.5629e+22,2.537e+22,2.5263e+22
303,M,True,6.7589e+22,6.6735e+22,6.6294e+22,6.5996e+22,6.5606e+22
304,M,True,7.0559e+22,7.0649e+22,7.0012e+22,6.9431e+22,6.9564e+22
305,M,True,6.1093e+22,6.0738e+22,6.0488e+22,6.0461e+22,6.0464e+22
