,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5
163,M,False,18.16,19.128,19.432,19.569,20.15
164,M,False,41.266,40.546,40.76,40.683,40.568
165,M,True,0.0,0.0,0.0,0.0,0.0
166,M,False,29.871,29.501,29.546,29.219,29.756
167,M,True,35.746,35.431,35.415,35.956,34.955
168,M,True,39.603,39.496,39.753,39.556,39.181
169,M,False,39.115,39.596,38.558,39.057,38.933
170,M,True,40.453,40.242,40.143,39.883,39.691
171,M,False,41.413,41.434,41.312,41.756,42.156
172,M,False,44.767,44.488,44.667,44.932,45.342
173,M,False,18.045,18.507,18.227,17.934,18.407
174,M,False,11.633,11.537,11.687,11.494,11.303
175,M,False,48.474,48.689,47.915,48.323,48.439
176,M,True,0.0,0.0,0.0,0.0,0.0
177,M,False,29.139,33.133,33.102,25.945,25.712
178,M,False,23.883,24.511,23.321,25.243,23.272
179,M,False,43.042,43.464,43.753,44.162,44.076
180,M,True,23.374,23.7,23.817,23.659,23.056
181,M,False,22.152,22.975,22.682,22.543,22.317
182,M,True,17.272,17.195,17.313,17.359,17.691
183,M,False,19.177,18.954,19.586,19.389,19.515
184,M,True,24.634,24.947,24.964,25.286,25.772
185,M,False,28.654,28.645,28.557,29.161,29.576
186,M,True,45.962,46.48,46.465,46.182,46.707
187,M,False,47.818,47.854,47.841,47.786,47.727
188,M,False,48.463,48.665,49.073,49.181,49.239
189,M,True,50.942,50.846,50.742,50.735,51.073
190,M,True,50.835,50.904,50.817,50.734,50.908
191,M,True,51.501,51.147,51.376,51.3,50.998
192,M,True,50.782,50.99,51.27,50.944,50.727
193,M,False,40.196,40.805,40.361,40.315,40.854
194,M,True,51.104,50.609,50.58,50.936,50.795
195,M,False,50.507,50.173,50.204,50.199,50.214
196,M,False,50.434,50.045,50.645,50.238,50.153
197,M,True,49.708,49.952,50.099,49.915,49.824
198,M,True,49.824,50.34,49.985,49.693,49.885
199,M,False,49.365,49.08,49.004,48.818,48.612
200,M,False,14.272,15.19,17.783,18.885,25.186
201,M,True,49.106,49.251,48.558,48.94,49.056
202,M,False,49.056,48.73,48.76,48.616,48.152
203,M,False,47.613,47.804,47.923,47.655,48.198
204,M,True,46.329,46.097,46.541,46.215,46.278
205,M,False,45.683,45.943,46.263,46.028,45.923
206,M,True,45.281,44.844,44.434,44.358,44.019
207,M,False,44.112,44.021,44.34,43.985,43.782
208,M,True,41.256,41.454,41.778,41.402,41.663
209,M,False,41.254,41.66,41.921,41.657,41.249
210,M,True,39.172,38.981,38.649,38.979,38.663
211,M,False,36.58,36.525,36.215,36.298,35.742
212,M,False,35.515,36.427,36.345,36.036,35.671
213,M,False,25.42,24.506,25.256,26.752,25.495
214,M,True,34.381,34.164,33.794,33.972,34.178
215,M,True,30.431,29.451,29.615,29.193,29.531
216,M,False,29.037,29.0,28.493,28.862,29.281
217,M,False,29.263,28.884,28.874,28.9,29.122
218,M,False,28.237,28.037,28.146,27.902,27.665
219,M,True,33.049,32.956,33.499,33.159,33.664
220,M,False,36.867,36.708,37.05,36.988,37.221
221,M,False,37.184,37.098,37.378,37.524,37.838
222,M,False,43.259,42.995,42.74,42.682,42.45
223,M,False,25.014,25.248,25.458,25.261,25.128
224,M,False,24.238,23.22,23.665,24.104,23.265
225,M,True,17.628,17.86,17.903,18.256,18.624
226,M,False,20.105,20.017,20.412,20.004,19.736
227,M,False,25.287,25.241,25.312,25.159,24.768
228,M,False,14.013,13.953,13.774,13.441,13.748
229,M,False,1.2853,12.577,14.167,14.3,11.957
230,M,False,14.167,14.3,11.957,19.922,25.667
231,M,False,24.242,24.414,23.686,23.639,23.324
232,M,False,20.125,19.762,34.899,19.311,19.311
233,M,False,15.62,15.231,15.277,15.464,15.706
234,M,False,15.046,14.4,14.185,13.808,14.276
235,M,True,77.6,80.376,81.16,77.275,76.503
236,M,True,36.237,35.915,33.158,34.201,32.622
237,M,True,31.963,31.87,32.481,30.783,29.793
238,M,False,29.456,29.161,30.186,30.722,28.258
239,M,True,27.22,24.603,25.674,23.846,22.644
240,M,False,21.585,22.28,21.414,21.41,21.554
241,M,False,23.148,23.286,23.456,23.053,23.411
242,M,True,26.12,25.959,26.423,26.546,27.034
243,M,False,34.723,35.011,35.747,34.907,35.076
244,M,False,39.565,39.615,40.045,40.174,39.478
245,M,False,10.532,10.534,10.438,10.132,10.236
246,M,False,46.677,46.957,46.373,46.233,46.118
247,M,False,37.73,37.247,37.344,37.999,37.539
248,M,True,39.348,39.599,39.904,39.32,39.513
249,M,False,40.681,40.987,40.149,40.333,40.381
250,M,True,25.159,25.135,25.349,25.165,25.611
251,M,False,22.482,22.384,22.173,22.239,21.968
252,M,False,23.521,21.519,31.606,31.386,30.421
253,M,False,19.11,18.518,18.22,18.225,18.337
254,M,False,31.576,31.317,31.223,30.877,30.839
255,M,False,40.153,39.772,39.32,39.238,39.673
256,M,False,49.221,48.805,49.057,49.024,49.331
257,M,False,39.377,39.068,39.173,38.67,38.727
258,M,False,25.175,25.227,24.625,25.152,25.003
259,M,False,12.461,12.09,12.013,12.064,12.143
260,M,True,20.189,20.556,20.355,21.012,20.71
261,M,False,24.344,24.543,24.136,24.538,25.092
262,M,False,9.8831,9.7288,9.6832,9.6567,9.483
263,M,False,4.3091,6.0089,5.5082,4.8265,4.2764
264,M,False,30.366,30.398,30.131,30.482,30.472
265,M,False,22.305,22.612,22.669,22.385,22.342
266,M,False,58.271,57.698,57.807,56.057,55.618
267,M,False,20.72,19.974,18.884,19.346,19.994
268,M,False,28.707,28.396,27.774,28.129,29.488
269,M,False,21.048,21.23,21.408,21.483,21.516
270,M,True,52.528,52.123,51.565,51.075,50.989
271,M,False,51.075,50.989,51.24,51.539,52.216
272,M,False,17.438,17.019,17.134,16.584,17.289
273,M,False,23.344,23.891,23.364,23.752,23.229
274,M,True,25.832,25.929,26.137,26.086,25.566
275,M,False,23.263,23.095,22.882,23.784,23.35
276,M,True,23.672,23.882,24.7,24.614,24.531
277,M,False,33.163,33.622,34.087,33.957,33.937
278,M,True,36.574,36.259,36.459,36.424,36.363
279,M,True,47.587,47.906,48.276,48.093,48.256
280,M,False,50.383,50.242,50.526,50.778,50.63
281,M,False,50.526,50.778,50.63,51.021,50.772
282,M,False,36.044,35.946,36.344,36.242,36.424
283,M,False,50.232,50.431,50.581,50.948,50.894
284,M,False,50.948,50.894,51.303,51.313,51.065
285,M,True,0.0,0.0,0.0,0.0,0.0
286,M,True,44.792,44.444,47.658,43.574,43.114
287,M,True,35.952,35.079,35.698,34.902,34.739
288,M,False,33.516,33.958,33.328,34.347,34.723
289,M,False,34.093,33.166,33.771,33.485,32.205
290,M,False,32.542,32.073,32.687,33.742,33.023
291,M,False,34.111,35.155,36.348,35.885,35.517
292,M,True,34.347,34.208,34.167,33.881,34.265
293,M,False,29.521,28.936,30.107,29.261,29.487
294,M,False,34.909,34.387,34.201,34.149,33.723
295,M,False,28.226,28.843,29.463,29.253,28.886
296,M,True,49.375,49.214,49.339,49.608,49.907
297,M,False,49.339,49.608,49.907,50.176,50.041
298,M,False,28.445,28.689,28.53,28.253,28.852
299,M,False,23.711,24.055,23.825,24.215,23.776
300,M,False,43.318,43.842,43.51,43.507,43.597
301,M,True,44.762,44.741,44.629,44.935,44.805
302,M,False,41.897,42.101,42.589,42.903,43.685
303,M,True,31.336,31.515,31.776,31.75,31.973
304,M,True,32.096,32.084,32.084,32.726,32.418
305,M,True,34.515,34.737,34.91,35.243,35.388
306,M,True,38.583,38.79,38.387,38.291,38.284
307,M,True,42.566,42.4,42.137,41.905,41.996
308,M,False,37.628,38.352,39.22,38.013,38.327
309,M,False,23.381,24.121,24.396,24.575,24.988
310,M,False,24.356,24.485,24.772,23.951,23.937
311,M,False,31.174,30.912,30.79,30.216,30.89
312,M,True,45.96,45.528,45.609,45.575,44.733
313,M,True,44.433,44.429,43.823,44.2,44.371
314,M,False,38.449,37.858,38.073,38.141,38.115
315,M,False,35.329,36.051,33.152,36.673,35.369
316,M,True,36.749,36.288,35.976,35.804,35.321
317,M,False,29.967,29.881,30.435,30.718,31.319
318,M,False,21.696,21.002,20.417,20.485,21.054
319,M,True,44.189,44.866,45.571,45.71,45.709
320,M,False,43.192,43.361,43.548,42.738,42.761
321,M,True,31.53,32.132,31.9,31.033,31.044
322,M,False,31.033,31.044,30.561,30.698,29.868
323,M,False,20.102,20.09,19.718,19.787,20.177
324,M,True,30.206,30.484,29.982,29.973,29.76
325,M,False,27.386,27.602,27.578,27.443,27.594
326,M,False,27.286,27.874,27.872,26.976,27.335
327,M,False,24.659,24.343,24.512,25.09,24.391
328,M,False,26.174,26.497,26.787,26.657,26.26
329,M,True,39.09,39.184,38.991,39.686,39.889
330,M,False,36.492,36.304,35.667,35.832,36.045
331,M,True,6.8584,7.2161,5.6197,6.2362,5.6613
332,M,True,34.966,34.207,33.668,34.318,34.917
333,M,True,27.863,28.402,27.677,28.091,28.009
334,M,False,28.164,28.095,28.056,27.767,27.801
335,M,False,30.32,30.381,30.851,30.15,30.241
336,M,False,16.568,16.654,16.04,16.074,15.744
337,M,False,48.864,48.673,48.557,48.681,48.745
338,M,True,48.864,48.933,48.94,48.974,49.297
339,M,False,10.329,10.406,10.377,9.9906,9.7809
340,M,False,30.272,30.257,30.139,29.697,29.527
341,M,False,27.658,26.087,30.198,33.089,33.8
342,M,False,52.11,50.772,50.381,49.082,49.739
343,M,False,46.956,44.489,44.058,42.142,40.688
344,M,False,40.081,41.753,40.941,39.566,38.864
345,M,False,32.488,33.59,32.169,34.283,32.044
346,M,False,33.499,32.573,31.751,30.913,32.004
347,M,True,31.409,31.338,31.225,31.123,30.845
348,M,False,31.005,30.811,30.411,30.387,30.555
349,M,False,31.321,31.07,30.889,30.874,30.964
350,M,True,31.656,31.432,31.507,31.409,30.822
351,M,False,33.803,33.554,33.59,33.42,33.538
352,M,True,25.315,25.474,25.148,25.888,26.34
353,M,True,41.457,41.795,41.978,41.907,41.902
354,M,False,41.471,41.739,41.5,41.976,41.902
355,M,False,44.768,44.739,44.601,44.445,44.585
356,M,False,31.179,30.571,30.657,30.386,31.033
357,M,False,45.068,44.99,45.072,45.376,45.157
358,M,False,46.043,46.074,46.161,46.331,46.117
359,M,False,40.002,39.506,39.708,39.35,39.413
360,M,True,52.4,52.556,52.504,52.476,52.539
361,M,False,53.129,52.756,52.837,52.692,52.792
362,M,False,52.182,52.166,52.622,52.522,52.676
363,M,False,48.311,48.347,48.383,48.498,48.273
364,M,True,34.67,34.309,33.871,33.964,33.875
365,M,False,31.159,31.173,31.002,30.853,30.499
366,M,False,29.912,29.593,29.701,29.747,29.946
367,M,True,35.224,34.747,35.442,35.625,35.401
368,M,True,39.337,39.152,40.051,40.024,40.354
369,M,True,45.944,45.94,45.135,45.191,46.221
370,M,True,44.849,44.985,44.825,44.705,44.557
371,M,True,47.326,48.395,48.061,48.22,48.115
372,M,True,47.753,47.387,47.176,47.078,47.049
373,M,True,47.145,47.116,47.242,46.567,47.137
374,M,False,47.669,47.457,47.743,47.976,47.602
375,M,False,47.233,47.593,47.955,48.46,49.142
376,M,True,49.213,49.337,49.464,49.031,48.998
377,M,False,49.124,49.159,49.1,48.74,48.648
378,M,False,48.709,48.696,48.626,48.499,48.5
379,M,False,49.033,49.36,49.571,49.402,49.569
380,M,False,38.836,39.145,39.008,39.469,39.463
381,M,False,20.711,21.076,21.321,20.82,20.738
382,M,False,31.922,31.762,31.58,31.178,31.23
383,M,False,32.269,31.86,32.081,32.537,32.663
384,M,False,7.5514,7.4899,7.434,7.9635,8.5106
385,M,False,0.69544,0.64982,0.51192,0.57708,0.54001
386,M,False,18.184,18.073,18.177,18.541,18.119
387,M,False,46.408,46.271,45.917,45.503,45.529
388,M,True,11.637,11.096,9.3599,9.591,7.1056
389,M,True,5.92,6.8452,6.3679,6.8164,6.194
390,M,True,8.6247,7.61,7.7946,6.5975,6.6667
391,M,False,11.449,9.3587,9.0955,9.2822,9.1723
392,M,False,12.537,13.506,14.516,14.566,16.082
393,M,False,17.768,17.798,18.325,17.255,18.71
394,M,True,20.037,20.026,19.309,18.959,18.807
395,M,False,18.826,19.619,19.574,20.084,20.462
396,M,False,4.3114,5.7171,6.0829,6.0545,4.2822
397,M,True,20.445,20.56,20.186,19.606,19.833
398,M,True,19.4,19.567,19.258,19.301,19.372
399,M,False,18.929,17.018,15.8,17.039,18.051
400,M,False,12.147,11.891,12.15,12.119,12.117
401,M,False,43.005,42.705,43.501,43.359,43.669
402,M,True,33.116,32.626,32.085,32.775,33.426
403,M,False,31.046,31.169,32.048,32.136,31.687
404,M,False,24.519,25.095,26.079,25.853,25.482
405,M,False,13.747,13.957,13.633,14.153,14.427
406,M,False,22.273,22.298,22.387,21.764,22.372
407,M,False,24.044,23.814,23.08,22.982,22.668
408,M,False,49.173,49.034,48.57,48.421,48.633
409,M,True,22.444,22.678,22.702,22.93,22.646
410,M,False,20.94,21.016,20.86,19.855,20.374
411,M,False,30.612,30.241,30.278,31.129,30.648
412,M,False,30.888,31.43,31.032,31.143,30.909
413,M,False,10.951,10.849,11.062,10.352,10.059
414,M,False,48.069,48.123,48.375,48.414,48.441
415,M,True,49.459,47.854,49.404,47.922,48.375
416,M,True,36.514,35.422,35.097,34.662,34.999
417,M,True,30.854,32.042,30.475,29.931,30.081
418,M,True,37.952,37.407,37.909,37.701,37.972
419,M,True,24.083,24.258,24.02,24.716,24.806
420,M,False,20.782,20.962,22.434,21.028,20.093
421,M,False,24.915,25.655,25.525,27.033,25.966
422,M,False,21.757,21.627,21.011,21.41,21.67
423,M,False,33.683,34.423,33.54,34.261,34.748
424,M,False,20.088,20.045,19.896,20.107,20.065
425,M,False,17.68,17.736,17.701,17.153,16.576
426,M,False,21.077,21.038,20.929,21.193,21.305
427,M,False,3.9801,4.0221,3.8388,3.6154,3.7379
428,M,True,21.756,21.63,21.508,21.0,21.034
429,M,False,16.639,15.06,15.585,15.738,15.854
430,M,False,7.124,7.8348,7.6423,7.8769,8.1919
431,M,False,25.235,25.12,24.839,25.276,24.705
432,M,False,24.365,24.376,23.915,24.296,24.0
433,M,True,9.7856,9.6843,9.0812,8.6862,8.5534
434,M,False,9.0812,8.6862,8.5534,8.7419,8.9211
435,M,False,10.233,10.058,9.3115,9.68,9.4077
436,M,True,20.394,19.777,19.662,20.242,19.438
437,M,True,33.408,33.775,33.571,33.187,33.173
438,M,False,33.785,33.596,33.348,33.384,33.266
439,M,False,34.49,34.764,34.952,35.151,35.187
440,M,False,35.187,35.428,35.38,35.772,35.506
441,M,False,34.533,34.643,34.666,34.7,34.543
442,M,True,40.974,41.22,41.247,41.366,41.447
443,M,False,43.699,43.488,43.485,43.344,43.073
444,M,True,50.353,50.458,50.736,51.088,50.921
445,M,True,53.284,53.153,52.893,52.797,52.757
446,M,True,40.8,40.452,40.337,40.165,40.226
447,M,False,40.337,40.165,40.226,40.14,40.277
448,M,False,40.555,40.609,40.691,40.819,40.743
449,M,False,39.171,39.105,39.001,38.816,38.724
450,M,False,38.619,38.731,38.668,38.654,38.754
451,M,True,38.129,37.75,37.528,37.398,37.189
452,M,False,36.02,35.874,35.806,35.847,35.578
453,M,False,33.938,33.81,33.723,33.463,33.443
454,M,False,31.663,31.737,31.634,31.71,31.535
455,M,False,31.4,31.3,31.242,31.145,31.019
456,M,True,28.436,28.578,28.73,28.93,28.907
457,M,True,26.867,26.884,26.802,26.861,27.548
458,M,False,27.507,27.198,27.249,27.113,26.899
459,M,False,27.543,27.645,27.322,27.583,27.908
460,M,False,28.015,27.795,27.608,27.448,27.818
461,M,False,27.896,27.683,27.773,28.056,27.862
462,M,False,29.033,29.185,29.117,28.54,29.075
463,M,False,30.523,31.271,31.445,31.762,31.581
464,M,False,31.581,32.385,31.704,31.97,32.638
465,M,False,34.678,34.202,34.428,34.968,34.831
466,M,True,16.468,16.478,16.34,17.455,17.262
467,M,False,19.786,19.753,19.898,20.204,20.992
468,M,True,18.713,16.908,18.628,19.508,19.34
469,M,True,19.275,19.668,20.284,19.88,19.648
470,M,True,19.557,19.36,19.718,19.262,19.519
471,M,False,19.38,19.482,19.883,19.912,20.408
472,M,False,19.999,19.835,20.14,19.532,19.329
473,M,False,21.052,20.913,20.671,21.201,21.583
474,M,False,34.858,34.274,34.474,34.499,34.959
475,M,True,21.147,21.454,21.112,20.902,20.954
476,M,True,21.449,21.376,21.277,21.417,21.421
477,M,False,19.235,19.481,19.639,20.03,19.793
478,M,False,51.292,51.688,51.751,51.89,51.771
479,M,True,53.583,53.721,53.521,53.313,53.405
480,M,True,50.732,50.387,50.529,50.582,50.537
481,M,False,50.505,50.454,50.203,50.216,49.904
482,M,False,46.213,45.789,45.741,45.675,45.752
483,M,False,13.347,13.335,13.404,13.629,13.736
484,M,True,34.068,33.953,34.469,34.193,34.243
485,M,True,33.706,33.314,33.719,34.713,33.717
486,M,False,34.632,34.877,34.32,34.239,34.373
487,M,True,33.186,33.591,33.58,33.744,33.683
488,M,True,25.42,25.365,25.095,24.934,25.273
489,M,False,61.083,60.539,60.27,60.63,60.444
490,M,False,23.085,22.905,22.848,22.932,22.726
491,M,False,21.741,21.788,21.324,21.605,21.875
492,M,False,48.873,49.211,49.247,49.475,48.952
493,M,False,54.728,54.969,55.193,55.033,55.215
494,M,False,36.919,37.009,36.995,36.861,36.871
495,M,False,45.611,45.598,45.556,45.162,45.122
496,M,False,10.329,9.5707,10.16,7.6567,9.9421
497,M,True,50.993,51.054,50.964,50.713,50.067
498,M,False,50.732,50.811,50.368,50.065,50.653
499,M,False,51.684,52.087,51.609,51.966,51.745
500,M,False,20.324,19.8,19.774,19.611,19.87
501,M,False,27.175,27.768,28.397,28.603,28.664
502,M,False,29.184,28.887,29.082,29.021,27.195
503,M,False,21.16,20.09,19.818,20.279,19.931
504,M,False,21.238,20.282,22.096,23.863,22.942
505,M,False,24.736,25.795,21.592,21.901,25.433
506,M,False,25.869,26.115,25.566,27.122,25.235
507,M,True,22.35,22.752,23.08,23.102,23.307
508,M,False,22.947,23.259,22.925,23.374,23.605
509,M,True,24.492,24.847,24.604,25.024,24.775
510,M,True,31.529,32.582,32.722,33.084,32.911
511,M,False,34.751,35.149,34.886,34.793,34.745
512,M,True,41.422,41.421,41.356,41.795,41.856
513,M,True,43.288,43.291,43.671,44.181,43.912
514,M,False,44.181,43.912,43.675,44.079,43.8
515,M,False,44.63,44.19,44.186,44.427,44.339
516,M,False,44.39,44.443,45.15,45.357,45.385
517,M,False,48.038,47.782,47.769,47.606,47.276
518,M,False,48.275,48.519,47.551,48.216,47.98
519,M,True,42.746,42.888,43.043,43.046,42.908
520,M,True,41.48,41.196,41.021,40.855,40.762
521,M,False,39.465,39.327,39.13,38.968,38.786
522,M,False,20.233,19.822,20.33,19.682,19.19
523,M,False,24.186,23.643,23.538,23.303,23.562
524,M,False,35.279,37.691,36.721,34.276,33.502
525,M,True,10.299,9.9389,9.6858,10.413,8.3234
526,M,True,13.051,13.047,13.348,13.267,14.975
527,M,False,14.43,13.23,12.499,12.928,12.412
528,M,False,12.14,14.113,12.925,12.597,12.214
529,M,False,19.326,19.522,18.6,18.528,19.249
