,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5
0,X,False,55.174,54.882,54.821,55.433,55.593
1,X,False,55.66,55.631,55.423,54.975,55.123
2,X,False,33.172,33.547,33.902,33.937,33.86
3,X,False,42.602,42.655,43.072,42.583,43.507
4,X,True,37.082,36.709,36.529,36.374,35.829
5,X,True,39.328,39.155,38.772,38.182,36.857
6,X,False,40.261,39.492,39.747,39.218,39.299
7,X,False,15.206,14.909,15.235,15.068,15.199
8,X,True,44.289,44.744,45.286,44.338,44.448
9,X,False,45.871,45.651,45.66,46.562,46.167
10,X,False,46.158,46.386,45.643,46.15,46.067
11,X,False,35.976,36.217,36.195,36.963,37.059
12,X,False,45.404,45.809,45.863,46.051,46.246
13,X,False,37.485,35.289,35.719,34.736,35.351
14,X,True,50.854,47.141,47.0,46.791,47.992
15,X,True,31.767,31.243,31.072,31.775,32.037
16,X,False,30.339,30.642,30.539,30.485,30.813
17,X,False,33.748,33.614,33.657,33.645,33.508
18,X,False,44.852,44.917,44.772,44.838,45.2
19,X,False,44.647,44.663,45.096,45.138,44.961
20,X,False,23.587,23.6,23.446,24.2,23.524
21,X,False,50.851,51.036,50.854,50.73,51.009
22,X,False,1.0121,1.2916,0.58131,0.80114,1.2225
23,X,False,14.163,13.513,13.64,13.809,13.199
24,X,False,47.12,44.666,43.844,43.835,43.838
25,X,False,35.096,35.57,34.604,35.646,34.051
26,X,True,46.875,46.827,46.814,46.684,46.632
27,X,True,52.998,53.15,53.128,53.204,53.436
28,X,True,51.023,50.852,50.487,50.264,50.032
29,X,True,44.723,44.62,44.48,44.267,44.155
30,X,True,34.747,34.955,35.126,35.011,35.148
31,X,False,23.116,22.964,23.207,22.757,23.192
32,X,False,30.249,29.926,29.763,29.865,29.581
33,X,True,33.907,33.951,34.274,34.568,34.749
34,X,False,42.26,38.209,41.84,47.754,54.876
35,X,True,55.835,55.088,54.914,54.337,54.181
36,X,True,53.726,54.154,53.413,53.681,53.638
37,X,False,43.227,42.628,42.851,43.142,43.171
38,X,False,32.038,33.538,34.234,32.676,32.697
39,M,False,22.29,25.269,22.848,23.368,22.147
40,M,False,11.591,10.192,8.1388,13.021,9.4622
41,M,False,20.048,19.783,19.619,19.28,19.492
42,M,False,12.117,12.19,12.303,11.881,12.682
43,M,True,35.195,27.637,29.011,28.275,24.941
44,M,False,12.837,11.991,14.449,12.396,11.913
45,M,False,7.0934,7.4926,8.1988,7.9103,8.0957
46,M,False,25.151,24.858,24.645,25.798,25.852
47,M,False,12.052,11.46,12.067,13.419,14.185
48,M,True,34.527,34.474,36.696,36.821,38.027
49,M,True,55.601,55.719,54.749,54.281,54.276
50,M,False,15.743,14.595,14.093,14.531,14.733
51,M,False,57.563,57.33,57.385,57.301,57.33
52,M,True,38.989,38.628,39.09,39.034,39.064
53,M,True,38.75,38.807,39.064,38.913,39.295
54,M,False,37.211,36.295,36.641,37.011,36.946
55,M,False,39.516,39.289,38.967,39.311,39.518
56,M,False,40.173,40.602,40.599,40.283,40.47
57,M,False,13.978,14.615,14.168,13.856,14.508
58,M,True,36.735,36.279,36.342,35.838,35.669
59,M,True,21.731,21.506,22.722,21.15,21.388
60,M,False,33.897,34.062,34.693,35.3,35.568
61,M,False,35.893,35.443,35.709,35.875,35.01
62,M,False,43.795,44.674,44.805,44.451,44.178
63,M,False,29.368,29.634,29.044,29.303,28.823
64,M,True,24.927,24.723,24.283,24.092,24.801
65,M,False,24.023,23.689,23.87,23.973,23.309
66,M,False,25.453,25.815,26.466,26.56,26.678
67,M,False,28.427,28.858,28.257,28.391,27.402
68,M,False,28.468,28.519,28.924,29.024,29.517
69,M,True,57.592,57.191,57.057,57.023,57.026
70,M,False,57.129,56.861,56.632,56.759,56.932
71,M,False,51.08,50.835,50.75,50.904,50.885
72,M,True,29.177,28.782,29.286,27.923,28.802
73,M,False,23.992,25.226,25.672,24.903,24.903
74,M,False,51.984,52.135,53.131,52.662,51.958
75,M,False,29.237,29.2,28.227,29.499,29.202
76,M,False,23.449,23.367,23.347,23.408,23.701
77,M,False,34.375,34.563,34.417,34.446,34.702
78,M,True,14.127,13.48,13.954,13.069,14.144
79,M,False,14.331,14.141,13.846,14.432,14.031
80,M,True,44.718,41.239,42.572,44.536,41.929
81,M,False,35.492,35.308,34.993,33.899,35.992
82,M,False,13.395,13.725,13.5,13.888,13.498
83,M,False,41.327,41.247,40.395,40.394,40.201
84,M,False,16.154,17.486,18.86,18.834,19.248
85,M,False,31.104,30.995,30.893,31.471,31.356
86,M,True,46.348,45.972,45.259,45.283,45.302
87,M,True,47.058,46.949,46.953,46.677,46.457
88,M,False,61.867,62.052,62.381,62.093,62.0
89,M,True,43.818,43.996,44.035,44.09,43.594
90,M,False,43.641,43.817,43.44,43.036,42.988
91,M,True,40.606,40.28,39.695,39.279,39.412
92,M,False,34.915,34.585,34.444,34.492,34.844
93,M,True,15.185,15.325,15.745,15.902,16.32
94,M,False,13.368,12.767,12.367,12.359,11.968
95,M,False,11.42,11.89,12.029,11.891,11.798
96,M,True,39.436,39.801,38.619,38.633,38.687
97,M,True,33.217,33.466,33.379,33.879,34.24
98,M,False,26.34,26.502,26.466,26.53,27.088
99,M,True,29.406,29.197,28.767,28.729,28.614
100,M,False,20.911,20.833,21.734,21.243,22.081
101,M,False,11.756,11.97,12.092,11.646,11.428
102,M,True,21.83,22.444,22.433,22.247,21.886
103,M,True,17.739,17.386,17.542,17.348,17.08
104,M,True,40.957,40.676,40.377,40.695,40.498
105,M,False,37.378,37.541,37.14,37.674,37.655
106,M,False,20.504,20.932,20.995,21.016,20.364
107,M,True,38.473,37.955,37.797,38.799,38.689
108,M,False,38.799,38.689,38.66,39.305,40.22
109,M,False,40.652,39.968,40.284,39.735,41.079
110,M,False,40.485,40.319,41.335,42.259,41.286
111,M,False,41.027,41.137,41.7,41.479,41.685
112,M,False,42.455,41.965,42.605,42.388,42.626
113,M,True,44.474,45.003,43.969,44.264,44.28
114,M,False,14.713,21.981,15.118,14.164,22.499
115,M,True,46.38,46.783,47.414,46.131,46.488
116,M,False,23.885,23.09,23.033,24.564,22.876
117,M,False,51.636,52.174,51.95,52.377,52.61
118,M,False,62.384,62.593,62.681,62.454,62.568
119,M,True,51.554,52.168,52.255,52.366,51.579
120,M,True,54.687,53.683,54.744,56.382,55.511
121,M,False,57.218,56.169,55.896,55.541,56.136
122,M,False,40.447,40.675,41.29,40.842,40.785
123,M,False,18.132,18.294,18.142,17.991,18.209
124,M,False,20.053,20.142,19.907,19.791,19.727
125,M,True,51.965,51.177,51.504,50.197,49.99
126,M,True,45.328,44.591,44.868,44.735,42.94
127,M,True,37.556,37.604,38.235,37.296,37.653
128,M,True,38.202,38.016,38.301,37.586,37.239
129,M,True,37.111,37.286,37.69,37.582,37.748
130,M,True,37.023,36.926,37.237,37.235,37.186
131,M,False,37.55,37.571,37.57,37.837,37.76
132,M,False,37.718,38.093,38.082,38.504,38.691
133,M,False,39.212,39.45,39.621,39.725,39.693
134,M,False,23.12,22.802,22.589,22.821,22.847
135,M,True,21.848,21.775,21.354,20.895,21.237
136,M,False,11.27,11.203,11.289,11.22,11.208
137,M,False,17.579,17.135,16.194,16.484,16.728
138,M,True,24.022,23.374,22.738,24.158,24.879
139,M,False,39.103,39.655,38.888,38.669,38.873
140,M,True,20.292,20.185,19.097,19.644,19.248
141,M,False,17.853,17.934,18.241,17.827,18.839
142,M,False,17.612,18.347,17.915,17.852,17.642
143,M,True,20.541,20.532,20.861,20.547,20.575
144,M,False,21.419,21.223,21.059,21.156,20.836
145,M,False,28.528,28.313,28.655,28.603,28.821
146,M,False,30.166,34.403,34.105,30.526,30.264
147,M,False,32.191,31.963,31.68,31.38,31.586
148,M,False,16.039,16.571,16.696,17.192,17.698
149,M,True,48.208,51.374,48.12,48.826,49.392
150,M,True,37.518,38.485,38.211,37.003,37.491
151,M,False,38.485,38.211,37.003,37.491,37.118
152,M,False,38.966,38.83,38.425,39.355,39.443
153,M,True,39.271,39.041,38.998,38.614,38.865
154,M,False,39.212,39.294,39.66,40.032,40.406
155,M,False,39.695,39.883,40.296,39.412,39.648
156,M,False,40.611,41.143,40.581,41.654,41.745
157,M,False,41.305,41.601,41.422,41.046,40.728
158,M,False,44.474,44.821,44.729,45.559,45.503
159,M,False,51.411,51.709,51.824,52.052,52.326
160,M,False,46.644,45.953,45.753,45.79,44.967
161,M,False,26.248,25.919,25.599,25.653,25.496
162,M,True,21.203,21.286,22.093,22.025,23.044
