,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5
54,M,False,61.964,62.105,61.72,61.582,62.038
55,M,False,65.197,64.636,65.396,63.986,64.453
56,M,False,62.953,63.62,63.837,62.918,63.672
57,M,False,40.81,41.467,40.617,40.498,40.555
58,M,True,58.381,58.377,58.353,57.709,57.163
59,M,True,53.601,53.991,53.007,52.795,53.512
60,M,False,53.212,53.287,54.009,54.095,54.194
61,M,False,55.299,55.727,55.546,55.596,55.213
62,M,False,56.12,55.63,56.066,56.175,56.639
63,M,False,49.002,49.61,49.56,50.059,50.584
64,M,True,48.882,48.953,48.58,47.992,48.213
65,M,False,49.24,49.423,48.655,49.525,48.399
66,M,False,45.721,45.168,45.989,44.738,44.329
67,M,False,39.887,39.968,40.336,40.651,41.178
68,M,False,42.716,42.511,42.381,42.051,43.252
69,M,True,66.752,66.171,66.813,67.189,67.211
70,M,False,69.533,69.15,69.265,69.293,69.121
71,M,False,64.673,65.069,65.155,64.93,64.669
72,M,True,54.884,56.21,56.834,57.645,58.39
73,M,False,52.923,53.445,53.682,53.27,53.736
74,M,False,34.666,35.098,34.674,35.091,35.13
75,M,False,39.082,39.608,39.802,39.553,39.605
76,M,False,44.471,44.778,45.017,45.34,45.985
77,M,False,76.203,74.988,73.113,72.58,71.47
78,M,True,41.942,42.685,42.902,42.76,42.918
79,M,False,42.222,42.439,42.227,42.635,42.627
80,M,True,38.789,37.78,39.433,39.576,38.806
81,M,False,43.441,44.001,44.055,43.668,45.278
82,M,False,48.554,47.727,47.602,47.451,47.489
83,M,False,31.306,31.335,32.025,33.04,30.953
84,M,False,55.614,55.13,54.856,54.615,54.343
85,M,False,51.269,51.558,51.381,51.44,51.776
86,M,True,73.832,74.298,74.687,74.506,75.313
87,M,True,77.924,77.945,77.961,78.314,78.209
88,M,False,60.225,60.248,60.402,60.717,61.059
89,M,True,74.135,73.404,74.002,73.681,73.728
90,M,False,69.93,69.95,70.452,70.121,70.016
91,M,True,50.525,50.639,50.356,49.371,48.843
92,M,False,47.48,47.537,47.517,47.91,48.033
93,M,True,49.7,49.248,49.233,49.161,49.001
94,M,False,44.825,44.476,44.33,43.576,43.162
95,M,False,38.913,38.887,39.45,39.606,40.002
96,M,True,71.121,70.128,70.5,70.65,70.639
97,M,True,58.443,58.61,58.822,59.118,59.479
98,M,False,55.99,54.985,54.43,54.152,54.049
99,M,True,52.731,52.758,52.759,52.844,52.662
100,M,False,47.916,48.074,48.829,49.313,49.871
101,M,False,34.612,34.931,35.071,35.037,34.881
102,M,True,49.17,49.265,49.497,49.688,49.778
103,M,True,43.348,42.944,42.551,42.028,41.234
104,M,True,41.803,42.515,41.743,42.124,41.974
105,M,False,45.558,45.349,45.268,45.328,45.043
106,M,False,38.275,38.455,38.545,38.384,38.048
107,M,True,48.531,48.485,48.14,48.1,47.65
108,M,False,48.1,47.65,47.361,48.102,49.242
109,M,False,48.673,48.663,49.091,49.39,50.037
110,M,False,52.199,51.487,51.972,51.518,52.192
111,M,False,50.305,50.603,50.535,51.13,51.477
112,M,False,52.642,52.772,52.486,52.475,52.608
113,M,True,53.355,51.453,52.91,52.242,50.482
114,M,False,47.898,43.904,45.703,45.751,42.126
115,M,True,51.686,51.718,51.414,51.62,51.769
116,M,False,53.489,49.761,49.641,52.657,52.787
117,M,False,57.884,57.725,57.605,57.863,57.654
118,M,False,60.3,60.454,60.958,61.199,60.973
119,M,True,63.951,62.95,62.923,62.476,62.615
120,M,True,60.247,62.166,62.594,60.744,64.852
121,M,False,68.465,68.731,68.392,67.464,67.499
122,M,False,54.41,54.148,53.453,52.729,51.912
123,M,False,34.934,35.181,35.287,35.316,35.333
124,M,False,31.361,31.16,31.296,31.237,30.969
125,M,True,31.52,32.194,31.997,31.779,32.251
126,M,True,36.698,36.447,37.155,37.364,36.514
127,M,True,40.915,40.802,40.843,41.037,41.237
128,M,True,46.693,45.953,46.505,45.861,45.637
129,M,True,47.046,47.154,47.231,47.797,47.355
130,M,True,46.49,46.336,46.529,46.548,46.51
131,M,False,50.517,50.458,50.209,50.198,49.698
132,M,False,49.543,49.796,50.09,50.448,50.436
133,M,False,50.609,50.544,50.762,51.11,51.425
134,M,False,44.715,44.678,44.52,44.593,45.039
135,M,True,31.571,32.177,32.251,31.736,32.385
136,M,False,41.191,41.782,42.215,42.614,43.042
137,M,False,37.073,38.556,37.685,37.703,38.554
138,M,True,70.828,71.533,71.964,71.401,71.677
139,M,False,79.738,79.715,80.463,80.587,79.604
140,M,True,32.315,32.335,32.387,32.136,32.175
141,M,False,33.617,33.734,34.05,33.972,34.289
142,M,False,35.101,35.334,35.402,35.213,35.746
143,M,True,44.509,44.296,44.325,44.136,44.362
144,M,False,43.485,43.269,43.284,43.19,42.904
145,M,False,37.785,38.071,38.26,38.303,38.605
146,M,False,44.153,42.239,42.314,45.281,45.183
147,M,False,61.113,61.192,61.198,60.915,60.311
148,M,False,36.198,36.514,36.841,36.996,37.727
149,M,True,35.354,35.216,35.219,35.632,35.174
150,M,True,53.57,54.265,54.562,54.035,54.272
151,M,False,54.265,54.562,54.035,54.272,54.652
152,M,False,54.147,54.334,54.584,54.518,55.23
153,M,True,56.966,56.487,57.041,57.031,57.175
154,M,False,57.489,57.362,57.497,57.259,57.574
155,M,False,57.479,57.297,56.678,57.357,57.424
156,M,False,57.63,57.752,57.074,56.879,57.183
157,M,False,58.89,58.934,58.535,58.525,58.667
158,M,False,59.007,59.386,59.397,59.039,59.762
159,M,False,65.233,65.041,65.003,64.745,64.363
160,M,False,63.846,63.716,63.036,63.16,62.776
161,M,False,42.663,42.0,41.314,40.96,40.875
162,M,True,65.327,66.198,65.436,66.422,66.038
163,M,False,77.622,78.001,78.6,78.827,78.296
164,M,False,71.77,73.219,73.553,73.414,72.738
165,M,True,0.0,0.0,0.0,0.0,0.0
166,M,False,55.258,55.11,55.568,55.322,55.567
167,M,True,51.413,51.393,51.482,51.241,51.637
168,M,True,56.265,56.705,56.607,56.846,56.883
169,M,False,57.122,56.637,56.832,56.61,56.467
170,M,True,58.991,58.879,59.046,58.664,58.723
171,M,False,61.689,62.289,62.921,63.424,63.68
172,M,False,64.816,65.02,65.222,65.675,66.169
173,M,False,33.902,33.516,33.587,33.513,33.745
174,M,False,37.84,38.145,38.518,38.558,38.584
175,M,False,57.281,56.791,57.359,57.508,57.975
176,M,True,0.0,0.0,0.0,0.0,0.0
177,M,False,38.973,38.305,38.38,38.199,37.517
178,M,False,38.804,37.662,36.482,38.113,36.342
179,M,False,61.355,61.181,61.475,61.576,61.714
180,M,True,45.005,44.199,44.382,44.477,44.195
181,M,False,49.198,49.201,48.652,48.634,48.684
182,M,True,47.054,47.395,47.583,47.424,48.061
183,M,False,47.151,47.415,48.204,48.648,48.62
184,M,True,55.029,55.917,55.829,56.253,56.188
185,M,False,54.752,55.223,55.591,55.759,55.646
186,M,True,62.626,62.825,63.386,63.779,64.013
187,M,False,69.806,69.71,68.849,68.448,68.172
188,M,False,66.032,66.053,65.998,66.365,66.244
189,M,True,66.551,66.605,66.635,66.427,66.336
190,M,True,70.024,70.248,69.296,69.584,69.212
191,M,True,67.793,68.189,67.754,67.833,67.574
192,M,True,68.951,69.388,69.584,69.78,70.354
193,M,False,64.294,64.356,64.06,63.976,63.734
194,M,True,69.057,69.269,69.845,70.036,70.404
195,M,False,72.245,72.19,72.143,72.796,72.727
196,M,False,72.684,72.978,72.741,72.655,73.006
197,M,True,72.861,72.565,72.033,72.403,71.927
198,M,True,71.927,71.579,71.561,71.471,70.888
199,M,False,69.714,69.388,70.037,70.9,71.724
200,M,False,28.517,29.584,29.386,30.397,30.62
201,M,True,71.573,71.959,72.028,71.768,71.72
202,M,False,71.72,71.984,71.448,71.72,72.319
203,M,False,72.707,72.508,72.717,72.882,73.175
204,M,True,69.663,70.126,70.1,70.43,70.849
205,M,False,72.691,73.015,73.15,72.878,72.988
206,M,True,73.482,73.945,74.169,73.938,74.056
207,M,False,73.873,73.821,74.0,74.018,73.469
208,M,True,69.65,69.781,70.104,70.41,71.158
209,M,False,72.142,71.761,71.431,71.134,70.76
210,M,True,70.698,70.241,69.893,70.31,70.31
211,M,False,66.906,66.381,66.554,66.749,66.858
212,M,False,67.15,67.158,66.669,66.086,66.121
213,M,False,32.594,32.71,32.735,32.742,32.644
214,M,True,61.367,61.419,61.608,61.397,61.257
215,M,True,55.925,55.374,54.833,54.458,54.669
216,M,False,53.023,53.69,53.796,53.548,53.818
217,M,False,52.341,52.1,52.155,52.162,51.655
218,M,False,50.12,50.381,49.436,49.426,49.02
219,M,True,52.598,52.235,52.755,52.291,52.287
220,M,False,54.64,55.185,55.122,55.291,55.57
221,M,False,55.708,55.531,55.564,55.594,55.676
222,M,False,56.287,55.857,55.649,55.633,55.339
223,M,False,39.072,39.06,38.92,38.606,38.485
224,M,False,30.886,31.669,31.473,31.676,31.357
225,M,True,41.79,42.014,42.356,42.538,42.633
226,M,False,44.317,44.41,44.301,44.629,44.38
227,M,False,50.778,50.383,50.414,50.652,51.034
228,M,False,44.755,44.794,44.484,44.656,44.53
229,M,False,18.342,23.808,23.981,27.186,26.853
230,M,False,23.981,27.186,26.853,28.361,30.234
231,M,False,53.033,53.566,53.358,53.146,53.215
232,M,False,58.962,58.677,52.189,57.87,56.917
233,M,False,48.69,48.421,47.874,47.503,47.095
234,M,False,47.161,46.364,45.389,45.024,44.514
235,M,True,40.437,39.006,50.919,54.505,67.081
236,M,True,38.62,39.699,39.44,39.252,39.384
237,M,True,44.216,43.361,43.84,43.569,43.451
238,M,False,46.009,46.611,47.539,47.66,46.508
239,M,True,45.384,45.719,45.477,45.225,44.451
240,M,False,50.194,50.355,49.677,49.306,48.848
241,M,False,50.967,50.792,49.613,50.232,49.542
242,M,True,74.457,73.887,73.493,73.533,73.653
243,M,False,76.244,76.295,76.153,76.976,75.99
244,M,False,76.688,75.859,75.921,75.625,75.638
245,M,False,37.603,36.895,36.379,36.233,36.226
246,M,False,69.353,69.897,70.239,70.161,70.611
247,M,False,61.7,61.749,62.457,62.185,62.407
248,M,True,46.984,47.082,47.099,47.437,47.601
249,M,False,51.816,51.904,51.83,52.088,52.085
250,M,True,65.454,66.225,65.46,65.967,65.554
251,M,False,66.469,67.384,67.303,67.296,68.216
252,M,False,72.198,74.338,67.188,66.66,65.729
253,M,False,38.848,38.745,38.252,38.823,38.451
254,M,False,63.348,63.663,64.084,63.753,63.054
255,M,False,59.91,60.187,60.594,60.31,59.795
256,M,False,80.248,80.537,79.624,80.104,79.029
257,M,False,74.079,74.023,73.406,73.338,72.82
258,M,False,61.511,61.345,60.494,59.673,59.038
259,M,False,44.297,45.106,45.727,45.326,45.788
260,M,True,48.188,48.173,48.18,48.388,48.152
261,M,False,48.731,48.575,49.662,49.888,49.838
262,M,False,32.261,31.859,32.101,32.179,31.855
263,M,False,40.339,40.315,40.395,40.686,41.115
264,M,False,51.521,51.535,51.73,51.943,52.327
265,M,False,38.216,39.112,38.495,38.458,38.815
266,M,False,29.719,29.773,30.751,30.04,30.973
267,M,False,29.074,29.515,29.819,29.646,29.596
268,M,False,36.604,36.123,36.302,36.524,36.713
269,M,False,64.509,64.614,65.054,66.08,66.298
270,M,True,62.477,61.786,61.62,62.019,62.195
271,M,False,62.019,62.195,62.17,62.017,61.262
272,M,False,29.515,29.82,30.175,29.607,29.723
273,M,False,56.183,56.048,56.232,55.906,56.248
274,M,True,64.407,64.72,64.969,65.565,65.545
275,M,False,68.073,67.256,67.466,66.989,66.767
276,M,True,55.404,55.734,56.478,56.532,56.824
277,M,False,67.334,67.063,66.806,66.229,65.695
278,M,True,65.433,65.014,65.299,65.311,65.528
279,M,True,73.004,73.491,73.547,74.315,74.759
280,M,False,76.821,77.06,76.984,76.613,76.618
281,M,False,76.984,76.613,76.618,76.867,77.243
282,M,False,51.308,50.933,50.943,51.227,51.251
283,M,False,73.091,73.742,73.801,74.039,73.741
284,M,False,74.039,73.741,73.579,73.836,73.712
285,M,True,0.0,0.0,0.0,0.0,0.0
286,M,True,30.315,29.885,30.151,30.789,30.705
287,M,True,46.258,46.433,47.094,47.156,47.399
288,M,False,47.909,48.521,49.469,50.429,49.664
289,M,False,51.569,50.426,50.39,49.527,49.355
290,M,False,49.938,49.165,49.933,49.705,49.754
291,M,False,53.401,53.54,53.572,53.906,55.098
292,M,True,52.639,52.768,52.84,53.149,53.171
293,M,False,47.98,47.397,47.303,46.811,46.846
294,M,False,50.879,51.314,51.117,51.686,51.29
295,M,False,44.988,45.522,45.714,45.459,45.258
296,M,True,66.363,67.289,66.203,66.431,67.305
297,M,False,66.203,66.431,67.305,66.06,65.546
298,M,False,42.888,42.987,42.374,42.336,42.17
299,M,False,30.414,30.183,30.231,30.603,30.444
300,M,False,58.968,58.399,57.976,58.118,57.621
301,M,True,62.411,62.995,63.471,63.389,63.587
302,M,False,64.116,64.384,64.451,64.739,64.558
303,M,True,44.672,44.988,44.945,44.676,44.685
304,M,True,45.768,45.789,46.46,46.891,47.358
305,M,True,54.691,55.186,55.012,55.232,55.452
306,M,True,59.992,60.437,60.35,60.658,60.852
307,M,True,61.202,60.779,60.41,60.372,60.243
308,M,False,81.295,81.197,81.461,80.889,81.122
309,M,False,33.255,32.896,32.898,32.079,32.426
310,M,False,46.091,46.478,46.44,46.349,46.054
311,M,False,36.671,37.089,36.906,37.048,36.996
312,M,True,71.572,72.295,73.134,74.099,75.825
313,M,True,77.206,76.994,76.37,75.833,75.612
314,M,False,65.004,65.38,65.427,65.186,65.514
315,M,False,36.667,37.275,36.013,38.275,37.364
316,M,True,48.058,48.435,48.464,47.982,47.96
317,M,False,45.293,45.247,45.328,45.574,45.294
318,M,False,52.871,54.015,54.618,54.848,54.777
319,M,True,33.573,33.603,34.619,35.526,35.85
320,M,False,35.881,36.187,36.517,36.339,36.844
321,M,True,56.532,56.705,57.491,57.553,57.994
322,M,False,57.553,57.994,57.763,58.03,58.362
323,M,False,40.999,41.27,41.392,41.61,41.576
324,M,True,58.988,58.797,58.814,58.799,58.26
325,M,False,55.442,55.753,55.876,56.033,56.165
326,M,False,55.129,55.374,54.412,54.567,53.907
327,M,False,51.089,50.832,50.949,51.778,51.691
328,M,False,70.734,70.112,70.03,70.668,70.318
329,M,True,73.345,73.848,74.242,74.829,74.625
330,M,False,64.885,64.793,64.483,64.163,63.679
331,M,True,32.219,32.188,31.44,31.492,31.65
332,M,True,35.98,36.677,36.265,36.624,36.681
333,M,True,39.212,39.546,39.078,39.402,39.483
334,M,False,41.439,41.837,42.001,42.505,42.205
335,M,False,44.539,44.792,45.064,45.564,45.419
336,M,False,33.369,33.571,33.667,33.582,33.712
337,M,False,73.341,73.311,73.33,73.884,73.768
338,M,True,56.359,56.487,56.691,56.447,56.409
339,M,False,36.94,36.843,36.577,36.021,36.241
340,M,False,40.632,40.753,40.3,40.073,39.731
341,M,False,25.395,29.709,26.904,28.041,31.91
342,M,False,37.236,33.948,33.458,32.672,31.943
343,M,False,30.003,30.134,30.355,30.023,29.969
344,M,False,29.409,30.15,30.194,30.738,29.973
345,M,False,34.013,33.301,32.961,32.827,32.165
346,M,False,34.19,34.109,33.655,33.226,33.818
347,M,True,47.751,48.142,47.346,47.459,46.62
348,M,False,46.421,46.178,45.611,45.866,45.876
349,M,False,48.824,47.571,47.046,48.598,48.937
350,M,True,51.823,52.087,52.006,52.122,51.606
351,M,False,56.274,56.553,56.191,56.357,55.645
352,M,True,58.365,58.981,59.349,60.019,60.653
353,M,True,66.656,66.824,67.135,66.586,66.314
354,M,False,63.829,63.772,63.935,63.654,63.373
355,M,False,66.6,66.097,66.618,66.62,66.949
356,M,False,59.279,59.269,59.215,59.164,58.713
357,M,False,66.679,66.992,67.841,68.698,68.882
358,M,False,68.611,68.508,68.386,68.074,68.325
359,M,False,72.542,72.141,71.929,71.698,70.952
360,M,True,71.938,71.74,71.406,71.421,71.285
361,M,False,71.199,71.287,70.671,70.901,69.994
362,M,False,69.561,69.49,69.607,69.646,69.389
363,M,False,72.575,72.291,73.104,72.529,73.208
364,M,True,59.41,58.464,58.232,57.352,57.165
365,M,False,58.655,58.682,58.976,59.746,60.53
366,M,False,56.373,56.654,56.766,56.61,56.375
367,M,True,65.646,65.63,65.335,64.634,64.685
368,M,True,68.653,68.419,68.537,68.648,68.968
369,M,True,75.197,75.244,75.574,76.157,74.789
370,M,True,72.291,72.96,72.868,73.989,74.642
371,M,True,74.662,73.422,73.467,73.474,73.982
372,M,True,79.657,80.389,80.653,80.485,81.288
373,M,True,81.202,81.87,81.507,82.12,81.953
374,M,False,80.576,80.947,80.596,79.741,79.633
375,M,False,80.434,80.538,80.616,80.83,80.431
376,M,True,80.787,81.247,81.452,81.385,82.313
377,M,False,75.691,75.463,75.657,75.729,75.627
378,M,False,75.859,75.683,75.179,75.097,75.49
379,M,False,77.631,77.709,77.931,78.416,78.363
380,M,False,59.053,58.73,58.669,58.381,58.298
381,M,False,39.335,38.737,38.42,38.284,38.654
382,M,False,58.519,59.06,59.16,59.496,60.006
383,M,False,46.999,47.263,46.947,47.459,46.968
384,M,False,31.51,31.542,31.635,31.868,32.047
385,M,False,24.63,24.736,24.787,24.934,24.984
386,M,False,58.645,58.739,58.56,58.927,58.88
387,M,False,73.689,74.287,73.959,74.689,75.379
388,M,True,40.471,41.473,39.854,41.176,38.755
389,M,True,46.268,46.198,45.614,48.695,49.348
390,M,True,50.75,50.883,51.551,51.166,51.135
391,M,False,52.927,54.481,53.727,54.61,53.693
392,M,False,56.713,56.782,57.306,56.915,57.874
393,M,False,59.296,59.395,59.104,60.133,59.467
394,M,True,52.687,52.627,52.09,52.373,52.415
395,M,False,52.989,53.32,53.667,54.222,56.08
396,M,False,36.568,36.02,35.426,34.585,34.036
397,M,True,47.225,46.403,46.313,46.13,45.873
398,M,True,39.721,39.914,39.927,40.289,40.51
399,M,False,35.739,35.942,36.051,35.808,36.158
400,M,False,52.666,52.91,52.815,53.428,53.332
401,M,False,47.158,50.55,51.137,51.039,52.014
402,M,True,69.116,70.525,71.547,71.818,72.586
403,M,False,71.369,71.165,70.818,71.114,70.861
404,M,False,66.079,65.183,64.876,64.816,64.716
405,M,False,34.129,34.227,33.672,33.94,33.834
406,M,False,34.471,34.764,34.821,34.735,34.811
407,M,False,53.283,52.658,52.445,52.076,51.284
408,M,False,64.732,64.712,64.769,64.918,65.107
409,M,True,42.6,42.453,42.738,42.701,41.896
410,M,False,36.259,36.019,35.972,35.555,35.693
411,M,False,35.769,35.85,35.697,35.811,35.589
412,M,False,39.077,39.099,38.617,38.52,38.29
413,M,False,51.111,51.17,51.691,52.295,53.667
414,M,False,59.997,59.548,59.188,58.986,58.763
415,M,True,37.221,36.289,35.908,35.462,36.218
416,M,True,41.555,40.49,41.461,40.782,41.001
417,M,True,42.674,44.108,44.051,43.37,44.073
418,M,True,53.468,53.914,53.823,54.122,53.999
419,M,True,42.062,41.919,43.366,42.615,42.481
420,M,False,41.286,41.148,40.574,40.566,40.87
421,M,False,91.622,90.678,90.212,90.136,91.063
422,M,False,43.222,43.699,43.868,44.214,44.412
423,M,False,51.173,51.155,51.093,51.516,51.313
424,M,False,42.175,42.99,42.852,43.067,42.599
425,M,False,31.652,31.769,31.902,31.603,31.629
426,M,False,47.863,47.805,47.63,47.722,48.072
427,M,False,32.629,32.789,33.126,33.075,32.776
428,M,True,38.048,38.059,38.764,39.0,38.546
429,M,False,43.033,43.29,43.13,43.316,42.984
430,M,False,38.563,38.195,38.03,37.853,37.228
431,M,False,42.915,43.037,43.496,43.125,43.137
432,M,False,47.879,47.062,47.01,46.506,46.884
433,M,True,55.343,54.971,55.105,55.038,54.671
434,M,False,55.105,55.038,54.671,54.695,54.835
435,M,False,56.966,57.227,57.057,57.555,56.569
436,M,True,32.133,31.692,33.037,32.384,32.533
437,M,True,44.964,44.841,44.769,44.477,44.362
438,M,False,47.451,47.162,46.826,46.563,46.242
439,M,False,47.704,48.062,48.657,49.322,49.531
440,M,False,49.531,49.464,49.782,50.248,50.318
441,M,False,48.86,48.996,48.695,48.906,48.946
442,M,True,54.547,54.736,54.911,54.98,55.462
443,M,False,58.911,58.556,58.21,57.942,57.694
444,M,True,60.74,60.763,61.23,61.119,61.004
445,M,True,60.212,60.1,59.922,59.782,59.763
446,M,True,52.979,52.973,52.707,52.605,52.652
447,M,False,52.707,52.605,52.652,53.138,53.128
448,M,False,54.111,54.211,54.482,54.57,54.685
449,M,False,53.605,53.507,53.588,53.645,53.634
450,M,False,54.055,54.285,54.34,54.302,54.239
451,M,True,52.832,52.559,52.228,51.934,51.523
452,M,False,50.756,50.528,50.446,50.528,50.305
453,M,False,48.775,48.51,48.201,48.137,47.879
454,M,False,48.654,48.731,48.477,48.619,48.475
455,M,False,47.946,47.721,47.371,46.873,46.755
456,M,True,45.187,45.242,45.425,45.23,45.297
457,M,True,40.894,40.705,40.942,41.076,41.279
458,M,False,40.534,40.507,40.534,40.688,40.471
459,M,False,40.375,40.534,40.385,40.617,40.693
460,M,False,40.353,40.329,39.862,39.712,39.727
461,M,False,39.187,38.916,39.086,39.24,39.11
462,M,False,40.159,39.174,39.235,39.276,38.965
463,M,False,38.751,39.049,39.126,39.372,39.27
464,M,False,39.27,39.364,39.327,39.751,40.035
465,M,False,40.111,40.713,39.494,39.558,39.265
466,M,True,32.464,32.056,31.887,32.072,31.374
467,M,False,34.667,34.441,34.393,35.018,35.397
468,M,True,38.73,38.405,38.584,38.903,40.094
469,M,True,40.457,40.356,39.855,38.982,39.242
470,M,True,46.285,46.476,46.896,46.606,46.33
471,M,False,47.969,48.14,48.484,48.59,49.154
472,M,False,48.663,48.432,47.969,47.519,47.268
473,M,False,49.655,49.541,49.625,49.331,48.979
474,M,False,62.159,62.264,61.972,61.887,61.77
475,M,True,32.964,32.969,33.14,33.237,33.736
476,M,True,36.774,36.951,37.154,37.436,38.178
477,M,False,41.303,41.123,41.271,41.498,41.85
478,M,False,58.462,58.197,58.0,57.192,56.494
479,M,True,62.251,62.127,61.436,61.705,61.666
480,M,True,61.503,61.089,60.516,59.53,58.998
481,M,False,57.978,58.129,58.047,57.944,58.077
482,M,False,56.752,56.727,56.592,56.439,56.16
483,M,False,43.882,44.236,44.3,44.619,44.557
484,M,True,61.705,61.747,61.616,61.7,61.804
485,M,True,59.705,59.808,59.791,59.338,59.659
486,M,False,61.0,61.146,61.238,61.319,61.116
487,M,True,59.743,59.556,59.83,59.932,59.625
488,M,True,46.169,46.427,46.309,46.517,46.714
489,M,False,57.748,57.817,57.662,57.731,57.726
490,M,False,45.213,44.896,44.819,44.942,44.712
491,M,False,49.951,49.646,49.738,49.997,49.978
492,M,False,58.332,58.086,58.105,58.488,58.46
493,M,False,62.243,61.919,61.454,61.036,61.545
494,M,False,50.339,50.146,49.685,49.366,48.987
495,M,False,62.271,62.428,62.018,61.86,61.72
496,M,False,29.171,29.462,33.503,28.59,29.806
497,M,True,62.942,63.01,62.647,63.316,64.068
498,M,False,65.578,65.332,65.621,65.773,65.047
499,M,False,66.015,65.433,65.058,64.367,63.709
500,M,False,38.503,38.625,37.971,37.79,37.66
501,M,False,68.062,67.82,66.939,67.165,67.549
502,M,False,31.319,31.497,31.006,31.066,32.24
503,M,False,38.734,38.042,38.258,39.29,38.543
504,M,False,37.729,37.556,37.737,37.143,36.263
505,M,False,36.009,35.044,34.988,36.521,38.796
506,M,False,33.757,34.117,33.732,34.626,34.094
507,M,True,41.344,41.578,41.59,41.682,41.744
508,M,False,43.403,43.882,44.025,43.991,44.67
509,M,True,44.864,44.436,44.008,44.254,44.349
510,M,True,54.638,55.249,55.815,55.986,56.272
511,M,False,62.251,62.781,63.102,63.835,63.179
512,M,True,63.616,63.165,64.116,63.752,63.537
513,M,True,68.665,69.255,69.239,69.339,69.372
514,M,False,69.339,69.372,69.069,68.588,68.905
515,M,False,69.311,69.844,70.186,70.662,70.266
516,M,False,77.205,77.226,77.406,77.799,78.292
517,M,False,79.96,79.692,79.334,78.721,78.856
518,M,False,79.65,79.114,79.111,78.507,77.866
519,M,True,74.337,75.243,74.484,74.296,73.58
520,M,True,65.228,64.504,65.12,64.984,64.416
521,M,False,63.601,62.747,61.962,61.553,60.611
522,M,False,42.081,41.91,41.61,41.688,41.75
523,M,False,61.24,61.431,61.062,60.923,61.711
524,M,False,35.765,37.527,37.045,36.793,36.347
525,M,True,39.57,39.498,39.175,39.244,40.018
526,M,True,42.595,42.186,42.466,42.875,42.923
527,M,False,44.6,44.175,43.753,44.222,43.347
528,M,False,42.539,41.901,42.51,42.554,42.635
529,M,False,46.741,45.005,46.666,45.75,46.322
530,M,False,42.396,41.76,42.386,45.42,43.781
531,M,True,60.568,60.424,60.035,60.042,60.116
532,M,False,64.8,65.211,66.221,67.038,66.959
