,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5
0,X,False,77.032,77.983,78.456,77.285,77.846
1,X,False,72.767,72.836,72.742,72.625,72.476
2,X,False,43.583,43.314,43.31,43.411,43.413
3,X,False,68.637,69.47,69.624,69.945,69.497
4,X,True,69.928,69.586,70.441,70.751,70.922
5,X,True,47.191,43.037,47.18,45.205,42.439
6,X,False,39.934,40.32,41.281,40.263,41.194
7,X,False,30.516,30.638,30.314,30.553,30.206
8,X,True,43.407,42.791,42.537,42.434,41.737
9,X,False,59.814,60.255,59.904,60.302,59.895
10,X,False,60.067,60.44,60.837,60.315,60.779
11,X,False,68.735,68.888,68.293,67.824,68.046
12,X,False,56.958,56.773,57.003,57.085,57.313
13,X,False,39.573,39.463,39.73,39.197,39.719
14,X,True,49.429,45.02,42.869,38.761,35.353
15,X,True,50.418,50.548,50.835,50.851,50.882
16,X,False,35.407,34.687,34.5,34.861,34.72
17,X,False,49.664,49.558,49.519,49.283,49.522
18,X,False,65.067,64.835,65.433,65.911,66.286
19,X,False,66.801,67.613,67.692,67.809,68.519
20,X,False,45.517,45.372,45.092,44.697,44.45
21,X,False,57.091,57.434,57.763,58.229,58.611
22,X,False,21.894,22.405,22.366,22.389,22.851
23,X,False,34.002,33.589,33.961,34.578,34.815
24,X,False,35.537,35.819,35.407,36.21,36.717
25,X,False,35.53,36.956,35.529,37.085,35.66
26,X,True,59.806,59.724,59.802,59.927,59.76
27,X,True,59.764,59.807,59.935,60.118,60.146
28,X,True,58.375,58.114,58.096,57.693,57.326
29,X,True,54.653,54.574,54.571,54.396,54.151
30,X,True,49.835,50.002,50.147,50.314,50.554
31,X,False,47.999,47.512,47.682,47.83,47.714
32,X,False,54.681,54.694,54.308,54.097,54.124
33,X,True,57.209,56.84,56.312,56.113,56.536
34,X,False,42.29,41.744,44.034,42.796,53.705
35,X,True,74.477,75.662,74.949,74.852,74.526
36,X,True,75.674,75.092,74.88,74.591,74.171
37,X,False,73.185,74.428,74.397,73.623,74.297
38,X,False,38.984,39.558,39.402,39.114,38.879
39,M,False,62.333,62.781,62.429,61.171,61.188
40,M,False,48.468,46.638,48.74,50.162,49.295
41,M,False,39.771,39.371,39.346,39.4,38.819
42,M,False,59.704,60.081,61.35,61.591,61.994
43,M,True,31.663,27.586,32.655,27.728,27.39
44,M,False,34.737,33.159,35.668,33.667,36.567
45,M,False,35.611,35.276,35.262,35.234,35.137
46,M,False,32.576,32.508,32.791,32.557,32.028
47,M,False,41.403,40.112,41.637,41.425,42.028
48,M,True,77.349,78.803,77.425,77.272,78.757
49,M,True,79.392,79.369,80.432,81.244,81.344
50,M,False,56.309,55.372,54.719,53.708,52.797
51,M,False,66.699,67.047,67.005,66.912,67.524
52,M,True,62.152,62.466,62.375,62.339,62.707
53,M,True,63.688,63.421,62.902,62.298,62.505
