,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5
2104,N,False,4.1019,8.4181,2.2573,2.6064,0.16529
2105,N,False,21.128,6.2405,7.8648,5.9806,10.553
2106,N,False,15.02,7.1717,7.8068,8.4535,5.4345
2107,N,False,433.01,430.46,429.18,435.81,435.83
2108,N,False,0.065862,2.1772,0.11309,1.3235,0.78428
2109,N,False,1.0945,2.6363,20.444,10.659,3.0137
2110,N,False,2.731,0.26135,3.7323,1.5579,2.6239
2111,N,False,56.571,60.602,52.568,63.419,57.337
2112,N,False,89.283,73.3,73.318,74.234,66.98
2113,N,False,138.1,130.49,137.13,136.41,135.41
2114,N,False,57.12,58.456,16.48,58.323,57.118
2115,N,False,14.225,11.753,13.031,12.946,10.766
2116,N,False,8.9564,2.2771,18.478,18.041,29.638
2117,N,False,25.031,25.467,28.866,26.722,21.021
2118,N,False,7.7761,7.1399,10.893,8.6015,7.7262
2119,N,False,103.52,101.78,95.861,91.058,89.669
2120,N,False,71.881,77.088,76.186,77.388,79.433
2121,N,False,30.593,31.172,29.293,29.157,34.492
2122,N,False,7.2945,10.709,14.454,19.594,12.155
2123,N,False,9.7113,9.7492,6.9572,7.3838,6.1907
2124,N,False,0.32212,4.0963,3.4378,2.7232,3.1984
2125,N,False,23.893,20.559,22.303,28.622,22.774
2126,N,False,2.7779,1.7084,2.2761,3.3928,7.7324
2127,N,False,20.608,17.447,21.534,20.663,23.938
2128,N,False,1.9978,0.68481,0.50688,2.953,1.5075
2129,N,False,3.1732,5.3558,8.9018,10.189,7.3216
2130,N,False,673.2,662.05,666.04,654.08,668.25
2131,N,False,13.933,0.34984,2.3992,3.8623,9.2466
2132,N,False,30.478,31.03,35.078,28.953,28.455
2133,N,False,9.8657,13.78,5.9241,4.2384,2.2629
2134,N,False,17.466,22.253,19.473,20.005,20.648
2135,N,False,567.6,566.57,588.89,554.85,547.08
2136,N,False,34.599,35.521,24.818,34.112,39.061
2137,N,False,2.5614,3.363,6.2919,5.3345,12.048
2138,N,False,29.59,25.641,30.982,31.667,26.368
2139,N,False,55.989,59.333,48.097,56.294,57.003
2140,N,False,2.9748,5.5965,1.6632,6.7697,3.8817
2141,N,False,0.55385,0.16482,2.3498,2.6093,0.3997
2142,N,False,50.765,61.377,47.467,46.444,41.294
2143,N,False,11.148,20.991,22.069,15.819,12.937
2144,N,False,13.418,16.102,14.667,12.215,14.845
2145,N,False,27.891,28.611,27.713,22.786,19.371
2146,N,False,177.36,190.76,176.58,173.7,187.22
2147,N,False,2.6654,3.2149,4.2933,5.0795,5.3798
2148,N,False,2.8541,4.1329,7.2059,8.145,5.1644
2149,N,False,4.2164,3.2633,1.7762,0.090357,6.4576
2150,N,False,28.789,24.62,21.524,20.485,26.69
2151,N,False,105.71,127.53,88.439,96.125,95.857
2152,N,False,10.262,10.82,15.257,6.4447,9.6769
2153,N,False,26.979,22.266,29.821,12.104,2.8967
2154,N,False,3.4687,5.4485,8.7349,17.046,2.4594
2155,N,False,13.85,11.653,13.989,3.3719,7.7501
2156,N,False,10.017,10.467,12.594,12.84,15.361
2157,N,False,13.656,4.8158,1.2983,4.764,4.5479
2158,N,False,9.0217,6.6932,9.8541,9.5275,10.684
2159,N,False,316.02,300.41,275.45,263.24,287.28
2160,N,False,3.8187,0.82529,6.8669,8.1248,7.5469
2161,N,False,223.77,205.68,210.97,204.02,189.19
2162,N,False,42.693,37.787,35.13,46.085,53.18
2163,N,False,1902.8,1915.6,1938.7,1959.7,1968.3
2164,N,False,0.16853,1.6823,5.1636,6.837,4.1523
2165,N,False,82.166,74.311,84.097,87.224,84.885
2166,N,False,181.03,184.72,189.27,198.51,203.0
2167,N,False,54.695,56.496,60.047,53.784,54.257
2168,N,False,21.717,6.7543,3.7003,0.59586,7.2091
2169,N,False,13.82,14.633,10.839,17.844,19.196
2170,N,False,406.73,431.02,422.54,426.64,412.76
2171,N,False,5.1715,9.5641,11.246,13.571,11.448
2172,N,False,364.91,372.28,362.57,338.87,345.37
2173,N,False,6.763,7.6827,7.532,15.97,8.5754
2174,N,False,44.738,47.503,48.736,43.625,42.523
2175,N,False,1.1597,3.5107,5.1931,3.2841,6.1007
2176,N,False,35.359,44.974,39.698,41.26,38.572
2177,N,False,8.5836,11.185,6.7071,2.362,11.209
2178,N,False,46.713,38.85,43.838,32.012,26.216
2179,N,False,31.272,36.181,52.715,46.713,38.85
2180,N,False,3.3028,6.1736,6.0332,3.6005,4.8236
2181,N,False,8.2811,8.7957,6.0715,3.6304,3.7971
2182,N,False,60.92,74.406,79.527,78.041,78.534
2183,N,False,9.7491,9.6334,8.7517,4.6739,1.7091
2184,N,False,156.62,188.56,187.94,144.13,143.49
2185,N,False,17.048,26.692,29.629,20.363,26.545
2186,N,False,149.28,141.05,143.66,163.7,150.74
2187,N,False,14.715,19.726,21.636,22.089,22.503
2188,N,False,640.63,671.43,659.3,631.61,636.71
2189,N,False,344.47,347.04,351.66,351.67,356.95
2190,N,False,9.2045,4.7567,25.256,14.942,4.8092
2191,N,False,5.5332,1.3898,3.1693,0.041428,1.6208
2192,N,False,21.533,21.771,15.327,13.527,18.229
2193,N,False,12.845,14.627,16.564,13.371,7.8411
2194,N,False,409.32,413.97,396.73,285.06,284.46
2195,N,False,192.57,177.69,172.72,164.32,183.48
2196,N,False,40.476,43.628,42.13,44.487,45.797
2197,N,False,11.213,11.255,15.221,16.981,3.9607
2198,N,False,21.651,24.155,17.594,19.518,19.054
2199,N,False,52.782,62.939,49.543,46.746,41.282
2200,N,False,39.369,51.775,69.035,45.102,82.884
2201,N,False,6.594,1.962,8.1789,0.27131,3.3967
2202,N,False,5.8712,4.537,8.1624,3.403,2.2637
2203,N,False,24.902,20.643,20.858,28.231,27.777
2204,N,False,9.2732,7.4536,7.4563,8.6534,7.2481
2205,N,False,534.36,547.07,528.72,568.52,568.49
2206,N,False,134.45,135.41,141.02,146.45,145.3
2207,N,False,17.21,20.925,17.955,20.918,17.144
2208,N,False,119.84,114.93,120.84,118.76,115.84
2209,N,False,32.863,33.193,37.712,29.706,30.377
2210,N,False,9.7865,8.6804,8.3549,2.6106,8.7917
2211,N,False,33.193,37.712,29.706,30.377,33.589
2212,N,False,0.35579,0.32726,0.53292,1.1975,1.3542
2213,N,False,10.067,11.429,10.426,13.125,10.364
2214,N,False,439.44,452.29,451.54,430.62,418.44
2215,N,False,15.786,21.736,24.232,26.39,26.453
2216,N,False,8.0666,7.4602,8.0743,2.8206,4.3156
2217,N,False,50.846,38.475,49.124,56.103,53.551
2218,N,False,27.278,20.045,25.747,26.053,27.674
2219,N,False,30.153,29.258,32.004,48.25,31.704
2220,N,False,14.306,24.713,39.28,18.285,30.79
2221,N,False,5.8647,8.5318,18.444,21.911,0.90483
2222,N,False,11.021,0.50344,8.4545,6.1741,10.55
2223,N,False,31.588,31.734,24.501,24.724,39.525
2224,N,False,16.889,16.552,15.583,13.668,14.708
2225,N,False,12.969,7.7322,9.6085,7.222,12.63
