,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5
1560,B,False,187.64,189.12,184.69,188.6,188.41
1561,B,False,271.82,278.77,276.82,287.73,285.72
1562,B,False,639.21,639.87,649.84,655.2,650.36
1563,B,False,111.75,112.65,110.04,109.53,105.64
1564,B,False,114.64,113.11,114.8,110.75,110.9
1565,B,False,252.98,250.41,251.81,252.49,244.88
1566,B,False,384.82,410.38,410.5,412.23,399.65
1567,B,False,409.08,413.79,402.17,403.71,399.19
1568,B,False,79.153,85.422,83.629,88.464,81.421
1569,B,False,642.1,625.4,625.2,626.3,615.32
1570,B,False,720.51,720.76,720.68,735.57,745.91
1571,B,False,155.93,156.9,176.02,178.14,160.13
1572,B,False,68.13,65.471,67.041,66.54,69.512
1573,B,False,17.011,21.502,32.597,32.85,37.04
1574,B,False,517.18,517.34,499.45,499.63,487.65
1575,B,False,168.84,170.36,170.87,171.98,172.62
1576,B,False,725.2,711.37,702.72,736.14,717.45
1577,B,False,194.8,202.64,193.13,189.98,190.15
1578,B,False,176.57,172.15,172.91,169.82,169.6
1579,B,False,333.04,334.97,335.35,346.02,351.87
1580,B,False,139.59,139.67,145.83,142.85,143.42
1581,B,True,441.71,446.12,433.26,429.85,431.28
1582,B,False,584.14,597.89,581.7,569.56,556.35
1583,B,False,439.36,437.1,449.25,445.78,460.18
1584,B,False,624.85,621.69,630.38,630.91,656.23
1585,B,False,1391.5,1420.5,1441.5,1455.3,1469.5
1586,B,False,120.07,112.99,110.58,108.79,112.96
1587,B,False,596.17,592.0,596.05,582.0,581.76
1588,B,False,293.9,294.85,280.23,288.41,286.35
1589,B,False,678.95,665.23,677.32,667.17,683.51
1590,B,False,203.71,202.71,200.69,202.05,204.56
1591,B,True,377.35,368.7,364.47,365.95,364.5
1592,B,False,466.74,459.09,459.29,461.97,463.07
1593,B,False,434.72,437.37,430.62,436.44,456.4
1594,B,False,343.65,340.77,325.56,326.22,329.87
1595,B,False,492.29,477.41,479.51,494.49,500.36
1596,B,False,94.739,108.84,119.29,129.68,134.82
1597,B,False,842.63,834.1,843.66,830.2,815.67
1598,B,False,398.28,437.05,424.07,411.08,418.15
1599,B,True,193.3,193.77,200.76,192.81,196.91
1600,B,False,884.04,894.84,903.94,897.26,887.69
1601,B,False,897.35,907.7,905.83,889.97,911.69
1602,B,False,419.58,418.15,422.03,422.17,424.4
1603,B,False,239.43,234.42,229.28,227.32,226.0
1604,B,False,590.29,597.56,603.6,600.91,594.82
1605,B,False,411.61,423.19,430.71,438.51,433.5
1606,B,False,185.28,184.72,190.03,187.17,190.03
1607,B,False,699.06,732.22,720.55,731.38,739.88
1608,B,True,240.5,235.53,242.04,238.74,229.35
1609,B,True,47.081,44.832,54.017,53.256,52.214
1610,B,False,574.94,571.57,577.84,576.87,575.05
1611,B,False,211.95,224.07,225.76,236.11,234.6
1612,B,False,75.195,78.242,87.894,86.52,82.186
1613,B,False,709.11,701.07,695.66,695.64,702.42
1614,B,False,416.13,415.07,418.32,426.21,426.79
1615,B,False,572.81,573.99,571.02,578.92,594.75
1616,B,False,548.5,574.47,572.08,563.64,569.21
1617,B,False,359.37,357.9,354.1,348.59,351.88
1618,B,False,57.548,61.706,60.727,60.447,55.051
1619,B,False,151.39,153.24,153.23,144.65,140.81
1620,B,False,448.69,452.58,439.91,436.99,433.98
1621,B,False,362.73,358.94,347.91,349.11,346.51
1622,B,False,462.98,433.59,453.88,449.25,442.29
1623,B,False,773.62,787.0,782.8,776.13,784.51
1624,B,True,247.22,245.76,250.85,252.75,251.01
1625,B,False,568.14,574.36,569.14,550.9,560.16
1626,B,False,401.84,407.23,404.16,413.65,441.1
1627,B,False,445.09,452.37,454.33,478.33,465.22
1628,B,False,761.47,750.18,755.49,767.36,773.61
1629,B,True,325.74,330.92,323.61,332.35,330.34
1630,B,False,527.84,529.23,540.39,543.4,532.72
1631,B,False,248.16,246.62,243.17,238.47,244.29
