,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5
44,M,False,193.73,206.3,211.24,214.78,224.58
45,M,False,422.14,430.61,428.99,424.92,424.41
46,M,False,528.4,515.14,514.26,518.12,516.2
47,M,False,242.96,240.66,243.66,245.29,250.75
48,M,True,301.05,302.57,302.68,309.29,315.17
49,M,True,837.61,844.88,848.57,853.25,854.26
50,M,False,348.72,356.13,351.15,358.8,356.2
51,M,False,1096.3,1101.1,1103.3,1101.4,1102.9
52,M,True,1106.2,1103.5,1105.1,1111.4,1119.1
53,M,True,720.14,716.9,722.06,710.82,713.41
54,M,False,1120.8,1117.8,1119.2,1125.9,1129.7
55,M,False,707.44,707.71,711.83,716.97,709.54
56,M,False,744.29,745.41,748.02,750.46,753.06
57,M,False,591.66,597.54,594.07,591.11,595.15
58,M,True,2066.4,2068.2,2067.2,2071.6,2070.9
59,M,True,913.34,918.82,915.47,907.71,919.64
60,M,False,2116.0,2116.9,2112.2,2113.0,2114.2
61,M,False,2107.0,2114.2,2126.5,2128.0,2129.0
62,M,False,962.46,961.67,960.64,961.95,961.5
63,M,False,1960.8,1949.7,1934.4,1922.2,1921.4
64,M,True,1281.5,1292.0,1289.6,1273.5,1283.8
65,M,False,1376.0,1366.3,1356.9,1361.9,1379.8
66,M,False,1553.4,1555.7,1562.7,1555.0,1563.2
67,M,False,1673.5,1681.9,1682.8,1698.6,1687.1
68,M,False,1677.4,1682.7,1692.5,1685.7,1702.8
69,M,True,1334.0,1340.0,1338.2,1343.0,1340.0
70,M,False,1355.8,1356.0,1361.0,1361.8,1364.2
71,M,False,1596.7,1596.2,1590.4,1590.2,1593.0
72,M,True,917.15,916.4,911.38,909.64,904.76
73,M,False,865.09,859.22,863.81,867.32,862.7
74,M,False,972.48,978.25,985.97,994.31,1015.0
75,M,False,925.79,913.59,913.87,916.37,920.37
76,M,False,1497.8,1498.5,1498.5,1497.0,1496.2
77,M,False,1566.1,1565.8,1579.9,1579.7,1584.4
78,M,True,1319.1,1320.0,1319.3,1330.9,1327.8
79,M,False,1467.9,1472.8,1482.0,1488.8,1492.7
80,M,True,821.33,822.2,822.33,831.99,840.72
81,M,False,1030.3,1030.6,1033.3,1024.9,1022.7
82,M,False,967.03,961.84,970.55,968.1,968.71
83,M,False,576.92,598.13,609.4,606.47,616.51
84,M,False,463.96,469.34,473.51,475.15,480.81
85,M,False,783.91,786.62,788.56,794.25,796.53
86,M,True,1312.6,1315.8,1319.0,1314.3,1320.8
87,M,True,1275.3,1276.6,1281.5,1276.5,1278.3
88,M,False,1082.4,1080.5,1077.7,1080.6,1088.0
89,M,True,1258.7,1261.4,1263.2,1259.1,1259.5
90,M,False,1295.9,1288.1,1285.5,1288.6,1280.8
91,M,True,1186.0,1192.3,1194.5,1199.2,1203.1
92,M,False,1130.7,1136.4,1137.5,1135.4,1129.5
93,M,True,793.81,784.72,781.24,782.59,783.14
94,M,False,636.85,632.89,623.87,620.17,619.15
95,M,False,601.24,600.68,600.56,594.34,593.35
96,M,True,1445.3,1444.3,1442.3,1444.4,1441.6
97,M,True,1126.4,1133.6,1132.3,1134.2,1126.1
98,M,False,1045.9,1049.5,1056.9,1050.4,1047.0
99,M,True,1024.0,1020.2,1018.8,1024.6,1025.1
100,M,False,1035.1,1045.8,1053.7,1058.8,1057.0
101,M,False,1010.3,1010.4,1016.8,1028.7,1033.8
102,M,True,2040.7,2043.7,2044.2,2035.9,2042.8
103,M,True,1847.8,1842.9,1831.0,1851.7,1849.2
104,M,True,1938.6,1934.3,1924.4,1917.5,1915.1
105,M,False,1936.7,1920.8,1934.4,1936.5,1952.9
106,M,False,1898.1,1903.5,1898.4,1898.0,1887.4
107,M,True,1944.6,1955.6,1954.8,1957.1,1959.3
108,M,False,1957.1,1959.3,1949.3,1945.7,1941.7
109,M,False,1917.5,1929.2,1929.2,1939.7,1937.2
110,M,False,1947.6,1931.6,1938.0,1949.8,1939.3
111,M,False,1932.6,1947.4,1945.2,1942.5,1938.5
112,M,False,1941.0,1942.6,1942.9,1935.7,1934.6
113,M,True,1899.7,1907.5,1908.7,1894.3,1894.4
114,M,False,48.131,48.238,51.94,54.251,55.192
115,M,True,1910.3,1908.9,1920.3,1917.4,1923.4
116,M,False,112.11,118.26,118.37,128.37,131.39
117,M,False,1813.9,1821.5,1827.2,1817.9,1826.1
118,M,False,1907.0,1904.7,1903.5,1896.4,1894.2
119,M,True,474.34,479.95,484.63,487.91,491.1
120,M,True,512.29,510.17,510.18,506.13,511.76
121,M,False,596.86,596.81,598.51,599.61,601.62
122,M,False,1571.7,1570.2,1566.4,1557.2,1559.1
123,M,False,2075.3,2073.5,2052.0,2065.2,2047.5
124,M,False,1677.7,1667.5,1665.7,1665.1,1664.8
125,M,True,1644.2,1663.0,1676.1,1699.7,1709.5
126,M,True,2586.3,2597.9,2599.1,2603.8,2593.7
127,M,True,2677.0,2689.9,2672.2,2668.8,2652.5
128,M,True,2569.8,2572.0,2571.3,2576.4,2585.4
129,M,True,2644.5,2648.6,2652.7,2651.2,2643.4
130,M,True,2721.6,2714.9,2721.9,2714.1,2725.8
131,M,False,2813.6,2829.4,2832.6,2838.7,2849.9
132,M,False,2849.5,2838.1,2849.2,2840.6,2843.1
133,M,False,2847.5,2837.2,2838.5,2831.6,2844.0
134,M,False,1338.6,1344.7,1337.7,1352.2,1357.6
135,M,True,1140.1,1139.3,1148.3,1148.2,1176.7
136,M,False,682.6,680.66,671.08,688.9,688.16
137,M,False,969.08,963.89,957.68,945.08,939.11
138,M,True,200.48,202.23,200.37,204.19,202.48
139,M,False,355.36,351.23,355.33,354.32,349.97
140,M,True,1488.7,1462.2,1476.3,1493.4,1506.3
141,M,False,1633.8,1630.4,1636.1,1644.1,1645.5
142,M,False,1709.3,1743.2,1729.6,1720.6,1738.9
143,M,True,2069.3,2066.8,2074.2,2075.3,2064.2
144,M,False,2062.0,2061.9,2055.2,2060.7,2060.5
145,M,False,2162.9,2156.9,2175.0,2169.1,2179.5
146,M,False,2410.3,2419.8,2423.5,2413.0,2423.6
147,M,False,3163.2,3155.2,3152.7,3168.1,3185.4
148,M,False,691.43,697.62,696.77,702.24,693.41
149,M,True,1176.8,1174.9,1180.3,1192.9,1183.5
150,M,True,1324.4,1318.6,1328.9,1331.2,1338.5
151,M,False,1318.6,1328.9,1331.2,1338.5,1338.6
152,M,False,1379.1,1379.7,1378.8,1390.4,1388.8
153,M,True,1422.0,1430.2,1433.0,1428.8,1440.4
154,M,False,1455.4,1461.0,1463.7,1469.9,1468.4
155,M,False,1499.6,1504.2,1500.2,1496.2,1498.7
156,M,False,1561.7,1564.0,1565.5,1566.5,1558.5
157,M,False,1552.4,1552.7,1555.8,1557.7,1559.2
158,M,False,1696.2,1694.9,1698.2,1707.9,1698.2
159,M,False,2305.8,2305.8,2318.0,2324.1,2329.6
160,M,False,2392.0,2393.1,2392.3,2391.0,2386.6
161,M,False,1829.9,1834.8,1830.7,1836.6,1821.3
162,M,True,643.42,642.78,649.99,649.82,652.33
163,M,False,241.33,238.86,237.77,239.33,237.13
164,M,False,639.78,640.43,646.18,641.45,642.53
165,M,True,51.417,62.687,77.743,89.404,118.04
166,M,False,1053.2,1054.1,1054.8,1043.4,1049.7
167,M,True,2067.3,2070.2,2078.0,2072.6,2067.8
168,M,True,2094.8,2101.6,2109.1,2100.5,2095.7
169,M,False,2098.3,2103.2,2110.5,2103.8,2104.1
170,M,True,2200.8,2202.3,2207.9,2202.6,2210.9
171,M,False,2231.7,2241.9,2241.2,2248.2,2241.3
172,M,False,2265.8,2258.2,2250.0,2249.3,2245.7
173,M,False,1120.0,1101.4,1108.4,1112.2,1098.0
174,M,False,1571.3,1579.6,1584.8,1590.3,1574.4
175,M,False,602.1,602.96,603.38,601.77,603.29
176,M,True,24.064,22.884,29.174,31.193,39.36
177,M,False,120.22,129.13,139.43,140.1,155.31
178,M,False,227.84,232.43,248.39,246.39,233.11
179,M,False,1298.9,1293.2,1291.3,1297.1,1302.9
180,M,True,275.47,271.31,271.49,273.95,272.23
181,M,False,443.28,447.58,452.91,457.88,458.22
182,M,True,804.45,804.58,805.17,808.15,817.36
183,M,False,830.29,831.18,834.02,834.34,833.1
184,M,True,1009.0,1014.0,1012.2,1011.7,1017.3
185,M,False,1139.5,1143.0,1153.4,1156.2,1161.4
186,M,True,1408.6,1404.7,1404.4,1406.1,1410.7
187,M,False,1506.5,1514.5,1517.4,1521.9,1531.8
188,M,False,1545.2,1541.7,1550.4,1547.9,1552.0
189,M,True,1699.6,1705.9,1711.7,1711.2,1724.9
190,M,True,1761.4,1772.0,1768.2,1765.9,1777.1
191,M,True,1799.9,1801.3,1803.9,1809.0,1817.6
192,M,True,1835.4,1846.9,1848.4,1851.2,1859.9
193,M,False,1611.1,1610.8,1608.4,1621.6,1621.8
194,M,True,1883.0,1879.8,1871.1,1872.0,1872.8
195,M,False,1871.0,1873.2,1876.7,1881.6,1873.6
196,M,False,1879.7,1877.6,1871.8,1871.8,1869.7
197,M,True,1879.3,1882.1,1887.0,1886.9,1893.3
198,M,True,1893.3,1896.2,1894.3,1896.1,1890.3
199,M,False,1917.3,1916.8,1922.3,1916.7,1919.5
200,M,False,222.08,209.18,228.97,226.14,224.64
201,M,True,1964.5,1955.1,1952.3,1965.3,1959.0
202,M,False,1959.0,1967.1,1971.3,1975.0,1987.2
203,M,False,2001.2,2009.3,2018.4,2022.7,2026.9
204,M,True,2083.5,2084.7,2100.1,2094.2,2089.9
205,M,False,2091.1,2088.7,2078.7,2067.5,2073.8
206,M,True,2062.8,2066.6,2071.3,2079.9,2068.4
207,M,False,2088.6,2075.8,2085.6,2081.9,2075.8
208,M,True,2159.4,2157.7,2161.4,2165.2,2151.7
209,M,False,2160.4,2158.2,2159.1,2163.6,2173.0
210,M,True,2208.2,2223.5,2219.9,2225.8,2224.4
211,M,False,2242.9,2249.9,2244.8,2247.7,2243.5
212,M,False,2264.9,2259.6,2275.7,2277.2,2280.1
213,M,False,2356.3,2362.1,2381.9,2409.3,2445.2
214,M,True,2434.9,2449.0,2451.0,2453.1,2463.6
215,M,True,2558.3,2555.5,2573.8,2578.9,2593.1
216,M,False,2639.2,2643.5,2633.6,2633.3,2630.1
217,M,False,2612.7,2611.0,2605.4,2621.1,2618.0
218,M,False,2554.6,2576.7,2565.7,2567.7,2558.2
219,M,True,4253.9,4251.1,4247.0,4249.8,4261.9
220,M,False,4461.3,4476.9,4498.6,4494.3,4487.6
221,M,False,4480.8,4482.5,4507.8,4491.2,4494.0
222,M,False,4301.8,4308.3,4285.3,4286.6,4278.9
223,M,False,3394.7,3390.9,3390.4,3364.9,3377.9
224,M,False,1621.9,1626.8,1603.8,1621.1,1647.0
225,M,True,2722.9,2705.2,2708.5,2707.7,2695.0
226,M,False,2875.7,2878.0,2874.2,2875.9,2887.1
227,M,False,3298.9,3290.3,3286.8,3290.7,3298.2
228,M,False,1785.0,1786.5,1791.4,1783.9,1779.9
229,M,False,88.117,108.41,115.37,134.05,146.92
230,M,False,115.37,134.05,146.92,151.59,167.16
231,M,False,622.34,625.64,618.31,608.07,611.1
232,M,False,2106.4,2108.4,2109.8,2107.9,2112.2
233,M,False,1918.7,1906.4,1906.0,1917.3,1923.1
234,M,False,1198.3,1196.2,1198.2,1217.8,1221.8
235,M,True,559.23,589.04,611.82,632.61,658.68
236,M,True,1210.3,1200.4,1214.8,1206.7,1208.4
237,M,True,275.25,276.57,274.47,272.65,281.0
238,M,False,296.14,299.18,300.15,296.77,298.85
239,M,True,326.91,316.67,321.34,330.28,335.06
240,M,False,474.45,471.61,468.35,480.83,495.59
241,M,False,535.37,547.9,542.4,539.3,538.11
242,M,True,719.39,724.97,731.68,733.51,740.81
243,M,False,892.4,888.0,886.63,891.66,895.04
244,M,False,915.87,914.51,919.81,921.32,921.35
245,M,False,593.9,587.66,576.99,578.96,571.14
246,M,False,882.92,894.76,898.64,898.86,901.09
247,M,False,1082.0,1083.8,1079.7,1079.8,1081.6
248,M,True,1737.0,1734.5,1737.7,1732.4,1738.9
249,M,False,1846.1,1847.2,1848.3,1847.5,1863.8
250,M,True,1575.4,1575.8,1573.1,1574.1,1565.8
251,M,False,1569.9,1570.2,1574.6,1567.7,1568.5
252,M,False,33.392,38.352,36.879,43.096,45.369
253,M,False,1083.5,1082.1,1083.3,1060.9,1060.6
254,M,False,1122.7,1129.6,1130.4,1139.7,1136.9
255,M,False,953.82,952.06,951.99,953.28,944.35
256,M,False,1029.2,1035.4,1035.8,1037.1,1037.9
257,M,False,1853.7,1848.7,1851.1,1859.4,1862.5
258,M,False,1678.5,1685.6,1686.6,1688.3,1684.6
259,M,False,677.14,667.36,670.44,673.68,684.76
260,M,True,807.83,817.57,812.93,815.17,816.88
261,M,False,789.49,795.95,805.15,808.23,809.78
262,M,False,682.95,672.46,672.54,671.47,663.21
263,M,False,169.83,170.2,170.11,172.17,178.41
264,M,False,1098.5,1108.2,1093.3,1096.7,1099.8
265,M,False,639.8,645.21,638.6,639.58,637.26
266,M,False,388.78,395.05,393.08,398.22,399.58
267,M,False,214.16,199.7,199.47,199.82,188.85
268,M,False,1322.0,1332.1,1336.1,1344.9,1353.0
269,M,False,548.54,552.72,554.83,560.25,561.56
270,M,True,805.02,801.63,804.74,810.96,808.23
271,M,False,810.96,808.23,806.89,801.67,799.59
272,M,False,429.54,433.73,450.67,429.77,440.65
273,M,False,880.58,880.58,879.2,880.18,889.73
274,M,True,893.03,891.9,886.38,891.37,889.56
275,M,False,903.44,908.2,905.85,911.0,907.49
276,M,True,1149.1,1149.5,1145.1,1147.9,1153.0
277,M,False,1454.1,1453.8,1452.4,1458.7,1464.1
278,M,True,1549.9,1548.6,1545.2,1543.2,1542.5
279,M,True,1804.9,1799.0,1812.4,1807.5,1800.3
280,M,False,1823.5,1824.1,1831.0,1837.4,1835.7
281,M,False,1831.0,1837.4,1835.7,1835.0,1838.2
282,M,False,1518.7,1520.8,1524.8,1530.1,1532.9
283,M,False,2020.0,2019.1,2021.6,2013.4,2023.0
284,M,False,2013.4,2023.0,2023.9,2026.5,2038.3
285,M,True,146.86,171.04,189.38,204.16,215.69
286,M,True,542.84,535.65,543.37,545.45,559.03
287,M,True,570.35,572.51,573.75,573.48,569.53
288,M,False,543.88,545.99,549.32,547.97,546.84
289,M,False,571.68,571.24,570.41,580.08,586.06
290,M,False,578.82,581.3,583.62,577.38,580.22
291,M,False,533.49,534.54,539.25,533.35,527.56
292,M,True,1858.5,1838.8,1842.9,1839.2,1847.7
293,M,False,1926.7,1923.5,1925.1,1929.9,1924.9
294,M,False,1721.5,1717.2,1717.1,1701.0,1709.7
295,M,False,1898.3,1900.1,1916.3,1920.1,1910.3
296,M,True,780.1,778.5,782.2,781.27,780.39
297,M,False,782.2,781.27,780.39,782.79,779.7
298,M,False,1964.3,1955.9,1953.9,1953.6,1956.4
299,M,False,772.48,769.28,763.07,765.65,752.21
300,M,False,1744.9,1742.7,1751.1,1750.9,1747.4
301,M,True,1695.5,1685.8,1682.9,1685.4,1679.8
302,M,False,1605.5,1607.0,1606.7,1610.9,1619.2
303,M,True,2177.2,2183.9,2184.4,2181.1,2192.3
304,M,True,2283.6,2278.0,2277.2,2288.9,2286.5
305,M,True,2487.5,2489.1,2483.8,2480.4,2470.0
306,M,True,2477.7,2476.4,2470.2,2468.3,2474.6
307,M,True,2421.2,2422.1,2422.8,2422.7,2422.8
308,M,False,305.43,305.76,305.07,306.1,307.79
309,M,False,552.12,573.06,572.43,607.8,606.97
310,M,False,2170.3,2174.1,2186.2,2195.8,2206.5
311,M,False,1209.3,1218.3,1203.1,1210.0,1210.9
312,M,True,1012.2,1019.6,1022.4,1026.4,1032.4
313,M,True,1045.9,1042.5,1049.4,1045.7,1049.4
314,M,False,1198.2,1208.6,1205.0,1221.1,1220.8
315,M,False,935.3,912.67,895.61,886.89,875.82
316,M,True,1878.1,1874.7,1883.4,1885.0,1888.3
317,M,False,1964.7,1970.0,1969.7,1968.6,1977.5
318,M,False,678.43,675.29,676.73,676.65,679.21
319,M,True,312.55,313.11,318.67,318.88,322.05
320,M,False,284.35,284.4,273.88,301.86,297.13
321,M,True,1475.1,1477.6,1482.7,1487.4,1492.7
322,M,False,1487.4,1492.7,1483.7,1491.0,1496.2
323,M,False,1238.5,1245.9,1254.1,1266.7,1272.5
324,M,True,1499.8,1501.2,1506.8,1503.8,1509.7
325,M,False,1476.7,1468.9,1460.9,1459.6,1449.3
326,M,False,1445.9,1435.0,1433.5,1443.8,1443.1
327,M,False,1429.9,1430.4,1426.5,1436.9,1426.4
328,M,False,979.73,981.34,985.96,987.29,991.57
329,M,True,1490.1,1490.7,1486.7,1487.6,1486.2
330,M,False,1686.8,1689.7,1687.0,1682.6,1676.8
331,M,True,629.31,643.04,660.4,672.13,679.39
332,M,True,3251.0,3235.0,3239.0,3243.4,3244.5
333,M,True,3343.8,3336.3,3353.5,3364.1,3376.1
334,M,False,3372.8,3380.6,3391.1,3392.0,3401.0
335,M,False,3604.1,3627.5,3617.4,3616.4,3626.1
336,M,False,1549.4,1530.0,1544.7,1522.3,1499.5
337,M,False,361.58,357.53,356.73,358.9,358.69
338,M,True,4496.8,4491.2,4492.3,4511.0,4514.3
339,M,False,89.663,90.81,91.481,88.203,89.371
340,M,False,2715.3,2722.0,2706.2,2715.3,2699.9
341,M,False,257.95,281.1,293.13,308.59,316.15
342,M,False,412.94,403.76,390.68,386.11,386.73
343,M,False,413.5,391.52,404.07,387.11,395.0
344,M,False,405.08,421.08,431.81,456.81,461.79
345,M,False,1015.6,1025.3,1036.6,1061.1,1072.2
346,M,False,1432.3,1443.8,1442.0,1481.9,1500.0
347,M,True,2374.0,2367.8,2373.9,2386.1,2396.3
348,M,False,2400.3,2403.7,2394.0,2387.6,2408.7
349,M,False,2394.8,2387.9,2382.8,2400.9,2410.9
350,M,True,2696.8,2708.5,2703.9,2703.6,2714.9
351,M,False,2878.0,2886.0,2895.8,2899.7,2895.2
352,M,True,1411.0,1410.9,1416.7,1425.7,1421.6
353,M,True,3378.1,3374.2,3380.3,3392.3,3384.0
354,M,False,3450.7,3445.6,3451.3,3453.8,3456.7
355,M,False,3543.6,3545.1,3553.2,3564.6,3573.0
356,M,False,1495.0,1504.1,1502.6,1512.5,1507.6
357,M,False,3605.4,3601.6,3597.5,3598.3,3598.0
358,M,False,3602.1,3601.2,3603.8,3603.7,3607.2
359,M,False,1622.2,1621.7,1614.2,1611.2,1622.9
360,M,True,3883.0,3888.5,3893.9,3894.4,3907.7
361,M,False,3990.4,3984.0,3980.2,3972.6,3963.7
362,M,False,4015.6,4020.7,4021.9,4015.6,4025.2
363,M,False,3930.7,3937.0,3941.4,3941.3,3951.1
364,M,True,3365.6,3370.8,3363.8,3356.6,3347.3
365,M,False,3271.9,3278.2,3287.2,3280.3,3273.6
366,M,False,2240.6,2241.0,2234.0,2241.8,2235.6
367,M,True,1080.7,1084.9,1084.8,1082.2,1091.9
368,M,True,1183.5,1185.2,1197.4,1196.4,1203.2
369,M,True,1356.5,1364.6,1365.9,1368.0,1378.3
370,M,True,1432.4,1436.4,1450.8,1454.4,1453.0
371,M,True,1582.1,1589.1,1590.6,1588.7,1588.0
372,M,True,1620.8,1620.4,1617.8,1608.9,1601.8
373,M,True,1595.8,1599.2,1598.2,1595.7,1595.7
374,M,False,1599.2,1604.6,1603.5,1602.9,1603.6
375,M,False,1613.4,1617.1,1612.4,1610.8,1608.1
376,M,True,1774.2,1777.1,1784.2,1775.2,1777.6
377,M,False,1837.7,1836.0,1836.4,1840.6,1841.1
378,M,False,1840.3,1835.4,1835.1,1842.4,1849.8
379,M,False,1913.4,1912.5,1909.4,1902.6,1906.5
380,M,False,1298.4,1296.5,1301.1,1300.2,1293.9
381,M,False,672.54,681.65,680.37,680.02,681.65
382,M,False,2658.9,2655.6,2665.4,2671.3,2683.8
383,M,False,502.81,494.07,504.15,506.61,514.82
384,M,False,1065.9,1065.1,1059.7,1057.6,1056.9
385,M,False,251.77,249.69,244.61,241.04,240.38
386,M,False,2542.8,2550.8,2558.8,2554.1,2551.8
387,M,False,861.28,870.69,871.85,876.16,875.08
388,M,True,124.69,122.58,127.6,123.17,125.95
389,M,True,196.88,200.1,193.38,194.74,196.74
390,M,True,218.39,223.04,224.97,224.55,221.26
391,M,False,242.26,244.95,238.47,230.25,232.85
392,M,False,255.7,252.08,258.56,260.45,261.79
393,M,False,423.74,432.68,443.49,446.21,440.83
394,M,True,760.53,769.98,767.33,773.66,771.33
395,M,False,844.47,836.38,838.59,834.46,833.06
396,M,False,87.041,89.725,80.913,80.731,82.774
397,M,True,1017.5,1021.1,1015.4,1004.6,1001.2
398,M,True,945.69,932.75,919.73,908.55,917.42
399,M,False,1030.6,1028.8,1023.0,1026.4,1022.2
400,M,False,1273.7,1284.2,1291.9,1288.1,1291.2
401,M,False,502.69,508.01,511.08,515.16,512.17
402,M,True,761.59,760.14,764.78,768.77,770.24
403,M,False,751.77,748.48,750.41,750.88,756.42
404,M,False,815.5,820.39,815.71,811.86,813.17
405,M,False,864.42,859.37,853.0,852.57,848.13
406,M,False,463.15,468.74,463.37,453.92,456.78
407,M,False,2009.2,2019.6,2016.8,2027.3,2034.9
408,M,False,1529.8,1531.8,1534.2,1537.0,1539.2
409,M,True,1183.6,1184.1,1175.0,1167.4,1160.7
410,M,False,1042.2,1030.0,1028.1,1021.7,1018.9
411,M,False,2355.4,2340.4,2352.8,2362.7,2386.2
412,M,False,2263.4,2276.0,2281.5,2271.4,2262.2
413,M,False,892.89,897.06,898.17,893.77,883.64
414,M,False,3078.0,3090.0,3083.5,3091.5,3098.8
415,M,True,426.41,422.85,420.88,422.17,423.7
416,M,True,411.87,411.67,413.74,414.77,413.32
417,M,True,585.77,607.44,612.01,613.96,602.28
418,M,True,3013.3,3007.7,3002.6,3000.4,3003.1
419,M,True,716.75,725.51,732.86,738.78,738.03
420,M,False,838.47,823.45,838.94,827.98,827.92
421,M,False,182.56,183.31,180.68,180.32,180.76
422,M,False,829.94,826.42,818.91,821.35,831.41
423,M,False,3055.4,3053.0,3059.4,3039.4,3043.5
424,M,False,846.91,852.89,863.14,873.65,868.18
425,M,False,3045.2,3018.5,2981.7,2957.3,2935.0
426,M,False,1110.1,1113.2,1106.1,1115.3,1123.7
427,M,False,517.44,528.68,535.74,538.78,541.64
428,M,True,154.48,157.77,157.22,164.96,165.81
429,M,False,273.22,272.84,266.06,265.68,271.53
430,M,False,835.31,816.39,813.87,801.54,804.18
431,M,False,1608.5,1605.4,1605.2,1624.0,1635.5
432,M,False,2307.6,2309.3,2309.8,2306.1,2335.1
433,M,True,1439.9,1436.9,1449.5,1443.7,1457.0
434,M,False,1449.5,1443.7,1457.0,1459.7,1454.4
435,M,False,1449.6,1452.2,1445.5,1437.8,1449.2
436,M,True,2115.9,2158.2,2186.4,2237.0,2263.7
437,M,True,4230.4,4227.2,4215.1,4218.6,4213.4
438,M,False,4431.5,4438.8,4438.1,4440.6,4459.6
439,M,False,4576.8,4586.7,4601.3,4612.0,4619.1
440,M,False,4619.1,4645.7,4651.9,4648.2,4637.6
441,M,False,4725.6,4735.4,4754.7,4771.1,4776.6
442,M,True,5490.3,5504.6,5528.7,5539.4,5533.3
443,M,False,5655.8,5664.8,5662.2,5678.6,5676.1
444,M,True,6501.4,6498.2,6509.3,6518.5,6516.0
445,M,True,6834.2,6830.2,6816.7,6823.4,6836.0
446,M,True,7079.7,7074.3,7067.7,7068.0,7067.0
447,M,False,7067.7,7068.0,7067.0,7076.5,7061.7
448,M,False,7018.9,7001.2,6992.1,6986.9,6988.1
449,M,False,6898.6,6906.1,6900.8,6925.1,6933.4
450,M,False,6927.9,6936.2,6937.5,6948.8,6937.1
451,M,True,6957.3,6961.1,6954.1,6949.6,6948.8
452,M,False,6887.1,6883.3,6915.2,6900.0,6863.7
453,M,False,6773.3,6758.6,6760.9,6773.3,6753.9
454,M,False,6490.7,6492.6,6490.8,6494.2,6481.7
455,M,False,6498.3,6506.3,6525.8,6545.1,6541.1
456,M,True,6129.3,6125.5,6128.8,6137.6,6146.8
457,M,True,5668.0,5661.9,5639.1,5627.8,5626.9
458,M,False,5562.8,5552.2,5550.9,5539.3,5556.1
459,M,False,5466.1,5460.0,5468.0,5447.5,5451.5
460,M,False,5396.3,5388.2,5371.9,5363.4,5362.2
461,M,False,5414.9,5407.1,5393.0,5390.2,5390.5
462,M,False,5331.2,5330.9,5325.4,5321.7,5290.7
463,M,False,5272.5,5271.9,5257.8,5260.2,5251.3
464,M,False,5251.3,5234.2,5235.9,5229.4,5249.7
465,M,False,5286.7,5285.7,5305.4,5286.0,5272.6
466,M,True,1105.9,1098.1,1129.8,1131.9,1137.2
467,M,False,1060.8,1065.6,1072.7,1090.2,1076.6
468,M,True,1100.0,1103.0,1094.5,1092.0,1098.0
469,M,True,1116.1,1134.6,1123.7,1125.6,1120.9
