,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5
0,X,False,942.44,945.31,946.55,947.42,946.52
1,X,False,1395.5,1401.9,1407.3,1400.0,1403.0
2,X,False,1095.0,1098.4,1088.3,1080.2,1072.5
3,X,False,1386.9,1386.2,1382.2,1379.6,1383.7
4,X,True,1212.4,1213.1,1209.6,1208.1,1209.1
5,X,True,1906.5,1909.3,1911.1,1919.7,1927.4
6,X,False,2655.3,2643.5,2650.9,2666.4,2653.7
7,X,False,1052.7,1050.2,1033.9,1023.7,1024.8
8,X,True,1139.0,1143.0,1148.1,1152.5,1139.4
9,X,False,1704.3,1713.0,1720.5,1724.5,1730.8
10,X,False,1737.0,1736.2,1744.9,1751.8,1754.5
11,X,False,2216.8,2217.6,2219.3,2242.8,2238.4
12,X,False,4558.6,4560.0,4566.9,4569.7,4568.4
13,X,False,827.95,838.45,846.02,842.72,844.96
14,X,True,411.93,429.1,431.68,451.05,460.05
15,X,True,1909.1,1909.1,1930.8,1933.3,1923.0
16,X,False,2157.9,2143.0,2145.5,2129.3,2143.0
17,X,False,2338.0,2334.4,2333.7,2322.2,2331.7
18,X,False,2366.6,2373.5,2376.2,2379.1,2375.3
19,X,False,2177.5,2171.4,2176.2,2170.5,2169.6
20,X,False,1513.6,1504.7,1490.5,1504.4,1515.5
21,X,False,4538.5,4545.5,4556.8,4566.7,4556.3
22,X,False,89.82,89.58,103.24,108.87,112.23
23,X,False,1443.5,1410.5,1388.7,1368.6,1357.7
24,X,False,408.5,402.58,400.8,386.99,383.22
25,X,False,3656.5,3642.1,3649.7,3652.5,3648.5
26,X,True,5911.5,5936.1,5950.8,5953.5,5966.9
27,X,True,6857.7,6848.8,6846.5,6840.3,6839.2
28,X,True,7050.5,7045.0,7039.1,7035.3,7050.5
29,X,True,7153.5,7126.6,7138.2,7136.3,7138.4
30,X,True,6808.2,6833.4,6837.2,6823.0,6802.2
31,X,False,1408.9,1417.1,1412.1,1404.9,1410.3
32,X,False,4611.6,4591.7,4591.9,4591.2,4591.1
33,X,True,1213.8,1218.6,1229.8,1233.9,1236.6
34,X,False,188.9,215.99,242.22,259.14,277.4
35,X,True,1483.2,1492.0,1492.9,1494.1,1500.9
36,X,True,1506.8,1510.1,1509.8,1512.0,1516.2
37,X,False,1720.3,1725.2,1730.7,1735.6,1749.3
38,X,False,1763.1,1759.3,1756.6,1767.5,1767.5
39,M,False,164.03,171.01,171.18,169.53,173.93
40,M,False,48.476,50.121,51.489,51.712,53.285
41,M,False,471.86,473.45,470.63,468.91,471.01
42,M,False,703.61,697.54,697.19,702.45,689.06
43,M,True,63.677,65.126,61.973,61.163,63.613
