,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5
1880,B,False,0.0010079,0.00086794,0.00065655,0.0016115,0.0014728
1881,B,False,0.0036944,0.0055098,0.004829,0.0055703,0.0047354
1882,B,False,0.011362,0.012573,0.010785,0.011445,0.010207
1883,B,False,-0.0026017,-0.0037108,-0.0040094,-0.0030499,-0.0020443
1884,B,False,0.02241,0.00086704,0.015135,0.02963,0.027229
1885,B,False,0.0049482,0.0051395,0.0029865,0.0035509,0.0015234
1886,B,False,0.012548,0.010667,0.013319,0.010755,0.0098054
1887,B,False,0.014032,0.014615,0.013543,0.011043,0.014688
1888,B,False,-0.0036276,-0.0033123,-0.0034991,-0.0017897,-0.0018328
1889,B,False,0.0041187,-0.0058504,-0.0018915,-0.0088288,-0.0092899
1890,B,False,0.0011086,0.00063464,0.00081325,0.00039565,0.0011504
1891,B,False,0.0073375,0.0072164,0.0072137,0.0078895,0.0080221
1892,N,False,-0.0037651,-0.004309,-0.0028963,-0.0038984,-0.0031694
1893,N,False,-0.017219,-0.023599,-0.023892,-0.022645,-0.021688
1894,N,False,-0.0019117,0.00049291,0.0035646,0.0021975,-0.00034168
1895,N,False,-0.0013551,-0.0013269,-0.0027925,-0.0011132,-0.00098834
1896,N,False,-0.010991,-0.0066762,-0.012463,-0.014131,-0.014296
1897,N,False,0.010464,0.0085147,0.0028546,0.0070525,0.0015644
1898,N,False,0.0074834,0.0072707,0.0089179,0.0083926,0.0073854
1899,N,False,-0.00137,0.00080512,-0.00068816,-0.00131,-0.0011138
1900,N,False,0.0059965,0.0059486,0.0033539,0.0061076,0.004124
1901,N,False,0.0021524,0.0028213,0.0017748,-0.00060057,0.002442
1902,N,False,-0.026597,-0.031823,-0.031395,-0.032475,-0.033622
1903,N,False,0.0042291,0.0033602,0.0040634,0.0046182,0.0028539
1904,N,False,-0.0093163,-0.0085886,-0.0054784,-0.0040377,-0.0046289
1905,N,False,0.00093169,0.0014197,0.0024437,0.0024583,0.0028382
1906,N,False,-0.0021572,0.0012227,-0.0010712,-0.0018986,-0.0017518
1907,N,False,-0.00055899,-0.0029085,-0.0028447,-0.0018015,-0.003145
1908,N,False,0.00041692,-0.0031264,-0.0053983,-0.0019597,-0.0026673
1909,N,False,-0.0011607,-0.0015576,-0.0021826,-0.0024306,-0.0020002
1910,N,False,0.0015309,0.0008254,0.00075054,-0.0024726,-0.0039176
1911,N,False,-0.009759,-0.003156,-0.0092792,-0.0069324,-0.007667
1912,N,False,-0.0038275,-0.0041477,-0.0028342,-0.0054228,0.00044788
1913,N,False,-0.0046313,-0.0035722,-0.0028195,-0.0041186,-0.0039718
1914,N,False,0.0038934,0.00041627,-0.0057356,-0.0021859,-0.002692
1915,N,False,0.0076876,0.0085649,0.0080934,0.011089,0.010912
1916,N,False,0.010088,0.013641,0.0067561,0.0064003,0.0067493
1917,N,False,0.0020555,0.0017467,0.002127,0.0025222,0.0024262
1918,N,False,-0.0095023,-0.0089059,-0.0086041,-0.0076984,-0.0072543
1919,N,False,-0.00034196,-0.0011095,-0.0012035,-0.00058712,0.0017551
1920,N,False,0.0059639,0.0059122,0.0058013,0.0058987,0.0058714
1921,N,False,0.0038901,0.0042705,0.0043633,0.0040352,0.0044785
1922,N,False,-0.0059251,-0.0058508,-0.0057571,-0.0058127,-0.0060327
1923,N,False,0.00023134,-0.0011935,-0.00050917,0.00035953,4.162e-05
1924,N,False,-0.0041373,-0.0059432,-0.0050697,-0.0050795,-0.0051629
1925,N,False,-7.4435e-05,0.0016312,0.0021513,0.0018061,0.00047476
1926,N,False,0.0029588,0.0017769,0.00028536,0.0021016,1.3455e-05
1927,N,False,-0.0029672,-0.0052382,-0.0035219,-0.0005116,-0.0022531
1928,N,False,-0.023037,-0.015901,-0.012673,-0.011666,-0.0082573
1929,N,False,-0.0061776,-0.0064363,-0.0066152,-0.0068322,-0.0067203
1930,N,False,-0.0010489,-0.00046383,-0.00084659,-0.00084296,-0.0004191
1931,N,False,-0.011302,-0.012718,-0.0097714,-0.01092,-0.011275
1932,N,False,0.010127,0.0099243,0.010085,0.0098545,0.0091444
1933,N,False,-0.010828,-0.014176,-0.014461,-0.013989,-0.012785
1934,N,False,-0.0019596,-0.0030481,-0.0096426,-0.0010285,-0.0054363
1935,N,False,0.0020438,0.0041254,0.0031721,0.0042275,0.0041776
1936,N,False,0.0064766,0.0067242,0.0072965,0.006985,0.00722
1937,N,False,-0.00048098,-0.00074404,-0.00045228,-0.00023884,-0.00056833
1938,N,False,-0.00048098,-0.00074404,-0.00045228,-0.00023884,-0.00056833
1939,N,False,-0.012328,-0.0066454,-0.0092363,-0.0074594,-0.0052232
1940,N,False,-0.0055079,-0.0045913,-0.0041886,-0.0048323,-0.0038306
