,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5
0,X,False,59.703,59.541,59.598,59.828,59.809
1,X,False,58.046,58.109,57.919,57.67,57.611
2,X,False,44.545,44.628,44.86,44.816,44.704
3,X,False,54.46,54.615,54.686,54.626,55.074
4,X,True,49.86,49.305,49.1,49.004,48.641
5,X,True,46.301,47.421,46.556,46.385,46.362
6,X,False,46.821,46.47,46.395,46.265,46.05
7,X,False,32.961,32.84,33.085,33.268,33.186
8,X,True,49.695,50.19,50.4,49.849,50.084
9,X,False,51.12,51.085,51.177,51.43,51.252
10,X,False,51.237,51.243,51.013,51.202,51.129
11,X,False,46.774,47.028,47.02,47.338,47.357
12,X,False,52.792,53.062,52.998,53.146,53.166
13,X,False,45.346,44.391,44.611,44.45,44.264
14,X,True,53.922,52.433,51.169,52.966,52.654
15,X,True,43.291,43.003,43.1,43.349,43.461
16,X,False,42.289,42.369,42.153,42.335,42.515
17,X,False,43.912,44.001,43.915,43.899,43.817
18,X,False,51.549,51.619,51.623,51.616,51.797
19,X,False,53.168,53.227,53.247,53.475,53.408
20,X,False,38.64,38.59,38.486,39.387,38.915
21,X,False,55.159,55.197,55.187,55.09,55.206
22,X,False,18.296,18.394,18.375,18.403,18.75
23,X,False,33.175,32.857,33.109,32.89,32.79
24,X,False,50.411,50.534,49.523,49.536,48.845
25,X,False,44.472,44.318,44.351,44.328,44.101
26,X,True,51.552,51.49,51.38,51.368,51.35
27,X,True,54.602,54.66,54.666,54.708,54.799
28,X,True,53.313,53.155,52.968,52.795,52.648
29,X,True,49.983,49.909,49.839,49.72,49.636
30,X,True,44.4,44.465,44.492,44.46,44.427
31,X,False,38.634,38.421,38.679,38.426,38.669
32,X,False,42.777,42.605,42.598,42.655,42.503
33,X,True,45.869,46.022,46.047,46.133,46.319
34,X,False,48.097,47.294,48.095,51.416,55.766
35,X,True,56.951,56.723,56.637,56.445,56.431
36,X,True,56.076,56.122,55.901,56.02,56.014
37,X,False,49.883,49.661,49.75,49.842,49.83
38,X,False,43.448,43.76,44.034,43.021,42.637
39,M,False,42.369,43.847,42.395,42.381,41.93
40,M,False,33.674,33.349,31.421,32.828,32.827
41,M,False,37.383,37.251,37.157,36.977,36.986
42,M,False,35.838,36.116,36.081,36.015,36.635
43,M,True,43.799,42.844,41.779,42.907,42.411
44,M,False,32.187,31.272,31.914,31.196,31.004
45,M,False,27.084,27.317,27.79,27.825,27.895
46,M,False,40.286,40.577,40.539,41.007,40.88
47,M,False,33.293,32.987,33.238,33.934,34.209
48,M,True,53.933,53.747,54.303,54.794,54.908
49,M,True,60.309,60.268,59.885,59.714,59.757
50,M,False,37.464,36.63,36.257,36.637,36.888
51,M,False,58.373,58.245,58.199,58.322,58.267
52,M,True,48.681,48.513,48.811,48.917,48.908
53,M,True,49.773,49.745,49.937,50.09,49.96
54,M,False,47.826,47.382,47.578,47.534,47.714
55,M,False,49.881,49.839,49.923,50.292,50.117
56,M,False,51.099,51.352,51.328,51.48,51.867
57,M,False,33.122,33.477,33.123,32.884,33.072
58,M,True,45.936,45.657,45.57,45.5,45.436
59,M,True,38.926,39.073,39.178,38.213,38.453
60,M,False,44.17,44.227,44.696,45.012,45.175
61,M,False,45.245,44.993,45.042,45.15,44.547
62,M,False,50.546,51.21,51.382,50.902,50.68
63,M,False,41.114,41.421,41.15,41.265,40.926
64,M,True,40.311,40.336,40.144,40.107,40.56
65,M,False,40.08,39.965,40.206,40.339,39.892
66,M,False,39.664,40.123,40.187,40.546,40.661
67,M,False,42.305,42.459,42.074,42.005,41.767
68,M,False,41.645,41.682,41.698,41.965,42.15
69,M,True,59.577,59.57,59.598,59.543,59.529
70,M,False,59.309,59.361,59.34,59.424,59.343
71,M,False,54.222,54.108,54.058,54.031,54.129
72,M,True,42.88,42.555,43.035,42.134,42.585
73,M,False,39.471,40.358,40.72,40.184,39.986
74,M,False,54.36,54.635,54.978,54.861,54.552
75,M,False,42.129,42.256,41.721,42.471,42.311
76,M,False,39.352,39.25,39.285,39.316,39.535
77,M,False,49.193,49.075,49.098,49.031,49.129
78,M,True,33.589,33.399,33.588,33.128,33.594
79,M,False,34.824,34.689,34.498,34.909,34.663
80,M,True,49.661,47.919,48.805,49.695,48.788
81,M,False,45.326,44.924,44.871,44.245,45.065
82,M,False,34.192,34.427,34.321,34.57,34.349
83,M,False,49.287,49.602,49.523,49.624,48.931
84,M,False,35.805,36.651,37.072,37.025,37.509
85,M,False,43.83,43.806,43.694,44.065,44.065
86,M,True,56.186,56.121,55.634,55.534,55.305
87,M,True,55.807,55.585,55.568,55.304,55.234
88,M,False,60.484,60.727,60.807,60.711,60.611
89,M,True,53.338,53.361,53.284,53.27,53.22
90,M,False,52.036,51.903,51.866,51.731,51.624
91,M,True,48.468,48.422,48.145,47.881,48.004
92,M,False,45.531,45.418,45.377,45.401,45.359
93,M,True,36.01,36.149,36.467,36.338,36.675
94,M,False,32.979,32.828,32.682,32.516,32.371
95,M,False,31.837,32.042,31.945,31.975,32.057
96,M,True,51.963,51.928,51.528,51.599,51.545
97,M,True,45.942,46.092,46.089,46.421,46.576
98,M,False,42.316,42.584,42.255,42.152,42.407
99,M,True,43.404,43.323,43.064,43.302,43.297
100,M,False,37.786,37.664,38.11,37.735,38.083
101,M,False,32.005,32.137,32.019,31.814,31.637
102,M,True,38.528,38.796,38.946,38.895,38.665
103,M,True,35.368,35.158,35.379,35.236,35.181
104,M,True,47.028,46.732,46.851,47.086,47.098
105,M,False,45.934,46.099,45.54,46.268,45.926
106,M,False,36.031,36.027,35.995,36.181,35.821
107,M,True,46.368,46.281,46.438,46.882,46.803
108,M,False,46.882,46.803,46.707,46.968,47.419
109,M,False,47.797,47.427,47.45,47.169,47.877
110,M,False,47.115,47.018,47.739,48.149,47.64
111,M,False,48.136,48.162,48.535,48.471,48.559
112,M,False,48.749,48.519,48.903,48.901,49.205
113,M,True,49.942,50.568,49.897,50.112,50.499
114,M,False,37.465,40.733,38.168,37.758,41.082
115,M,True,50.893,51.209,51.397,50.78,50.883
116,M,False,43.36,42.913,42.745,42.767,42.142
117,M,False,53.643,53.875,53.91,54.091,54.186
118,M,False,60.933,60.929,60.984,60.86,60.993
119,M,True,57.483,57.782,57.671,57.68,57.315
120,M,True,59.46,58.952,59.368,60.357,59.745
121,M,False,62.474,61.987,61.532,61.656,61.663
122,M,False,48.278,48.188,48.562,48.455,48.403
123,M,False,35.618,35.683,35.601,35.462,35.668
124,M,False,36.614,36.515,36.409,36.577,36.611
