,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5
125,M,True,53.589,53.32,52.993,52.756,52.455
126,M,True,49.381,49.047,49.279,49.267,48.357
127,M,True,45.55,45.584,45.863,45.376,45.488
128,M,True,45.834,45.775,45.975,45.534,45.407
129,M,True,45.251,45.3,45.512,45.598,45.743
130,M,True,45.561,45.544,45.612,45.569,45.479
131,M,False,45.751,45.819,45.807,45.888,45.892
132,M,False,46.177,46.266,46.325,46.59,46.599
133,M,False,47.295,47.39,47.554,47.627,47.627
134,M,False,39.153,38.903,38.793,38.892,38.842
135,M,True,37.444,37.326,37.053,37.155,37.331
136,M,False,32.263,32.026,32.208,32.156,32.172
137,M,False,35.159,34.922,34.847,34.65,34.711
138,M,True,46.647,45.797,45.613,46.207,46.309
139,M,False,50.728,51.252,51.244,50.549,50.843
140,M,True,34.888,35.13,34.7,35.176,35.209
141,M,False,34.077,34.067,34.039,33.879,34.131
142,M,False,34.085,34.518,34.313,34.111,34.027
143,M,True,37.342,37.439,37.552,37.533,37.562
144,M,False,38.16,38.058,38.046,38.119,37.925
145,M,False,41.561,41.453,41.635,41.501,41.544
146,M,False,42.736,44.622,44.269,42.778,42.501
147,M,False,45.159,45.054,44.904,44.813,44.839
148,M,False,34.555,34.745,34.745,35.067,35.429
149,M,True,50.642,51.378,50.347,50.716,50.883
150,M,True,47.384,47.801,47.572,47.288,47.356
151,M,False,47.801,47.572,47.288,47.356,47.145
152,M,False,48.097,47.98,47.923,48.432,48.401
153,M,True,48.274,48.157,48.213,47.945,48.086
154,M,False,48.236,48.312,48.62,48.768,48.916
155,M,False,48.857,49.148,49.204,48.864,48.779
156,M,False,49.187,49.604,49.225,49.833,49.844
157,M,False,49.304,49.36,49.362,49.132,49.068
158,M,False,50.295,50.47,50.425,50.997,51.005
159,M,False,53.907,54.076,54.025,54.171,54.326
160,M,False,51.613,51.184,51.168,51.09,50.695
161,M,False,39.927,39.857,39.74,39.758,39.729
162,M,True,41.636,41.745,42.19,42.139,43.019
163,M,False,42.442,42.58,43.343,43.885,43.538
164,M,False,52.975,52.722,52.764,52.787,52.767
165,M,True,0.0,0.0,0.0,0.0,0.0
166,M,False,44.463,44.458,44.441,44.329,44.276
167,M,True,45.479,45.203,45.395,45.564,45.111
168,M,True,48.195,48.303,48.397,48.223,48.082
169,M,False,47.978,48.221,47.73,47.99,48.104
170,M,True,48.401,48.22,48.436,48.449,48.208
171,M,False,49.155,49.07,49.05,49.115,49.28
172,M,False,51.514,51.454,51.486,51.522,51.529
173,M,False,35.325,35.567,35.465,35.28,35.431
174,M,False,32.372,32.349,32.341,32.143,31.925
175,M,False,54.664,54.734,54.639,54.673,54.824
176,M,True,0.0,0.0,0.0,0.0,0.0
177,M,False,44.587,45.916,44.744,42.091,41.817
178,M,False,40.14,39.706,39.149,40.537,39.839
179,M,False,50.856,51.044,51.285,51.582,51.487
180,M,True,39.219,39.147,39.406,39.211,39.03
181,M,False,39.507,39.905,39.653,39.592,39.345
182,M,True,35.629,35.655,35.635,35.804,35.847
183,M,False,37.003,36.809,36.89,36.771,36.687
184,M,True,41.013,41.006,41.227,41.343,41.652
185,M,False,43.98,44.073,44.028,44.452,44.589
186,M,True,53.24,53.693,53.787,53.792,53.677
187,M,False,54.122,53.938,53.915,54.088,53.949
188,M,False,54.346,54.431,54.564,54.599,54.703
189,M,True,57.069,57.127,57.142,57.2,57.213
190,M,True,57.243,57.182,57.239,57.203,57.245
191,M,True,57.358,57.068,57.085,57.332,57.115
192,M,True,56.933,57.047,57.042,56.993,56.921
193,M,False,51.959,52.103,51.735,51.753,51.665
194,M,True,56.672,56.555,56.622,56.651,56.609
195,M,False,56.519,56.335,56.271,56.183,56.433
196,M,False,56.441,56.351,56.435,56.342,56.125
197,M,True,56.097,56.058,56.081,56.001,55.998
198,M,True,55.998,56.028,55.876,55.75,55.689
199,M,False,55.314,55.102,55.059,54.942,54.781
200,M,False,30.633,31.599,34.03,35.25,36.432
201,M,True,54.996,55.163,54.978,55.149,55.308
202,M,False,55.308,55.11,55.134,54.909,54.747
203,M,False,54.524,54.513,54.553,54.441,54.488
204,M,True,52.913,52.86,52.864,52.755,52.688
205,M,False,52.443,52.511,52.683,52.738,52.604
206,M,True,51.92,51.787,51.563,51.571,51.454
207,M,False,51.479,51.337,51.558,51.409,51.317
208,M,True,50.135,50.216,50.177,50.104,50.151
209,M,False,50.141,50.269,50.456,50.346,50.274
210,M,True,48.934,48.807,48.781,48.916,48.726
211,M,False,47.515,47.362,47.192,47.054,46.746
212,M,False,46.497,47.022,46.862,46.63,46.459
213,M,False,39.613,39.442,40.0,40.629,39.987
214,M,True,45.251,45.158,45.108,45.14,45.362
215,M,True,42.969,42.502,42.407,42.285,42.474
216,M,False,41.769,41.597,41.368,41.606,41.816
217,M,False,41.89,41.712,41.715,41.672,41.679
218,M,False,40.977,40.918,40.965,41.017,40.805
219,M,True,44.785,44.88,45.231,44.964,45.24
220,M,False,46.715,46.794,46.914,46.941,46.884
221,M,False,46.924,46.943,47.119,47.245,47.332
222,M,False,50.885,50.717,50.678,50.619,50.541
223,M,False,39.227,39.404,39.536,39.511,39.446
224,M,False,39.526,38.699,39.017,38.78,38.622
225,M,True,35.731,35.661,35.704,35.816,36.073
226,M,False,36.937,37.054,37.118,36.869,36.906
227,M,False,40.379,40.359,40.408,40.472,40.283
228,M,False,33.757,33.729,33.592,33.556,33.576
229,M,False,27.773,29.379,26.929,31.64,28.868
230,M,False,26.929,31.64,28.868,33.537,36.007
231,M,False,40.34,40.61,40.198,40.154,40.159
232,M,False,39.89,39.585,45.381,39.254,38.846
233,M,False,35.292,35.054,35.213,35.058,35.11
234,M,False,34.899,34.365,34.333,34.167,33.925
235,M,True,64.332,61.928,64.548,62.856,62.667
236,M,True,45.233,44.98,43.761,44.1,43.526
237,M,True,42.604,42.65,42.312,41.735,41.245
238,M,False,40.715,40.73,40.725,40.837,39.853
239,M,True,39.917,39.186,39.135,38.889,37.973
240,M,False,36.989,37.081,36.766,36.847,36.752
241,M,False,37.014,37.159,37.411,37.184,37.552
242,M,True,45.236,45.287,45.353,45.35,45.646
243,M,False,50.491,50.742,51.064,50.673,51.054
244,M,False,53.394,53.288,53.481,53.568,53.469
245,M,False,30.852,31.054,30.923,30.765,30.973
246,M,False,54.045,54.438,53.925,53.738,53.616
247,M,False,48.441,48.019,48.103,48.323,48.167
248,M,True,47.673,47.949,47.881,47.71,47.857
249,M,False,47.617,47.803,47.319,47.45,47.519
250,M,True,41.6,41.685,41.781,41.529,41.713
251,M,False,40.55,40.497,40.382,40.544,40.466
252,M,False,42.763,42.467,49.054,49.985,48.457
253,M,False,37.387,37.103,37.137,37.091,36.981
254,M,False,45.446,45.315,45.661,45.456,45.492
255,M,False,48.196,47.989,48.053,47.779,48.034
256,M,False,57.786,57.687,57.911,57.867,57.976
257,M,False,52.009,51.94,52.044,51.7,51.714
258,M,False,42.21,42.106,41.852,42.084,42.085
259,M,False,32.212,31.741,31.936,31.946,31.778
260,M,True,37.165,37.414,37.188,37.953,37.795
261,M,False,40.078,40.089,40.014,40.17,40.472
262,M,False,28.27,28.224,28.326,28.301,28.278
263,M,False,26.725,27.649,27.479,27.131,26.928
264,M,False,42.504,42.47,42.335,42.532,42.4
265,M,False,38.753,39.133,39.094,39.434,39.253
266,M,False,57.295,56.473,55.585,55.942,55.408
267,M,False,36.899,36.177,35.69,35.924,35.956
268,M,False,41.684,41.537,41.51,41.188,41.328
269,M,False,40.955,40.708,40.837,41.323,41.314
270,M,True,56.107,56.111,55.988,55.671,55.482
271,M,False,55.671,55.482,55.491,55.449,55.713
272,M,False,34.356,34.431,33.857,33.125,34.173
273,M,False,40.394,40.785,40.507,40.534,40.525
274,M,True,44.003,43.99,43.905,44.036,43.684
275,M,False,41.701,41.51,41.554,41.942,41.794
276,M,True,42.115,42.37,42.869,42.628,42.556
277,M,False,47.603,47.745,47.96,47.941,48.023
278,M,True,49.618,49.641,49.691,49.655,49.597
279,M,True,56.743,56.796,57.066,56.958,56.951
280,M,False,57.826,57.799,57.882,57.877,57.951
281,M,False,57.882,57.877,57.951,57.975,57.904
282,M,False,46.562,46.57,46.764,46.703,46.678
283,M,False,56.711,56.854,56.713,56.877,56.953
284,M,False,56.877,56.953,56.929,56.879,57.034
285,M,True,0.0,0.0,0.0,0.0,0.0
286,M,True,50.738,50.659,51.338,50.7,50.451
287,M,True,44.681,44.261,44.511,44.15,44.213
288,M,False,44.823,44.947,44.676,44.786,45.109
289,M,False,44.285,44.106,44.325,43.81,43.572
290,M,False,43.524,43.265,43.572,44.023,43.692
291,M,False,44.524,44.956,45.619,45.304,45.167
292,M,True,45.68,45.485,45.554,45.482,45.694
293,M,False,42.435,42.189,42.833,42.379,42.338
294,M,False,46.174,45.924,45.929,45.794,45.59
295,M,False,41.669,41.913,42.214,42.036,42.003
296,M,True,53.828,53.699,53.907,54.07,54.246
297,M,False,53.907,54.07,54.246,54.189,54.252
298,M,False,41.281,41.327,41.342,41.147,41.373
299,M,False,38.611,38.96,38.929,38.783,38.442
300,M,False,50.948,51.258,51.032,51.138,51.295
301,M,True,52.882,52.838,52.828,52.953,52.997
302,M,False,51.32,51.425,51.746,52.185,52.522
303,M,True,42.652,42.753,42.871,42.924,42.92
304,M,True,43.39,43.482,43.493,43.683,43.394
305,M,True,45.061,45.022,45.114,45.168,45.523
306,M,True,47.164,47.403,47.195,47.23,47.232
307,M,True,49.826,49.788,49.668,49.62,49.643
308,M,False,52.025,51.933,51.685,51.576,52.009
309,M,False,38.075,38.026,38.281,38.676,38.939
310,M,False,39.604,39.805,39.985,39.71,39.717
311,M,False,41.915,41.738,41.772,41.753,42.005
312,M,True,54.183,54.071,53.859,53.887,53.524
313,M,True,53.482,53.19,53.262,53.317,53.487
314,M,False,49.671,49.241,49.439,49.495,49.314
315,M,False,44.151,44.192,42.843,43.969,43.802
316,M,True,46.245,46.096,45.879,45.716,45.345
317,M,False,42.375,42.254,42.483,42.663,42.964
318,M,False,39.017,38.806,38.483,38.417,38.548
319,M,True,50.42,50.346,50.835,50.838,50.997
320,M,False,49.772,49.814,49.778,49.3,49.452
321,M,True,43.966,44.201,44.118,43.789,43.719
322,M,False,43.789,43.719,43.431,43.431,42.981
323,M,False,36.681,36.69,36.493,36.603,36.713
324,M,True,43.138,43.226,43.03,43.071,42.832
325,M,False,41.561,41.689,41.549,41.407,41.54
326,M,False,41.366,41.523,41.526,41.124,41.354
327,M,False,39.713,39.418,39.525,39.747,39.351
328,M,False,45.037,45.238,45.557,45.606,45.751
329,M,True,51.338,51.436,51.265,51.627,51.731
330,M,False,47.949,47.79,47.645,47.501,47.616
331,M,True,28.209,27.805,27.825,28.037,27.622
332,M,True,43.706,43.325,43.221,43.65,43.648
333,M,True,40.633,40.852,40.664,40.732,40.787
334,M,False,41.37,41.28,41.223,41.086,40.989
335,M,False,42.675,42.713,42.91,42.482,42.501
336,M,False,34.015,33.973,33.458,33.333,33.31
337,M,False,57.089,56.809,56.823,56.671,56.741
338,M,True,53.606,53.736,53.746,53.716,53.839
339,M,False,31.994,32.017,31.728,31.583,31.132
340,M,False,41.933,41.963,41.891,41.85,41.738
341,M,False,42.997,46.209,41.799,50.583,47.242
342,M,False,57.242,56.939,56.153,56.145,56.413
343,M,False,53.453,52.207,52.147,50.668,50.116
344,M,False,49.68,49.996,50.374,50.215,49.696
345,M,False,44.206,44.842,44.402,45.156,44.664
346,M,False,43.88,43.472,42.842,42.875,43.319
347,M,True,42.807,42.903,42.823,42.861,42.888
348,M,False,43.095,42.978,42.957,42.696,42.911
349,M,False,42.649,42.487,42.407,42.583,42.506
350,M,True,43.148,43.085,43.152,43.065,42.755
351,M,False,44.629,44.508,44.651,44.572,44.703
352,M,True,41.749,41.895,41.567,41.968,42.196
353,M,True,49.392,49.537,49.754,49.764,49.809
354,M,False,49.887,49.975,50.05,50.194,50.193
355,M,False,51.487,51.551,51.395,51.359,51.413
356,M,False,45.595,45.44,45.785,45.489,45.736
357,M,False,51.975,51.978,51.924,52.016,52.013
358,M,False,52.353,52.451,52.424,52.535,52.679
359,M,False,51.72,51.566,51.563,51.367,51.527
360,M,True,56.549,56.647,56.56,56.514,56.563
361,M,False,56.538,56.438,56.515,56.435,56.502
362,M,False,56.008,55.994,56.159,56.183,56.314
363,M,False,53.541,53.58,53.607,53.648,53.466
364,M,True,45.09,44.973,44.631,44.594,44.597
365,M,False,43.194,43.125,43.04,42.958,42.842
366,M,False,43.592,43.441,43.486,43.587,43.497
367,M,True,49.155,49.065,49.303,49.668,49.581
368,M,True,52.307,52.501,52.823,52.878,53.134
369,M,True,56.571,56.387,56.073,56.146,56.606
370,M,True,55.824,55.875,55.915,55.685,55.857
371,M,True,57.244,58.011,57.813,57.786,57.79
372,M,True,57.961,57.922,57.736,57.801,57.838
373,M,True,57.775,57.658,57.939,57.667,57.985
374,M,False,58.41,58.057,58.159,58.346,58.123
375,M,False,57.799,58.056,58.193,58.522,58.765
376,M,True,56.946,57.008,57.077,56.898,56.991
377,M,False,56.986,56.991,56.68,56.593,56.592
378,M,False,56.56,56.481,56.529,56.528,56.536
379,M,False,56.647,56.62,56.6,56.507,56.51
380,M,False,50.565,50.412,50.601,50.806,50.873
381,M,False,36.04,36.388,36.427,36.3,36.167
382,M,False,45.321,45.224,45.129,44.966,44.961
383,M,False,42.93,42.458,42.703,43.1,43.184
384,M,False,28.343,28.717,28.557,28.774,28.953
385,M,False,22.733,22.653,22.444,22.499,22.346
386,M,False,38.997,38.911,38.92,38.994,38.686
387,M,False,55.463,55.551,55.391,55.134,55.103
388,M,True,28.892,28.507,27.369,27.222,27.61
389,M,True,29.079,29.438,29.284,29.368,29.181
390,M,True,30.698,30.02,30.326,30.098,30.041
391,M,False,33.657,32.34,32.405,32.618,32.559
392,M,False,35.082,35.717,36.379,36.832,37.133
393,M,False,37.002,37.168,37.827,37.218,38.0
394,M,True,39.388,39.41,39.252,39.11,38.937
395,M,False,38.503,38.96,38.802,39.035,39.453
396,M,False,27.02,28.631,28.399,28.421,27.968
397,M,True,37.112,37.365,37.242,36.959,37.009
398,M,True,37.192,37.161,37.208,37.179,36.973
399,M,False,35.958,34.518,34.369,34.536,34.737
400,M,False,34.489,34.366,34.27,34.363,34.453
401,M,False,48.555,48.28,48.753,48.824,49.017
402,M,True,50.431,50.353,50.166,50.427,51.053
403,M,False,48.68,49.034,49.32,49.376,49.232
404,M,False,42.646,42.859,43.245,43.218,42.905
405,M,False,32.769,32.88,32.723,32.889,33.038
406,M,False,37.461,37.368,37.343,37.233,37.459
407,M,False,41.072,40.927,40.45,40.455,40.217
408,M,False,55.512,55.569,55.406,55.323,55.191
409,M,True,37.339,37.523,37.27,37.619,37.373
410,M,False,36.671,36.86,36.854,36.407,36.58
411,M,False,43.213,43.268,43.317,43.558,43.473
412,M,False,42.933,43.169,42.898,43.134,43.076
413,M,False,33.459,33.214,33.47,33.301,33.274
414,M,False,53.44,53.39,53.427,53.406,53.48
415,M,True,51.705,51.13,51.147,51.145,50.982
416,M,True,45.649,45.315,45.43,44.838,44.914
417,M,True,43.32,43.564,43.182,43.085,43.112
418,M,True,47.164,46.853,47.111,46.969,47.134
419,M,True,39.434,39.817,39.466,40.155,40.286
420,M,False,37.452,37.339,37.905,37.674,36.685
421,M,False,46.563,47.121,47.51,47.991,47.041
422,M,False,37.293,37.347,37.172,37.326,37.25
423,M,False,45.064,45.497,44.986,45.373,45.591
424,M,False,37.691,37.577,37.574,37.552,37.65
425,M,False,34.732,34.294,34.208,34.193,33.567
426,M,False,38.746,38.719,38.787,38.835,38.833
427,M,False,26.3,26.351,26.193,26.03,25.956
428,M,True,37.229,36.973,36.707,36.47,36.663
429,M,False,35.06,34.324,34.835,35.065,34.665
430,M,False,29.245,29.435,29.52,29.624,29.838
431,M,False,39.822,39.885,39.497,39.657,39.502
432,M,False,40.376,40.414,40.238,40.413,40.348
433,M,True,33.174,33.06,32.767,32.425,32.547
434,M,False,32.767,32.425,32.547,32.467,32.572
435,M,False,33.271,33.377,32.917,33.232,33.032
436,M,True,35.362,35.149,34.727,35.06,34.991
437,M,True,43.582,43.821,43.746,43.566,43.474
438,M,False,44.246,44.141,44.061,44.162,44.163
439,M,False,44.528,44.717,44.772,44.767,44.722
440,M,False,44.722,44.94,44.812,45.027,44.867
441,M,False,44.302,44.381,44.421,44.479,44.43
442,M,True,48.176,48.327,48.362,48.461,48.51
443,M,False,49.681,49.632,49.581,49.559,49.497
444,M,True,53.215,53.211,53.341,53.525,53.491
445,M,True,55.069,54.997,54.935,54.846,54.814
446,M,True,47.447,47.358,47.286,47.242,47.294
447,M,False,47.286,47.242,47.294,47.205,47.273
448,M,False,47.3,47.29,47.364,47.448,47.374
449,M,False,46.666,46.637,46.577,46.495,46.407
450,M,False,46.394,46.425,46.375,46.395,46.363
451,M,True,45.945,45.825,45.685,45.627,45.523
452,M,False,45.022,44.952,44.966,44.934,44.897
453,M,False,43.684,43.679,43.589,43.452,43.478
454,M,False,42.379,42.354,42.324,42.405,42.292
455,M,False,42.102,42.078,42.117,42.038,41.962
456,M,True,40.683,40.676,40.707,40.852,40.75
457,M,True,39.81,39.819,39.832,39.749,40.115
458,M,False,40.301,40.195,40.247,40.164,40.157
459,M,False,40.21,40.244,40.101,40.123,40.119
460,M,False,40.138,39.872,39.967,40.103,40.155
461,M,False,40.529,40.36,40.38,40.332,40.171
462,M,False,40.588,40.757,40.814,40.527,40.784
463,M,False,41.635,42.045,42.098,42.194,42.049
464,M,False,42.049,42.367,42.036,42.22,42.439
465,M,False,43.51,43.345,43.536,43.963,43.807
466,M,True,34.09,34.0,34.176,34.706,34.569
467,M,False,35.749,35.863,35.493,35.517,36.042
468,M,True,34.246,33.754,34.572,34.663,34.534
469,M,True,35.292,35.692,36.186,36.21,36.154
470,M,True,35.819,35.787,35.953,35.574,35.85
471,M,False,35.884,36.058,36.355,36.506,36.802
472,M,False,36.725,36.616,36.982,36.69,36.514
473,M,False,37.344,37.418,37.056,37.383,37.542
474,M,False,46.602,46.479,46.674,46.727,46.939
475,M,True,35.867,35.945,35.773,35.799,35.9
476,M,True,36.329,36.305,36.215,36.256,36.292
477,M,False,36.708,36.74,36.799,36.952,36.684
478,M,False,54.713,54.929,54.937,54.896,54.895
479,M,True,56.133,56.206,56.144,56.059,56.041
480,M,True,54.642,54.381,54.469,54.394,54.326
481,M,False,54.221,54.135,54.08,54.112,54.172
482,M,False,52.513,52.367,52.373,52.295,52.367
483,M,False,33.448,33.33,33.362,33.391,33.449
484,M,True,47.149,47.257,47.445,47.306,47.213
485,M,True,45.789,45.65,45.866,45.981,45.579
486,M,False,47.304,47.353,47.119,47.019,47.039
487,M,True,44.836,45.117,45.161,45.199,45.21
488,M,True,39.63,39.641,39.5,39.322,39.38
489,M,False,60.39,60.294,60.191,60.113,60.188
490,M,False,38.488,38.333,38.312,38.393,38.257
491,M,False,38.896,38.792,38.756,38.748,38.857
492,M,False,53.375,53.643,53.783,53.84,53.574
493,M,False,57.046,57.124,57.284,57.254,57.26
494,M,False,46.751,46.856,46.987,46.989,47.092
495,M,False,53.246,53.351,53.407,53.212,53.176
496,M,False,28.481,27.25,27.773,26.341,28.323
497,M,True,57.224,57.284,57.333,57.18,57.075
498,M,False,57.571,57.672,57.362,57.129,57.39
499,M,False,58.172,58.352,58.076,58.104,58.132
500,M,False,36.452,36.4,36.396,36.249,36.48
501,M,False,44.706,44.869,45.042,45.074,45.294
502,M,False,44.368,44.436,44.872,44.685,43.484
503,M,False,35.652,35.652,34.946,35.038,34.991
504,M,False,36.998,36.428,36.745,37.532,37.154
505,M,False,38.09,38.541,36.81,36.283,38.153
506,M,False,39.936,39.97,39.814,40.269,39.985
507,M,True,37.602,37.92,38.011,38.078,38.312
508,M,False,38.542,38.655,38.372,38.515,38.605
509,M,True,39.365,39.657,39.528,39.684,39.618
510,M,True,43.938,44.429,44.532,44.87,44.726
511,M,False,46.366,46.495,46.157,45.944,45.923
512,M,True,50.468,50.478,50.362,50.658,50.984
513,M,True,51.739,51.707,51.929,52.075,51.882
514,M,False,52.075,51.882,51.835,52.098,51.917
515,M,False,52.451,52.239,52.372,52.533,52.591
516,M,False,52.999,52.966,53.196,53.421,53.464
517,M,False,54.311,54.518,54.515,54.575,54.425
518,M,False,56.096,56.193,56.017,56.317,56.164
519,M,True,52.717,52.671,52.655,52.508,52.463
520,M,True,50.77,50.756,50.629,50.573,50.569
521,M,False,48.877,48.824,48.644,48.529,48.46
522,M,False,36.026,35.706,35.915,35.599,35.426
523,M,False,43.247,43.104,42.982,42.916,43.0
524,M,False,45.645,45.855,45.831,45.558,44.899
525,M,True,30.541,30.523,30.922,31.359,29.905
526,M,True,33.359,33.333,34.057,33.838,34.559
527,M,False,34.051,33.225,33.256,32.941,33.132
528,M,False,32.645,33.873,33.554,33.482,33.066
529,M,False,37.286,36.983,36.946,36.0,36.486
530,M,False,41.437,41.85,41.404,41.887,41.469
531,M,True,49.472,49.615,49.645,49.588,49.389
532,M,False,49.648,49.804,49.663,49.567,49.444
