,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5
505,M,False,28.172,28.219,17.364,16.119,15.943
506,M,False,21.245,23.055,26.532,23.268,25.171
507,M,True,15.075,14.287,14.504,13.844,14.167
508,M,False,12.387,12.453,12.527,12.448,12.428
509,M,True,10.155,9.9976,10.22,10.028,10.045
510,M,True,6.08,6.1075,6.1426,6.0836,6.1423
511,M,False,5.8933,5.7682,5.6541,5.6731,5.5966
512,M,True,5.6719,5.6936,5.667,5.7068,5.6726
513,M,True,5.7303,5.7774,5.685,5.6385,5.6215
514,M,False,5.6385,5.6215,5.6821,5.5996,5.7372
515,M,False,5.7054,5.7668,5.7513,5.7134,5.6602
516,M,False,5.931,5.9125,5.8343,5.8598,5.854
517,M,False,6.2776,6.3286,6.3166,6.2599,6.2547
518,M,False,8.581,8.6148,8.6279,8.672,8.6533
519,M,True,10.662,10.759,10.599,10.604,10.539
520,M,True,11.636,11.918,11.89,12.182,12.046
521,M,False,12.821,12.951,12.856,12.964,12.974
522,M,False,14.456,14.689,14.389,14.51,14.732
523,M,False,20.718,21.136,20.6,20.835,21.544
524,M,False,15.619,8.5592,17.013,16.996,16.024
525,M,True,0.0,0.0,0.0,0.0,0.0
526,M,True,32.388,31.656,45.796,43.65,43.608
527,M,False,25.645,25.604,25.659,27.249,32.136
528,M,False,33.609,34.778,37.438,34.492,35.138
529,M,False,28.815,39.024,41.778,29.386,20.371
530,M,False,34.255,39.045,40.435,40.48,42.316
531,M,True,12.07,12.232,12.266,12.253,12.407
532,M,False,12.581,12.497,12.598,12.695,12.513
533,M,False,27.29,29.583,28.945,29.688,27.53
534,M,True,16.735,16.61,16.242,16.938,16.71
535,M,False,42.874,43.694,41.561,41.899,41.935
536,M,False,2.1622,0.0,0.0,0.0,0.0
537,M,False,12.167,12.022,11.942,12.113,11.891
538,M,True,9.0242,8.9429,9.0727,9.093,9.0736
539,M,False,9.5862,9.5755,9.5838,9.5556,9.5779
540,M,False,9.6574,9.5841,9.5725,9.6057,9.565
541,M,True,5.3,5.4808,5.4815,5.4491,5.2661
542,M,False,6.0953,6.2432,6.1338,6.2247,6.1916
543,M,False,11.573,11.518,11.292,11.398,11.459
544,M,False,14.371,14.357,14.396,14.326,14.422
545,M,False,64.56,52.348,51.771,59.846,58.91
546,M,True,30.22,28.498,27.677,27.659,27.38
547,M,False,11.019,11.127,11.111,11.132,11.329
548,M,True,14.34,14.005,13.791,13.635,13.943
549,M,True,11.916,12.1,11.21,11.245,11.466
550,M,False,11.059,11.277,11.337,11.087,10.995
551,M,True,9.7593,9.9453,10.077,10.01,10.143
552,M,False,10.903,11.016,10.965,10.882,10.745
553,M,True,11.467,11.605,11.657,11.591,11.53
554,M,False,10.789,10.85,10.76,10.848,10.768
555,M,False,13.083,13.185,13.187,13.195,13.245
556,M,True,15.198,15.244,15.197,15.095,15.179
557,M,False,15.339,15.37,15.408,15.446,15.486
558,M,False,34.369,33.58,35.31,34.915,38.105
559,M,False,8.236,8.2208,8.0196,7.8676,7.8411
560,M,False,18.702,18.496,18.433,18.546,18.682
561,M,True,10.309,10.37,10.348,10.357,10.373
562,M,True,10.876,10.998,10.983,11.022,10.962
563,M,True,21.714,22.697,23.364,23.944,24.16
564,M,True,11.641,11.531,11.562,11.503,11.584
565,M,True,11.963,12.096,11.996,11.937,12.057
566,M,False,12.073,11.953,12.014,12.014,12.007
567,M,True,29.933,29.68,29.22,28.483,26.848
568,M,True,11.864,11.82,11.849,11.677,11.864
569,M,False,11.713,11.662,11.811,11.691,11.65
570,M,False,25.696,24.168,25.204,25.051,21.959
571,M,False,11.65,11.674,11.693,11.574,11.653
572,M,False,11.653,11.564,11.646,11.735,11.642
573,M,False,22.58,21.752,20.192,20.626,21.395
574,M,True,11.19,11.312,11.304,11.123,11.184
575,M,True,11.018,11.02,10.947,10.921,11.073
576,M,False,10.919,10.965,11.055,11.033,10.984
577,M,True,11.262,11.128,11.092,11.215,10.816
578,M,True,14.539,14.798,14.939,14.985,15.073
579,M,True,15.867,15.918,15.846,16.159,16.342
580,M,False,15.274,15.137,15.282,15.495,15.504
581,M,False,16.185,16.137,15.802,15.477,15.824
582,M,False,22.48,22.23,25.142,27.108,30.244
583,M,True,118.57,3.6631,115.33,112.26,112.87
584,M,False,3.5234,3.6862,3.558,3.7642,3.104
585,M,True,13.194,19.57,17.087,15.141,16.418
586,M,False,17.087,15.141,16.418,20.678,8.6433
587,M,False,16.774,16.887,16.663,16.668,16.635
588,M,True,17.484,17.427,18.173,18.406,18.343
589,M,False,22.217,22.32,22.488,22.218,22.341
590,M,False,13.294,12.961,12.919,12.948,13.006
591,M,False,23.022,23.026,23.039,23.132,23.234
592,M,False,79.302,76.657,82.449,91.56,114.55
593,M,False,11.009,11.754,11.93,11.687,11.542
594,M,False,8.8037,8.9164,8.8879,9.7223,8.7176
595,M,False,22.916,16.614,16.608,16.265,21.955
596,M,False,8.4136,8.3574,7.4455,7.4143,8.1165
597,M,True,4.4269,4.3368,4.2926,4.2557,4.2794
598,M,False,5.2218,5.1684,5.3138,5.5666,5.8492
599,M,False,8.2073,7.8312,8.8034,10.792,8.3072
600,M,True,12.216,12.193,12.239,12.118,12.089
601,M,False,12.089,12.078,12.111,12.105,12.17
602,M,True,13.999,13.729,13.83,14.01,14.17
603,M,False,13.812,13.695,13.575,13.54,13.531
604,M,False,13.575,13.54,13.531,13.621,13.514
605,M,True,21.21,20.575,20.699,20.547,21.245
606,M,False,33.771,37.944,36.464,35.324,34.706
607,M,True,0.0,0.0,0.0,0.0,0.0
608,M,False,51.913,2.3207,2.1604,0.0,2.996
609,M,True,26.067,26.047,25.85,25.875,25.394
610,M,True,26.013,26.174,26.153,26.144,26.021
611,M,False,25.77,26.14,26.008,26.081,25.749
612,M,True,25.609,25.794,25.962,26.076,25.898
613,M,False,26.43,26.784,26.797,27.058,26.932
614,M,False,26.731,26.679,26.864,26.818,25.926
615,M,False,12.396,12.643,12.053,12.141,12.079
616,M,False,12.186,12.229,12.236,12.413,12.3
617,M,False,10.371,10.425,9.7968,10.066,10.29
618,M,True,4.2658,4.16,4.1118,4.122,5.3372
619,M,True,4.7459,4.7393,4.6123,4.5372,4.6531
620,M,False,4.6531,4.6604,4.4766,4.3164,4.3205
621,M,False,4.1345,4.0639,4.057,3.9598,4.0644
622,M,False,4.057,3.9598,4.0644,3.9685,3.9718
623,M,False,4.0224,3.8929,3.9038,3.8896,3.8225
624,M,False,3.5617,3.5018,3.4016,3.4568,3.4052
625,M,False,3.3348,3.3499,3.3311,3.3684,3.429
626,M,False,3.429,3.3892,3.3764,3.3392,3.3713
627,M,True,2.9544,2.9374,2.9659,3.1788,2.9868
628,M,True,3.9642,4.0086,3.9377,3.8724,3.8967
629,M,False,3.8255,3.8492,3.8218,3.8389,3.8055
630,M,True,3.7046,3.6758,3.6151,3.6118,3.5773
631,M,True,3.4922,3.4837,3.4213,3.4593,3.435
632,M,False,3.4213,3.4593,3.435,3.4519,3.4479
633,M,True,3.7912,3.8321,3.8137,3.8565,3.843
634,M,False,3.7847,3.8006,3.7928,3.7619,3.7734
635,M,False,3.8355,3.8324,3.8615,3.8771,3.9293
636,M,True,4.723,4.6992,4.7115,4.7274,4.725
637,M,True,5.7377,5.723,5.8736,5.9329,5.8666
638,M,False,5.8602,5.8952,5.9235,5.8606,5.9811
639,M,False,6.3749,6.3219,6.4192,6.2995,6.4211
640,M,True,8.9549,9.0096,9.1497,9.1609,9.2604
641,M,False,20.401,20.635,20.74,20.928,20.256
642,M,True,0.0,0.0,0.0,0.0,3.1957
643,M,False,1.8509,1.8,1.8421,1.838,1.6235
644,M,False,6.5769,6.6457,6.7393,6.6956,6.7205
645,M,False,0.0,0.0,0.0,0.0,0.0
646,M,False,0.0,0.0,0.0,0.0,0.0
647,M,False,16.017,16.257,16.279,16.22,16.038
648,M,False,2.8155,2.7543,2.8783,2.9285,8.0832
649,M,False,6.1248,5.7796,5.4373,5.7013,5.7507
650,M,False,8.5716,8.0036,8.3722,8.5117,9.1028
651,C,True,3.1186,3.3999,3.192,3.1424,3.3648
652,C,True,9.5063,9.7306,9.5939,9.5657,9.7041
653,C,False,0.0,0.0,0.0,0.0,0.0
654,C,False,59.341,51.899,52.51,57.546,54.389
655,C,False,34.44,35.012,35.239,34.862,35.617
656,C,False,1.0835,1.2294,1.1378,1.299,1.2039
657,C,False,73.863,63.837,75.23,43.92,42.32
658,C,False,66.671,51.797,0.0,0.0,43.071
659,C,False,12.065,11.998,12.17,11.82,11.717
660,C,True,27.827,28.183,27.816,28.04,27.798
661,C,False,129.92,130.77,131.99,131.18,131.1
662,C,False,28.328,28.398,28.283,28.434,28.396
663,C,False,0.0,0.0,0.0,3.1895,0.0
664,C,False,36.795,36.32,39.208,39.212,36.258
665,C,True,0.0,0.0,0.0,0.0,0.0
666,C,True,15.392,15.519,15.421,15.351,15.112
667,C,False,75.555,75.414,75.589,73.991,75.363
668,C,False,29.075,29.632,30.032,31.089,30.739
669,C,False,52.799,53.969,52.835,52.117,51.861
670,C,True,34.136,33.632,34.233,33.781,34.489
671,C,False,28.164,27.949,28.034,28.006,28.655
672,C,False,30.252,30.251,29.926,30.414,30.408
673,C,False,30.636,26.765,32.062,0.0,20.098
674,C,False,0.0,0.0,0.0,0.0,0.0
675,C,False,38.145,39.994,41.627,38.926,39.938
676,C,False,56.585,57.105,57.596,57.261,58.424
677,C,True,4.3832,3.9809,4.1499,3.9886,3.8623
678,C,False,78.665,74.236,77.781,78.109,78.411
679,C,False,0.0,0.0,0.0,0.0,0.0
680,C,False,91.133,88.856,88.473,88.103,88.399
681,C,False,2.0632,2.8611,2.4326,2.4434,2.4862
682,C,True,0.0,8.3083,8.3685,8.3622,8.4013
683,C,False,3.7376,3.8839,4.0113,3.8052,3.7376
684,C,False,9.2697,9.3583,9.3852,9.4685,9.3744
685,C,False,34.136,33.632,34.233,33.781,34.489
686,C,False,3.3033,4.0405,3.9426,6.2752,12.412
687,C,True,27.178,27.274,27.392,27.433,27.31
688,C,False,21.922,19.949,20.648,20.406,19.099
689,C,False,16.653,55.395,39.459,4.2481,12.413
690,C,False,14.748,14.22,10.073,13.631,12.721
691,C,False,85.784,67.495,0.0,0.0,0.0
692,C,True,14.033,11.953,14.463,3.4234,27.116
693,C,False,16.167,4.5741,13.275,11.993,18.12
694,C,False,62.949,61.793,62.311,62.063,61.891
695,C,False,0.0,0.0,0.0,0.0,0.0
696,C,False,26.679,26.594,26.499,26.45,26.517
697,C,False,2.2978,2.2877,2.9956,2.3238,2.3276
698,C,False,0.0,0.0,0.0,0.0,0.0
699,C,False,355.08,359.8,372.15,379.19,412.43
700,C,False,0.0,0.0,0.0,0.0,0.0
701,C,False,68.826,67.217,66.41,67.764,67.688
702,C,True,35.544,12.839,5.3707,19.779,3.2101
703,C,False,19.189,19.124,19.201,19.059,19.073
704,C,False,95.807,93.826,0.0,0.0,0.0
705,C,False,17.361,17.253,17.377,17.308,17.691
706,C,False,21.435,19.414,19.205,19.371,24.198
707,C,False,30.606,30.607,31.434,30.136,29.578
708,C,False,36.624,37.198,39.173,38.434,37.833
709,C,False,5.9318,6.2459,7.0678,10.277,9.7849
710,C,True,33.588,33.542,33.371,33.474,33.532
711,C,False,0.0,0.0,0.0,0.0,0.0
712,C,False,34.224,34.495,34.365,34.957,34.435
713,C,False,10.256,10.085,10.126,10.099,10.116
714,C,False,49.058,50.423,50.827,51.329,51.495
715,C,False,15.357,15.715,15.901,15.972,16.193
716,C,False,16.352,16.355,16.217,16.502,16.528
717,C,False,14.567,14.434,14.746,14.503,15.165
718,C,True,0.0,0.0,0.0,0.0,0.0
719,C,False,40.352,41.746,41.524,3.3167,3.5369
720,C,False,0.0,0.0,0.0,0.0,0.0
721,C,False,0.0,0.0,0.0,0.0,0.0
722,C,False,7.9212,14.507,9.8229,7.5876,9.1935
723,C,False,35.639,37.683,40.787,38.814,40.316
724,C,False,0.0,0.0,0.0,0.0,0.0
725,C,True,3.2301,8.4229,9.8273,12.566,18.513
726,C,False,23.517,22.941,22.452,22.522,22.551
727,C,False,23.133,22.98,22.857,22.959,23.263
728,C,False,6.0623,6.2893,6.37,6.5272,6.4786
729,C,False,3.6972,3.9456,29.128,12.059,7.1725
730,C,False,27.714,21.92,20.15,18.384,16.159
731,C,False,34.176,34.193,33.445,0.0,33.537
732,C,False,90.674,90.009,90.225,90.929,91.221
733,C,False,19.623,41.771,13.797,14.829,12.847
734,C,False,16.356,16.258,16.207,16.139,16.169
735,C,False,0.0,0.0,0.0,0.0,0.0
736,C,False,3.1186,3.3999,3.192,3.1424,3.3648
737,C,False,15.134,14.951,14.673,14.726,14.917
738,C,False,33.236,33.305,33.786,34.877,35.392
739,C,False,22.534,23.396,24.033,24.4,23.492
740,C,False,30.804,29.957,29.507,30.494,30.432
741,C,False,0.0,0.0,0.0,0.0,0.0
742,C,False,17.549,17.554,17.427,17.18,16.77
743,C,False,13.001,12.826,12.743,12.88,13.109
744,C,False,12.392,12.245,12.337,12.452,12.431
745,C,False,27.733,27.826,27.704,27.77,27.452
746,C,False,4.2672,4.2295,4.175,4.2599,4.2273
747,C,False,14.712,14.389,14.321,14.006,14.072
748,C,False,18.795,18.265,17.851,18.091,18.021
749,C,False,27.827,28.183,27.816,28.04,27.798
750,C,False,17.163,17.012,17.02,16.814,17.09
751,C,False,87.344,88.08,88.499,88.607,88.285
752,C,False,0.0,0.0,0.0,0.0,0.0
753,C,False,20.185,20.008,20.311,20.489,20.767
754,C,False,0.0,0.0,0.0,0.0,0.0
755,C,False,42.283,42.473,38.676,40.275,42.808
756,C,False,6.2435,6.1411,6.7377,6.7323,7.6838
757,C,False,10.075,10.291,10.573,10.179,9.8993
758,C,False,14.994,14.972,14.963,15.144,15.147
759,C,False,71.596,70.876,71.396,69.889,69.955
760,C,False,93.08,110.77,113.07,89.726,113.92
761,C,False,2.7742,2.0865,2.417,3.4948,2.8901
762,C,False,0.0,0.0,0.0,0.0,0.0
763,C,False,18.082,18.297,18.21,18.117,17.993
764,C,False,29.342,29.378,30.299,30.656,30.391
765,C,False,4.0658,2.957,2.8776,1.9664,3.0248
766,C,False,48.415,48.676,48.553,49.033,50.213
767,C,False,0.0,0.0,0.0,0.0,0.0
768,C,False,18.261,17.879,18.04,17.908,17.866
769,C,False,0.0,8.3083,8.3685,8.3622,8.4013
770,C,False,0.0,0.0,0.0,0.0,0.0
771,C,False,13.38,12.963,13.087,13.109,13.329
772,C,False,14.215,14.205,14.173,14.11,14.051
773,C,False,3.2301,8.4229,9.8273,12.566,18.513
774,C,False,25.474,25.4,25.452,25.206,25.399
775,C,False,12.914,13.015,13.162,13.099,13.332
776,C,False,5.2376,0.0,7.0943,15.071,0.0
777,C,False,25.054,24.944,24.567,24.488,24.793
778,C,False,28.531,26.399,22.227,20.157,19.096
779,C,False,8.1178,7.9018,14.075,12.579,14.411
780,C,False,8.1792,12.327,17.77,13.115,11.495
781,C,False,13.21,0.0,13.646,13.886,13.736
782,C,False,14.053,14.366,14.433,14.285,14.367
783,C,False,8.151,8.7503,8.7351,8.7113,8.5559
784,C,False,0.0,0.0,0.0,0.0,0.0
785,C,False,80.075,77.508,76.362,78.063,79.268
786,C,False,0.0,0.0,0.0,0.0,0.0
787,C,False,1.8079,3.7871,3.4422,0.0,36.708
788,C,False,15.283,15.348,15.451,15.569,15.54
789,C,False,95.71,51.416,94.18,50.952,52.557
790,C,False,17.886,18.087,17.907,18.025,18.18
791,C,True,45.878,46.802,46.879,47.626,48.315
792,C,False,33.331,32.969,37.016,31.167,34.188
793,C,False,23.431,23.037,22.926,23.478,23.322
794,C,False,48.015,47.803,46.51,49.167,50.195
795,C,False,48.626,48.355,48.814,49.138,48.358
796,C,False,0.0,0.0,0.0,0.0,0.0
797,C,False,54.278,81.54,52.697,64.379,32.728
798,C,False,23.536,24.249,23.142,22.806,22.738
799,C,False,4.5406,4.5933,4.6949,4.6905,4.7428
800,C,False,2.6047,2.9233,2.9595,4.2613,4.2418
801,C,False,12.39,9.3032,1.9611,8.3677,1.7982
802,C,False,25.526,25.634,25.593,25.777,25.591
803,C,False,15.849,15.724,15.743,15.712,15.841
804,C,False,0.0,0.0,0.0,0.0,0.0
805,C,False,20.4,19.926,20.12,19.686,19.774
806,C,False,22.734,22.47,22.723,22.915,23.18
807,C,False,0.0,0.0,0.0,0.0,0.0
808,C,False,5.3707,19.779,3.2101,3.9671,4.176
809,C,False,45.967,45.609,45.356,45.484,45.827
810,C,True,21.794,22.032,22.045,19.342,20.257
811,C,False,16.413,16.618,16.445,16.646,16.864
812,C,True,17.476,17.457,17.243,17.549,17.376
813,C,False,114.73,115.46,125.57,132.8,123.56
814,C,False,3.8638,2.881,1.1794,1.2279,1.7868
815,C,False,9.5063,9.7306,9.5939,9.5657,9.7041
816,C,False,13.654,13.644,13.491,13.191,13.426
817,C,False,71.674,74.19,74.9,80.189,89.154
818,C,False,14.432,14.998,14.535,14.047,13.471
819,C,False,21.794,22.032,22.045,19.342,20.257
820,C,False,40.616,40.452,40.602,41.035,41.145
821,C,False,19.295,19.601,17.982,17.615,18.825
822,C,False,7.2111,7.3295,7.3201,7.2665,7.1512
823,C,False,0.0,0.0,0.0,0.0,0.0
824,C,False,13.387,13.154,13.051,13.635,14.107
825,C,False,33.523,33.189,33.42,33.465,33.43
826,C,False,18.327,18.034,19.179,19.188,19.319
827,C,False,0.0,0.0,0.0,0.0,0.0
828,C,False,4.3209,4.2783,4.2621,4.7852,4.1798
829,C,False,11.096,10.874,11.085,11.441,11.318
830,C,False,25.016,26.389,26.001,25.971,27.224
831,C,False,20.041,20.214,20.679,19.7,20.254
832,C,False,56.599,57.984,58.278,57.379,58.409
833,C,False,5.7265,6.6145,5.5493,8.6431,5.3415
834,C,False,6.3192,55.321,55.644,29.263,4.8275
835,C,False,10.998,11.171,11.031,11.121,10.995
836,C,False,0.0,0.0,0.0,0.0,0.0
837,C,False,13.595,12.591,12.304,13.161,12.906
838,C,False,17.476,17.457,17.243,17.549,17.376
839,C,False,59.779,59.311,58.881,59.166,59.334
840,C,False,27.797,27.722,27.376,27.254,27.335
841,C,False,4.3832,3.9809,4.1499,3.9886,3.8623
842,C,False,66.382,66.049,66.226,66.433,67.2
843,C,False,18.908,19.04,19.348,19.133,19.406
844,C,False,33.588,33.542,33.371,33.474,33.532
845,B,True,19.242,21.603,22.353,21.634,23.027
846,B,False,24.3,25.469,25.057,24.286,23.556
847,B,False,0.0,0.0,0.0,0.0,0.0
848,B,False,0.0,0.0,0.0,0.0,0.0
849,B,True,2.3637,2.468,3.3584,2.3942,2.7352
850,B,True,12.36,12.239,11.887,11.815,12.007
851,B,False,31.16,31.617,31.929,32.251,32.345
852,B,False,36.466,36.577,36.511,36.81,36.516
853,B,False,0.0,0.0,0.0,0.0,0.0
854,B,False,20.778,20.057,20.314,20.62,20.384
855,B,True,23.154,22.792,23.01,23.038,23.845
856,B,False,0.0,0.0,0.0,0.0,1.9211
857,B,True,0.0,0.0,0.0,0.0,0.0
858,B,False,22.127,26.863,29.815,19.681,26.96
859,B,False,1.7388,0.0,0.0,6.9004,31.551
860,B,True,0.0,0.0,0.0,0.0,0.0
861,B,True,3.1227,3.1907,3.0913,3.0452,3.0558
862,B,True,16.749,16.524,17.739,17.148,16.925
863,B,True,0.0,0.0,0.0,0.0,0.0
864,B,False,0.0,0.0,0.0,0.0,0.0
865,B,False,31.242,32.508,30.708,31.002,31.899
866,B,True,0.0,0.0,0.0,0.0,0.0
867,B,True,38.168,38.233,38.925,38.819,40.284
868,B,False,10.316,10.718,10.581,10.78,11.176
869,B,True,0.0,0.0,0.0,0.0,0.0
870,B,True,22.881,22.59,22.685,23.109,23.139
871,B,True,0.0,0.0,0.0,0.0,0.0
872,B,True,37.836,38.218,37.265,40.248,41.294
873,B,True,0.0,0.0,0.0,0.0,0.0
874,B,True,32.963,32.913,32.727,31.992,31.886
875,B,True,24.33,25.076,24.91,23.262,23.341
876,B,True,0.0,0.0,0.0,0.0,0.0
877,B,False,14.807,14.471,14.625,14.54,14.595
878,B,False,11.315,11.52,12.067,11.841,11.801
879,B,True,0.0,0.0,0.0,0.0,0.0
880,B,False,0.0,0.0,0.0,0.0,0.0
881,B,False,0.0,0.0,0.0,0.0,0.0
882,B,True,13.222,13.983,13.649,13.55,12.747
883,B,True,5.4162,20.108,0.0,18.059,16.365
884,B,False,0.0,0.0,0.0,0.0,0.0
885,B,False,0.0,0.0,0.0,0.0,0.0
886,B,False,53.768,0.0,57.647,62.086,63.223
887,B,True,3.1448,3.1182,3.1149,3.1149,3.047
888,B,False,26.986,28.261,28.708,29.583,29.076
889,B,True,0.0,19.944,19.29,19.766,20.072
890,B,True,0.0,0.0,0.0,0.0,0.0
891,B,True,9.9166,8.3655,7.8118,8.3872,5.0061
892,B,True,37.78,36.329,35.526,35.939,36.385
893,B,False,0.0,0.0,0.0,0.0,0.0
894,B,False,30.535,31.398,31.608,31.592,31.087
895,B,False,0.0,0.0,0.0,0.0,0.0
896,B,False,2.7383,0.0,0.0,0.0,0.0
897,B,False,126.58,150.25,109.98,151.59,139.83
898,B,False,13.169,13.116,12.97,12.901,12.667
899,B,False,10.713,10.508,11.159,11.01,11.353
900,B,False,14.931,12.969,12.921,13.227,12.711
901,B,True,0.0,0.0,0.0,0.0,0.0
902,B,True,0.0,0.0,0.0,0.0,0.0
903,B,False,0.0,0.0,0.0,0.0,0.0
904,B,False,0.0,0.0,0.0,0.0,0.0
905,B,True,48.497,47.814,49.341,49.913,51.033
906,B,False,5.6543,5.6777,5.7732,5.7885,5.7906
907,B,True,0.0,55.281,50.921,49.173,56.619
908,B,False,0.0,0.0,0.0,0.0,0.0
909,B,False,21.84,0.0,0.0,22.654,23.113
910,B,True,0.0,0.0,0.0,0.0,0.0
911,B,False,0.0,35.372,34.955,34.362,30.305
912,B,False,20.994,20.965,0.0,0.0,0.0
913,B,True,0.0,0.0,0.0,0.0,0.0
914,B,False,14.12,14.897,15.35,15.652,14.754
915,B,False,0.0,0.0,0.0,0.0,0.0
916,B,False,6.5873,6.9406,7.2114,7.4261,6.3599
917,B,False,0.0,0.0,0.0,0.0,0.0
918,B,False,8.5673,8.4118,8.3342,8.351,8.478
919,B,False,0.0,0.0,0.0,0.0,0.0
920,B,False,0.0,0.0,0.0,0.0,0.0
921,B,True,0.0,0.0,0.0,0.0,0.0
922,B,False,25.84,54.014,23.529,23.888,22.345
923,B,True,21.197,21.393,21.211,21.108,21.575
924,B,False,27.378,29.269,29.817,29.749,29.887
925,B,False,0.0,0.0,0.0,0.0,0.0
926,B,True,0.0,0.0,0.0,0.0,0.0
927,B,True,0.0,0.0,0.0,0.0,0.0
928,B,False,0.0,0.0,0.0,0.0,0.0
929,B,False,22.663,22.809,22.762,22.319,22.546
930,B,False,25.595,10.821,5.2608,0.0,10.592
931,B,False,0.0,0.0,1.5335,2.0057,2.1931
932,B,True,35.221,38.254,31.373,32.416,36.752
933,B,False,4.1024,4.39,4.8924,5.3594,5.3594
934,B,True,7.8608,6.4636,4.5927,2.2379,4.6217
935,B,False,0.0,0.0,0.0,0.0,0.0
936,B,False,0.0,0.0,0.0,0.0,0.0
937,B,False,41.901,44.304,43.822,48.746,48.064
938,B,True,0.0,0.0,0.0,0.0,0.0
939,B,False,14.152,13.967,14.229,14.434,14.804
940,B,False,0.0,0.0,0.0,0.0,0.0
941,B,False,40.414,39.029,40.433,41.172,41.714
942,B,False,24.747,24.465,24.138,24.098,25.198
943,B,True,7.5097,3.5178,7.2891,6.8893,3.4933
944,B,False,18.047,18.118,18.234,18.144,18.421
945,B,True,0.0,180.43,0.0,0.0,0.0
946,B,False,26.127,26.464,25.859,26.225,27.017
947,B,True,10.857,14.958,14.281,14.658,12.733
948,B,False,15.474,15.901,15.032,13.645,13.952
949,B,False,34.542,34.125,34.44,35.41,35.066
950,B,False,0.0,0.0,13.264,13.006,0.0
951,B,True,0.0,0.0,0.0,8.5027,8.5836
952,B,True,1.0137,0.90714,0.0,0.0,0.0
953,B,False,1.8409,0.0,0.0,2.0674,1.8268
954,B,False,0.0,0.0,0.0,0.0,0.0
955,B,False,23.252,23.231,23.303,23.208,23.014
956,B,False,18.767,18.728,18.568,18.717,18.691
957,B,True,16.443,15.827,15.727,15.529,15.704
958,B,True,51.554,52.346,51.78,53.218,53.079
959,B,False,12.097,13.98,14.334,13.92,15.458
960,B,True,2.4509,2.9707,1.6676,1.8007,1.1105
961,B,False,0.0,0.0,0.0,0.0,0.0
962,B,True,2.7713,2.6932,3.0194,2.9004,2.7891
963,B,True,133.36,140.98,131.86,0.0,0.0
964,B,False,0.0,0.0,0.0,0.0,0.0
965,B,True,0.0,0.0,0.0,2.2053,2.2093
966,B,True,17.683,17.753,17.359,17.306,17.425
967,B,True,16.736,16.79,16.818,16.571,16.652
968,B,True,0.0,85.562,70.641,96.891,108.63
969,B,False,0.0,0.0,0.0,45.223,40.307
970,B,False,4.291,3.5634,3.5844,3.362,3.7897
971,B,True,0.0,0.0,0.0,0.0,0.0
972,B,False,54.736,55.576,55.374,55.605,55.786
973,B,False,16.675,16.578,16.785,17.604,17.789
974,B,False,0.0,0.0,0.0,0.0,0.0
975,B,True,0.0,0.0,0.0,0.0,0.0
976,B,True,6.9238,5.9975,5.7397,5.7191,7.0676
977,B,False,24.017,24.287,22.534,21.705,21.346
978,B,False,3.144,3.1904,3.2115,3.2638,3.2131
979,B,False,14.22,15.279,15.662,21.411,36.224
980,B,True,0.0,0.0,0.0,0.0,0.0
981,B,False,0.0,0.0,0.0,0.0,0.0
982,B,False,0.0,0.0,0.0,0.0,0.0
983,B,False,0.0,0.0,0.0,0.0,0.0
984,B,True,1.8942,1.9698,2.1284,0.0,0.0
985,B,False,0.0,0.0,0.0,0.0,0.0
986,B,False,4.6041,4.6057,4.5254,4.4873,4.5845
987,B,True,0.0,0.0,0.0,0.0,0.0
988,B,True,0.0,0.0,0.0,0.0,0.0
989,B,False,2.3687,2.4422,2.2451,2.2044,2.2175
990,B,False,31.496,32.295,31.248,31.075,30.604
991,B,False,23.372,24.402,24.879,25.987,26.234
992,B,False,0.0,0.0,0.0,0.0,0.0
993,B,False,0.0,0.0,0.0,0.0,0.0
994,B,True,0.0,0.0,0.0,0.0,0.0
995,B,False,0.0,0.0,0.0,0.0,0.0
996,B,True,29.013,28.828,29.213,29.369,28.996
997,B,False,16.917,17.27,17.307,17.225,16.756
998,B,False,0.0,0.0,0.0,0.0,0.0
999,B,True,58.118,59.796,60.302,59.447,58.752
1000,B,True,40.409,39.925,38.292,40.307,37.928
1001,B,True,0.0,0.0,0.0,0.0,0.0
1002,B,False,0.0,0.0,0.0,0.0,0.0
1003,B,False,36.823,38.51,38.461,37.762,40.609
1004,B,False,0.0,0.0,0.0,0.0,0.0
1005,B,True,0.0,0.0,0.0,0.0,0.0
1006,B,True,20.956,21.216,21.914,22.001,22.064
1007,B,False,0.0,0.0,0.0,0.0,0.0
1008,B,True,0.0,19.211,0.0,0.0,0.0
1009,B,False,0.0,0.0,0.0,0.0,0.0
1010,B,True,8.6999,9.1028,9.3411,9.3457,9.4887
1011,B,False,2.9047,2.1601,2.8586,2.2256,2.2068
1012,B,False,17.64,18.262,17.721,17.581,17.898
1013,B,False,0.0,0.0,0.0,0.0,0.0
1014,B,False,1.8065,0.0,0.0,0.0,0.0
1015,B,True,0.0,0.0,0.0,0.0,0.0
1016,B,True,19.895,19.444,19.435,18.946,18.181
1017,B,False,0.0,0.0,0.0,0.0,0.0
1018,B,False,0.0,0.0,0.0,0.0,0.0
1019,B,True,4.0777,0.0,0.0,0.0,0.0
1020,B,False,89.045,93.365,96.519,90.196,86.92
