,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5
114,M,False,0.0,0.0,0.0,0.0,0.0
115,M,True,9.9501,9.8424,9.7812,9.6957,9.5757
116,M,False,0.0,0.0,0.0,0.0,36.499
117,M,False,9.1731,9.1087,9.1185,9.1545,9.0935
118,M,False,10.523,10.481,10.332,10.458,10.493
119,M,True,8.9996,10.453,10.577,10.676,9.6628
120,M,True,3.92,4.926,6.3952,5.173,5.8129
121,M,False,5.7101,5.4487,5.5984,5.3577,5.4731
122,M,False,8.8405,8.8088,8.7186,8.7024,8.8822
123,M,False,27.339,27.735,27.667,28.819,28.355
124,M,False,29.435,29.331,29.947,28.818,28.767
125,M,True,6.4057,6.6046,6.6724,6.6256,6.9192
126,M,True,21.21,19.351,22.232,19.079,19.113
127,M,True,14.443,13.588,12.909,12.28,14.66
128,M,True,9.8973,9.7358,9.6706,9.4788,9.8182
129,M,True,9.2635,8.8993,8.9489,9.3101,9.3473
130,M,True,10.195,10.052,10.342,10.261,10.46
131,M,False,9.9774,9.9579,9.973,9.8875,10.117
132,M,False,9.8801,9.8923,9.6889,9.681,9.7206
133,M,False,9.4997,9.5705,9.4752,9.5736,9.584
134,M,False,21.601,21.624,21.729,21.349,21.427
135,M,True,70.449,70.705,70.769,71.484,70.783
136,M,False,13.235,12.482,15.428,15.611,15.12
137,M,False,23.404,22.099,21.75,21.451,21.28
138,M,True,14.631,14.316,14.401,14.783,13.907
139,M,False,7.3509,7.292,7.0013,6.8245,7.5669
140,M,True,44.402,42.593,44.829,46.027,42.702
141,M,False,42.698,44.214,44.308,34.648,33.928
142,M,False,31.937,33.89,31.388,40.299,40.719
143,M,True,29.798,29.63,29.657,29.408,29.568
144,M,False,28.92,28.74,28.663,28.61,28.657
145,M,False,12.24,16.508,16.263,16.043,16.482
146,M,False,11.77,11.687,11.473,11.557,11.651
147,M,False,22.494,22.502,22.892,22.884,22.592
148,M,False,29.779,29.622,29.826,29.779,30.08
149,M,True,7.8696,8.9065,8.7271,8.9379,9.0298
150,M,True,13.82,13.667,13.282,13.539,13.281
151,M,False,13.667,13.282,13.539,13.281,12.999
152,M,False,12.943,12.494,12.565,12.089,12.439
153,M,True,11.678,11.851,11.643,14.652,11.831
154,M,False,11.064,10.854,10.374,10.282,10.294
155,M,False,9.692,9.8554,9.9123,9.7248,9.5802
156,M,False,9.5314,9.4627,9.0943,9.355,9.3144
157,M,False,8.2542,7.799,7.7132,7.5826,7.6332
158,M,False,6.5876,6.5863,6.3931,6.3453,6.4807
159,M,False,10.429,10.377,10.49,10.208,10.246
160,M,False,12.507,12.259,12.137,12.351,12.235
161,M,False,15.788,16.092,16.319,16.148,15.977
162,M,True,24.608,25.121,26.031,25.782,26.232
163,M,False,0.0,0.0,0.0,0.0,0.0
164,M,False,35.718,36.644,36.388,36.778,37.936
165,M,True,4.247,4.5522,2.9312,1.5031,1.6791
166,M,False,6.4447,14.977,14.151,14.553,14.605
167,M,True,15.973,15.833,16.0,15.996,15.69
168,M,True,13.119,12.919,12.993,12.983,12.557
169,M,False,12.769,12.921,12.632,12.903,13.197
170,M,True,11.832,11.75,11.797,11.905,11.721
171,M,False,10.962,10.674,10.838,10.807,10.8
172,M,False,10.28,10.171,10.255,10.406,10.115
173,M,False,9.1671,8.3708,8.0795,5.7948,5.9996
174,M,False,39.467,39.891,40.414,40.699,40.114
175,M,False,4.7288,5.07,4.8097,4.5037,4.9964
176,M,True,2.0655,4.8351,1.8315,2.1235,1.3948
177,M,False,0.0,0.0,0.0,0.0,0.0
178,M,False,0.0,0.0,0.0,0.0,0.0
179,M,False,10.205,10.33,10.307,10.271,10.479
180,M,True,112.33,65.891,9.8583,81.32,10.104
181,M,False,10.828,10.556,10.542,10.17,10.495
182,M,True,25.965,26.095,26.207,26.718,27.157
183,M,False,34.165,33.994,34.115,33.669,34.155
184,M,True,30.408,30.713,31.495,32.162,31.653
185,M,False,37.519,38.227,38.345,37.737,38.315
186,M,True,11.266,11.165,10.993,10.95,11.11
187,M,False,9.848,9.9125,9.9115,9.8412,9.7842
188,M,False,9.4835,9.6326,9.5166,9.4774,9.4148
189,M,True,11.529,11.632,11.398,11.415,11.505
190,M,True,11.349,11.062,11.024,11.12,11.212
191,M,True,10.795,10.88,10.873,10.862,10.969
192,M,True,10.745,10.785,10.828,10.874,10.849
193,M,False,45.942,46.083,46.113,45.921,46.332
194,M,True,10.416,10.558,10.524,10.542,10.524
195,M,False,10.625,10.697,10.755,10.763,10.782
196,M,False,10.872,10.646,10.771,10.813,10.772
197,M,True,10.781,10.849,10.911,10.476,10.937
198,M,True,10.937,10.953,10.499,11.065,11.032
199,M,False,10.211,10.106,10.249,10.217,10.133
200,M,False,28.011,34.389,6.3972,33.356,40.97
201,M,True,9.9278,9.9676,10.136,9.9445,9.9627
202,M,False,9.9627,9.7397,9.8527,9.863,9.9215
203,M,False,9.8601,9.9032,9.8174,9.8124,9.8357
204,M,True,9.1577,9.1746,9.0854,8.9359,8.9095
205,M,False,9.0758,9.1455,9.1145,9.3191,9.2189
206,M,True,10.081,9.9514,9.8881,10.026,10.237
207,M,False,10.221,10.304,10.225,10.123,10.166
208,M,True,10.235,10.243,10.232,10.134,10.269
209,M,False,10.088,10.07,10.258,10.373,10.289
210,M,True,10.33,10.454,10.329,10.299,10.401
211,M,False,9.9162,10.034,9.8708,10.04,10.176
212,M,False,11.155,11.167,11.117,10.921,10.813
213,M,False,7.1907,7.2131,7.2419,7.2051,7.244
214,M,True,10.58,10.569,10.615,10.64,10.502
215,M,True,12.411,12.513,12.437,12.393,12.523
216,M,False,12.48,12.507,12.886,12.68,12.994
217,M,False,13.491,13.362,13.408,13.373,13.78
218,M,False,13.175,12.882,13.159,13.023,13.177
219,M,True,10.855,10.904,10.907,10.861,10.524
220,M,False,10.114,10.098,10.168,10.094,10.18
221,M,False,10.254,10.201,10.146,10.125,9.9761
222,M,False,17.011,16.866,16.805,16.783,16.595
223,M,False,26.572,26.657,26.924,26.861,26.89
224,M,False,23.839,23.75,23.906,22.55,21.862
225,M,True,58.527,58.242,28.683,53.217,53.378
226,M,False,52.661,51.625,51.474,51.035,51.224
227,M,False,45.916,45.665,45.517,44.762,44.626
228,M,False,73.076,72.033,72.489,72.684,72.551
229,M,False,4.7198,3.1583,4.5817,5.523,6.6586
230,M,False,4.5817,5.523,6.6586,6.2006,9.5497
231,M,False,19.36,19.106,18.938,18.986,18.869
232,M,False,31.696,31.4,32.289,30.73,31.609
233,M,False,16.677,16.841,16.827,16.517,16.819
234,M,False,48.502,48.939,49.368,49.871,49.372
235,M,True,5.2901,5.4755,5.3283,5.5236,6.0605
236,M,True,16.525,14.47,14.148,14.193,14.073
237,M,True,104.98,110.78,0.0,0.0,113.8
238,M,False,8.7361,8.5237,8.5405,8.6391,8.5344
239,M,True,0.0,0.0,0.0,0.0,0.0
240,M,False,6.7732,6.8083,6.6388,6.4986,6.5185
241,M,False,7.5652,7.4881,7.5345,7.534,7.6728
242,M,True,20.861,21.556,22.088,21.571,21.09
243,M,False,15.824,15.654,15.897,15.728,15.476
244,M,False,13.195,13.187,12.846,12.929,13.121
245,M,False,32.74,34.029,32.627,32.229,32.718
246,M,False,13.982,13.878,13.637,13.365,13.449
247,M,False,14.03,14.153,14.181,13.929,14.095
248,M,True,15.704,15.688,15.771,15.77,15.75
249,M,False,14.796,14.852,14.913,14.978,14.805
250,M,True,4.6924,5.8008,5.9401,5.6641,5.7601
