classifier,all,coincident,noncoincident
KNN 3,0.9027,0.953,0.8049
RBF SVM,0.8643,0.953,0.8317
LDA,0.861,0.9232,0.7292
NB,0.8821,0.9263,0.7757
AdaBoost,0.8629,0.9232,0.7313
QDA,0.8654,0.9098,0.7883
Logistic Regression,0.8661,0.9333,0.7686
KNN 2,0.8937,0.9499,0.8095
KNN 4,0.8535,0.9292,0.7851
Decision Tree,0.8944,0.9531,0.8271
Linear SVM,0.886,0.936,0.7887
Random Forest,0.7469,0.8948,0.0162
