classifier,all,coincident,noncoincident
lda,0.8423,0.9309,0.7406
knn_3,0.9144,0.9734,0.7815
logistic_regression,0.9187,0.984,0.7931
linear_svm,0.8759,0.9468,0.7381
random_forest,0.9086,0.9747,0.7944
