classifier,all,coincident,noncoincident
KNN 3,0.6476,0.681,0.3884
RBF SVM,0.6082,0.5314,0.3839
LDA,0.6805,0.7729,0.351
NB,0.6485,0.6498,0.4759
AdaBoost,0.6826,0.7648,0.4294
QDA,0.6284,0.5638,0.4736
Logistic Regression,0.6254,0.48,0.4237
KNN 2,0.6608,0.6207,0.5089
KNN 4,0.5852,0.7386,0.3998
Decision Tree,0.5932,0.6979,0.443
Linear SVM,0.5846,0.556,0.4952
Random Forest,0.4018,0.125,-0.0035
