classifier,all,coincident,noncoincident
lda,0.8654,0.92,0.8065
knn_3,0.8625,0.9226,0.8271
logistic_regression,0.8842,0.9463,0.8226
linear_svm,0.8892,0.9432,0.8257
random_forest,0.872,0.9465,0.8342
