classifier,all,coincident,noncoincident
KNN 3,0.6412,0.6576,0.544
RBF SVM,0.6431,0.7033,0.5759
LDA,0.5951,0.6969,0.401
NB,0.591,0.6531,0.5009
AdaBoost,0.6136,0.6979,0.4407
QDA,0.6351,0.6062,0.5191
Logistic Regression,0.6409,0.4621,0.5634
KNN 2,0.6448,0.595,0.5623
KNN 4,0.6398,0.6062,0.518
Decision Tree,0.6398,0.6062,0.518
Linear SVM,0.621,0.7179,0.5441
Random Forest,0.6383,0.6921,0.5782
