parameter,B,C,M,X
ABSNJZH,34.61045322928998,113.82911990472213,636.0791159855731,835.4147991482931
AREA_ACR,279.7341317932797,1271.2499742178322,2621.9670085224993,4280.04435207446
MEANGAM,36.17488486402999,47.37509676172257,46.35625485608382,46.97218663112821
MEANGBH,47.99094098442576,61.294342198351785,58.24176471327718,54.746977451622804
MEANGBT,93.40214678523611,108.01074085128671,98.39909041255807,94.94114044437093
MEANGBZ,95.47959888861539,111.16293436259254,106.68282278579453,103.12055113842135
MEANJZD,-0.0301576385213345,0.11576580213477165,0.06784429018521194,0.06657517675674732
MEANJZH,0.0012340328101824224,0.0010202005559351165,-0.0014144525044629298,0.004243256212274423
MEANPOT,4581.9869998684035,8072.746532238388,11656.237321517201,13258.004477567823
MEANSHR,29.30204015184303,39.12212675232729,39.37396369311426,40.83259789155825
R_VALUE,3.3251505104975347,4.049599013658301,4.661184979271384,5.053525777128259
SAVNCPP,2254197121962.752,5166975179487.089,26045800688978.348,32209503626272.016
SHRGT45,20.940483351147023,34.939070418211834,35.06488575315082,37.97886805146162
TOTPOT,8.788102910787928e+22,4.589195205894799e+23,1.6634604475727895e+24,2.8738133795485785e+24
TOTUSJH,517.8251970593093,1960.8140678923392,5635.618008899508,8010.716695844099
TOTUSJZ,10869837309223.805,40640754253387.33,97737047397549.88,146446715462886.22
USFLUX,7.378725518585065e+21,2.2732118627851046e+22,6.734353354699273e+22,1.0398732193076941e+23
