,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1,ABSNJZH_2,AREA_ACR_2,MEANGAM_2,MEANGBH_2,MEANGBT_2,MEANGBZ_2,MEANJZD_2,MEANJZH_2,MEANPOT_2,MEANSHR_2,R_VALUE_2,SAVNCPP_2,SHRGT45_2,TOTPOT_2,TOTUSJH_2,TOTUSJZ_2,USFLUX_2,d_l_f_2,g_s_2,slf_2
37,X,True,567.25,6851.860000000001,54.62739999999999,59.772800000000004,94.769,104.68599999999999,0.0707654,-0.00275452,19270.2,49.1186,5.42632,7589500000000.0,53.028200000000005,5.27076e+24,11474.2,221776000000000.0,1.42288e+23,247.936,707270.0,5.140140000000001,566.16,6826.26,54.8164,60.374,94.99320000000002,104.52000000000001,0.0485878,-0.00277122,19449.4,49.272200000000005,5.38796,5797160000000.0,53.4326,5.27696e+24,11342.2,221730000000000.0,1.42458e+23,250.27400000000003,669684.0,5.22944
38,X,True,722.1659999999999,7044.56,53.125800000000005,58.181799999999996,95.9836,105.76999999999998,0.040825200000000006,-0.0034141199999999997,18375.6,47.8422,5.3532399999999996,14228200000000.0,50.7676,5.16218e+24,12347.8,228032000000000.0,1.5038800000000001e+23,265.67199999999997,661538.0,5.5285400000000005,706.5866666666667,7056.166666666667,52.41766666666667,56.26500000000001,94.95966666666665,105.07666666666667,0.10024466666666669,-0.003199733333333333,17790.333333333332,47.299,5.384066666666667,16235666666666.666,49.57266666666667,5.214133333333333e+24,12401.333333333334,232790000000000.0,1.5444666666666665e+23,267.43,575686.6666666666,5.5813999999999995
39,X,True,479.36800000000005,7138.6,49.8174,54.46900000000001,92.8178,102.726,0.10788919999999999,-0.00201728,16368.6,44.812400000000004,5.4374199999999995,28267200000000.0,44.449,5.165960000000001e+24,12671.4,235842000000000.0,1.63488e+23,266.284,751336.0,5.5658199999999995,496.316,7131.94,49.5048,53.864,92.422,102.64000000000001,0.12326400000000001,-0.0020647999999999994,16114.0,44.5332,5.45012,24067400000000.0,43.9336,5.143880000000001e+24,12738.4,238514000000000.0,1.6487e+23,265.44,733834.0,5.580620000000001
40,X,True,54.0804,6820.8,44.4488,50.1704,89.89340000000001,98.68999999999998,0.064022,-0.00021777600000000004,15029.0,39.5728,5.47866,60871000000000.0,34.9974,4.9577e+24,13233.4,229538000000000.0,1.84252e+23,266.87199999999996,762758.0,5.70842,61.9534,6795.0199999999995,44.3702,50.89119999999999,91.0672,100.10379999999999,0.03768264,-0.00021338000000000005,15497.4,39.6074,5.4495000000000005,55200800000000.0,35.1556,4.9603e+24,13416.2,227182000000000.0,1.838e+23,270.01000000000005,726692.0,5.8078
41,X,False,1553.8,1410.66,38.5658,47.74739999999999,92.0596,99.64399999999999,0.022373979999999998,0.021178600000000002,6420.620000000001,33.220000000000006,4.804060000000001,53584800000000.0,23.047200000000004,6.25608e+23,4028.84,72424400000000.0,4.7158e+22,207.92600000000002,27060.0,12.780800000000001,1599.4666666666665,1417.4666666666665,38.501,48.734,94.651,102.95333333333333,0.013643333333333332,0.023261,6755.2,32.99766666666667,4.819,55103000000000.0,23.210333333333335,6.171733333333333e+23,3998.1000000000004,68819666666666.664,4.5364e+22,207.81999999999996,27521.333333333332,12.493333333333334
43,X,True,1681.08,1220.8200000000002,45.9836,56.8112,101.15620000000001,106.33,0.17181000000000002,0.038576599999999996,9908.14,39.61559999999999,4.875559999999999,58241200000000.0,34.1134,5.73472e+23,3029.4,51508000000000.0,2.6606600000000005e+22,99.28999999999999,29994.0,6.008979999999999,1693.7599999999998,1238.6399999999999,46.230399999999996,57.751,101.374,107.016,0.209084,0.040616599999999996,10427.2,39.685199999999995,4.9248,58212200000000.0,34.5998,5.77646e+23,3009.6,49672800000000.0,2.60024e+22,100.22279999999999,27200.2,5.994120000000001
45,X,True,2708.325,1490.5,56.67075,75.45625000000001,104.0375,122.0125,0.0028661549999999987,-0.05171425,19355.5,49.0975,5.24355,74062250000000.0,54.878,1.3462e+24,5806.099999999999,79966250000000.0,3.679225e+22,117.9175,179287.5,4.310124999999999,2717.1799999999994,1496.66,56.5228,74.36179999999999,104.298,122.578,0.06702002,-0.05098579999999999,19245.4,49.010999999999996,5.253359999999999,77749200000000.0,54.272000000000006,1.3622199999999998e+24,5894.14,81326800000000.0,3.72106e+22,118.352,193466.0,4.346300000000001
46,X,True,2802.925,1510.725,56.02825000000001,74.95425,107.11500000000001,126.0925,0.069023475,-0.05311975,19804.5,48.73349999999999,5.2472,81458250000000.0,53.73275,1.3877e+24,6082.45,82711500000000.0,3.78815e+22,110.81750000000001,180890.0,4.107025,2895.0199999999995,1538.4600000000003,56.021,74.01500000000001,105.054,124.18199999999999,0.0207646,-0.0538508,19689.6,48.806200000000004,5.2606,82778000000000.0,53.6832,1.4057799999999999e+24,6070.219999999999,83379800000000.0,3.822999999999999e+22,106.326,210926.0,3.8946600000000005
47,X,False,3743.78,1727.02,49.7864,74.0088,106.86600000000001,120.00999999999999,-0.263788,-0.0587524,19993.6,43.42020000000001,5.29648,95962800000000.0,42.9602,1.6919600000000002e+24,7525.520000000001,97061200000000.0,4.86388e+22,103.822,198450.0,3.3805199999999997,3647.8199999999997,1754.48,49.6268,73.9666,108.226,122.76000000000002,-0.22055000000000002,-0.0578152,19932.8,43.2544,5.29144,94589000000000.0,42.7748,1.6703200000000002e+24,7402.38,94808000000000.0,4.91446e+22,104.374,219376.0,3.33208
51,M,False,256.59250000000003,168.9375,42.748000000000005,62.1785,112.36999999999999,125.105,-0.1391525,-0.02586025,5397.950000000001,34.9675,4.003825000000001,9831400000000.0,23.443749999999998,7.1119e+22,725.9475,13085250000000.0,6.102199999999999e+21,83.5855,2996.4750000000004,13.856499999999999,268.55333333333334,176.89666666666668,40.579,61.132000000000005,112.27666666666666,122.66000000000001,-0.141844,-0.027174,5476.200000000001,33.181000000000004,4.040933333333333,10215266666666.666,21.439000000000004,7.1865e+22,757.3666666666668,12556333333333.334,6.3915e+21,94.02833333333332,2906.8999999999996,14.832666666666666
55,M,False,12.0318,699.844,35.9328,60.5332,129.856,129.924,0.709204,0.00014974199999999996,3033.2400000000002,27.601000000000006,3.78166,6889240000000.0,12.015600000000001,7.49372e+22,856.01,18574200000000.0,1.10166e+22,92.88980000000001,756.662,15.385200000000001,10.093766666666665,692.32,36.67566666666667,62.00066666666667,130.35333333333332,130.14666666666665,0.5982333333333334,-0.00054152,3232.7666666666664,27.88566666666667,3.8440333333333334,5818666666666.667,12.602000000000002,7.988433333333332e+22,876.3233333333334,18804666666666.668,1.1066e+22,93.94633333333333,750.4900000000001,14.975
60,M,False,47.649,242.73000000000002,33.263,41.3184,85.6458,91.2402,-0.24636560000000002,-0.0032292,3703.9,26.843200000000003,3.73974,2154500000000.0,11.910400000000001,7.2652199999999996e+22,547.26,10468840000000.0,1.01002e+22,135.558,76.4408,36.07812,44.49366666666666,244.71,33.85966666666666,41.445,85.38666666666667,92.57466666666666,-0.161824,-0.0028929666666666666,3838.1333333333337,27.349333333333334,3.664966666666667,1915033333333.3333,13.21,7.8198e+22,566.8766666666667,11035000000000.0,1.0402e+22,169.16666666666666,103.911,43.92733333333333
61,M,True,10.303,302.09999999999997,53.99433333333334,77.859,119.85333333333334,117.98,0.2591866666666667,-0.0010384933333333335,5165.066666666667,41.26166666666666,3.5612,1317366666666.6667,35.23233333333334,6.7946999999999995e+22,493.1233333333333,11111333333333.334,5.467266666666667e+21,201.01333333333332,2983.3000000000006,24.01133333333333,10.624582,328.252,55.3162,79.8582,122.452,122.73400000000001,0.038434600000000006,-0.0007044810000000001,5686.839999999999,42.6382,3.5778399999999997,1323170600000.0,38.247,8.0094e+22,601.2459999999999,13319400000000.0,5.99072e+21,198.666,2704.84,22.284799999999997
62,M,True,761.7049999999999,841.8275000000001,60.15275,79.7845,105.17,114.0875,0.031448000000000004,0.024745000000000003,14247.5,50.4225,4.82005,21239750000000.0,55.229749999999996,5.825575000000001e+23,2679.025,45924000000000.0,1.88505e+22,168.2125,88017.75,8.50095,782.8725000000001,863.35,59.79975,80.702,108.51,119.2075,0.03059075,0.025438500000000003,14935.25,50.049,4.84835,17317000000000.0,54.494499999999995,6.104975e+23,2800.575,47507750000000.0,1.9615500000000003e+22,169.015,85621.75,8.612475
64,M,False,1015.4799999999999,1098.56,58.323,66.87039999999999,92.4688,100.38119999999999,0.182434,0.0243046,14956.0,50.778999999999996,4.870839999999999,30795800000000.0,57.4418,8.29884e+23,3015.3399999999997,52649200000000.0,2.61596e+22,184.942,82741.6,8.37002,1101.1,1099.7600000000002,58.2096,67.70539999999998,93.3222,101.602,0.147986,0.026496000000000002,15004.0,50.6062,4.87926,35720800000000.0,57.14020000000001,8.281179999999999e+23,3059.62,53072200000000.0,2.6426200000000004e+22,183.028,80067.8,8.291979999999999
65,M,True,847.7560000000001,1106.7,48.6946,62.2568,100.78,110.704,-0.0995576,0.019059,10900.6,41.724000000000004,4.989,28900800000000.0,38.923,6.439e+23,3019.4,52777200000000.0,3.13842e+22,205.664,34088.6,10.511,812.844,1123.6,48.631,62.754000000000005,101.47,111.35799999999999,-0.0634458,0.018162600000000004,10986.0,41.577,5.0057,27173600000000.0,38.6574,6.53024e+23,3106.16,53563000000000.0,3.15798e+22,205.35,37413.8,10.375
67,M,False,732.3399999999999,1121.6599999999999,47.687200000000004,61.915,101.08,110.652,-0.0272106,0.016051199999999998,10970.0,40.721199999999996,5.00808,26106800000000.0,36.938599999999994,6.64736e+23,3157.82,53194600000000.0,3.25238e+22,206.86999999999998,37108.8,10.209399999999999,733.8279999999999,1130.0000000000002,47.5118,62.321799999999996,101.148,111.16,-0.05325919999999999,0.016109599999999998,11242.8,40.5598,4.977580000000001,27487800000000.0,36.5512,6.80158e+23,3213.56,53565000000000.0,3.2842599999999998e+22,206.336,38544.6,10.0959
71,M,False,519.8340000000001,593.9060000000001,33.1356,40.7894,77.4682,83.28359999999999,-0.185568,0.014944600000000002,4968.879999999999,27.475800000000003,4.432779999999999,26419000000000.0,14.225,2.2958999999999997e+23,1536.8799999999997,27864000000000.0,2.46122e+22,177.81,3608.38,19.484,505.2299999999999,599.8499999999999,32.955799999999996,40.6532,78.099,83.04820000000001,-0.16926339999999998,0.014561399999999999,4878.280000000001,27.426,4.394119999999999,24836600000000.0,14.0288,2.24792e+23,1519.8799999999999,27605600000000.0,2.45932e+22,193.964,3613.8,21.314799999999998
72,M,True,752.6599999999999,2068.8599999999997,45.6198,57.9966,99.84079999999999,109.43999999999998,-0.0170544,0.01008052,11923.0,39.587599999999995,4.99516,52249400000000.0,36.1726,1.1822399999999999e+24,4411.0599999999995,82333600000000.0,5.3971600000000006e+22,186.962,73023.4,8.36888,711.23,2080.4,44.469,54.61599999999999,95.79133333333334,105.33,0.03651733333333333,0.0090593,11339.666666666666,38.52733333333333,5.0242,46191333333333.336,34.260666666666665,1.1827666666666667e+24,4249.900000000001,79508333333333.33,5.5503e+22,185.12666666666667,67923.66666666667,8.232933333333333
73,M,True,287.75200000000007,914.9960000000001,38.7686,53.3812,99.2062,107.894,-0.177278,-0.00694772,5396.139999999999,31.595799999999997,4.53498,8577260000000.0,21.699400000000004,2.97118e+23,2135.08,38726200000000.0,2.96972e+22,201.70600000000002,4870.660000000001,21.8868,171.73200000000003,933.316,38.391200000000005,53.3592,100.04560000000001,107.94800000000001,-0.17887400000000003,-0.00421138,5705.32,31.6504,4.518860000000001,4556940000000.0,21.754200000000004,3.09026e+23,2140.9,38063600000000.0,3.0289199999999996e+22,203.99600000000004,4775.66,21.9544
