,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1
40,X,True,54.0804,6820.8,44.4488,50.1704,89.89340000000001,98.68999999999998,0.064022,-0.00021777600000000004,15029.0,39.5728,5.47866,60871000000000.0,34.9974,4.9577e+24,13233.4,229538000000000.0,1.84252e+23,266.87199999999996,762758.0,5.70842
41,X,False,1553.8,1410.66,38.5658,47.74739999999999,92.0596,99.64399999999999,0.022373979999999998,0.021178600000000002,6420.620000000001,33.220000000000006,4.804060000000001,53584800000000.0,23.047200000000004,6.25608e+23,4028.84,72424400000000.0,4.7158e+22,207.92600000000002,27060.0,12.780800000000001
42,X,False,,,,,,,,,,,,,,,,,,,,
43,X,True,1681.08,1220.8200000000002,45.9836,56.8112,101.15620000000001,106.33,0.17181000000000002,0.038576599999999996,9908.14,39.61559999999999,4.875559999999999,58241200000000.0,34.1134,5.73472e+23,3029.4,51508000000000.0,2.6606600000000005e+22,99.28999999999999,29994.0,6.008979999999999
44,X,False,,,,,,,,,,,,,,,,,,,,
45,X,True,2708.325,1490.5,56.67075,75.45625000000001,104.0375,122.0125,0.0028661549999999987,-0.05171425,19355.5,49.0975,5.24355,74062250000000.0,54.878,1.3462e+24,5806.099999999999,79966250000000.0,3.679225e+22,117.9175,179287.5,4.310124999999999
46,X,True,2802.925,1510.725,56.02825000000001,74.95425,107.11500000000001,126.0925,0.069023475,-0.05311975,19804.5,48.73349999999999,5.2472,81458250000000.0,53.73275,1.3877e+24,6082.45,82711500000000.0,3.78815e+22,110.81750000000001,180890.0,4.107025
47,X,False,3743.78,1727.02,49.7864,74.0088,106.86600000000001,120.00999999999999,-0.263788,-0.0587524,19993.6,43.42020000000001,5.29648,95962800000000.0,42.9602,1.6919600000000002e+24,7525.520000000001,97061200000000.0,4.86388e+22,103.822,198450.0,3.3805199999999997
48,X,False,,,,,,,,,,,,,,,,,,,,
49,X,False,,,,,,,,,,,,,,,,,,,,
50,X,False,,,,,,,,,,,,,,,,,,,,
