,FLARE_TYPE,COINCIDENCE,SAVNCPP_1,SAVNCPP_2,SAVNCPP_3,SAVNCPP_4,SAVNCPP_5,SAVNCPP_6,SAVNCPP_7,SAVNCPP_8,SAVNCPP_9,SAVNCPP_10,SAVNCPP_11,SAVNCPP_12,SAVNCPP_13,SAVNCPP_14,SAVNCPP_15,SAVNCPP_16,SAVNCPP_17,SAVNCPP_18,SAVNCPP_19,SAVNCPP_20,SAVNCPP_21,SAVNCPP_22,SAVNCPP_23,SAVNCPP_24,SAVNCPP_25,SAVNCPP_26,SAVNCPP_27,SAVNCPP_28,SAVNCPP_29,SAVNCPP_30,SAVNCPP_31,SAVNCPP_32,SAVNCPP_33,SAVNCPP_34,SAVNCPP_35,SAVNCPP_36,SAVNCPP_37,SAVNCPP_38,SAVNCPP_39,SAVNCPP_40
522,M,True,3785300000000.0,3957700000000.0,4343700000000.0,3595000000000.0,2723200000000.0,3053400000000.0,2912500000000.0,2455100000000.0,2875500000000.0,2391500000000.0,2551000000000.0,3274000000000.0,3399100000000.0,2835700000000.0,3019200000000.0,2757600000000.0,4057600000000.0,2859000000000.0,2385100000000.0,2951500000000.0,2851000000000.0,2647100000000.0,3542800000000.0,3863100000000.0,2754100000000.0,2835900000000.0,2952500000000.0,3320800000000.0,1996100000000.0,2855500000000.0,2372000000000.0,1807100000000.0,2437800000000.0,1407700000000.0,565880000000.0,948740000000.0,674970000000.0,957490000000.0,1523400000000.0,380450000000.0
523,M,True,2892300000000.0,3274200000000.0,3569900000000.0,2634900000000.0,2840400000000.0,2666000000000.0,4475900000000.0,3292500000000.0,2448400000000.0,2457100000000.0,2819100000000.0,2198300000000.0,2011100000000.0,2806200000000.0,2831300000000.0,1889400000000.0,2678000000000.0,3959100000000.0,4777200000000.0,3525100000000.0,5103200000000.0,4648500000000.0,5547300000000.0,7388500000000.0,7495600000000.0,7911500000000.0,8062100000000.0,7022900000000.0,7053300000000.0,6554200000000.0,7750100000000.0,9076100000000.0,8216400000000.0,9501500000000.0,8432700000000.0,8764500000000.0,9885800000000.0,11373000000000.0,9382100000000.0,8329500000000.0
524,M,False,7911500000000.0,8062100000000.0,7022900000000.0,7053300000000.0,6554200000000.0,7750100000000.0,9076100000000.0,8216400000000.0,9501500000000.0,8432700000000.0,8764500000000.0,9885800000000.0,11373000000000.0,9382100000000.0,8329500000000.0,8341300000000.0,10561000000000.0,11534000000000.0,11117000000000.0,14953000000000.0,14252000000000.0,12707000000000.0,12301000000000.0,14802000000000.0,14862000000000.0,11535000000000.0,13969000000000.0,16245000000000.0,13497000000000.0,9947500000000.0,11447000000000.0,13906000000000.0,14979000000000.0,12251000000000.0,11758000000000.0,12293000000000.0,15325000000000.0,12380000000000.0,10162000000000.0,7438100000000.0
525,M,True,13497000000000.0,9947500000000.0,11447000000000.0,13906000000000.0,14979000000000.0,12251000000000.0,11758000000000.0,12293000000000.0,15325000000000.0,12380000000000.0,10162000000000.0,7438100000000.0,10570000000000.0,10785000000000.0,12120000000000.0,9803300000000.0,8967100000000.0,9004300000000.0,11530000000000.0,13210000000000.0,14775000000000.0,12908000000000.0,14768000000000.0,15870000000000.0,16150000000000.0,18775000000000.0,18267000000000.0,18157000000000.0,18170000000000.0,15830000000000.0,16971000000000.0,17356000000000.0,15586000000000.0,9277600000000.0,13554000000000.0,13987000000000.0,14609000000000.0,13089000000000.0,12852000000000.0,12211000000000.0
526,M,False,10162000000000.0,7438100000000.0,10570000000000.0,10785000000000.0,12120000000000.0,9803300000000.0,8967100000000.0,9004300000000.0,11530000000000.0,13210000000000.0,14775000000000.0,12908000000000.0,14768000000000.0,15870000000000.0,16150000000000.0,18775000000000.0,18267000000000.0,18157000000000.0,18170000000000.0,15830000000000.0,16971000000000.0,17356000000000.0,15586000000000.0,9277600000000.0,13554000000000.0,13987000000000.0,14609000000000.0,13089000000000.0,12852000000000.0,12211000000000.0,11381000000000.0,10714000000000.0,12314000000000.0,11390000000000.0,12009000000000.0,9895700000000.0,9683700000000.0,8229900000000.0,8802200000000.0,12054000000000.0
527,M,False,9277600000000.0,13554000000000.0,13987000000000.0,14609000000000.0,13089000000000.0,12852000000000.0,12211000000000.0,11381000000000.0,10714000000000.0,12314000000000.0,11390000000000.0,12009000000000.0,9895700000000.0,9683700000000.0,8229900000000.0,8802200000000.0,12054000000000.0,6723200000000.0,8063700000000.0,13038000000000.0,10635000000000.0,10478000000000.0,9683300000000.0,12170000000000.0,12325000000000.0,13079000000000.0,14876000000000.0,15046000000000.0,16216000000000.0,13916000000000.0,17137000000000.0,15864000000000.0,12879000000000.0,13244000000000.0,10135000000000.0,9456600000000.0,9143100000000.0,12081000000000.0,14991000000000.0,14522000000000.0
528,M,False,15388000000000.0,10740000000000.0,6024600000000.0,5231900000000.0,2451000000000.0,6910900000000.0,6426700000000.0,9600100000000.0,7408500000000.0,7915800000000.0,1683500000000.0,7907600000000.0,6841100000000.0,3935500000000.0,5677400000000.0,4765800000000.0,12387000000000.0,15379000000000.0,15196000000000.0,16935000000000.0,14313000000000.0,8592200000000.0,3557400000000.0,6832000000000.0,21566000000000.0,5494800000000.0,5166800000000.0,5483600000000.0,10230000000000.0,8895000000000.0,12675000000000.0,4761700000000.0,8438400000000.0,13902000000000.0,14335000000000.0,13195000000000.0,12791000000000.0,5335500000000.0,14357000000000.0,11445000000000.0
529,M,False,12705000000000.0,8624400000000.0,6718900000000.0,3912600000000.0,6614000000000.0,4778000000000.0,1846400000000.0,2284700000000.0,2068900000000.0,2295800000000.0,1498400000000.0,1556000000000.0,1739400000000.0,2013200000000.0,4271700000000.0,5091700000000.0,6184900000000.0,6380600000000.0,5451200000000.0,7583400000000.0,8625200000000.0,6197000000000.0,7976500000000.0,4661500000000.0,6263300000000.0,7869700000000.0,9335600000000.0,7782500000000.0,7223300000000.0,8843900000000.0,7802400000000.0,6711600000000.0,6355700000000.0,6504300000000.0,7596900000000.0,7296500000000.0,8499300000000.0,6503700000000.0,6491400000000.0,7185600000000.0
530,M,False,10669000000000.0,8926700000000.0,11836000000000.0,11968000000000.0,11391000000000.0,10867000000000.0,10099000000000.0,11316000000000.0,9976800000000.0,11477000000000.0,10833000000000.0,9808200000000.0,11489000000000.0,12034000000000.0,9942200000000.0,9872800000000.0,10929000000000.0,12208000000000.0,11229000000000.0,9867400000000.0,10613000000000.0,15062000000000.0,13941000000000.0,16364000000000.0,17022000000000.0,17856000000000.0,20889000000000.0,17205000000000.0,15911000000000.0,17395000000000.0,18427000000000.0,19225000000000.0,18912000000000.0,16713000000000.0,17486000000000.0,17430000000000.0,16028000000000.0,15657000000000.0,16101000000000.0,15617000000000.0
531,M,True,13773000000000.0,12518000000000.0,12850000000000.0,13567000000000.0,15022000000000.0,14075000000000.0,16152000000000.0,16948000000000.0,18548000000000.0,17069000000000.0,17944000000000.0,18054000000000.0,17476000000000.0,18137000000000.0,19120000000000.0,20632000000000.0,23434000000000.0,23166000000000.0,23211000000000.0,26984000000000.0,28202000000000.0,27662000000000.0,26815000000000.0,28421000000000.0,29067000000000.0,29669000000000.0,29313000000000.0,29305000000000.0,30359000000000.0,30432000000000.0,31344000000000.0,34732000000000.0,34156000000000.0,35808000000000.0,37939000000000.0,40037000000000.0,40606000000000.0,41217000000000.0,42618000000000.0,42323000000000.0
