,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25,g_s_26,g_s_27,g_s_28,g_s_29,g_s_30,g_s_31,g_s_32,g_s_33,g_s_34,g_s_35,g_s_36,g_s_37,g_s_38,g_s_39,g_s_40
1779,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780,N,False,70.519,67.777,78.594,57.101,55.602,52.993,60.939,54.767,44.297,52.425,58.086,57.752,45.583,0.0,0.0,0.0,0.0,0.0,50.608,42.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781,N,False,0.0,0.0,11.788,14.194,0.0,13.804,23.049,0.0,0.0,17.935,16.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.663
1782,N,False,91.606,86.493,90.48,118.55,189.73,190.9,173.75,181.32,175.11,160.85,158.06,156.32,149.16,151.43,152.21,150.38,173.21,90.499,80.574,78.901,80.415,156.32,151.86,153.85,146.35,146.72,146.47,139.97,129.23,130.37,123.19,114.76,106.04,98.294,105.49,101.06,95.756,44.148,124.94,87.955
1783,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785,N,False,174.99,179.07,171.93,200.84,189.25,187.54,183.35,183.49,121.19,108.08,122.46,116.31,202.06,202.56,121.06,120.41,198.22,198.68,114.24,107.46,116.53,116.0,114.05,106.28,163.49,166.07,172.77,166.7,102.97,175.2,112.49,117.66,177.81,99.562,104.18,102.8,97.073,98.347,98.257,100.11
1786,N,False,56.466,0.0,0.0,0.0,0.0,0.0,0.0,51.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1787,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
