,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15,MEANGAM_16,MEANGAM_17,MEANGAM_18,MEANGAM_19,MEANGAM_20,MEANGAM_21,MEANGAM_22,MEANGAM_23,MEANGAM_24,MEANGAM_25,MEANGAM_26,MEANGAM_27,MEANGAM_28,MEANGAM_29,MEANGAM_30,MEANGAM_31,MEANGAM_32,MEANGAM_33,MEANGAM_34,MEANGAM_35,MEANGAM_36,MEANGAM_37,MEANGAM_38,MEANGAM_39,MEANGAM_40
13,X,False,53.168,53.227,53.247,53.475,53.408,53.75,53.964,54.011,54.063,54.341,54.218,54.136,54.219,54.364,54.285,54.184,54.178,54.256,54.319,54.07,54.083,54.016,53.751,53.759,53.561,53.415,53.196,53.218,53.219,53.18,53.212,53.182,53.111,53.08,52.814,52.897,52.844,52.908,52.855,53.109
14,X,False,38.64,38.59,38.486,39.387,38.915,38.617,38.943,38.909,39.232,39.104,39.011,39.167,39.181,38.955,38.882,38.829,39.086,38.406,38.306,38.297,38.586,38.441,37.994,38.203,38.095,38.149,38.208,37.716,37.617,37.765,37.884,37.992,37.917,38.256,38.204,38.077,37.984,38.187,38.32,39.397
15,X,False,55.159,55.197,55.187,55.09,55.206,55.077,55.165,55.109,55.101,54.975,54.739,54.655,54.601,54.68,54.908,55.048,55.333,55.331,55.447,55.536,55.573,55.546,55.537,55.514,55.484,55.411,55.473,55.553,55.49,55.541,55.521,55.54,55.668,55.604,55.586,55.612,55.646,55.654,55.809,55.854
16,X,False,18.296,18.394,18.375,18.403,18.75,19.213,19.015,18.764,19.357,20.364,21.041,21.992,22.316,22.201,23.761,24.74,24.513,22.848,23.814,23.447,23.353,23.258,22.018,22.222,21.28,22.142,21.533,21.327,21.107,21.144,22.004,21.503,22.413,22.221,22.658,22.411,22.206,22.424,22.487,22.623
17,X,False,33.175,32.857,33.109,32.89,32.79,32.512,32.453,32.8,33.116,32.912,33.142,32.861,32.705,32.985,32.507,32.501,31.9,32.129,31.534,32.168,31.708,31.406,31.524,31.832,30.879,31.314,30.807,30.337,30.555,30.257,30.548,30.389,30.256,30.326,30.715,30.347,30.544,30.59,30.262,30.092
18,X,False,50.411,50.534,49.523,49.536,48.845,48.471,48.165,48.245,47.691,47.001,47.283,46.752,46.447,46.216,45.783,45.771,45.312,44.657,43.82,45.867,45.77,45.156,45.905,45.065,45.914,45.343,45.106,45.003,45.708,45.465,46.072,45.493,45.432,45.165,45.424,45.322,45.566,44.694,45.429,45.356
19,X,False,44.472,44.318,44.351,44.328,44.101,43.988,44.186,43.985,44.345,44.06,43.617,43.337,43.21,42.94,42.967,42.937,42.742,42.735,42.794,42.779,42.869,43.419,43.129,43.128,43.084,43.157,42.86,42.975,42.697,42.754,42.736,42.758,42.692,42.583,42.723,42.916,42.812,42.714,42.702,42.575
20,X,True,49.983,49.909,49.839,49.72,49.636,49.566,49.565,49.503,49.476,49.414,49.349,49.367,49.383,49.245,49.245,49.157,49.105,49.113,49.012,48.983,49.038,49.012,48.956,48.916,48.885,48.797,48.934,48.905,48.842,48.796,48.743,48.656,48.501,48.403,48.332,48.103,47.911,47.879,47.755,47.589
21,X,True,44.4,44.465,44.492,44.46,44.427,44.427,44.431,44.356,44.338,44.299,44.154,44.167,44.133,44.049,43.903,43.738,43.659,43.684,43.679,43.589,43.452,43.478,43.411,43.401,43.431,43.405,43.403,43.45,43.448,43.435,43.463,43.503,43.623,43.66,43.343,43.592,43.596,43.613,43.394,43.213
22,X,False,38.634,38.421,38.679,38.426,38.669,38.614,38.595,38.414,38.364,38.525,38.479,38.427,38.294,38.195,38.318,38.301,38.172,38.491,38.09,38.07,37.805,37.958,38.238,38.265,38.231,38.29,38.387,38.292,38.365,38.406,38.454,38.416,38.598,38.583,38.698,38.736,38.904,38.881,38.952,38.948
23,X,True,45.869,46.022,46.047,46.133,46.319,46.081,46.094,46.194,46.464,46.415,46.389,46.337,46.366,46.495,46.157,45.944,45.923,45.762,45.803,45.995,46.359,46.697,46.834,46.769,47.099,46.92,47.36,47.783,47.703,48.1,48.025,48.392,48.223,48.559,48.407,48.378,48.34,48.564,48.575,48.614
24,X,False,48.097,47.294,48.095,51.416,55.766,52.51,53.774,53.785,53.779,54.022,52.889,51.907,50.677,51.056,49.79,48.971,48.954,49.064,48.404,49.041,49.103,50.168,49.066,48.775,48.465,48.897,48.302,48.024,47.048,46.598,47.167,46.868,47.091,46.824,46.045,45.982,46.52,46.811,46.687,46.35
25,X,True,56.951,56.723,56.637,56.445,56.431,56.605,56.556,56.46,56.562,56.532,56.408,56.479,56.488,56.239,56.076,56.122,55.901,56.02,56.014,55.895,55.854,56.153,56.122,56.081,56.068,56.007,56.124,56.048,55.937,56.003,55.821,55.784,55.69,55.418,55.361,55.219,55.285,55.07,55.13,54.889
26,X,True,56.076,56.122,55.901,56.02,56.014,55.895,55.854,56.153,56.122,56.081,56.068,56.007,56.124,56.048,55.937,56.003,55.821,55.784,55.69,55.418,55.361,55.219,55.285,55.07,55.13,54.889,54.682,54.739,54.837,54.502,54.507,54.315,54.548,54.393,54.336,54.38,54.528,54.573,54.717,54.539
27,X,False,43.448,43.76,44.034,43.021,42.637,42.219,42.13,42.616,42.209,42.596,41.987,42.825,43.204,42.529,42.746,42.599,43.241,42.995,42.053,42.413,42.156,42.066,42.169,41.49,41.897,41.247,42.403,42.103,42.212,41.706,42.911,41.675,42.164,41.22,41.832,41.109,39.486,39.931,40.618,40.174
28,M,False,42.369,43.847,42.395,42.381,41.93,42.306,41.574,40.541,40.701,40.495,40.716,40.047,39.406,39.493,39.31,40.203,40.991,40.42,40.187,40.485,40.769,39.521,41.114,35.875,40.385,39.504,39.638,39.691,39.547,39.568,39.599,39.418,39.114,39.427,40.802,39.251,41.129,40.001,39.745,39.861
29,M,False,33.674,33.349,31.421,32.828,32.827,34.778,34.507,33.51,32.115,31.753,32.207,33.806,32.049,34.401,34.589,33.995,32.633,32.465,33.317,34.521,35.464,36.677,35.408,32.683,35.713,36.907,36.647,35.308,37.526,37.087,35.437,36.445,37.106,35.655,36.177,34.577,35.277,35.166,34.051,33.448
30,M,False,37.383,37.251,37.157,36.977,36.986,37.012,36.879,37.008,36.877,36.824,37.16,37.301,37.052,37.105,37.228,37.072,37.255,37.348,37.719,37.798,37.806,37.793,37.717,37.621,37.614,37.467,37.282,37.592,37.523,37.292,37.107,37.054,37.06,37.298,37.101,37.111,37.492,37.118,37.285,37.344
31,M,True,43.799,42.844,41.779,42.907,42.411,41.739,41.884,41.99,41.81,42.733,41.734,41.638,42.345,41.979,41.258,40.242,39.308,39.558,40.405,39.487,41.08,39.704,39.86,39.349,40.062,38.772,38.08,39.618,39.341,39.413,39.913,39.467,40.845,38.623,38.38,37.867,37.35,37.07,36.599,37.556
32,M,False,27.084,27.317,27.79,27.825,27.895,28.404,28.503,28.082,28.371,28.274,28.43,28.984,28.871,28.71,28.699,28.959,28.635,28.344,28.143,28.007,28.689,28.44,28.234,27.889,27.954,27.703,28.02,27.825,27.554,27.874,27.662,27.825,28.232,27.961,28.382,28.178,28.246,28.739,28.667,28.641
33,M,False,40.286,40.577,40.539,41.007,40.88,41.358,41.974,41.934,42.581,42.433,42.613,43.008,42.484,42.283,42.126,42.314,42.22,42.397,43.001,43.334,42.991,44.003,43.34,44.074,44.635,44.568,44.338,44.148,44.735,44.491,44.726,44.47,44.436,45.159,45.591,45.217,45.983,46.812,46.702,46.676
34,M,False,33.293,32.987,33.238,33.934,34.209,33.54,33.83,33.837,34.175,34.411,34.346,34.141,34.415,35.58,35.442,35.803,35.28,36.275,35.482,35.287,35.684,36.094,36.432,35.653,35.922,36.06,36.334,36.496,37.467,36.939,37.417,37.434,37.635,37.586,37.857,38.439,38.074,38.13,37.283,37.177
35,M,True,53.933,53.747,54.303,54.794,54.908,54.669,55.438,55.02,55.843,55.611,54.576,54.056,54.676,55.48,56.165,56.276,56.931,56.811,57.177,57.065,57.699,57.773,57.75,57.425,57.577,58.221,57.865,57.575,57.524,57.598,57.688,57.551,57.656,57.959,57.858,58.029,58.032,58.335,58.826,59.512
36,M,True,60.309,60.268,59.885,59.714,59.757,59.917,59.829,59.765,59.688,59.497,59.474,59.473,59.599,59.766,59.928,60.057,60.206,60.138,60.14,60.276,60.216,60.141,60.166,60.203,60.035,59.951,60.038,60.069,60.236,60.039,59.976,59.946,59.808,59.894,59.82,59.673,59.597,59.536,59.555,59.673
37,M,False,37.464,36.63,36.257,36.637,36.888,36.942,37.745,38.222,38.565,38.36,38.048,38.007,37.792,38.554,39.599,39.229,39.871,39.843,39.187,39.87,39.993,39.786,39.704,39.372,39.024,38.627,38.657,39.259,39.067,39.438,39.36,39.389,39.737,39.366,39.384,39.392,38.599,39.432,39.691,39.985
38,M,False,58.373,58.245,58.199,58.322,58.267,58.299,58.314,58.088,58.08,58.212,58.143,58.129,57.958,57.866,57.633,57.525,57.421,57.424,57.388,57.198,57.115,57.029,57.118,57.11,57.149,57.324,57.257,57.122,57.143,56.776,56.812,56.937,56.823,56.874,56.753,56.745,56.64,56.596,56.498,56.553
39,M,True,48.681,48.513,48.811,48.917,48.908,48.792,48.663,48.464,48.328,48.587,48.309,48.184,48.1,48.105,48.116,47.826,47.382,47.578,47.534,47.714,47.378,47.612,47.51,47.345,47.393,47.497,47.492,47.042,46.997,47.074,47.479,47.204,47.278,47.458,47.33,46.988,47.089,46.756,47.091,46.813
40,M,True,49.773,49.745,49.937,50.09,49.96,49.831,49.951,49.885,49.747,49.968,49.964,49.952,50.165,50.095,50.11,50.098,49.905,50.112,49.881,49.839,49.923,50.292,50.117,49.925,50.019,49.997,49.841,49.606,50.012,49.886,50.1,50.192,50.185,49.879,49.915,49.686,49.971,49.974,49.722,49.438
41,M,False,47.826,47.382,47.578,47.534,47.714,47.378,47.612,47.51,47.345,47.393,47.497,47.492,47.042,46.997,47.074,47.479,47.204,47.278,47.458,47.33,46.988,47.089,46.756,47.091,46.813,46.796,46.837,46.903,46.941,47.054,47.099,47.409,47.393,47.107,46.98,46.953,47.178,47.038,47.162,47.174
42,M,False,49.881,49.839,49.923,50.292,50.117,49.925,50.019,49.997,49.841,49.606,50.012,49.886,50.1,50.192,50.185,49.879,49.915,49.686,49.971,49.974,49.722,49.438,49.52,49.394,49.187,49.359,48.754,48.977,49.218,49.885,49.886,49.961,49.767,51.007,50.572,51.099,51.352,51.328,51.48,51.867
43,M,False,51.099,51.352,51.328,51.48,51.867,51.523,51.845,52.291,51.99,52.046,52.17,51.084,51.339,51.682,51.632,51.794,51.83,51.729,51.902,51.71,51.858,52.45,52.857,52.249,52.186,52.018,52.177,52.8,52.791,52.696,52.838,52.645,52.317,52.519,52.26,52.141,52.396,52.155,52.433,52.099
44,M,False,33.122,33.477,33.123,32.884,33.072,33.072,33.178,32.924,32.684,32.921,32.786,33.05,33.282,33.168,33.176,33.155,32.916,33.222,33.089,33.129,33.349,33.139,33.342,33.075,33.07,33.266,33.554,33.775,33.399,33.435,33.449,33.69,33.621,33.639,33.587,33.549,33.624,33.583,33.348,33.295
45,M,True,45.936,45.657,45.57,45.5,45.436,45.053,44.775,44.488,44.447,44.472,44.549,44.15,44.225,44.195,44.229,44.17,44.227,44.696,45.012,45.175,45.218,45.245,44.993,45.042,45.15,44.547,44.484,44.299,44.458,44.534,44.27,44.148,43.677,43.413,43.126,42.958,43.291,43.561,43.451,43.412
46,M,True,38.926,39.073,39.178,38.213,38.453,38.793,38.578,38.219,38.263,38.103,37.757,37.375,37.803,38.324,38.367,37.997,38.077,37.915,38.161,38.342,37.701,37.83,38.182,39.153,38.906,39.2,39.059,38.923,39.206,38.186,38.487,39.125,39.647,39.246,39.321,38.329,38.18,38.225,38.933,38.204
47,M,False,44.17,44.227,44.696,45.012,45.175,45.218,45.245,44.993,45.042,45.15,44.547,44.484,44.299,44.458,44.534,44.27,44.148,43.677,43.413,43.126,42.958,43.291,43.561,43.451,43.412,43.302,43.237,43.517,43.468,43.235,43.092,43.178,43.083,42.999,42.778,43.103,43.005,42.96,42.717,42.936
48,M,False,45.245,44.993,45.042,45.15,44.547,44.484,44.299,44.458,44.534,44.27,44.148,43.677,43.413,43.126,42.958,43.291,43.561,43.451,43.412,43.302,43.237,43.517,43.468,43.235,43.092,43.178,43.083,42.999,42.778,43.103,43.005,42.96,42.717,42.936,42.645,42.901,42.675,42.726,42.502,42.414
49,M,False,50.546,51.21,51.382,50.902,50.68,50.716,50.829,50.961,50.756,50.928,51.256,51.358,51.494,51.196,51.072,51.291,51.213,50.943,51.11,51.135,51.055,51.137,51.438,51.13,51.059,50.856,50.934,50.899,50.667,50.437,50.889,50.764,51.069,51.5,51.348,51.167,51.321,51.733,51.826,51.551
50,M,False,41.114,41.421,41.15,41.265,40.926,41.176,41.233,41.281,41.442,41.191,41.393,41.825,42.017,41.342,41.377,40.988,40.842,40.276,40.841,40.798,40.333,40.421,40.058,40.608,40.077,40.031,39.843,40.127,39.818,39.756,40.066,40.115,40.124,40.105,40.01,39.966,39.875,40.037,40.158,39.73
51,M,True,40.311,40.336,40.144,40.107,40.56,40.652,39.985,40.389,40.278,40.364,39.864,40.381,40.726,40.792,40.804,40.598,40.436,40.303,40.34,40.262,40.423,40.627,39.96,40.08,39.965,40.206,40.339,39.892,40.036,39.993,40.075,39.975,40.631,40.276,39.787,40.012,39.912,40.017,39.862,39.693
52,M,False,40.08,39.965,40.206,40.339,39.892,40.036,39.993,40.075,39.975,40.631,40.276,39.787,40.012,39.912,40.017,39.862,39.693,39.452,39.508,39.611,39.656,39.234,39.612,39.38,39.324,39.317,39.237,39.373,39.231,39.479,39.582,39.387,39.179,39.861,39.958,39.975,39.986,40.021,39.904,39.542
53,M,False,39.664,40.123,40.187,40.546,40.661,40.394,40.271,40.617,40.482,40.955,41.114,41.078,41.328,41.477,41.472,40.894,41.071,41.07,40.988,40.638,40.978,40.998,41.081,41.541,41.572,41.738,41.744,41.343,41.015,41.513,41.526,41.376,41.781,41.736,42.29,42.204,42.307,42.292,42.305,42.459
54,M,False,42.305,42.459,42.074,42.005,41.767,41.976,41.968,41.491,41.645,41.682,41.698,41.965,42.15,42.231,42.475,42.212,41.727,41.943,41.642,41.854,41.822,45.03,41.787,42.584,42.163,42.254,41.678,42.236,41.879,41.397,41.317,41.399,41.124,41.028,41.142,41.037,42.214,42.035,41.433,41.584
55,M,False,41.645,41.682,41.698,41.965,42.15,42.231,42.475,42.212,41.727,41.943,41.642,41.854,41.822,45.03,41.787,42.584,42.163,42.254,41.678,42.236,41.879,41.397,41.317,41.399,41.124,41.028,41.142,41.037,42.214,42.035,41.433,41.584,41.695,41.556,40.916,41.774,41.242,41.461,41.956,41.858
56,M,True,59.577,59.57,59.598,59.543,59.529,59.589,59.59,59.591,59.468,59.507,59.527,59.506,59.402,59.309,59.361,59.34,59.424,59.343,59.456,59.594,59.495,59.482,59.358,59.355,59.551,59.551,59.607,59.583,59.586,59.552,59.727,59.528,59.542,59.456,59.273,59.517,59.358,59.329,59.254,59.182
57,M,False,59.309,59.361,59.34,59.424,59.343,59.456,59.594,59.495,59.482,59.358,59.355,59.551,59.551,59.607,59.583,59.586,59.552,59.727,59.528,59.542,59.456,59.273,59.517,59.358,59.329,59.254,59.182,58.867,58.901,58.896,59.004,58.832,58.941,58.933,59.092,59.233,59.169,58.964,58.804,58.892
58,M,True,42.88,42.555,43.035,42.134,42.585,42.663,42.767,42.381,42.267,42.361,41.689,41.78,41.357,41.491,41.46,41.233,41.345,40.407,40.772,40.633,40.59,41.053,40.313,40.471,39.471,40.358,40.72,40.184,39.986,39.827,39.882,40.46,40.148,40.08,40.368,40.251,40.271,40.69,40.9,40.855
59,M,False,42.129,42.256,41.721,42.471,42.311,42.249,42.17,41.64,41.869,41.837,41.695,41.438,41.584,41.293,41.743,41.596,41.294,41.361,40.904,41.206,41.462,40.912,40.688,40.937,41.014,41.204,41.468,41.297,41.356,41.631,41.551,41.463,41.68,41.644,41.6,41.402,41.436,41.366,40.971,40.872
60,M,False,49.193,49.075,49.098,49.031,49.129,49.411,49.522,49.428,49.325,49.251,49.199,49.2,49.164,49.253,49.411,49.609,49.693,49.563,49.244,49.415,48.919,48.519,47.992,47.896,47.598,47.319,47.168,47.295,47.348,47.266,47.251,47.586,47.77,47.65,47.74,47.784,47.481,47.39,47.169,47.135
61,M,True,33.589,33.399,33.588,33.128,33.594,33.265,33.415,33.792,33.343,33.459,33.476,33.694,33.631,33.992,33.608,34.142,34.045,33.812,33.95,34.223,34.161,34.062,33.988,34.051,34.015,33.876,33.586,33.517,33.692,33.716,33.678,33.633,33.491,33.6,33.749,33.78,33.486,33.181,33.717,33.623
62,M,False,34.824,34.689,34.498,34.909,34.663,34.9,34.406,34.684,34.271,34.489,34.413,34.365,34.958,34.658,34.223,34.208,34.621,34.91,34.842,34.914,35.009,35.076,35.004,34.905,34.926,34.98,35.074,35.027,34.966,34.857,35.037,34.784,35.013,35.14,35.087,35.187,35.419,35.523,35.388,35.477
63,M,True,49.661,47.919,48.805,49.695,48.788,49.312,48.606,48.437,48.386,48.778,48.64,48.814,48.256,48.237,47.338,47.071,46.937,46.851,46.049,45.937,45.966,45.78,45.83,45.509,45.026,45.487,45.23,45.08,45.71,45.342,45.078,45.159,44.68,45.018,45.021,45.009,44.767,45.289,44.736,44.932
64,M,False,45.326,44.924,44.871,44.245,45.065,44.194,44.113,44.242,44.789,44.819,44.626,44.787,45.071,44.808,44.547,45.153,44.679,44.603,44.241,44.968,44.27,44.677,44.621,44.94,45.146,45.604,45.244,45.328,45.305,46.242,45.649,45.665,45.629,45.917,45.029,45.505,45.291,45.062,44.508,45.18
65,M,False,34.192,34.427,34.321,34.57,34.349,34.417,33.925,33.971,34.189,34.118,33.962,33.915,33.802,33.808,33.766,33.639,33.592,33.433,33.423,33.635,33.458,33.443,33.489,33.35,32.997,33.044,32.894,32.999,32.972,32.916,32.881,32.923,32.572,32.774,32.743,32.965,32.75,32.79,32.697,32.58
66,M,False,49.287,49.602,49.523,49.624,48.931,48.732,48.944,47.994,48.449,47.487,47.272,47.0,46.266,47.075,46.66,45.939,45.797,46.187,46.731,45.866,46.519,46.597,46.388,46.82,45.968,46.98,47.024,46.163,47.347,46.98,46.866,47.277,47.007,47.222,46.25,46.933,46.541,45.264,46.334,45.768
67,M,False,35.805,36.651,37.072,37.025,37.509,37.798,37.606,37.777,38.201,38.226,38.61,38.472,38.353,38.51,38.484,38.027,38.228,38.91,38.438,38.455,38.433,38.514,38.343,38.645,38.474,38.678,38.885,38.778,38.942,39.181,38.521,38.659,38.896,39.255,39.551,39.845,40.171,40.285,40.581,40.546
68,M,False,43.83,43.806,43.694,44.065,44.065,44.085,44.38,44.112,44.344,44.318,44.684,44.981,44.608,44.866,44.641,45.046,44.798,44.565,44.584,44.698,44.722,44.928,44.787,44.745,44.451,44.642,44.701,45.018,44.74,44.805,44.977,44.849,45.21,45.132,44.99,45.03,45.295,45.3,45.267,44.67
69,M,True,56.186,56.121,55.634,55.534,55.305,55.351,55.431,55.577,55.877,56.309,56.52,56.311,56.248,56.449,56.308,56.423,56.381,56.869,56.714,56.944,57.065,57.014,56.975,57.126,56.897,56.536,56.303,56.073,55.862,55.923,55.695,55.651,55.419,55.41,55.388,55.326,55.119,55.162,55.185,55.223
70,M,True,55.807,55.585,55.568,55.304,55.234,55.161,55.123,55.08,54.794,54.561,54.443,54.454,54.285,53.993,53.923,53.844,53.468,53.128,53.511,53.253,53.424,53.752,53.748,53.968,54.077,54.215,54.346,54.263,54.34,54.394,54.533,54.558,54.808,54.81,54.879,54.981,54.88,54.714,54.374,54.351
71,M,False,60.484,60.727,60.807,60.711,60.611,60.455,60.42,60.698,60.707,60.917,61.144,61.308,61.361,61.471,61.593,61.58,61.489,61.484,61.326,61.498,61.524,61.669,61.746,61.711,61.621,61.609,61.693,61.6,61.655,61.635,61.555,61.519,61.463,61.482,61.456,61.289,61.415,61.625,61.611,61.677
72,M,True,53.338,53.361,53.284,53.27,53.22,53.326,53.171,53.212,53.29,53.283,53.252,53.439,53.743,54.141,53.843,54.015,54.21,54.404,54.712,54.621,54.285,54.168,54.347,54.272,54.194,54.152,54.106,54.104,54.0,53.791,53.848,53.203,53.093,52.571,52.405,52.246,52.488,52.359,52.235,52.332
73,M,False,52.036,51.903,51.866,51.731,51.624,51.639,51.61,51.216,51.299,51.406,51.12,51.143,50.976,50.928,50.619,50.447,50.621,50.706,50.38,50.253,50.468,50.786,50.604,50.585,50.614,50.805,50.492,50.476,50.359,50.427,50.47,50.78,50.636,50.546,50.662,50.646,50.381,50.375,50.215,50.056
74,M,True,48.468,48.422,48.145,47.881,48.004,47.78,47.677,47.498,47.321,47.468,47.535,47.17,47.544,47.449,47.38,47.224,47.33,47.473,47.156,47.176,47.229,47.215,47.101,46.936,47.03,46.828,47.431,47.386,47.169,47.151,46.907,46.962,47.015,46.587,46.836,46.406,46.322,46.315,45.928,46.306
75,M,False,45.531,45.418,45.377,45.401,45.359,45.227,45.387,45.525,45.265,44.96,45.033,44.92,44.769,44.785,44.557,44.402,44.736,44.368,44.316,44.141,44.384,44.49,44.545,44.628,44.86,44.816,44.704,44.465,44.52,44.492,44.475,44.515,44.527,44.599,44.661,44.57,44.814,44.975,44.731,44.846
76,M,True,36.01,36.149,36.467,36.338,36.675,36.349,36.094,36.517,36.284,36.129,35.935,35.505,35.281,35.237,35.235,34.981,34.983,35.347,35.048,35.091,35.058,34.824,34.666,34.694,34.684,34.701,34.837,35.307,35.271,35.273,35.249,35.244,34.913,34.882,34.863,34.795,34.825,34.665,34.571,34.279
77,M,False,32.979,32.828,32.682,32.516,32.371,32.387,32.267,32.033,32.178,32.025,31.722,31.877,31.844,31.816,31.99,31.961,31.837,32.042,31.945,31.975,32.057,31.824,31.755,31.734,31.844,31.769,31.983,31.913,31.878,31.912,31.639,31.745,31.806,31.582,31.609,31.667,31.964,31.939,31.642,31.636
78,M,False,31.837,32.042,31.945,31.975,32.057,31.824,31.755,31.734,31.844,31.769,31.983,31.913,31.878,31.912,31.639,31.745,31.806,31.582,31.609,31.667,31.964,31.939,31.642,31.636,31.69,31.727,31.814,31.9,31.939,31.893,31.656,31.615,31.571,31.821,31.867,31.925,31.981,31.844,31.944,31.879
