,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15,MEANGAM_16,MEANGAM_17,MEANGAM_18,MEANGAM_19,MEANGAM_20,MEANGAM_21,MEANGAM_22,MEANGAM_23,MEANGAM_24,MEANGAM_25,MEANGAM_26,MEANGAM_27,MEANGAM_28,MEANGAM_29,MEANGAM_30,MEANGAM_31,MEANGAM_32,MEANGAM_33,MEANGAM_34,MEANGAM_35,MEANGAM_36,MEANGAM_37,MEANGAM_38,MEANGAM_39,MEANGAM_40
0,X,False,59.703,59.541,59.598,59.828,59.809,59.849,59.948,59.983,60.104,60.195,60.311,60.497,60.522,60.685,60.597,60.516,60.398,60.376,60.477,60.576,60.466,60.511,60.453,60.492,60.563,60.406,60.226,60.34,60.191,60.153,60.002,59.937,59.951,59.856,60.087,59.95,60.026,60.181,60.026,60.169
1,X,False,58.046,58.109,57.919,57.67,57.611,57.61,57.571,57.417,57.358,57.464,57.545,57.4,57.301,57.258,57.291,57.23,57.523,57.711,57.717,57.784,57.913,58.169,58.202,58.195,58.287,58.283,58.258,58.361,58.306,58.39,58.311,58.367,58.414,58.276,58.437,58.494,58.46,58.457,58.211,58.141
2,X,False,44.545,44.628,44.86,44.816,44.704,44.465,44.52,44.492,44.475,44.515,44.527,44.599,44.661,44.57,44.814,44.975,44.731,44.846,44.984,44.946,44.613,44.85,44.804,44.59,44.484,44.778,44.855,44.877,44.791,44.858,44.923,44.538,44.832,44.721,44.747,44.753,44.825,44.572,44.27,44.414
3,X,False,54.46,54.615,54.686,54.626,55.074,55.023,54.843,54.796,54.992,55.318,55.076,54.947,55.007,55.184,55.023,55.127,55.029,54.959,54.833,54.618,54.804,54.703,54.615,54.472,54.111,54.091,53.797,54.038,53.69,53.611,53.454,53.401,53.587,53.341,52.874,52.583,52.201,51.627,51.392,51.379
4,X,True,49.86,49.305,49.1,49.004,48.641,48.787,48.444,48.42,48.437,48.631,48.547,48.35,48.66,48.338,48.588,48.591,48.472,48.614,48.294,48.448,48.385,48.516,48.559,48.475,48.678,48.362,48.298,48.472,48.408,48.252,48.063,48.085,47.953,47.796,47.826,47.703,47.589,47.554,47.436,46.892
5,X,False,46.821,46.47,46.395,46.265,46.05,46.16,46.006,45.749,45.698,45.753,45.73,45.577,45.732,45.605,45.873,45.78,45.55,45.584,45.863,45.376,45.488,45.396,45.349,45.495,45.6,45.55,45.825,45.432,45.497,45.469,45.377,45.441,45.439,45.557,45.567,45.928,45.957,46.212,45.981,46.096
6,X,True,49.695,50.19,50.4,49.849,50.084,50.055,49.934,49.769,49.339,49.118,49.197,49.763,49.362,48.604,48.526,48.285,48.004,48.312,48.462,48.335,48.532,48.624,48.847,48.916,48.927,48.621,48.913,48.36,48.157,47.844,47.927,47.777,47.51,47.986,47.642,47.642,46.88,47.306,47.171,47.606
7,X,False,52.792,53.062,52.998,53.146,53.166,53.263,53.253,53.224,53.128,53.224,53.243,53.357,53.212,53.073,52.9,52.757,52.786,52.699,52.571,52.394,52.182,52.029,51.924,51.949,53.322,52.049,52.177,52.356,52.489,52.57,52.742,52.829,52.759,52.777,52.806,52.788,52.792,52.793,52.787,52.851
8,X,False,45.346,44.391,44.611,44.45,44.264,44.239,44.1,43.61,43.268,43.326,43.449,43.464,43.028,42.215,42.106,41.704,42.61,42.922,42.912,41.812,42.834,42.538,43.182,43.061,43.248,42.892,42.665,42.667,41.751,42.463,41.947,42.381,42.14,41.201,42.031,42.255,41.536,41.158,39.885,39.76
9,X,True,43.291,43.003,43.1,43.349,43.461,43.526,43.214,43.36,43.347,43.205,43.243,43.086,42.82,42.657,42.48,42.435,42.189,42.833,42.379,42.338,41.89,41.933,42.015,41.796,41.949,41.919,41.697,41.903,41.826,41.783,41.758,42.01,42.486,42.619,42.377,42.264,42.261,42.518,42.249,42.032
10,X,False,42.289,42.369,42.153,42.335,42.515,42.589,43.007,43.055,42.878,43.038,43.196,43.392,43.419,43.056,43.621,43.533,44.001,43.714,43.45,43.546,42.674,43.546,43.036,43.345,43.274,42.687,43.068,42.904,42.877,42.803,42.794,41.905,41.911,41.794,41.957,42.283,41.176,41.795,41.751,43.315
11,X,False,43.912,44.001,43.915,43.899,43.817,43.677,43.751,43.731,43.522,43.633,43.565,43.632,43.562,43.615,43.75,43.572,43.202,43.866,44.038,43.974,44.08,44.027,44.074,44.197,44.092,44.313,44.238,44.292,44.282,44.408,44.496,44.307,44.248,44.207,44.339,44.402,44.378,44.006,44.061,44.207
12,X,False,51.549,51.619,51.623,51.616,51.797,51.89,52.017,52.11,52.162,52.164,52.33,52.39,52.369,52.357,52.468,52.475,52.432,52.436,52.382,52.312,52.276,52.316,52.261,52.469,52.334,52.198,52.326,52.37,52.444,52.519,52.589,52.553,52.55,52.558,52.619,52.718,52.674,52.664,52.803,52.914
