,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15,d_l_f_16,d_l_f_17,d_l_f_18,d_l_f_19,d_l_f_20,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40
462,M,True,199.97,195.87,195.09,194.09,193.65,194.27,194.58,197.25,189.73,189.71,186.93,187.89,187.48,188.2,187.83,185.93,185.54,184.13,177.49,174.96,170.48,173.96,176.6,174.48,177.06,169.33,172.52,174.16,173.29,174.62,173.19,172.37,173.78,172.37,176.17,177.52,178.67,178.15,182.53,178.38
463,M,False,171.13,172.85,175.13,176.41,177.6,180.65,181.38,180.75,183.2,184.02,185.31,184.71,185.84,187.63,189.0,189.37,189.2,189.87,190.95,191.12,193.08,193.73,195.2,195.5,194.24,195.59,197.0,198.3,199.62,199.95,200.26,202.07,202.32,200.93,201.25,201.09,202.09,203.28,205.98,206.28
464,M,True,122.31,121.71,124.37,127.19,127.96,129.76,127.35,124.78,127.38,125.07,126.32,126.36,128.02,127.63,126.82,131.01,133.62,131.24,130.54,129.73,131.77,131.9,129.67,127.81,133.3,134.59,129.27,129.14,133.11,134.54,132.94,133.98,131.59,128.31,127.08,127.33,129.93,131.72,130.1,131.49
465,M,True,130.1,131.49,125.33,126.67,134.82,126.83,125.47,129.53,123.97,122.97,124.94,128.97,128.83,130.99,132.37,135.1,137.5,140.95,142.66,141.79,141.52,141.93,140.39,139.68,136.0,135.15,135.61,135.61,138.44,142.77,146.71,149.29,151.68,151.91,153.85,154.52,153.49,153.06,153.43,157.23
466,M,False,166.77,167.74,167.61,165.2,165.63,166.5,165.77,165.51,164.85,162.98,162.61,163.2,164.67,162.63,163.06,164.28,167.85,165.41,167.07,164.8,161.69,162.28,161.09,161.74,161.78,159.82,160.63,163.19,164.86,165.3,164.64,163.75,163.03,166.35,164.52,165.83,166.78,168.08,168.36,169.99
467,M,True,169.26,172.33,174.48,173.67,175.89,179.31,180.24,181.36,180.63,183.41,184.05,185.77,185.25,184.28,181.62,181.23,184.37,187.64,184.83,183.09,182.59,184.19,181.68,181.9,182.84,182.11,183.64,183.37,184.78,183.47,182.81,184.49,184.74,185.64,187.17,186.48,186.83,188.04,189.09,188.22
468,M,False,231.15,232.13,232.52,233.0,232.22,233.27,234.45,234.66,235.88,236.82,239.27,239.37,239.61,240.58,241.55,241.36,242.01,242.64,240.99,239.85,240.67,241.54,242.75,243.74,243.45,244.26,246.37,246.67,247.11,248.48,251.34,249.88,249.39,250.67,249.88,248.63,249.61,249.27,250.83,250.83
469,M,True,299.22,300.3,302.07,299.94,300.69,301.94,303.04,304.54,302.69,302.92,304.07,305.29,306.38,306.46,307.41,307.3,306.84,307.47,309.36,307.88,308.44,310.29,311.4,309.47,310.72,308.58,307.65,307.61,307.4,308.01,309.39,308.62,307.56,305.21,306.65,306.65,306.73,305.03,303.91,303.17
470,M,False,302.84,303.43,302.72,303.79,304.38,304.05,304.91,305.06,304.0,304.04,304.13,304.69,303.38,303.15,303.17,302.23,302.88,304.16,305.16,305.11,304.59,306.73,306.13,307.52,306.71,307.43,307.41,306.75,306.44,307.47,308.71,309.42,310.02,309.65,310.76,312.82,312.86,311.73,314.39,313.8
471,M,True,395.07,394.94,395.73,395.48,394.43,393.89,391.29,392.76,394.01,380.2,396.39,395.98,395.06,393.87,394.34,394.49,393.64,394.27,394.64,395.94,395.02,394.84,395.78,394.39,393.61,392.56,393.25,394.05,392.77,393.19,393.22,393.06,391.71,392.84,393.13,394.15,396.36,395.94,397.22,397.29
472,M,False,393.22,393.06,391.71,392.84,393.13,394.15,396.36,395.94,397.22,397.29,396.88,395.38,394.37,394.54,395.61,395.45,394.31,393.64,393.57,394.24,395.07,395.65,396.3,395.5,397.0,396.48,396.44,397.35,398.98,398.61,399.16,399.94,400.79,399.5,400.24,400.23,400.74,402.04,402.2,404.29
473,M,False,103.08,103.36,101.19,100.44,100.55,99.976,101.38,107.4,107.68,109.6,108.78,109.19,109.54,107.79,106.52,104.73,105.58,109.76,107.54,107.44,109.71,106.46,108.52,112.35,142.54,145.91,146.14,149.73,154.25,152.53,115.97,154.53,152.61,154.21,154.3,154.13,152.1,152.97,151.61,153.8
474,M,False,249.22,249.71,249.38,247.61,249.34,246.49,249.33,252.82,252.02,251.45,254.16,251.19,250.91,250.3,253.33,252.93,250.25,249.39,251.43,250.38,249.65,249.05,248.76,248.24,249.36,251.22,251.11,249.71,251.13,251.74,249.47,247.86,246.47,247.32,247.31,247.83,247.67,247.86,248.35,250.27
475,M,True,236.43,237.17,236.96,237.94,237.9,238.72,238.99,239.63,240.13,241.15,239.59,238.66,239.32,238.58,240.76,240.15,239.66,240.1,240.61,241.98,244.37,243.47,244.43,244.9,245.18,247.1,247.72,247.64,249.32,248.96,249.67,252.6,251.9,252.85,252.31,254.03,253.59,254.66,255.2,256.26
476,M,True,259.47,260.94,262.45,263.11,263.08,264.07,264.04,264.27,264.42,264.94,267.45,266.9,267.59,267.58,267.15,270.02,270.25,270.63,270.63,271.36,271.12,271.45,271.76,272.47,271.68,273.31,273.31,273.57,274.47,274.25,273.87,275.36,276.2,276.53,276.23,276.67,276.38,277.89,278.52,279.38
477,M,True,115.51,118.82,123.8,127.62,132.5,132.09,126.76,132.68,137.67,141.92,144.9,139.88,145.56,147.37,147.42,149.68,143.7,144.13,143.8,145.11,143.06,144.89,137.74,134.65,132.92,131.51,128.74,124.19,127.46,127.16,112.92,115.61,119.81,112.9,111.8,112.67,112.81,107.47,100.74,100.6
478,M,True,286.34,285.97,286.55,286.9,288.29,290.07,289.9,290.15,289.9,290.05,291.18,292.32,291.35,292.03,293.26,293.32,294.35,295.23,296.0,295.1,295.91,295.94,297.45,296.98,297.1,297.31,297.19,298.09,298.87,299.56,300.29,300.08,301.81,300.13,301.39,300.8,301.31,302.46,302.18,304.0
479,M,True,298.87,299.56,300.29,300.08,301.81,300.13,301.39,300.8,301.31,302.46,302.18,304.0,303.94,303.3,304.15,303.93,302.91,302.75,302.58,303.08,302.22,302.24,301.13,301.8,301.95,304.04,302.85,303.4,303.77,304.62,303.99,305.32,305.64,305.96,306.8,307.27,308.09,307.34,306.96,307.01
480,M,False,302.46,302.18,304.0,303.94,303.3,304.15,303.93,302.91,302.75,302.58,303.08,302.22,302.24,301.13,301.8,301.95,304.04,302.85,303.4,303.77,304.62,303.99,305.32,305.64,305.96,306.8,307.27,308.09,307.34,306.96,307.01,307.35,307.72,307.4,307.74,307.72,307.34,309.18,310.23,310.78
481,M,True,197.81,197.14,201.06,196.91,191.99,185.81,189.08,195.28,197.58,202.99,203.95,196.81,190.82,184.66,186.79,185.28,175.45,175.91,172.84,171.82,170.54,179.38,174.16,168.02,174.21,172.43,172.79,179.66,178.19,169.5,163.01,162.92,162.37,162.89,159.1,155.84,157.56,154.55,153.82,150.39
482,M,True,313.22,313.19,313.74,314.37,314.61,314.13,314.53,314.88,314.18,314.45,313.26,312.45,312.63,313.11,313.6,313.92,313.92,314.53,314.56,314.57,315.46,316.17,315.1,314.13,314.38,313.25,313.39,313.26,312.35,313.3,312.41,312.11,312.3,313.13,313.37,313.39,313.38,311.57,311.18,312.43
483,M,False,314.88,314.18,314.45,313.26,312.45,312.63,313.11,313.6,313.92,313.92,314.53,314.56,314.57,315.46,316.17,315.1,314.13,314.38,313.25,313.39,313.26,312.35,313.3,312.41,312.11,312.3,313.13,313.37,313.39,313.38,311.57,311.18,312.43,311.75,310.15,310.14,310.67,310.79,312.55,312.23
484,M,False,190.82,184.66,186.79,185.28,175.45,175.91,172.84,171.82,170.54,179.38,174.16,168.02,174.21,172.43,172.79,179.66,178.19,169.5,163.01,162.92,162.37,162.89,159.1,155.84,157.56,154.55,153.82,150.39,156.85,157.83,162.91,161.55,156.32,158.09,152.16,151.67,155.74,151.97,155.31,154.43
485,M,False,312.45,312.63,313.11,313.6,313.92,313.92,314.53,314.56,314.57,315.46,316.17,315.1,314.13,314.38,313.25,313.39,313.26,312.35,313.3,312.41,312.11,312.3,313.13,313.37,313.39,313.38,311.57,311.18,312.43,311.75,310.15,310.14,310.67,310.79,312.55,312.23,311.78,311.02,309.3,309.71
486,M,False,313.92,313.92,314.53,314.56,314.57,315.46,316.17,315.1,314.13,314.38,313.25,313.39,313.26,312.35,313.3,312.41,312.11,312.3,313.13,313.37,313.39,313.38,311.57,311.18,312.43,311.75,310.15,310.14,310.67,310.79,312.55,312.23,311.78,311.02,309.3,309.71,310.08,311.75,312.04,312.58
487,M,False,178.19,169.5,163.01,162.92,162.37,162.89,159.1,155.84,157.56,154.55,153.82,150.39,156.85,157.83,162.91,161.55,156.32,158.09,152.16,151.67,155.74,151.97,155.31,154.43,158.26,151.0,150.72,156.29,159.23,167.99,168.19,164.95,170.48,171.47,164.72,158.76,151.75,140.38,136.71,134.97
488,M,True,311.18,312.43,311.75,310.15,310.14,310.67,310.79,312.55,312.23,311.78,311.02,309.3,309.71,310.08,311.75,312.04,312.58,313.56,314.52,313.97,315.01,316.48,316.07,316.52,317.16,317.49,316.84,317.3,317.86,317.67,316.42,317.02,318.22,318.64,316.8,316.13,317.71,316.0,315.0,313.67
489,M,True,315.03,314.62,315.32,315.17,315.06,317.67,318.36,318.62,317.54,316.78,316.9,317.85,316.6,315.52,315.59,315.84,316.12,315.67,316.24,315.13,315.98,314.91,315.09,315.26,315.27,316.08,316.94,317.69,316.26,316.33,315.51,315.64,314.07,315.74,315.12,316.38,316.02,316.65,316.63,315.73
490,M,False,311.49,311.42,310.82,309.44,309.5,326.69,324.67,327.56,309.37,327.33,308.16,323.9,307.97,316.61,315.97,315.42,316.9,309.27,310.73,311.09,310.71,310.5,309.2,309.86,309.92,310.36,310.65,323.31,323.69,324.58,325.13,324.1,322.84,322.31,321.86,321.91,322.11,321.89,322.81,322.7
491,M,True,316.61,315.97,315.42,316.9,309.27,310.73,311.09,310.71,310.5,309.2,309.86,309.92,310.36,310.65,323.31,323.69,324.58,325.13,324.1,322.84,322.31,321.86,321.91,322.11,321.89,322.81,322.7,322.97,323.15,323.61,325.17,326.33,327.76,327.6,308.91,309.58,310.8,335.78,314.92,341.08
492,M,True,350.73,353.07,352.1,357.72,356.39,360.33,359.84,362.45,365.45,369.01,369.42,366.54,369.39,365.67,363.16,362.43,408.01,409.98,408.55,408.08,409.51,405.2,405.79,419.37,404.55,401.33,402.15,400.68,400.55,399.55,397.14,396.6,394.72,398.65,399.13,397.33,396.18,394.78,394.18,371.36
493,M,False,285.82,279.67,278.77,284.51,284.06,277.32,279.13,280.55,279.2,281.43,286.03,288.04,287.91,277.3,279.95,279.68,283.56,281.9,282.37,284.31,288.96,284.86,281.12,290.61,292.46,290.45,286.53,281.0,283.65,285.78,283.4,281.74,279.21,281.88,278.05,282.93,284.4,285.19,278.93,274.83
494,M,False,292.46,290.45,286.53,281.0,283.65,285.78,283.4,281.74,279.21,281.88,278.05,282.93,284.4,285.19,278.93,274.83,271.11,270.53,274.44,273.5,266.28,261.79,261.19,260.91,257.6,242.91,239.56,234.48,234.65,192.12,197.67,195.4,216.47,222.8,208.12,198.99,192.99,186.88,190.45,179.8
495,M,False,400.64,396.26,397.35,393.99,398.08,394.75,397.43,391.82,386.83,385.07,379.63,370.45,363.86,361.47,358.18,345.76,346.02,336.99,327.49,303.62,312.61,299.26,283.5,256.57,239.26,220.94,173.25,185.37,164.09,148.92,136.88,124.76,107.88,83.774,81.517,208.27,207.48,163.55,53.863,53.616
496,M,True,896.4,27.203,903.64,900.82,904.2,905.64,28.46,26.776,29.137,30.486,31.636,30.206,28.973,30.275,32.161,33.609,36.169,33.55,83.414,85.381,101.35,34.274,34.956,34.003,35.169,33.692,38.945,93.289,82.944,34.208,34.567,82.352,34.383,33.604,32.464,34.142,33.167,34.842,28.26,31.08
497,M,False,32.464,34.142,33.167,34.842,28.26,31.08,29.103,33.451,33.388,32.638,32.862,32.935,33.63,33.001,35.731,35.798,70.797,35.024,33.744,33.679,54.892,35.725,36.105,36.512,56.686,55.729,58.447,62.821,64.515,74.533,63.014,70.619,64.455,63.421,63.827,65.64,86.033,76.107,79.929,88.453
498,M,True,114.67,173.43,198.55,148.12,146.94,124.04,30.667,104.99,141.04,122.7,438.62,172.24,429.02,98.031,444.81,262.7,194.7,165.47,185.27,322.63,476.44,475.22,425.89,275.65,450.67,406.94,318.94,498.73,294.76,507.35,512.23,515.77,507.06,512.65,472.22,516.54,245.2,430.87,307.99,440.68
499,M,False,198.55,148.12,146.94,124.04,30.667,104.99,141.04,122.7,438.62,172.24,429.02,98.031,444.81,262.7,194.7,165.47,185.27,322.63,476.44,475.22,425.89,275.65,450.67,406.94,318.94,498.73,294.76,507.35,512.23,515.77,507.06,512.65,472.22,516.54,245.2,430.87,307.99,440.68,534.69,536.55
500,M,False,302.65,303.85,305.75,305.22,306.64,305.62,305.17,306.42,306.23,305.6,303.26,302.91,304.27,305.48,306.56,307.47,306.06,305.13,305.1,305.58,307.1,308.29,308.73,308.43,309.26,310.06,311.92,312.06,311.74,312.31,313.52,314.52,314.69,317.86,318.11,316.46,317.34,318.01,316.59,317.4
501,M,True,246.35,243.13,250.4,257.08,257.15,252.11,255.7,256.45,257.26,256.74,258.33,262.48,262.66,264.92,262.35,263.92,265.34,264.59,265.69,264.28,266.67,270.44,269.01,268.77,268.74,270.31,271.35,270.55,268.62,272.44,271.6,263.54,260.71,262.96,261.63,260.0,256.63,259.47,261.59,276.21
502,M,False,279.83,280.84,282.45,281.51,281.1,281.62,277.65,278.41,279.4,281.04,282.53,283.6,284.38,285.9,285.78,287.61,285.56,284.78,286.37,287.78,288.0,289.72,288.16,289.39,289.78,289.71,290.71,290.78,290.3,290.73,292.08,293.15,294.17,294.79,295.51,295.93,297.01,296.78,297.8,298.27
503,M,False,268.45,265.28,266.13,264.52,264.92,263.76,266.01,265.27,265.32,261.96,258.82,260.83,262.69,263.08,264.13,264.66,264.11,264.18,262.43,261.27,261.58,263.24,260.47,256.73,256.86,256.7,257.26,259.76,259.72,257.45,255.82,253.36,254.93,254.47,257.82,256.59,254.78,252.12,253.18,254.4
504,M,False,225.61,226.43,226.3,224.84,225.96,226.43,227.66,228.54,227.27,230.39,227.51,227.72,227.4,228.76,228.86,228.06,228.89,229.46,230.8,230.0,231.12,231.36,229.76,228.57,226.29,227.78,228.27,227.18,226.19,224.87,222.25,221.34,224.74,223.46,223.53,222.3,224.67,223.87,224.3,224.96
505,M,False,547.6,519.98,526.49,556.85,536.65,552.23,559.32,573.43,564.01,565.59,341.86,154.23,157.57,153.0,155.0,152.91,155.79,146.93,147.53,157.71,159.69,159.61,156.91,160.02,160.49,162.39,158.83,157.24,157.9,158.22,161.51,166.89,172.19,175.34,175.36,172.54,160.91,160.21,159.49,174.5
506,M,False,185.67,194.86,200.06,195.98,194.04,195.7,226.71,196.31,198.74,198.7,195.41,193.2,229.73,229.91,230.68,229.78,228.58,230.1,231.32,195.6,204.64,207.11,209.61,206.24,208.56,217.08,219.93,222.96,225.93,227.43,234.41,232.71,232.29,236.07,235.47,234.62,235.96,239.21,239.71,240.41
507,M,False,76.005,76.399,75.808,84.06,74.979,73.648,74.157,81.09,79.644,79.571,79.458,78.64,85.706,89.873,94.292,92.907,94.72,99.165,98.041,105.8,104.88,106.04,102.6,102.38,103.37,100.45,100.41,103.89,103.8,104.5,106.22,106.69,109.62,115.58,109.99,115.6,113.45,117.22,115.19,113.96
508,M,False,273.02,196.37,199.57,192.09,262.38,267.48,260.82,265.38,255.22,258.36,263.21,266.43,269.64,269.8,276.13,276.39,278.91,273.28,283.4,285.54,285.23,285.86,286.56,284.06,286.81,281.93,281.06,279.19,274.55,274.04,272.87,270.91,272.22,245.41,241.26,240.19,193.87,193.22,192.4,240.45
509,M,False,119.15,120.31,107.52,106.13,118.27,115.97,115.36,118.07,109.19,110.79,114.11,116.86,117.05,116.13,116.42,116.93,125.24,130.0,128.63,126.12,127.33,126.49,112.44,111.2,107.94,106.58,104.23,105.22,102.47,102.54,102.76,104.86,104.87,104.15,103.99,101.19,99.79,99.185,103.21,102.57
510,M,True,68.098,67.212,66.943,66.504,66.614,66.572,65.839,66.15,64.602,65.331,67.285,68.187,104.03,102.62,70.719,70.976,69.356,69.908,72.202,71.528,81.129,71.726,72.486,72.552,75.024,74.026,72.449,72.889,70.738,69.783,70.653,71.181,72.76,74.461,80.498,81.574,82.927,85.476,85.957,86.867
511,M,False,78.876,78.431,79.378,83.383,86.807,85.381,87.149,113.12,110.89,110.12,111.01,101.64,104.15,100.54,99.684,110.55,114.54,110.9,87.231,99.119,100.5,100.61,98.96,99.308,99.742,102.81,104.22,101.26,98.557,97.859,94.438,97.862,96.138,84.296,99.253,96.143,98.384,98.072,97.14,96.323
512,M,False,204.82,196.41,217.92,266.96,205.43,206.42,192.04,189.59,179.62,173.71,169.58,191.07,208.48,218.57,193.66,125.98,125.74,122.97,118.19,191.5,162.23,152.45,158.83,144.82,163.75,181.79,176.99,169.78,154.32,111.59,105.14,114.42,123.7,157.25,133.55,157.99,138.53,121.61,141.7,170.77
513,M,True,298.65,297.39,296.86,298.13,298.09,297.64,297.19,298.27,297.86,297.95,297.1,296.73,294.92,294.33,295.24,295.08,292.62,291.12,291.56,293.08,293.03,291.08,291.49,290.53,290.71,290.72,290.31,290.4,289.61,288.99,288.07,287.55,285.97,286.75,287.34,286.44,287.48,288.94,287.64,286.11
514,M,False,298.09,297.64,297.19,298.27,297.86,297.95,297.1,296.73,294.92,294.33,295.24,295.08,292.62,291.12,291.56,293.08,293.03,291.08,291.49,290.53,290.71,290.72,290.31,290.4,289.61,288.99,288.07,287.55,285.97,286.75,287.34,286.44,287.48,288.94,287.64,286.11,286.25,286.35,286.84,287.98
515,M,True,272.7,272.0,272.54,272.75,274.11,272.98,272.35,273.08,270.78,270.42,269.78,268.74,270.49,271.07,268.24,267.41,268.49,268.72,266.79,266.6,267.11,266.1,265.74,265.28,264.98,265.33,265.72,265.93,264.36,265.95,266.28,265.32,266.32,266.54,265.59,265.42,265.82,265.29,264.83,264.16
516,M,False,268.49,268.72,266.79,266.6,267.11,266.1,265.74,265.28,264.98,265.33,265.72,265.93,264.36,265.95,266.28,265.32,266.32,266.54,265.59,265.42,265.82,265.29,264.83,264.16,262.79,264.22,263.7,265.98,264.89,264.26,264.21,265.29,266.17,264.62,265.11,265.65,265.7,263.96,264.23,263.05
517,M,False,266.79,266.6,267.11,266.1,265.74,265.28,264.98,265.33,265.72,265.93,264.36,265.95,266.28,265.32,266.32,266.54,265.59,265.42,265.82,265.29,264.83,264.16,262.79,264.22,263.7,265.98,264.89,264.26,264.21,265.29,266.17,264.62,265.11,265.65,265.7,263.96,264.23,263.05,263.84,263.56
518,M,True,265.93,262.77,261.26,261.52,265.14,266.06,266.51,266.11,268.42,262.85,265.71,264.12,261.78,262.83,261.95,261.25,261.14,261.65,261.22,264.34,263.23,262.2,265.13,263.62,261.67,262.7,264.94,268.21,265.41,262.18,264.17,269.74,269.05,269.2,275.28,272.91,274.3,280.25,281.25,276.66
519,M,False,294.15,307.63,304.03,305.87,301.63,304.45,314.74,296.8,304.35,274.37,286.56,287.76,307.0,290.53,245.66,204.66,205.62,179.07,202.96,313.0,378.58,406.97,403.89,405.58,408.12,404.4,408.6,419.31,451.71,439.15,408.73,394.49,252.36,402.23,342.87,270.62,311.74,281.99,230.04,330.7
520,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.404,4.2426,3.6056,0.0,6.3246,0.0,0.0,0.0,0.0,0.0
521,M,False,79.404,4.2426,3.6056,0.0,6.3246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.306,81.302,0.0,83.295,83.295,83.217,0.0,0.0,0.0,0.0,87.464,0.0,0.0,0.0,0.0,143.0,144.25,146.16,0.0,147.8,147.09,148.37,129.72,107.62,116.97,66.478,67.372,72.945
522,M,True,322.86,322.62,322.84,323.49,323.1,322.45,321.89,323.71,322.81,322.96,322.91,322.63,323.64,323.84,323.13,322.77,322.63,322.52,322.37,321.88,322.09,321.97,320.76,320.88,320.45,321.37,321.61,321.66,321.39,321.86,321.7,321.47,321.8,321.08,321.73,321.71,321.26,321.3,321.87,321.23
523,M,True,321.14,321.47,321.32,321.34,320.3,320.06,320.75,321.41,320.74,320.7,320.64,320.99,320.96,321.11,319.8,319.92,318.81,319.33,319.91,319.54,319.35,318.92,317.3,318.2,317.26,318.49,319.38,318.25,319.5,317.99,317.09,315.94,317.91,317.1,317.19,319.12,318.72,318.24,319.01,316.21
524,M,False,318.49,319.38,318.25,319.5,317.99,317.09,315.94,317.91,317.1,317.19,319.12,318.72,318.24,319.01,316.21,316.59,317.7,316.76,317.14,317.42,317.23,317.47,316.12,319.17,318.87,319.23,318.68,321.31,321.65,322.36,322.03,321.92,321.47,321.63,322.43,323.19,324.96,324.99,324.25,327.25
525,M,True,321.65,322.36,322.03,321.92,321.47,321.63,322.43,323.19,324.96,324.99,324.25,327.25,328.39,328.38,325.97,327.22,327.77,327.7,326.53,325.38,325.12,328.58,325.55,328.61,327.16,325.65,325.75,327.12,324.61,323.49,320.78,325.88,321.77,320.71,319.58,320.43,319.5,316.42,316.15,315.93
526,M,False,324.25,327.25,328.39,328.38,325.97,327.22,327.77,327.7,326.53,325.38,325.12,328.58,325.55,328.61,327.16,325.65,325.75,327.12,324.61,323.49,320.78,325.88,321.77,320.71,319.58,320.43,319.5,316.42,316.15,315.93,317.4,320.99,318.01,321.5,324.47,322.82,326.94,327.18,323.82,325.22
527,M,False,320.71,319.58,320.43,319.5,316.42,316.15,315.93,317.4,320.99,318.01,321.5,324.47,322.82,326.94,327.18,323.82,325.22,326.37,327.79,335.35,334.02,335.11,336.75,337.75,336.43,343.12,340.95,345.8,349.51,342.63,342.38,345.73,345.32,350.29,345.55,346.41,339.58,347.8,346.81,348.89
528,M,False,217.83,221.78,216.86,216.84,219.53,220.4,221.27,218.42,221.22,221.67,220.08,220.11,221.86,220.99,220.2,221.79,221.62,229.07,229.65,229.89,229.08,224.55,220.54,222.98,227.03,221.89,225.49,225.9,227.43,222.21,229.67,235.42,237.9,240.47,247.31,249.47,254.76,260.42,264.28,273.63
529,M,False,211.79,212.02,213.01,214.56,213.97,212.59,211.66,209.4,205.65,204.08,202.69,199.13,198.51,197.17,198.92,201.79,201.36,200.87,201.69,204.22,209.49,209.92,211.43,210.03,212.11,211.85,213.28,213.55,214.77,215.59,213.1,211.22,209.85,210.6,208.51,206.32,207.66,208.69,208.68,208.15
530,M,False,207.33,206.95,196.12,200.33,203.48,206.52,209.47,211.17,213.36,208.75,207.81,207.0,197.93,211.32,202.56,204.85,202.44,190.18,186.66,192.31,189.39,197.93,194.0,189.83,195.27,195.37,195.3,200.58,198.82,197.37,195.58,198.67,204.9,210.19,209.72,195.33,191.64,191.48,188.48,190.44
531,M,True,66.358,66.2,65.762,66.922,87.87,88.8,88.295,87.504,85.8,85.442,87.486,87.262,86.269,86.771,85.6,84.921,85.174,84.06,86.334,86.371,83.754,82.083,82.402,81.862,81.163,80.466,80.899,80.092,82.262,81.708,81.915,83.3,84.203,84.002,83.842,82.382,80.57,81.049,80.973,80.864
532,M,True,85.6,84.921,85.174,84.06,86.334,86.371,83.754,82.083,82.402,81.862,81.163,80.466,80.899,80.092,82.262,81.708,81.915,83.3,84.203,84.002,83.842,82.382,80.57,81.049,80.973,80.864,79.986,80.545,79.176,78.621,76.325,77.515,79.506,79.014,80.184,79.009,79.326,77.754,78.307,77.986
533,M,False,86.334,86.371,83.754,82.083,82.402,81.862,81.163,80.466,80.899,80.092,82.262,81.708,81.915,83.3,84.203,84.002,83.842,82.382,80.57,81.049,80.973,80.864,79.986,80.545,79.176,78.621,76.325,77.515,79.506,79.014,80.184,79.009,79.326,77.754,78.307,77.986,78.055,78.207,78.09,77.247
534,M,False,81.163,80.466,80.899,80.092,82.262,81.708,81.915,83.3,84.203,84.002,83.842,82.382,80.57,81.049,80.973,80.864,79.986,80.545,79.176,78.621,76.325,77.515,79.506,79.014,80.184,79.009,79.326,77.754,78.307,77.986,78.055,78.207,78.09,77.247,77.048,77.241,77.67,77.215,78.166,78.629
535,M,False,80.899,80.092,82.262,81.708,81.915,83.3,84.203,84.002,83.842,82.382,80.57,81.049,80.973,80.864,79.986,80.545,79.176,78.621,76.325,77.515,79.506,79.014,80.184,79.009,79.326,77.754,78.307,77.986,78.055,78.207,78.09,77.247,77.048,77.241,77.67,77.215,78.166,78.629,79.404,79.262
536,M,False,82.382,80.57,81.049,80.973,80.864,79.986,80.545,79.176,78.621,76.325,77.515,79.506,79.014,80.184,79.009,79.326,77.754,78.307,77.986,78.055,78.207,78.09,77.247,77.048,77.241,77.67,77.215,78.166,78.629,79.404,79.262,80.229,80.818,79.822,79.951,79.447,79.649,79.063,77.99,77.573
537,M,True,78.413,77.943,78.793,85.448,78.928,78.318,78.27,79.873,79.768,78.955,80.156,79.824,79.634,80.955,80.141,80.596,80.339,79.939,79.3,79.965,79.947,81.336,81.437,80.541,81.366,81.951,81.849,81.631,79.381,81.184,80.69,79.722,79.165,79.044,78.558,76.37,76.667,76.296,91.88,88.397
538,M,True,109.61,110.09,107.98,106.18,107.02,107.83,108.96,109.38,110.01,119.01,109.3,108.89,108.33,108.01,107.82,107.16,107.61,108.88,109.66,110.18,109.36,109.51,109.0,109.47,109.49,110.75,111.21,111.01,111.38,111.15,109.74,110.27,111.52,110.36,111.07,111.17,111.18,112.55,112.62,112.18
539,M,False,109.66,110.18,109.36,109.51,109.0,109.47,109.49,110.75,111.21,111.01,111.38,111.15,109.74,110.27,111.52,110.36,111.07,111.17,111.18,112.55,112.62,112.18,111.38,111.59,110.07,110.22,110.19,110.04,109.63,110.97,110.39,110.57,110.27,110.38,110.82,110.39,109.88,109.0,109.86,109.24
540,M,True,105.78,105.81,104.79,105.86,105.45,105.6,105.91,105.07,105.51,105.96,105.65,105.88,105.48,105.17,106.01,104.34,104.1,104.21,103.57,103.57,104.93,105.23,104.34,104.32,104.22,103.55,102.68,103.09,103.6,104.47,105.19,105.52,105.86,105.69,105.78,105.93,106.21,106.09,106.48,106.38
541,M,False,104.79,105.86,105.45,105.6,105.91,105.07,105.51,105.96,105.65,105.88,105.48,105.17,106.01,104.34,104.1,104.21,103.57,103.57,104.93,105.23,104.34,104.32,104.22,103.55,102.68,103.09,103.6,104.47,105.19,105.52,105.86,105.69,105.78,105.93,106.21,106.09,106.48,106.38,106.48,106.27
542,M,True,125.52,125.69,125.94,126.35,126.73,129.57,130.05,129.1,129.93,129.46,130.13,129.41,129.03,127.99,129.46,129.47,129.43,130.53,130.4,131.52,131.01,130.83,130.72,131.56,131.48,130.93,132.16,133.27,133.95,135.68,135.84,135.72,136.82,135.31,138.09,135.7,138.72,138.47,138.9,137.73
543,M,False,143.88,143.13,142.86,142.53,144.0,143.18,143.77,144.91,145.04,146.08,147.16,147.25,147.74,148.29,147.5,147.34,147.78,147.57,147.21,147.68,144.93,147.33,147.17,147.18,146.17,147.68,147.31,148.24,148.78,146.81,146.41,146.54,145.95,146.98,148.77,147.88,147.53,146.42,147.97,148.93
