,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15,d_l_f_16,d_l_f_17,d_l_f_18,d_l_f_19,d_l_f_20,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40
104,M,True,254.29,248.08,249.14,256.59,258.01,253.23,258.21,253.88,252.94,255.64,258.93,259.97,260.27,265.76,267.81,268.72,270.71,263.35,266.35,265.75,265.33,264.66,264.52,261.99,266.03,264.86,266.02,264.66,267.02,269.44,270.32,272.77,269.71,269.15,268.7,267.47,268.7,270.34,270.88,267.98
105,M,True,268.1,265.47,270.52,269.68,271.81,270.45,269.93,270.64,270.32,268.61,267.58,269.81,267.94,267.31,267.7,267.79,266.77,263.04,263.94,266.13,265.72,268.41,265.68,264.82,269.31,272.02,273.71,273.79,269.58,269.86,272.61,268.48,268.05,266.34,273.96,272.84,270.56,265.7,263.96,266.0
106,M,False,283.19,281.91,283.38,284.26,286.76,287.27,282.5,287.6,282.97,287.48,285.66,286.16,282.81,282.76,285.33,284.46,282.82,288.17,285.43,288.0,285.73,286.62,286.14,284.27,282.77,285.21,288.38,288.15,290.44,288.99,286.01,286.01,286.33,287.01,283.27,283.64,283.41,281.7,283.28,284.86
107,M,False,286.62,286.14,284.27,282.77,285.21,288.38,288.15,290.44,288.99,286.01,286.01,286.33,287.01,283.27,283.64,283.41,281.7,283.28,284.86,284.96,282.27,285.03,286.17,286.44,283.43,285.28,283.59,285.64,285.88,284.81,286.61,287.16,287.18,291.01,290.0,285.54,293.35,286.69,285.21,283.16
108,M,False,285.64,285.88,284.81,286.61,287.16,287.18,291.01,290.0,285.54,293.35,286.69,285.21,283.16,283.33,286.21,288.03,290.12,288.35,287.08,288.1,288.27,292.28,294.87,294.54,292.61,292.4,292.69,292.08,293.31,294.64,293.43,291.89,292.7,290.44,289.86,289.51,291.96,292.88,293.88,291.81
109,M,False,340.93,340.6,342.11,341.07,343.44,343.41,343.15,346.65,349.31,347.73,347.88,346.01,347.52,345.65,346.01,344.68,347.47,348.93,348.19,346.36,345.26,346.2,347.94,348.36,349.49,348.96,349.28,348.51,347.11,349.64,350.3,352.05,356.4,357.54,356.6,356.51,355.14,358.38,363.84,364.39
110,M,True,728.57,714.26,707.85,685.32,690.42,663.3,688.44,694.97,682.89,655.36,658.26,654.9,682.98,672.99,633.46,644.53,642.92,640.89,653.92,648.91,647.72,650.44,646.86,642.35,647.73,650.35,652.62,651.73,653.68,652.76,655.43,655.01,659.64,656.13,657.19,657.23,661.98,665.35,669.47,662.08
111,M,False,112.8,107.19,132.8,135.18,131.12,125.13,132.96,98.056,111.16,119.68,111.76,101.08,91.243,102.07,101.49,114.25,108.43,104.3,96.244,87.574,83.218,79.212,81.285,97.43,76.092,81.417,85.256,85.244,72.943,66.022,70.741,71.932,65.166,70.79,74.44,77.59,89.154,73.793,70.589,67.492
112,M,False,587.33,570.8,577.55,566.09,557.65,550.26,549.61,543.96,536.51,515.66,517.28,496.24,509.51,465.41,425.49,469.37,477.84,423.29,423.65,513.61,527.53,517.7,524.46,522.94,527.97,516.07,529.28,534.58,533.89,538.82,532.95,535.07,537.37,531.95,531.63,532.4,534.75,523.29,498.99,503.35
113,M,True,70.091,69.245,68.486,70.129,64.655,65.251,65.276,65.442,65.156,65.183,70.439,71.101,65.969,67.412,67.441,68.411,67.924,67.891,67.979,68.774,68.812,66.529,67.407,67.4,68.952,69.172,70.649,69.947,70.654,74.377,75.249,67.109,74.58,76.011,64.335,61.065,63.409,63.982,65.858,65.753
114,M,False,79.467,79.355,76.727,72.963,81.607,79.409,80.173,83.213,83.176,81.674,82.662,84.204,83.733,82.822,83.217,70.887,83.298,84.721,83.404,82.098,85.801,85.54,86.113,86.269,88.262,88.862,86.823,85.94,87.673,86.691,86.376,85.755,85.255,88.167,89.141,73.714,88.909,73.174,74.802,74.368
115,M,True,609.27,604.67,598.71,604.83,613.88,594.62,579.01,611.93,612.36,592.11,621.8,590.39,523.74,540.94,559.06,603.36,616.48,547.46,552.77,621.82,541.2,631.06,557.22,538.82,640.19,647.1,544.19,644.59,524.05,574.44,515.6,652.05,550.12,673.41,529.07,665.75,673.76,688.14,578.46,691.03
116,M,False,684.68,691.56,689.56,531.23,521.17,708.93,482.79,523.7,534.47,531.11,535.15,528.4,541.94,496.93,517.89,513.35,503.82,529.46,508.77,468.18,628.83,614.94,469.64,470.23,525.53,511.64,477.32,519.73,475.16,600.64,622.82,632.45,499.82,629.07,594.47,514.0,561.35,526.08,543.71,544.05
117,M,False,477.32,519.73,475.16,600.64,622.82,632.45,499.82,629.07,594.47,514.0,561.35,526.08,543.71,544.05,565.37,829.43,651.75,558.83,551.77,620.17,582.3,583.45,586.99,576.56,542.23,570.92,525.09,557.75,532.43,525.67,533.13,536.71,532.12,532.68,531.47,532.12,531.04,526.17,525.98,526.43
118,M,True,556.89,558.93,557.42,559.51,560.8,562.87,563.18,562.3,562.44,564.47,562.4,560.2,556.67,559.3,559.7,559.62,561.48,560.48,560.18,559.86,560.06,558.46,558.88,558.73,557.87,558.77,559.66,560.0,559.84,560.22,558.83,558.92,557.34,557.21,556.83,559.55,559.83,556.41,558.52,557.0
119,M,False,559.62,561.48,560.48,560.18,559.86,560.06,558.46,558.88,558.73,557.87,558.77,559.66,560.0,559.84,560.22,558.83,558.92,557.34,557.21,556.83,559.55,559.83,556.41,558.52,557.0,556.22,557.67,558.24,556.33,558.59,343.7,346.6,347.12,557.76,557.75,555.91,556.32,556.74,555.43,554.88
