index,nar,time_start,xray_class,time_peak,time_end,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR,g_s,slf,d_l_f
0,11065,2010-05-03 09:48:00,NULL,not applicable,not applicable,7.94363888888889e+20,28.329685185185188,131.0475925925926,129.27277777777775,48.26887037037037,0.3746557462962963,1160113888888.889,-0.0026064359259259,49.335833333333326,3.842691666666666,287380727777.7778,1727.2814814814817,3.0783925925925927e+21,23.16096296296296,3.261811111111112,,55.4515925925926,,,
1,11070,2010-05-06 15:48:00,NULL,not applicable,not applicable,5.897703389830509e+20,37.52105084745763,168.1571186440678,167.16338983050846,83.19659322033897,-0.2341349288135593,1000429830508.4746,-0.0143080881355932,53.01791525423729,12.09730847457627,452529661016.9492,2711.2898305084746,3.0583016949152544e+21,25.340254237288136,9.237406779661018,2.05070625,37.659576271186445,,3.0738,4.4721
2,11071,2010-05-08 21:48:00,NULL,not applicable,not applicable,5.837576271186441e+20,31.26184745762712,154.49271186440677,152.2735593220339,66.58393220338984,-0.1919727542372881,829878135593.2203,-0.0013658740169491,43.63381355932203,2.744639084745763,194583474576.2712,2425.4050847457625,2.7244322033898304e+21,23.792898305084744,4.546913559322034,2.262738461538462,28.925745762711863,,3.5308,5.0
3,11073,2010-06-03 06:00:00,NULL,not applicable,not applicable,6.567303913043477e+20,34.861043478260875,137.1636956521739,135.91444927536233,65.42717391304349,0.7692599999999999,1236907391304.348,0.0041025445507246,54.56278260869565,3.8271546231884064,616295188405.7971,1915.5985507246376,2.775065217391304e+21,24.222710144927536,7.317176811594202,2.988190909090909,103.91499420289854,,,
4,11074,2010-05-30 18:00:00,NULL,not applicable,not applicable,2.494654545454545e+21,31.812484848484846,104.6089090909091,105.9069393939394,47.3749696969697,-0.1602406272727272,2775324242424.242,-0.0020988063636363,142.14878787878789,7.395033333333333,641271818181.8182,2446.057575757576,1.1978766666666667e+22,24.83654545454545,7.395160606060606,2.715877777777778,50.598,,5.914899999999999,9.346150000000002
5,11083,2010-06-18 12:48:00,NULL,not applicable,not applicable,3.914266666666667e+20,34.81375438596491,133.65649122807017,132.99929824561403,61.64128070175439,0.9308893157894738,790316842105.2632,-0.0152298754385964,34.73917543859649,10.722557894736845,621430000000.0,1663.3789473684212,1.5769052631578947e+21,24.992807017543857,8.58512456140351,2.215938,49.035,,,
6,11085,2010-06-28 18:00:00,NULL,not applicable,not applicable,8.062591525423729e+20,29.356949152542366,140.0513559322034,138.85135593220338,56.54762711864406,0.9071047118644066,1323826101694.9153,0.0036938513898305,59.11822033898305,5.270174406779661,705349661016.9491,1623.3050847457628,2.919910169491526e+21,21.722711864406783,3.263347457627119,1.8114162162162164,84.18781355932204,,,
7,11088,2010-07-13 15:36:00,NULL,not applicable,not applicable,6.145057627118643e+20,30.762152542372885,141.33745762711868,139.9350847457627,59.3194406779661,-0.0594861444067796,819020338983.0509,0.0066936548305084,40.46098305084747,6.227033627118644,491435559322.0339,2218.250847457627,2.6732000000000005e+21,23.145254237288132,3.531220338983051,2.25345,31.16786440677966,,,
8,11090,2010-07-27 15:36:00,NULL,not applicable,not applicable,1.2024406779661016e+21,29.210118644067794,121.58542372881358,120.48983050847455,45.54905084745764,0.4339627966101694,1965810169491.5251,0.0005404554847457,81.50445762711863,2.7240328813559325,503978813559.322,1658.2593220338983,4.71611186440678e+21,24.50937288135593,4.3259338983050855,2.285211111111111,72.14408474576271,,,
9,11104,2010-08-30 05:24:00,NULL,not applicable,not applicable,1.0708015254237288e+21,30.826237288135594,127.36677966101696,126.3028813559322,53.43581355932203,0.9370650847457628,1927962711864.4067,0.0049262588135593,81.1520847457627,9.22832881355932,946899661016.9492,1843.086440677966,4.517671186440678e+21,23.88389830508475,3.5427813559322034,1.5348375,103.48289830508476,,,
10,11114,2010-10-15 19:36:00,NULL,not applicable,not applicable,1.193075e+21,28.593833333333336,131.76666666666668,131.74450000000004,51.67168333333333,-0.6646355518333334,1474160000000.0,-0.0014468968333333,75.64348333333335,4.983537416666667,604364866666.6666,1985.955,4.606816666666667e+21,22.71138333333333,3.544481333333333,2.21184,31.53225,,,
11,11116,2010-10-18 21:48:00,NULL,not applicable,not applicable,4.120634426229508e+20,38.34145901639344,163.24163934426232,160.86491803278693,95.80818032786884,0.7825788624590164,624179016393.4426,-0.0254427049180327,38.410754098360655,13.800549180327872,422382950819.6721,3768.3934426229503,2.7559032786885243e+21,24.81568852459016,6.564656229508197,1.796037037037037,29.808999999999997,,2.24905,4.8988
12,11118,2010-10-23 06:00:00,NULL,not applicable,not applicable,7.444331147540983e+20,30.064819672131147,118.19459016393442,117.62540983606556,47.98862295081967,0.2964810163934426,1427280327868.8523,0.0033806237704918,58.70113114754098,4.521493737704918,366429852459.0164,1745.101639344262,3.072477049180328e+21,24.685245901639348,4.570401639344262,1.63745,71.56683606557377,,,
13,11122,2010-11-08 20:36:00,NULL,not applicable,not applicable,1.741457627118644e+21,49.243033898305086,150.08847457627118,146.02745762711862,92.08079661016949,0.6362651186440678,3012884745762.712,0.0001958540169491,166.1028813559322,6.112041694915255,849690847457.6271,5843.681355932204,1.9778474576271188e+22,34.34247457627119,22.240881355932203,2.41644423076923,95.778,263.6823728813559,38.59591525423729,196.52864406779665
