index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE
99,2011-12-10 10:48:00,not applicable,not applicable,11371,N,False
100,2011-12-10 10:48:00,not applicable,not applicable,11372,N,False
101,2011-12-11 08:00:00,not applicable,not applicable,11373,N,False
102,2011-12-16 20:00:00,not applicable,not applicable,11378,N,False
103,2011-12-16 20:00:00,not applicable,not applicable,11379,N,False
104,2011-12-23 02:00:00,not applicable,not applicable,11380,N,False
105,2011-12-25 13:24:00,not applicable,not applicable,11383,N,False
106,2011-12-25 13:24:00,not applicable,not applicable,11385,N,False
107,2012-01-02 16:36:00,not applicable,not applicable,11388,N,False
108,2012-01-08 21:36:00,not applicable,not applicable,11394,N,False
109,2012-01-16 17:48:00,not applicable,not applicable,11397,N,False
110,2012-01-14 00:12:00,not applicable,not applicable,11398,N,False
111,2012-01-16 07:36:00,not applicable,not applicable,11400,N,False
112,2012-01-17 07:12:00,not applicable,not applicable,11404,N,False
113,2012-01-21 07:12:00,not applicable,not applicable,11405,N,False
114,2012-01-18 07:12:00,not applicable,not applicable,11406,N,False
115,2012-01-24 04:24:00,not applicable,not applicable,11407,N,False
116,2012-02-01 15:12:00,not applicable,not applicable,11411,N,False
117,2012-01-31 03:12:00,not applicable,not applicable,11412,N,False
118,2012-02-05 09:12:00,not applicable,not applicable,11414,N,False
119,2012-02-18 03:24:00,not applicable,not applicable,11420,N,False
120,2012-02-28 18:24:00,not applicable,not applicable,11425,N,False
121,2012-02-28 18:24:00,not applicable,not applicable,11426,N,False
122,2012-03-07 10:36:00,not applicable,not applicable,11431,N,False
123,2012-03-17 13:00:00,not applicable,not applicable,11435,N,False
124,2012-03-20 12:24:00,not applicable,not applicable,11436,N,False
125,2012-03-20 12:24:00,not applicable,not applicable,11437,N,False
126,2012-03-21 02:24:00,not applicable,not applicable,11439,N,False
127,2012-03-24 02:00:00,not applicable,not applicable,11441,N,False
128,2012-03-27 02:00:00,not applicable,not applicable,11443,N,False
129,2012-04-01 14:36:00,not applicable,not applicable,11448,N,False
130,2012-03-31 08:36:00,not applicable,not applicable,11449,N,False
131,2012-04-02 18:36:00,not applicable,not applicable,11453,N,False
132,2012-04-15 00:36:00,not applicable,not applicable,11454,N,False
133,2012-04-13 12:36:00,not applicable,not applicable,11456,N,False
134,2012-04-17 08:24:00,not applicable,not applicable,11457,N,False
135,2012-04-17 14:12:00,not applicable,not applicable,11458,N,False
136,2012-04-22 10:12:00,not applicable,not applicable,11464,N,False
137,2012-05-03 01:12:00,not applicable,not applicable,11472,N,False
138,2012-05-13 19:24:00,not applicable,not applicable,11477,N,False
139,2012-05-13 19:24:00,not applicable,not applicable,11478,N,False
140,2012-05-12 07:24:00,not applicable,not applicable,11480,N,False
141,2012-05-17 02:36:00,not applicable,not applicable,11481,N,False
142,2012-05-24 01:24:00,not applicable,not applicable,11486,N,False
143,2012-05-23 13:24:00,not applicable,not applicable,11487,N,False
144,2012-05-24 00:12:00,not applicable,not applicable,11489,N,False
145,2012-06-02 08:00:00,not applicable,not applicable,11495,N,False
146,2012-06-05 14:00:00,not applicable,not applicable,11497,N,False
147,2012-06-05 07:00:00,not applicable,not applicable,11500,N,False
148,2012-06-07 13:00:00,not applicable,not applicable,11501,N,False
149,2012-06-10 01:00:00,not applicable,not applicable,11502,N,False
150,2012-06-05 07:00:00,not applicable,not applicable,11503,N,False
151,2012-06-15 10:48:00,not applicable,not applicable,11509,N,False
152,2012-06-22 00:36:00,not applicable,not applicable,11510,N,False
153,2012-06-23 18:36:00,not applicable,not applicable,11511,N,False
154,2012-07-02 21:00:00,not applicable,not applicable,11517,N,False
155,2012-07-08 21:00:00,not applicable,not applicable,11518,N,False
156,2012-07-16 19:36:00,not applicable,not applicable,11523,N,False
