,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tss,validation_tss,loss,validation_loss,hss,validation_hss
60,60.0,60.0,0.0,,,,,0.5351425409317017,0.828978955745697,0.9495571851730348,0.374629408121109,0.4089268147945404,0.7361035346984863
61,61.0,61.0,1.0,,,,,0.7793527841567993,0.591160774230957,0.5572101473808289,0.2255006581544876,0.6875225305557251,0.4254449605941772
62,62.0,62.0,2.0,,,,,0.2590989172458648,0.0733701512217521,0.5451396703720093,0.8414871692657471,0.1794623881578445,0.0401313602924346
63,63.0,63.0,3.0,,,,,0.2540691792964935,0.3100516498088836,1.0217347145080566,0.8611133098602295,0.1495827287435531,0.1884465664625167
64,64.0,64.0,4.0,,,,,0.4002394676208496,0.407274454832077,0.7388240098953247,0.6375937461853027,0.2677453458309173,0.2633717358112335
65,65.0,65.0,5.0,,,,,0.4480387270450592,0.4539462029933929,0.637883186340332,0.6518740057945251,0.3104580640792846,0.291817158460617
66,66.0,66.0,6.0,,,,,0.4380463659763336,0.496660977602005,0.6033093929290771,0.4022949635982513,0.2983523905277252,0.3311907351016998
67,67.0,67.0,7.0,,,,,0.4848031997680664,0.4744387567043304,0.5407013297080994,0.4427060484886169,0.3314527869224548,0.3180243670940399
68,68.0,68.0,8.0,,,,,0.4869682192802429,0.5286347270011902,0.5595076680183411,0.3703242838382721,0.3391608893871307,0.355187326669693
69,69.0,69.0,9.0,,,,,0.5052499175071716,0.5334818959236145,0.4957008063793182,0.4987428188323974,0.3642869293689728,0.374536782503128
70,70.0,70.0,10.0,,,,,0.4799660742282867,0.4233200550079345,0.7430301904678345,0.8587157130241394,0.3546526730060577,0.3133549392223358
71,71.0,71.0,11.0,,,,,0.4881854057312011,0.5660927891731262,0.4785166978836059,0.3919084966182709,0.3445910215377807,0.3897156417369842
72,72.0,72.0,12.0,,,,,0.5579527616500854,0.6004185080528259,0.5629509091377258,0.5518758296966553,0.4114364683628082,0.438213586807251
73,73.0,73.0,13.0,,,,,0.624046266078949,0.6072211861610413,0.5019758343696594,0.5495442152023315,0.4718547761440277,0.4459760189056396
74,74.0,74.0,14.0,,,,,0.4991830885410309,0.2984639704227447,1.043081521987915,2.0436911582946777,0.3877969086170196,0.2479039877653122
75,75.0,0.0,,,,,,0.5620914101600647,0.8649940490722656,1.7873331308364868,0.9695388078689576,0.5770533680915833,0.8327517509460449
76,76.0,1.0,,,,,,0.6525090932846069,0.7874851822853088,1.5702027082443235,1.3282897472381592,0.6687498092651367,0.7849034667015076
77,77.0,2.0,,,,,,0.6933839917182922,0.8255804181098938,1.5392464399337769,1.2241811752319336,0.7139583826065063,0.8151001930236816
78,78.0,3.0,,,,,,0.6629406213760376,0.8019554615020752,1.58763587474823,1.2334985733032229,0.6954888701438904,0.7908852696418762
79,79.0,4.0,,,,,,0.6549258232116699,0.7298466563224792,1.531375765800476,1.5372858047485352,0.6766135096549988,0.7451302409172058
80,80.0,5.0,,,,,,0.6680980920791626,0.7056670188903809,1.4295154809951782,1.4053223133087158,0.6597537994384766,0.7089540958404541
81,81.0,6.0,,,,,,0.7744284868240356,0.712469756603241,1.1276111602783203,1.4003474712371826,0.7442758679389954,0.7222794890403748
