,name,tss,std,dataset
0,KNN,0.8628940731399748,0.04157839088366858,All Flares
1,LR,0.8647856242118538,0.03691607177000032,All Flares
2,RFC,0.9248528793610761,0.027044143969666416,All Flares
3,SVM,0.8830285834384195,0.03734587012548512,All Flares
4,DART,0.8816519546027741,0.031060201263346267,All Flares
5,LDA,0.6261559478772594,0.06298357412918387,All Flares
6,KNN,0.9307142857142857,0.051479802525138056,Coincidental Flares
7,LR,0.952142857142857,0.038027469484231385,Coincidental Flares
8,RFC,0.9547619047619047,0.03785639412257484,Coincidental Flares
9,SVM,0.9483333333333331,0.043748015828022284,Coincidental Flares
10,DART,0.9414285714285714,0.04652553976409232,Coincidental Flares
11,LDA,0.8592857142857143,0.05281690875411144,Coincidental Flares
12,KNN,0.7380184331797236,0.06480584781862125,Noncoincidental Flares
13,LR,0.8090965821812598,0.056273125246971575,Noncoincidental Flares
14,RFC,0.8690140168970815,0.04793469135878361,Noncoincidental Flares
15,SVM,0.7834581413210446,0.05019045684761734,Noncoincidental Flares
16,DART,0.8035282258064517,0.061808661252849985,Noncoincidental Flares
17,LDA,0.499687980030722,0.09616501651771718,Noncoincidental Flares
