,TOTUSJH,USFLUX,TOTUSJZ,R_VALUE,TOTPOT,AREA_ACR,SAVNCPP,ABSNJZH,MEANPOT,SHRGT45
MX,0.3719862842663829,0.795358462864798,0.5204834558398511,0.6384199291550732,0.8418230876780106,0.666300222279366,0.0030706680614715947,0.04178163500405172,0.6690933024515011,0.9622322320099593
NON_MX,1.616e-321,1.714e-321,1.606e-321,4.94e-322,1.52e-321,8.6212474e-317,1.907e-321,2.164e-321,4.297161076902699e-264,1.3827589360198133e-299
