,singh_means,sinha_means,singh_stds,sinha_stds
0,3965.4441072897025,3786.509411530815,2756.143289020085,2753.4186052726704
1,4.686126723792182e+22,4.551570202445328e+22,3.593332075329628e+22,3.5829673195490947e+22
2,70029978715196.805,67367793671968.19,45769948972754.086,45928903033358.81
3,4.624034310367992,4.607918489065607,0.7257905909747143,0.6696490334526639
4,1.0814463339660275e+24,1.0434846327017893e+24,1.04390561524306e+24,1.0402675840545931e+24
5,1839.3390629810697,1794.6885706620278,1337.1827249417843,1341.638007633968
6,25123352543558.08,22874074106163.023,21171798786090.832,21234988577735.188
7,687.4707278941677,628.069874751491,675.4969799032327,672.4538139994008
8,11097.275501075816,10875.209655467197,4759.255676306323,4773.458126670537
9,35.416336481221514,35.211035785288274,12.720567877775705,13.083707518018109
