classifier,TSS,MAC,SSW,CSW,
LDA,0.7781809019904258,0.8890904509952129,0.654320987654321,0.9020408163265307,
KNN,0.7927185689090451,0.8963592844545225,0.7160493827160493,0.8693877551020408,
LR,0.819400352733686,0.9097001763668431,0.7530864197530864,0.8857142857142857,
RFC,0.7804736709498614,0.8902368354749307,0.7160493827160493,0.8448979591836735,
SVM,0.7969009826152683,0.8984504913076341,0.7407407407407407,0.8530612244897959,
