classifier,all,coincident,noncoincident
lda,0.8597,0.9236,0.7989
knn_3,0.8978,0.9458,0.8166
logistic_regression,0.9092,0.9682,0.8238
linear_svm,0.8835,0.949,0.7673
random_forest,0.9064,0.9681,0.809
