,name,tss,label
0,KNN,0.7755148741418765,"R_VALUE 24h Time-series, all"
1,KNN,0.7653902873124843,"R_VALUE 24h Mean, all"
2,RFC,0.8057309941520469,"R_VALUE 24h Time-series, all"
3,RFC,0.709905924230867,"R_VALUE 24h Mean, all"
4,SVM,0.789392321383168,"R_VALUE 24h Time-series, all"
5,SVM,0.7798423595219931,"R_VALUE 24h Mean, all"
6,KNN,0.8342000335135347,"R_VALUE 24h Time-series, coincident"
7,KNN,0.8141342750953735,"R_VALUE 24h Mean, coincident"
8,RFC,0.858432602643129,"R_VALUE 24h Time-series, coincident"
9,RFC,0.7700950272574987,"R_VALUE 24h Mean, coincident"
10,SVM,0.8461630121584356,"R_VALUE 24h Time-series, coincident"
11,SVM,0.840198380038197,"R_VALUE 24h Mean, coincident"
12,KNN,0.799160306088039,"R_VALUE 24h Time-series, noncoincident"
13,KNN,0.7819713706808634,"R_VALUE 24h Mean, noncoincident"
14,RFC,0.8211323987385106,"R_VALUE 24h Time-series, noncoincident"
15,RFC,0.7269701303515064,"R_VALUE 24h Mean, noncoincident"
16,SVM,0.8063571615241726,"R_VALUE 24h Time-series, noncoincident"
17,SVM,0.8048419885396708,"R_VALUE 24h Mean, noncoincident"
