name,tss,parameter,coincidence,label
RFC,0.783419384057971,ABSNJZH_AREA_ACR_MEANGBZ,all,13-24h Time-series
SVM,0.7249818840579709,ABSNJZH_AREA_ACR_MEANGBZ,all,24h Time-series
SVM,0.7058605072463767,ABSNJZH_AREA_ACR_MEANGBZ,all,0-12h Time-series
SVM,0.7189492753623188,ABSNJZH_AREA_ACR_MEANGBZ,all,6h-18h Time-series
SVM,0.7337001811594203,ABSNJZH_AREA_ACR_MEANGBZ,all,13-24h Time-series
KNN,0.7114402173913044,ABSNJZH_AREA_ACR_MEANJZD,all,24h Time-series
KNN,0.6639492753623187,ABSNJZH_AREA_ACR_MEANJZD,all,0-12h Time-series
KNN,0.7005253623188407,ABSNJZH_AREA_ACR_MEANJZD,all,6h-18h Time-series
KNN,0.6996376811594204,ABSNJZH_AREA_ACR_MEANJZD,all,13-24h Time-series
LR,0.2051902173913043,ABSNJZH_AREA_ACR_MEANJZD,all,24h Time-series
LR,0.21520380434782607,ABSNJZH_AREA_ACR_MEANJZD,all,0-12h Time-series
LR,0.2219610507246377,ABSNJZH_AREA_ACR_MEANJZD,all,6h-18h Time-series
LR,0.19999094202898546,ABSNJZH_AREA_ACR_MEANJZD,all,13-24h Time-series
RFC,0.7917527173913045,ABSNJZH_AREA_ACR_MEANJZD,all,24h Time-series
RFC,0.7373369565217391,ABSNJZH_AREA_ACR_MEANJZD,all,0-12h Time-series
RFC,0.7720697463768116,ABSNJZH_AREA_ACR_MEANJZD,all,6h-18h Time-series
RFC,0.7801358695652173,ABSNJZH_AREA_ACR_MEANJZD,all,13-24h Time-series
SVM,0.7406385869565216,ABSNJZH_AREA_ACR_MEANJZD,all,24h Time-series
SVM,0.7024818840579709,ABSNJZH_AREA_ACR_MEANJZD,all,0-12h Time-series
SVM,0.7285190217391305,ABSNJZH_AREA_ACR_MEANJZD,all,6h-18h Time-series
SVM,0.7313813405797103,ABSNJZH_AREA_ACR_MEANJZD,all,13-24h Time-series
KNN,0.7128442028985507,ABSNJZH_AREA_ACR_MEANJZH,all,24h Time-series
KNN,0.6661277173913044,ABSNJZH_AREA_ACR_MEANJZH,all,0-12h Time-series
KNN,0.6919067028985507,ABSNJZH_AREA_ACR_MEANJZH,all,6h-18h Time-series
KNN,0.699153079710145,ABSNJZH_AREA_ACR_MEANJZH,all,13-24h Time-series
LR,0.1993432971014493,ABSNJZH_AREA_ACR_MEANJZH,all,24h Time-series
LR,0.17509510869565215,ABSNJZH_AREA_ACR_MEANJZH,all,0-12h Time-series
LR,0.20216485507246376,ABSNJZH_AREA_ACR_MEANJZH,all,6h-18h Time-series
LR,0.16789402173913043,ABSNJZH_AREA_ACR_MEANJZH,all,13-24h Time-series
RFC,0.7938451086956522,ABSNJZH_AREA_ACR_MEANJZH,all,24h Time-series
RFC,0.744981884057971,ABSNJZH_AREA_ACR_MEANJZH,all,0-12h Time-series
RFC,0.7707291666666668,ABSNJZH_AREA_ACR_MEANJZH,all,6h-18h Time-series
RFC,0.7758242753623189,ABSNJZH_AREA_ACR_MEANJZH,all,13-24h Time-series
SVM,0.7484057971014494,ABSNJZH_AREA_ACR_MEANJZH,all,24h Time-series
SVM,0.7011911231884059,ABSNJZH_AREA_ACR_MEANJZH,all,0-12h Time-series
SVM,0.7165262681159419,ABSNJZH_AREA_ACR_MEANJZH,all,6h-18h Time-series
