classifier,all,coincident,noncoincident
KNN 3,0.6485,0.6498,0.4759
LDA,0.6284,0.5638,0.4736
Linear SVM,0.6254,0.48,0.4237
Logistic Regression,0.6608,0.6207,0.5089
Random Forest,0.4018,0.125,-0.0035
