,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10,MEANJZH_11,MEANJZH_12,MEANJZH_13,MEANJZH_14,MEANJZH_15,MEANJZH_16,MEANJZH_17,MEANJZH_18,MEANJZH_19,MEANJZH_20,MEANJZH_21,MEANJZH_22,MEANJZH_23,MEANJZH_24,MEANJZH_25
57,M,False,0.0060898,0.0061372,0.0076923,0.007863,0.0077464,0.0080478,0.0075799,0.0066875,0.007009,0.0078792,0.0084034,0.0081369,0.0080352,0.0090192,0.0096847,0.0086544,0.0087408,0.0091413,0.0091126,0.0097958,0.0098177,0.0099672,0.010122,0.010649,0.011179
58,M,False,0.010013,0.0097739,0.011471,0.0128,0.012999,0.013294,0.013382,0.01475,0.014797,0.015928,0.015097,0.015101,0.016578,0.015044,0.014131,0.014538,0.014256,0.016515,0.016809,0.01645,0.016849,0.010687,0.015818,0.015172,0.01443
59,M,False,0.014797,0.015928,0.015097,0.015101,0.016578,0.015044,0.014131,0.014538,0.014256,0.016515,0.016809,0.01645,0.016849,0.010687,0.015818,0.015172,0.01443,0.014589,0.016265,0.014213,0.011327,0.011281,0.013011,0.0112,0.015238
60,M,True,0.0019606,0.0014404,0.0021085,0.0021657,0.0019485,0.0019223,0.001406,0.0017429,0.0012663,0.00045385,0.00089182,0.00076645,0.00082339,0.00081342,0.0009928,0.00078659,0.00095325,0.0011605,0.0014908,0.00098025,0.0012286,0.0016493,0.0021034,0.0018722,0.0021099
61,M,False,0.00081342,0.0009928,0.00078659,0.00095325,0.0011605,0.0014908,0.00098025,0.0012286,0.0016493,0.0021034,0.0018722,0.0021099,0.0023632,0.0018789,0.0016986,0.0019581,0.0017322,0.0019275,0.001709,0.0016113,0.0024002,0.0021115,0.0010959,0.0014993,0.0017064
62,M,True,-0.020425,-0.020957,-0.020797,-0.021647,-0.022704,-0.023214,-0.02337,-0.023449,-0.024173,-0.023316,-0.023319,-0.022075,-0.021629,-0.021101,-0.021014,-0.020325,-0.020758,-0.016232,-0.019699,-0.020376,-0.020147,-0.020322,-0.013633,-0.019944,-0.013272
63,M,False,-0.013272,-0.020443,-0.020445,-0.020228,-0.015653,-0.015183,-0.014189,-0.020711,-0.020364,-0.014665,-0.019936,-0.019641,-0.018754,-0.018796,-0.018908,-0.018282,-0.019825,-0.020346,-0.018277,-0.021447,-0.022511,-0.022128,-0.023681,-0.023815,-0.022995
64,M,False,0.00589,0.0059243,0.0057016,0.005942,0.005999,0.005953,0.006024,0.0058676,0.0056716,0.0056399,0.0059163,0.0056121,0.0059258,0.0058327,0.0055678,0.0057945,0.005537,0.0059504,0.005928,0.0061277,0.005918,0.005089,0.0051058,0.0054079,0.0052236
65,M,False,0.0043208,0.0043001,0.0043374,0.0044034,0.0052077,0.0045076,0.0041337,0.0043159,0.004648,0.0046935,0.0047465,0.0043654,0.004479,0.004443,0.0043775,0.0044247,0.0043102,0.0043739,0.0040326,0.0042149,0.004353,0.004187,0.0045242,0.0044804,0.0043829
66,M,False,-0.01051,-0.0095444,-0.00926,-0.0091223,-0.0082481,-0.0082799,-0.008119,-0.0083963,-0.0083495,-0.0082386,-0.0073843,-0.008385,-0.0090016,-0.0094164,-0.0097167,-0.010722,-0.01011,-0.010528,-0.010089,-0.010569,-0.011113,-0.012219,-0.012734,-0.013289,-0.013481
67,M,True,0.0050027,0.0052284,0.005319,0.0053401,0.0059279,0.0063194,0.006478,0.0062062,0.0061058,0.0057956,0.005315,0.0054042,0.0051442,0.0048446,0.0044913,0.0047378,0.0047112,0.004748,0.0047486,0.0046135,0.0046786,0.0050004,0.004976,0.0055208,0.0055391
68,M,False,0.0048481,0.004931,0.0052625,0.005452,0.0051662,0.0055496,0.0054049,0.0054298,0.0054662,0.0059281,0.0059151,0.0058469,0.006489,0.006917,0.0073943,0.0077385,0.0073983,0.0073191,0.007294,0.0066945,0.0063488,0.0060202,0.0060115,0.0055587,0.0063117
69,M,True,0.0074503,0.029232,0.0059643,0.0015544,0.0024171,0.0050974,0.006895,0.010017,0.0098178,0.010819,0.010808,0.0099401,0.012233,0.01097,0.0134,0.012774,0.012684,0.012847,0.013691,0.014855,0.014226,0.014893,0.013808,0.011439,0.013548
70,M,False,0.018528,0.017641,0.017115,0.018319,0.018399,0.017026,0.0183,0.015862,0.017614,0.017385,0.017653,0.016603,0.018803,0.01867,0.019285,0.019382,0.017994,0.017293,0.015535,0.016732,0.014495,0.015253,0.013617,0.013387,0.014514
71,M,False,0.0097703,0.0089129,0.0096197,0.0094931,0.0097488,0.0097549,0.0099431,0.010179,0.010846,0.010928,0.010867,0.010918,0.010611,0.010982,0.01112,0.011499,0.011663,0.011449,0.01135,0.011289,0.011688,0.011524,0.011239,0.010661,0.011187
72,M,False,0.00032333,-0.0016494,-0.00025506,-0.00056654,-0.0014339,-0.00056895,0.00017232,0.00081296,0.0010224,0.0018579,0.0029779,0.00098438,0.0014787,0.00056171,0.0035027,0.000503,0.0018147,0.00205,0.0035757,0.0020663,0.002158,0.0030516,0.0034499,0.0042163,0.0016469
73,M,False,0.014738,0.014503,0.014037,0.013667,0.013235,0.013131,0.013411,0.012868,0.012796,0.01345,0.012806,0.013542,0.013444,0.01343,0.013957,0.014092,0.015011,0.016429,0.017499,0.016613,0.017507,0.017392,0.018613,0.019253,0.01903
74,M,False,0.0023582,0.0024307,0.0026806,0.0021318,0.0020489,0.0024711,0.0031081,0.0022894,0.0028982,0.002767,0.0029364,0.0026297,0.0037465,0.0029592,0.0028467,0.0029889,0.0036327,0.0034302,0.0025661,0.002737,0.0027242,0.0024108,0.0019021,0.0014174,0.0010688
75,M,True,-0.0017884,-0.0010882,-0.0012102,-0.00069062,-0.00093327,-0.00064868,0.00033684,0.00073651,0.00073555,0.0017241,0.0023864,0.0026378,0.0014257,0.0013496,0.0021775,0.0022814,0.0025164,0.0033431,0.0036355,0.0043961,0.0064078,0.0065724,0.0071835,0.0075418,0.0080063
76,M,True,0.032541,0.033748,0.033472,0.033318,0.03402,0.033765,0.032771,0.032617,0.033049,0.032629,0.032025,0.03192,0.032392,0.03305,0.033012,0.031741,0.032051,0.031593,0.031323,0.032092,0.033071,0.034362,0.035302,0.037455,0.036877
