,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25
0,X,False,90177.0,95488.0,99707.0,126350.0,112640.0,106220.0,96951.0,97643.0,103450.0,94982.0,109330.0,95691.0,112320.0,101980.0,115740.0,93265.0,102680.0,108500.0,103060.0,83802.0,80370.0,81966.0,73761.0,76486.0,76916.0
1,X,False,53345.0,57244.0,56641.0,63109.0,61677.0,58080.0,56071.0,49778.0,49333.0,51625.0,44968.0,44570.0,51049.0,48191.0,53662.0,55673.0,58037.0,61599.0,64854.0,54230.0,53793.0,55779.0,53675.0,46868.0,51363.0
2,X,False,22712.0,23823.0,23979.0,26990.0,21875.0,23738.0,23418.0,23965.0,23624.0,26158.0,23084.0,27902.0,28855.0,20865.0,24441.0,28140.0,27204.0,22872.0,23245.0,22566.0,21113.0,20680.0,18699.0,20970.0,15911.0
3,X,False,10917.0,13983.0,11363.0,10125.0,10222.0,10653.0,11185.0,11847.0,11977.0,11992.0,15913.0,16693.0,19112.0,17787.0,13530.0,11327.0,10766.0,10017.0,12965.0,13338.0,12012.0,12972.0,12326.0,11877.0,13561.0
4,X,True,12555.0,13425.0,14097.0,12308.0,10512.0,10762.0,13336.0,11171.0,10936.0,10181.0,11655.0,10302.0,8320.8,9432.0,13474.0,9569.4,9900.4,8226.8,10919.0,9038.0,8737.0,9839.3,9587.6,9414.1,10337.0
5,X,False,49339.0,47697.0,47923.0,54234.0,49323.0,45237.0,44540.0,42944.0,43192.0,52557.0,36415.0,44766.0,34623.0,44541.0,42623.0,42864.0,46708.0,54418.0,44993.0,45214.0,55501.0,49932.0,45950.0,45453.0,53671.0
6,X,True,23349.0,28456.0,29320.0,33442.0,24647.0,25665.0,29184.0,26569.0,29355.0,37315.0,26551.0,34445.0,28060.0,25810.0,21700.0,25932.0,26778.0,29759.0,30530.0,25303.0,24749.0,27123.0,24803.0,26912.0,30205.0
7,X,False,221090.0,236750.0,226620.0,189810.0,196940.0,214480.0,257940.0,215360.0,233140.0,231980.0,246280.0,219720.0,233750.0,216070.0,207880.0,218700.0,224730.0,203010.0,200950.0,179470.0,194440.0,178870.0,186500.0,198940.0,188450.0
8,X,False,214480.0,257940.0,215360.0,233140.0,231980.0,246280.0,219720.0,233750.0,216070.0,207880.0,218700.0,224730.0,203010.0,200950.0,179470.0,194440.0,178870.0,186500.0,198940.0,188450.0,194680.0,179740.0,177620.0,173310.0,183670.0
9,X,False,244100.0,231390.0,232280.0,249480.0,209150.0,233610.0,189030.0,215390.0,237730.0,239080.0,248650.0,268590.0,249360.0,264770.0,245430.0,303510.0,280490.0,292070.0,252300.0,259110.0,242260.0,253530.0,278540.0,261390.0,251430.0
10,X,False,7449.7,9904.1,8980.2,5607.6,21075.0,9382.0,12223.0,14247.0,9075.4,3116.2,7939.1,4351.9,8752.1,3107.2,6536.5,3164.5,5172.7,6736.9,5099.9,1980.6,3600.4,4160.7,4312.6,4423.0,2830.1
11,X,True,95548.0,85436.0,40320.0,38986.0,50456.0,16037.0,37907.0,23325.0,24707.0,17085.0,13676.0,10863.0,8294.3,3421.8,7713.3,11835.0,3349.7,15645.0,13463.0,1760.7,3960.8,6872.3,8425.3,5641.2,13141.0
