,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25
12,X,True,25912.0,24478.0,25105.0,35705.0,27379.0,24756.0,25006.0,26789.0,25984.0,25693.0,28074.0,34194.0,38224.0,30427.0,27731.0,29249.0,36651.0,42283.0,32664.0,40704.0,42044.0,51527.0,38357.0,39765.0,49503.0
13,X,False,24856.0,25737.0,22603.0,23067.0,22632.0,22883.0,23127.0,21941.0,17445.0,16363.0,17640.0,15873.0,16080.0,17572.0,20296.0,15652.0,52978.0,76381.0,66952.0,70198.0,60847.0,61238.0,59408.0,70568.0,73720.0
14,X,False,83967.0,96688.0,81706.0,82330.0,95764.0,96638.0,89377.0,93289.0,73115.0,84001.0,91194.0,73034.0,74864.0,80976.0,80752.0,71132.0,73225.0,84904.0,81486.0,73171.0,80177.0,71418.0,87201.0,71847.0,71147.0
15,X,False,101400.0,94005.0,89694.0,91240.0,84401.0,90458.0,82658.0,86565.0,80578.0,76976.0,88225.0,90233.0,86882.0,92482.0,92195.0,86917.0,86235.0,91601.0,84803.0,84557.0,83555.0,78479.0,87584.0,80792.0,82256.0
16,X,False,52072.0,45661.0,56666.0,55626.0,54202.0,52519.0,57957.0,55585.0,55079.0,53495.0,61246.0,58330.0,62203.0,52621.0,53698.0,53520.0,54993.0,52614.0,57999.0,53656.0,62161.0,59284.0,55218.0,55926.0,62376.0
17,X,False,22304.0,21432.0,25951.0,23128.0,17262.0,18676.0,20715.0,17964.0,21112.0,25149.0,21824.0,19351.0,23448.0,26721.0,20368.0,19816.0,21874.0,22687.0,21560.0,21809.0,19638.0,18276.0,24679.0,20566.0,22954.0
18,X,False,162470.0,148760.0,174190.0,169030.0,199840.0,197010.0,211780.0,187180.0,199180.0,202400.0,185200.0,176290.0,170330.0,214460.0,196280.0,179570.0,207530.0,196490.0,215750.0,194490.0,190110.0,201870.0,212020.0,170690.0,199480.0
19,X,False,107860.0,93479.0,117600.0,68881.0,61844.0,83856.0,42785.0,55766.0,44179.0,98645.0,97480.0,152540.0,21573.0,78623.0,80735.0,45454.0,65910.0,10942.0,50074.0,114310.0,87882.0,118800.0,264480.0,146640.0,180660.0
20,X,False,53159.0,60625.0,81995.0,123820.0,107890.0,88053.0,102580.0,138050.0,79860.0,87707.0,103590.0,158960.0,119870.0,111810.0,166960.0,236740.0,208260.0,236520.0,167860.0,183120.0,220040.0,183720.0,147410.0,134150.0,189250.0
21,X,False,5970.3,5257.3,4988.3,4809.8,4722.4,4393.1,4160.9,2901.2,2896.3,1477.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.2,1105.9,2448.1,4298.5,2334.8,710.23,709.54
22,X,False,104340.0,97915.0,103660.0,156690.0,138730.0,187460.0,171290.0,204600.0,191090.0,112540.0,119680.0,165830.0,128260.0,187660.0,196750.0,169380.0,186470.0,136420.0,106690.0,205490.0,138750.0,91232.0,123870.0,113190.0,122720.0
23,X,True,770740.0,749020.0,716840.0,745510.0,774570.0,743510.0,673050.0,705000.0,769260.0,778350.0,746020.0,776700.0,796260.0,711640.0,746910.0,727720.0,823700.0,778160.0,793570.0,836320.0,790530.0,842800.0,740760.0,862450.0,791360.0
24,X,True,750370.0,778250.0,741590.0,815620.0,727960.0,734910.0,793070.0,682130.0,668760.0,754590.0,840890.0,779860.0,888910.0,817420.0,767490.0,762080.0,734080.0,763950.0,807290.0,735980.0,738080.0,738300.0,725430.0,738210.0,751040.0
25,X,False,26973.0,26975.0,25944.0,27661.0,27747.0,27282.0,32251.0,31366.0,26958.0,28324.0,31080.0,31964.0,29729.0,30793.0,35071.0,40577.0,32049.0,37298.0,35137.0,35081.0,34433.0,35425.0,35965.0,34105.0,32749.0
26,X,False,189060.0,194210.0,166940.0,157390.0,169300.0,176510.0,174480.0,172550.0,172050.0,190880.0,186550.0,184470.0,174290.0,178010.0,168140.0,175650.0,188280.0,191380.0,183470.0,198550.0,150490.0,151060.0,142800.0,166030.0,181600.0
27,X,True,26519.0,30901.0,32613.0,32845.0,30427.0,23525.0,22322.0,23669.0,36058.0,33312.0,26940.0,31101.0,28130.0,30096.0,28184.0,32091.0,32757.0,32582.0,30545.0,36388.0,39078.0,42015.0,48059.0,48691.0,49593.0
28,X,False,48210.0,23363.0,51788.0,62205.0,52863.0,48458.0,34970.0,48169.0,44157.0,45479.0,20107.0,6666.7,11950.0,13803.0,6876.8,4465.0,15953.0,0.0,9631.7,24859.0,34068.0,26857.0,34375.0,34319.0,33440.0
29,X,True,184650.0,177750.0,177630.0,182420.0,186190.0,194180.0,171020.0,207800.0,208140.0,213770.0,196500.0,181950.0,178420.0,201650.0,166180.0,175930.0,194590.0,187340.0,186860.0,212140.0,204530.0,198650.0,219050.0,220260.0,209540.0
30,X,True,166180.0,175930.0,194590.0,187340.0,186860.0,212140.0,204530.0,198650.0,219050.0,220260.0,209540.0,196820.0,239450.0,191130.0,205160.0,215430.0,204810.0,220820.0,201420.0,180320.0,189070.0,196550.0,180240.0,184070.0,170430.0
31,X,False,11710.0,10558.0,10510.0,15437.0,25482.0,6905.7,5401.0,18499.0,18865.0,16000.0,12800.0,14896.0,10014.0,7464.5,7155.6,10471.0,15565.0,21008.0,8379.2,15751.0,13705.0,30356.0,13808.0,21381.0,20669.0
32,M,False,3216.8,3629.3,2595.3,2544.5,3079.3,2768.8,2783.1,2467.1,2608.7,3644.9,3863.1,3754.1,5396.1,2567.1,2456.8,2064.0,2535.0,2141.4,2582.9,2467.5,2319.2,2228.9,1964.7,1861.3,2125.6
33,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,M,False,627.61,649.63,654.65,658.16,654.72,660.21,664.94,0.0,689.98,690.75,707.47,697.4,694.65,684.93,676.68,673.55,687.58,675.32,681.87,686.7,691.1,679.86,667.48,673.36,674.0
35,M,True,7794.9,14900.0,4283.3,6566.8,7631.2,6011.0,7979.8,7551.1,11654.0,8571.8,7118.7,7556.8,6620.7,10693.0,16903.0,10595.0,9866.0,9447.1,20591.0,13037.0,20271.0,15322.0,23915.0,29202.0,22879.0
36,M,False,0.0,0.0,0.0,22.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.923,0.0,0.0,146.12,0.0,0.0,0.0,33.195,0.0,474.86,22.093,294.94,0.0
37,M,False,1741.0,1657.5,1739.4,1679.1,1677.8,1657.0,1711.6,1724.0,1774.2,1607.8,1626.9,1488.8,2858.6,1637.2,1659.2,1793.1,1731.1,1665.3,1855.9,1773.4,1810.8,1832.2,1880.8,1949.4,1860.7
38,M,False,82.084,75.812,78.298,146.01,78.903,121.97,110.86,89.121,120.4,121.52,111.99,113.03,109.25,60.702,58.107,82.83,92.645,80.899,134.54,205.33,196.07,209.66,198.62,202.35,202.87
39,M,True,2498.7,3025.4,3425.8,2045.6,1878.2,2005.0,2205.3,2539.9,3137.3,3636.7,3416.8,2888.4,4497.2,4895.2,5702.4,6029.4,6074.4,4134.8,4677.9,6321.4,5855.8,6099.9,7362.9,11151.0,7510.2
40,M,True,89872.0,89521.0,86272.0,86688.0,78015.0,86761.0,87122.0,85966.0,82638.0,81673.0,82187.0,77556.0,79134.0,75824.0,84116.0,76298.0,71495.0,81029.0,74742.0,80801.0,89403.0,79548.0,83112.0,88064.0,92006.0
41,M,False,1020.7,741.19,1038.8,1396.7,1760.8,1752.9,1546.3,1740.3,2104.8,1978.3,1668.9,2076.7,2089.2,2389.7,2236.4,2011.5,2210.9,2686.8,2864.7,3020.8,3402.2,3380.1,3161.5,3804.7,4166.4
42,M,False,80620.0,81263.0,89124.0,80144.0,81602.0,77174.0,80405.0,81102.0,80056.0,72732.0,95083.0,85459.0,78641.0,76943.0,71945.0,72465.0,68017.0,70601.0,70186.0,72832.0,73169.0,70593.0,77138.0,81952.0,89629.0
43,M,True,35518.0,37416.0,33208.0,32845.0,32751.0,37734.0,40572.0,39901.0,36111.0,40142.0,37402.0,38281.0,31671.0,35133.0,33190.0,38807.0,36671.0,37371.0,39505.0,39556.0,35490.0,38720.0,40189.0,38768.0,38885.0
44,M,True,4573.0,4965.6,4809.3,4793.4,4870.5,4321.9,4418.9,4441.0,3909.9,4693.8,4273.0,3932.9,3947.0,4303.9,4159.5,4175.2,4984.3,4889.0,5242.3,5252.3,5327.3,4930.2,5525.1,5293.1,4716.9
45,M,False,38807.0,36671.0,37371.0,39505.0,39556.0,35490.0,38720.0,40189.0,38768.0,38885.0,37172.0,33372.0,39005.0,35315.0,37118.0,41903.0,42749.0,41129.0,42474.0,39636.0,38180.0,42526.0,49383.0,44534.0,36995.0
46,M,False,5242.3,5252.3,5327.3,4930.2,5525.1,5293.1,4716.9,4766.6,4364.2,4706.1,4621.1,4274.6,4725.4,4567.8,3532.1,3589.8,4208.4,3655.9,3918.7,3899.0,3571.4,4565.7,4497.2,3924.0,3824.7
47,M,False,4058.4,3741.6,4549.1,4422.3,3578.8,3523.2,3866.2,4095.8,3653.3,3254.7,5308.2,4808.5,5070.7,5500.5,5531.0,5384.6,6587.1,5851.5,6951.9,5959.2,5994.4,5811.8,6024.6,6087.6,6715.5
48,M,False,3129.5,3248.0,4454.5,3637.6,3572.3,3709.8,3485.3,3469.1,3756.9,3647.9,3719.6,3729.1,3714.9,3638.8,3909.9,3787.0,3643.0,2994.2,3090.1,3080.4,2958.5,3022.4,3035.5,3039.0,3055.4
49,M,True,71293.0,73141.0,76921.0,70778.0,72984.0,67941.0,81480.0,67628.0,74681.0,61462.0,70910.0,68884.0,61783.0,63686.0,69569.0,52238.0,52529.0,50059.0,58049.0,60548.0,70744.0,74484.0,61571.0,62637.0,75503.0
50,M,True,4049.3,4668.2,5460.9,4963.3,5211.6,5767.2,4081.2,3658.9,4586.2,5784.8,6343.0,5090.8,4966.0,4944.1,5125.6,4943.4,5252.5,6768.8,5679.4,6600.6,6109.6,6675.7,6162.2,7042.9,7634.2
51,M,False,52238.0,52529.0,50059.0,58049.0,60548.0,70744.0,74484.0,61571.0,62637.0,75503.0,72989.0,63457.0,70259.0,76766.0,92180.0,67293.0,76500.0,76362.0,72817.0,82778.0,91134.0,88456.0,93827.0,76687.0,78591.0
52,M,False,74484.0,61571.0,62637.0,75503.0,72989.0,63457.0,70259.0,76766.0,92180.0,67293.0,76500.0,76362.0,72817.0,82778.0,91134.0,88456.0,93827.0,76687.0,78591.0,73241.0,78884.0,82854.0,82297.0,75709.0,63768.0
53,M,False,7292.3,8284.0,8380.1,7459.3,7411.7,6454.8,7037.5,7478.0,8436.0,10665.0,9985.0,8502.6,8411.3,10097.0,9411.4,9574.3,9865.3,9516.7,9125.1,9361.9,10424.0,10470.0,11187.0,10482.0,10036.0
54,M,False,43365.0,41093.0,42963.0,33070.0,29095.0,27490.0,32101.0,24307.0,28680.0,29771.0,31387.0,18867.0,18979.0,21148.0,23232.0,24049.0,26721.0,23856.0,20087.0,21297.0,24834.0,24168.0,22125.0,20710.0,15644.0
55,M,True,5234.2,4764.2,4134.3,4465.1,4414.1,4121.3,3578.6,3814.8,3300.5,3453.5,3476.5,4079.1,3711.9,3391.1,4114.3,3833.2,3599.7,4141.8,3774.6,4016.0,3655.2,3683.8,3992.9,4607.4,4334.0
56,M,False,4607.4,4334.0,4733.7,4876.1,4614.9,4607.1,5520.0,4446.2,4649.1,4551.2,4637.6,4453.1,4442.6,6454.2,5645.2,5796.4,6838.8,4821.4,5747.9,5581.2,6425.3,8533.3,9381.8,10604.0,11276.0
57,M,False,13345.0,10445.0,9615.0,11520.0,11307.0,11514.0,10013.0,9084.2,10624.0,11101.0,12776.0,11184.0,8425.7,7950.6,10659.0,9780.0,10026.0,14261.0,13546.0,12577.0,11141.0,7680.7,9625.6,10665.0,8513.4
58,M,False,13458.0,13707.0,14732.0,17349.0,14921.0,14875.0,19219.0,21646.0,13150.0,12798.0,12327.0,22183.0,13674.0,19069.0,19439.0,23304.0,11889.0,14925.0,10451.0,13727.0,10999.0,10900.0,12454.0,16244.0,11891.0
59,M,False,13150.0,12798.0,12327.0,22183.0,13674.0,19069.0,19439.0,23304.0,11889.0,14925.0,10451.0,13727.0,10999.0,10900.0,12454.0,16244.0,11891.0,8710.7,9562.2,6998.9,6178.1,8953.3,7489.5,5751.4,5570.6
60,M,True,66622.0,63643.0,71040.0,68197.0,68826.0,65073.0,72738.0,64085.0,79230.0,75885.0,62807.0,66868.0,68566.0,66319.0,60944.0,66848.0,68026.0,81956.0,72793.0,70511.0,79787.0,73633.0,81606.0,76954.0,87618.0
61,M,False,66319.0,60944.0,66848.0,68026.0,81956.0,72793.0,70511.0,79787.0,73633.0,81606.0,76954.0,87618.0,82157.0,78485.0,80020.0,80961.0,78131.0,76274.0,68193.0,78352.0,75496.0,80292.0,65325.0,58911.0,60400.0
62,M,True,20716.0,18939.0,18392.0,17974.0,17847.0,17617.0,17734.0,17862.0,17736.0,17828.0,14458.0,13559.0,13895.0,13991.0,14197.0,14205.0,13896.0,14363.0,7758.5,6891.5,6326.4,6248.7,6177.3,7389.0,6016.2
63,M,False,6016.2,5358.0,7584.8,5377.5,6154.3,6154.6,5024.9,10168.0,10840.0,10386.0,11024.0,11032.0,10597.0,10670.0,7863.2,10332.0,10723.0,10315.0,10682.0,10840.0,10989.0,11043.0,10748.0,10804.0,10929.0
64,M,False,2114.6,3948.6,5271.5,3822.2,2883.5,3304.8,4749.4,4726.8,3948.0,3104.5,2473.3,3456.4,2272.6,2258.5,2231.4,2307.9,2363.6,2370.3,2360.5,2375.5,2426.5,2397.5,2466.0,2512.7,2510.9
65,M,False,18241.0,18022.0,17208.0,15309.0,12988.0,13434.0,13212.0,13739.0,14055.0,12344.0,12610.0,15515.0,12203.0,18845.0,20286.0,20691.0,18557.0,21077.0,18866.0,17829.0,17878.0,19789.0,21719.0,21612.0,19902.0
66,M,False,37241.0,35917.0,37109.0,36033.0,32006.0,39746.0,34817.0,35468.0,37066.0,37474.0,33401.0,36220.0,32551.0,34464.0,39601.0,42222.0,36690.0,40844.0,40872.0,37787.0,36916.0,40146.0,35319.0,36811.0,35452.0
67,M,True,4734.5,3596.6,4577.8,5267.1,4503.0,3652.7,6064.6,4976.8,4997.3,4143.8,4177.3,3026.1,3447.8,3705.7,4386.6,4417.8,4490.4,4513.5,4418.0,3316.2,3691.0,3455.1,3833.9,3798.5,3968.2
68,M,False,8655.9,11066.0,9983.3,11356.0,7572.9,7514.2,8356.0,6872.9,8204.6,7417.5,5028.8,5562.1,6637.2,5039.0,6448.5,7640.9,8378.9,9298.4,12350.0,10766.0,9835.8,9747.1,10436.0,9995.8,10171.0
69,M,True,1453.1,4712.0,1771.0,2844.5,2247.6,2503.1,1723.7,1209.2,2539.1,3520.2,6245.5,2295.9,3437.9,4112.7,1874.7,3248.7,6060.2,5692.1,2208.5,5269.0,4595.0,4258.0,3447.9,2532.3,994.06
70,M,False,12548.0,13749.0,26530.0,31358.0,24229.0,39352.0,11560.0,13088.0,10969.0,27802.0,10605.0,12156.0,11566.0,45002.0,32299.0,34953.0,32823.0,24003.0,37886.0,14077.0,11643.0,8444.3,7195.1,9424.9,9663.9
71,M,False,2255.5,2261.4,1843.7,2030.8,2028.5,1482.4,1831.5,1753.6,1614.9,1534.1,1384.2,1377.1,1740.0,1286.0,1276.3,967.76,1323.2,1041.6,1062.7,1041.3,997.86,1029.1,969.13,543.38,569.52
72,M,False,137290.0,156840.0,136670.0,135410.0,77748.0,120680.0,141950.0,143770.0,142600.0,150000.0,150910.0,154560.0,155260.0,161900.0,180670.0,175580.0,156190.0,147170.0,84445.0,104410.0,111140.0,64235.0,75112.0,93989.0,45039.0
73,M,False,4439.1,6833.3,4685.5,4181.3,5539.7,6360.7,6220.4,7878.0,6116.7,6097.6,6023.9,9011.1,6442.8,7202.1,7613.7,6855.3,6948.2,6493.6,9045.0,7898.7,8637.7,8050.7,8217.0,7254.3,7185.1
74,M,False,5700.3,6608.5,5702.6,7419.7,9284.4,8044.7,7114.3,7103.6,7907.0,7737.6,7312.3,7952.3,8405.0,6829.7,4984.1,7698.0,7642.6,6907.9,6742.7,5944.7,6284.2,6217.9,6335.4,6222.8,6553.3
75,M,True,73153.0,68450.0,80849.0,68603.0,73978.0,70719.0,69705.0,73207.0,74377.0,73562.0,76821.0,81757.0,87206.0,80011.0,76257.0,79892.0,77552.0,80322.0,87213.0,79706.0,88694.0,81634.0,89553.0,82456.0,69175.0
76,M,True,46068.0,50432.0,44045.0,46474.0,44187.0,46896.0,49456.0,48922.0,47084.0,44483.0,46615.0,49056.0,47712.0,50082.0,40375.0,48747.0,41920.0,46628.0,49127.0,58458.0,57714.0,53186.0,49037.0,44937.0,50662.0
77,M,False,65865.0,56327.0,71422.0,67485.0,68264.0,70831.0,66542.0,76559.0,77322.0,65598.0,60631.0,67289.0,67314.0,63871.0,61148.0,57162.0,55758.0,51455.0,56026.0,56168.0,50826.0,46227.0,49137.0,49259.0,50843.0
78,M,True,52128.0,45208.0,40686.0,36543.0,36897.0,46902.0,50869.0,48441.0,51208.0,47437.0,49624.0,45271.0,47889.0,40201.0,41708.0,45353.0,46213.0,49389.0,38206.0,38352.0,41560.0,37633.0,36927.0,38615.0,43728.0
79,M,False,37345.0,42263.0,38222.0,35388.0,33964.0,38678.0,39717.0,45229.0,37751.0,37120.0,42442.0,45104.0,54516.0,43961.0,38840.0,46236.0,52348.0,48619.0,43613.0,50134.0,43384.0,39690.0,44227.0,33287.0,34008.0
80,M,True,32469.0,28969.0,34909.0,36551.0,33155.0,32927.0,28369.0,30508.0,27359.0,22207.0,31031.0,25901.0,29251.0,25489.0,34019.0,28810.0,22506.0,27418.0,27676.0,34836.0,28622.0,30778.0,20117.0,19717.0,26731.0
81,M,False,19782.0,19976.0,25713.0,23884.0,24908.0,24528.0,25029.0,26191.0,25030.0,25804.0,26090.0,24785.0,24391.0,22573.0,20742.0,24090.0,24481.0,24628.0,23846.0,22839.0,27050.0,26875.0,22712.0,23823.0,23979.0
82,M,True,641.07,634.89,616.14,884.69,882.8,1146.5,1133.9,587.33,602.27,863.6,841.64,1052.5,1043.8,834.5,800.33,806.3,804.83,790.41,823.97,826.22,826.48,790.47,794.45,778.06,833.18
83,M,False,212.66,213.62,211.3,210.52,216.62,217.3,213.45,209.33,213.46,206.71,208.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,M,True,16284.0,16576.0,17966.0,17984.0,16666.0,16219.0,16548.0,18069.0,16586.0,17116.0,17854.0,18537.0,16066.0,16739.0,14706.0,15887.0,17639.0,18440.0,17902.0,16527.0,16227.0,16639.0,17030.0,18131.0,17891.0
86,M,True,9260.8,10245.0,8454.0,8130.4,8517.2,10079.0,10642.0,10121.0,9938.1,9464.7,9453.7,9323.3,9936.0,7983.0,9781.3,10373.0,9780.9,9761.0,9376.8,9135.1,9723.0,8927.2,7051.7,7721.1,9238.1
87,M,False,9980.8,11521.0,9393.5,8744.3,9817.8,9803.9,9559.8,11359.0,7617.2,7310.6,8866.6,8334.3,8429.4,8072.1,7225.7,7393.9,8131.8,8122.0,8177.3,9211.3,7127.3,7040.5,6754.5,6680.9,6641.8
88,M,False,6558.2,7013.3,7020.4,5454.1,5340.9,4438.7,4714.7,5610.7,4948.7,5029.9,5087.5,5114.6,4657.9,4684.4,4793.3,4687.7,4602.8,4615.4,4658.2,3183.8,3221.4,3197.3,3240.2,3291.9,3226.9
89,M,False,1202.2,1394.1,1457.1,1297.2,1542.6,1621.3,1513.3,1555.3,1340.9,1285.7,1016.2,1522.9,1057.0,1225.5,1288.1,1221.0,1335.5,1112.7,1195.1,1106.6,1412.1,1454.4,1141.2,1484.9,1196.5
90,M,True,7895.5,11201.0,11148.0,8476.4,8482.2,8275.3,7245.9,7136.9,7000.8,7738.1,8218.5,6899.9,7242.1,5594.7,5732.0,5960.1,5813.2,8658.7,6872.5,4755.3,5907.2,6196.4,5944.9,7143.5,7221.3
91,M,True,36760.0,40910.0,44405.0,47012.0,44036.0,41234.0,51990.0,61498.0,60882.0,47777.0,55297.0,57670.0,25574.0,22145.0,22400.0,21701.0,22597.0,22283.0,20760.0,33680.0,35455.0,40718.0,37667.0,32610.0,36453.0
92,M,False,27387.0,23906.0,24135.0,23818.0,21474.0,21780.0,19943.0,22861.0,29072.0,29746.0,33737.0,30419.0,30759.0,42114.0,44645.0,42001.0,45604.0,49791.0,44572.0,51954.0,49522.0,50104.0,46348.0,52589.0,52670.0
93,M,False,9698.3,9663.8,10168.0,9203.6,10491.0,10081.0,7898.6,10161.0,8778.6,7781.7,8059.5,7357.2,7909.0,6613.0,7099.4,6465.9,6085.7,6094.0,6359.4,6458.3,5398.9,5940.3,5710.0,7079.3,8067.4
94,M,True,52670.0,49580.0,36229.0,38968.0,52574.0,67179.0,63881.0,70989.0,70038.0,65396.0,95930.0,77535.0,76577.0,79552.0,96826.0,96753.0,82997.0,81788.0,79969.0,82708.0,83652.0,82144.0,92316.0,85119.0,83060.0
95,M,False,38968.0,52574.0,67179.0,63881.0,70989.0,70038.0,65396.0,95930.0,77535.0,76577.0,79552.0,96826.0,96753.0,82997.0,81788.0,79969.0,82708.0,83652.0,82144.0,92316.0,85119.0,83060.0,82182.0,99700.0,86361.0
96,M,False,65396.0,95930.0,77535.0,76577.0,79552.0,96826.0,96753.0,82997.0,81788.0,79969.0,82708.0,83652.0,82144.0,92316.0,85119.0,83060.0,82182.0,99700.0,86361.0,98621.0,85673.0,65788.0,88415.0,91400.0,96631.0
97,M,False,96753.0,82997.0,81788.0,79969.0,82708.0,83652.0,82144.0,92316.0,85119.0,83060.0,82182.0,99700.0,86361.0,98621.0,85673.0,65788.0,88415.0,91400.0,96631.0,94194.0,87293.0,79150.0,77659.0,80157.0,86426.0
98,M,True,77764.0,83121.0,83894.0,87379.0,102720.0,105550.0,91495.0,92876.0,82534.0,97536.0,115040.0,118780.0,123110.0,115270.0,122680.0,113750.0,121130.0,142490.0,154820.0,164860.0,135230.0,166790.0,125240.0,123460.0,134160.0
99,M,False,0.0,0.0,0.0,0.0,18.308,0.0,0.0,0.0,0.0,0.0,0.0,119.06,128.11,305.04,355.09,527.27,697.52,691.35,585.89,545.63,565.84,635.93,571.72,391.79,430.31
100,M,False,148930.0,127760.0,134720.0,129890.0,140230.0,173990.0,170460.0,178630.0,181070.0,185860.0,175170.0,155010.0,179700.0,147740.0,150750.0,129870.0,136330.0,140030.0,184370.0,183380.0,189950.0,165380.0,178220.0,177440.0,165830.0
101,M,False,80399.0,83565.0,78358.0,79240.0,83335.0,83132.0,73267.0,72917.0,81711.0,94414.0,84189.0,98237.0,68921.0,86282.0,86891.0,64171.0,65482.0,69620.0,58751.0,65802.0,69183.0,68335.0,69486.0,92886.0,73730.0
102,M,True,4297.0,5431.6,5397.0,5454.3,5460.3,5415.0,5288.9,5169.8,5096.9,5040.7,5284.5,5385.6,5283.1,5268.6,5264.6,3979.4,6474.4,5111.8,6511.1,9433.9,9308.8,9295.4,9115.0,6271.1,7935.0
103,M,True,13511.0,13565.0,7256.8,9763.3,10971.0,10847.0,7416.6,7654.2,2682.8,8859.6,6264.5,6269.8,6208.6,6225.6,6112.0,6127.2,6179.3,6056.6,5906.3,8832.4,12358.0,12465.0,12481.0,12555.0,12419.0
104,M,False,25191.0,21415.0,21744.0,18049.0,18247.0,18526.0,15528.0,15010.0,15054.0,15081.0,15253.0,15391.0,15369.0,15354.0,14903.0,16291.0,12140.0,20047.0,19636.0,18079.0,20579.0,20785.0,20915.0,17708.0,17587.0
