,tss,validation_tss,hss,validation_hss,loss,validation_loss
0,-0.006410256959497929,0.0,-0.006024096626788378,0.0,0.5129669308662415,0.41119009256362915
1,0.25108325481414795,0.7305335998535156,0.28322935104370117,0.7461252212524414,0.3721942603588104,0.28133758902549744
2,0.6887636184692383,0.8074220418930054,0.678055465221405,0.7326173782348633,0.2986085116863251,0.2279369980096817
3,0.7517338991165161,0.8301492929458618,0.7354987263679504,0.7757647037506104,0.25253862142562866,0.2287920117378235
4,0.7566813230514526,0.8023715615272522,0.7507733106613159,0.7537007927894592,0.22877264022827148,0.22619058191776276
5,0.7907094955444336,0.8166446685791016,0.7713775634765625,0.8005443811416626,0.21191750466823578,0.2158106416463852
6,0.7873755693435669,0.8305336236953735,0.7987624406814575,0.8118904829025269,0.2001829594373703,0.2081744521856308
7,0.7944062948226929,0.7943017482757568,0.7946184277534485,0.7861752510070801,0.19669298827648163,0.22297963500022888
8,0.7860772609710693,0.8305336236953735,0.7953959107398987,0.8118904829025269,0.19169312715530396,0.20580774545669556
9,0.7868397235870361,0.8305336236953735,0.8031164407730103,0.8118904829025269,0.182615727186203,0.20346495509147644
10,0.8050224184989929,0.8220794796943665,0.8114082217216492,0.8095334768295288,0.17849570512771606,0.2049151510000229
11,0.8105039596557617,0.8166446685791016,0.8145192861557007,0.8005443811416626,0.17583972215652466,0.20188327133655548
12,0.808703601360321,0.844422459602356,0.8166623115539551,0.8230379819869995,0.1720978170633316,0.19492025673389435
13,0.7985748052597046,0.8498572707176208,0.8122041821479797,0.8320670127868652,0.1677740067243576,0.20122253894805908
14,0.8405599594116211,0.8081905841827393,0.8329950571060181,0.7979602813720703,0.16574640572071075,0.21397006511688232
15,0.833553671836853,0.8806543350219727,0.8437817692756653,0.846419632434845,0.15651528537273407,0.19306249916553497
16,0.8173157572746277,0.8498572707176208,0.817893385887146,0.8320670127868652,0.16100072860717773,0.20763416588306427
17,0.852042555809021,0.8498572707176208,0.8504812121391296,0.8320670127868652,0.15251879394054413,0.1927989423274994
18,0.8217456936836243,0.844422459602356,0.8317755460739136,0.8230379819869995,0.1491149663925171,0.19322995841503143
19,0.8656212091445923,0.844422459602356,0.8605605363845825,0.8230379819869995,0.14622370898723602,0.19649000465869904
20,0.845991313457489,0.844422459602356,0.8479216694831848,0.8230379819869995,0.1401577740907669,0.1977928727865219
21,0.8532813787460327,0.863746166229248,0.8581109046936035,0.8430379629135132,0.136911079287529,0.20186135172843933
22,0.8484438061714172,0.8498572707176208,0.8518518209457397,0.8320670127868652,0.13437479734420776,0.20509889721870422
23,0.8548905253410339,0.8945432901382446,0.859607994556427,0.856810450553894,0.13482901453971863,0.19364267587661743
24,0.8687835931777954,0.8528765439987183,0.8614463806152344,0.8251018524169922,0.1373308151960373,0.1999334990978241
25,0.8568480610847473,0.844422459602356,0.8661476969718933,0.8230379819869995,0.12639273703098297,0.20595091581344604
26,0.8835076093673706,0.844422459602356,0.8754059672355652,0.8230379819869995,0.12554827332496643,0.2135300636291504
27,0.8500461578369141,0.8806543350219727,0.8598670959472656,0.846419632434845,0.12922650575637817,0.20291078090667725
28,0.8459359407424927,0.8722002506256104,0.8596485257148743,0.8447579145431519,0.12203344702720642,0.20331308245658875
29,0.8794611096382141,0.8583113551139832,0.8781120181083679,0.8339921236038208,0.11949490010738373,0.2063414454460144
30,0.8733709454536438,0.8166446685791016,0.8711463809013367,0.8005443811416626,0.11730431020259857,0.22185780107975006
31,0.9038628339767456,0.8305336236953735,0.8931153416633606,0.8118904829025269,0.11334089189767838,0.21665577590465546
32,0.890467643737793,0.8722002506256104,0.8930411338806152,0.8447579145431519,0.10987839102745056,0.21189314126968384
33,0.8841792941093445,0.8999780416488647,0.8883346319198608,0.8657432794570923,0.10763292759656906,0.21179357171058655
34,0.8995009660720825,0.8305336236953735,0.8908368349075317,0.8118904829025269,0.10639192163944244,0.22625425457954407
35,0.8975979685783386,0.8583113551139832,0.8961241841316223,0.8339921236038208,0.10297290235757828,0.2155018150806427
36,0.9042571783065796,0.844422459602356,0.9044016003608704,0.8230379819869995,0.10170513391494751,0.22577965259552002
37,0.9116479754447937,0.8305336236953735,0.9094572067260742,0.8118904829025269,0.0975336879491806,0.23579339683055878
38,0.9043596386909485,0.8999780416488647,0.9078890681266785,0.8657432794570923,0.09598063677549362,0.22208434343338013
39,0.9007070660591125,0.844422459602356,0.9020509719848633,0.8230379819869995,0.09485882520675659,0.23396331071853638
40,0.9073729515075684,0.844422459602356,0.904275119304657,0.8230379819869995,0.09427143633365631,0.2365541011095047
41,0.9052637815475464,0.844422459602356,0.9053880572319031,0.8230379819869995,0.08986684679985046,0.23952831327915192
42,0.9078767895698547,0.8166446685791016,0.910952091217041,0.8005443811416626,0.09084296226501465,0.2675178647041321
43,0.9306281208992004,0.844422459602356,0.9225529432296753,0.8230379819869995,0.08691487461328506,0.2568354904651642
44,0.9166045188903809,0.8305336236953735,0.9132071733474731,0.8118904829025269,0.08883451670408249,0.25505751371383667
45,0.8959682583808899,0.8305336236953735,0.9031305313110352,0.8118904829025269,0.0904463529586792,0.2555716633796692
46,0.9118466377258301,0.844422459602356,0.9132415652275085,0.8230379819869995,0.08156072348356247,0.2456468641757965
47,0.9166539907455444,0.8722002506256104,0.9205552339553833,0.8447579145431519,0.07924202084541321,0.23946969211101532
48,0.9386409521102905,0.8583113551139832,0.942489743232727,0.8339921236038208,0.0742826759815216,0.24452243745326996
49,0.9325523376464844,0.8583113551139832,0.9272891283035278,0.8339921236038208,0.07653608173131943,0.24767141044139862
