,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20,MEANPOT_21,MEANPOT_22,MEANPOT_23,MEANPOT_24,MEANPOT_25,MEANPOT_26,MEANPOT_27,MEANPOT_28,MEANPOT_29,MEANPOT_30,MEANPOT_31,MEANPOT_32,MEANPOT_33,MEANPOT_34,MEANPOT_35,MEANPOT_36,MEANPOT_37,MEANPOT_38,MEANPOT_39,MEANPOT_40,MEANPOT_41,MEANPOT_42,MEANPOT_43,MEANPOT_44,MEANPOT_45,MEANPOT_46,MEANPOT_47,MEANPOT_48,MEANPOT_49,MEANPOT_50,MEANPOT_51,MEANPOT_52,MEANPOT_53,MEANPOT_54,MEANPOT_55,MEANPOT_56,MEANPOT_57,MEANPOT_58,MEANPOT_59,MEANPOT_60,MEANPOT_61,MEANPOT_62,MEANPOT_63,MEANPOT_64,MEANPOT_65,MEANPOT_66,MEANPOT_67,MEANPOT_68,MEANPOT_69,MEANPOT_70,MEANPOT_71,MEANPOT_72,MEANPOT_73,MEANPOT_74,MEANPOT_75,MEANPOT_76,MEANPOT_77,MEANPOT_78,MEANPOT_79,MEANPOT_80,MEANPOT_81,MEANPOT_82,MEANPOT_83,MEANPOT_84,MEANPOT_85,MEANPOT_86,MEANPOT_87,MEANPOT_88,MEANPOT_89,MEANPOT_90,MEANPOT_91,MEANPOT_92,MEANPOT_93,MEANPOT_94,MEANPOT_95,MEANPOT_96,MEANPOT_97,MEANPOT_98,MEANPOT_99,MEANPOT_100,MEANPOT_101,MEANPOT_102,MEANPOT_103,MEANPOT_104,MEANPOT_105,MEANPOT_106,MEANPOT_107,MEANPOT_108,MEANPOT_109,MEANPOT_110
309,M,False,14770.0,14763.0,14734.0,14754.0,14782.0,14742.0,14784.0,14865.0,14997.0,15047.0,15038.0,14936.0,15170.0,15105.0,15077.0,15037.0,15205.0,15165.0,15197.0,15367.0,15321.0,15320.0,15272.0,15255.0,15252.0,15338.0,15355.0,15334.0,15368.0,15265.0,15273.0,15220.0,15180.0,15057.0,15030.0,14928.0,14944.0,15013.0,14758.0,14834.0,14664.0,14632.0,14600.0,14439.0,14490.0,14343.0,14185.0,14172.0,13785.0,13983.0,13859.0,13968.0,13970.0,14096.0,14078.0,14191.0,14359.0,14504.0,14649.0,14862.0,14980.0,15101.0,15083.0,15073.0,15047.0,14970.0,14852.0,14743.0,14585.0,14527.0,14433.0,14438.0,14387.0,14267.0,14285.0,14091.0,14156.0,14038.0,13982.0,14026.0,14045.0,14032.0,13936.0,13978.0,13975.0,13920.0,13870.0,13980.0,14005.0,13964.0,14124.0,14163.0,14357.0,14306.0,14423.0,14406.0,14503.0,14530.0,14641.0,14733.0,14820.0,14846.0,14999.0,15127.0,15298.0,15354.0,15441.0,15377.0,15536.0,15362.0
310,M,False,14045.0,14032.0,13936.0,13978.0,13975.0,13920.0,13870.0,13980.0,14005.0,13964.0,14124.0,14163.0,14357.0,14306.0,14423.0,14406.0,14503.0,14530.0,14641.0,14733.0,14820.0,14846.0,14999.0,15127.0,15298.0,15354.0,15441.0,15377.0,15536.0,15362.0,15358.0,15321.0,15101.0,14904.0,14633.0,14549.0,14467.0,14087.0,14011.0,13974.0,13933.0,13939.0,14025.0,14028.0,14160.0,14227.0,14252.0,14305.0,14388.0,14553.0,14645.0,14739.0,14791.0,14796.0,14903.0,14891.0,14638.0,14907.0,14948.0,15045.0,14954.0,15035.0,15051.0,15015.0,14962.0,15094.0,15115.0,15060.0,15079.0,14927.0,14997.0,14913.0,14874.0,14935.0,14827.0,14753.0,14676.0,14674.0,14627.0,14451.0,14459.0,14454.0,14377.0,14211.0,14275.0,14168.0,14032.0,13946.0,13990.0,13844.0,13820.0,13650.0,13586.0,13632.0,13697.0,13728.0,13825.0,14016.0,14175.0,14317.0,14467.0,14515.0,14679.0,14908.0,14984.0,15060.0,15156.0,15151.0,15269.0,15235.0
311,M,False,4025.7,4095.9,4161.0,4242.0,4264.2,4302.8,4341.8,4332.5,4381.3,4414.2,4373.1,4397.8,4371.4,4341.5,4347.0,4321.1,4272.1,4263.4,4285.0,4229.7,4199.3,4226.5,4203.9,4157.6,4172.0,4182.4,4194.7,4201.3,4218.3,4236.3,4215.0,4222.4,4223.6,4274.6,4289.5,4330.6,4351.2,4374.6,4381.7,4397.4,4451.7,4527.6,4529.9,4546.1,4552.4,4651.0,4659.3,4653.3,4740.4,4784.8,4824.2,4825.5,4868.4,4847.1,4823.2,4863.8,4849.3,4812.0,4728.1,4667.6,4665.2,4642.0,4594.1,4520.0,4504.8,4490.2,4518.9,4480.3,4512.4,4531.0,4518.8,4534.9,4565.1,4588.4,4633.1,4649.5,4711.3,4760.2,4798.9,4822.9,4869.5,4971.6,5030.2,5091.8,5166.8,5216.9,5255.2,5272.5,5283.1,5314.1,5356.0,5386.8,5392.0,5384.7,5336.0,5342.3,5308.8,5277.4,5248.1,5222.6,5265.4,5270.2,5301.7,5306.7,5337.2,5357.6,5399.0,5397.5,5525.7,5587.2
312,M,True,7093.1,7195.4,7226.2,7267.6,7329.4,7352.2,7470.3,7478.6,7567.6,7628.4,7715.0,7774.7,7817.1,7810.2,7800.1,7864.2,7884.0,7790.5,7854.5,7804.5,7883.9,7827.7,7748.3,7805.5,7815.7,7834.8,7783.1,7790.3,7737.6,7772.7,7789.7,7798.9,7864.1,7869.5,7919.1,7885.7,7883.9,7961.7,7935.1,7982.4,8031.9,7967.5,7988.5,7932.0,7867.2,7946.8,7950.0,7903.3,7889.6,7823.5,7761.2,7708.9,7654.3,7586.4,7429.1,7345.2,7281.6,7240.1,7182.0,7159.4,7187.1,7041.2,7142.4,7173.5,7268.6,7206.4,7190.0,7191.4,7375.5,7349.8,7356.8,7352.1,7365.9,7369.7,7543.6,7386.1,7383.0,7306.9,7272.5,7381.4,7302.1,7285.6,7102.5,7137.2,7098.5,7076.1,7006.9,6982.6,6924.6,6924.6,6874.8,6868.1,6837.0,6802.2,6889.1,6866.5,6907.4,6917.6,6961.4,6972.3,7041.4,7087.5,7100.1,7065.5,7120.4,7095.1,7135.4,7077.0,7051.8,6984.3
313,M,False,15363.0,15381.0,15435.0,15342.0,15316.0,15405.0,15381.0,15409.0,15414.0,15559.0,15486.0,15424.0,15485.0,15394.0,15510.0,15452.0,15483.0,15555.0,15559.0,15512.0,15564.0,15603.0,15586.0,15737.0,15666.0,15778.0,15878.0,15991.0,16181.0,16276.0,16295.0,16469.0,16410.0,16463.0,16504.0,16353.0,16217.0,15974.0,15626.0,15464.0,15100.0,14918.0,14683.0,14582.0,14468.0,14592.0,14602.0,14700.0,14575.0,14639.0,14565.0,14636.0,14722.0,14710.0,14673.0,14702.0,14847.0,14725.0,14838.0,14936.0,14872.0,14887.0,14927.0,14971.0,14947.0,14926.0,14918.0,14991.0,14826.0,14848.0,14829.0,14811.0,14835.0,14788.0,14818.0,14715.0,14508.0,14480.0,14362.0,14479.0,14445.0,14321.0,14221.0,14099.0,14094.0,13937.0,13975.0,13845.0,13749.0,13687.0,13545.0,13547.0,13453.0,13413.0,13171.0,13134.0,13003.0,12987.0,12908.0,12906.0,13073.0,13228.0,13397.0,13615.0,13795.0,13892.0,14036.0,14141.0,14131.0,14017.0
314,M,False,6868.1,6837.0,6802.2,6889.1,6866.5,6907.4,6917.6,6961.4,6972.3,7041.4,7087.5,7100.1,7065.5,7120.4,7095.1,7135.4,7077.0,7051.8,6984.3,6900.5,6909.3,6875.3,6790.2,6741.5,6701.6,6649.8,6675.9,6591.4,6622.6,6647.1,6649.9,6666.6,6729.1,6797.3,6884.7,6918.5,7027.0,7154.0,7216.8,7322.8,7406.6,7421.9,7448.9,7521.4,7514.9,7500.6,7461.7,7423.2,7416.4,7394.2,7352.2,7386.6,7360.9,7341.0,7349.1,7309.0,7303.5,7346.8,7390.7,7342.4,7328.7,7347.5,7391.3,7397.1,7435.8,7444.3,7384.8,7401.1,7402.1,7380.3,7398.4,7410.7,7383.7,7372.0,7379.6,7461.2,7462.7,7380.3,7226.3,7208.7,7096.7,6948.6,6898.4,6785.9,6681.3,6711.0,6659.7,6605.9,6595.9,6582.8,6600.3,6533.2,6543.6,6605.9,6732.3,6627.1,6650.1,6827.6,6793.7,6822.4,6773.0,6922.9,6904.8,6801.2,6790.3,6737.4,6753.1,6680.4,6659.9,6615.7
315,M,False,10931.0,10837.0,10905.0,10994.0,11015.0,11169.0,11243.0,11431.0,11562.0,11777.0,11937.0,12074.0,12085.0,12245.0,12407.0,12436.0,12518.0,12673.0,12721.0,12778.0,12773.0,12759.0,12837.0,12802.0,12808.0,12818.0,12829.0,12649.0,12470.0,12371.0,12264.0,12168.0,12037.0,11978.0,11864.0,11717.0,11584.0,11625.0,11605.0,11704.0,11825.0,11846.0,12028.0,12192.0,12330.0,12443.0,12701.0,12910.0,13124.0,13258.0,13495.0,13707.0,14072.0,14219.0,14357.0,14506.0,14559.0,14683.0,14628.0,14322.0,14154.0,13965.0,13611.0,13472.0,13530.0,13429.0,13386.0,13468.0,13391.0,13392.0,13402.0,13467.0,13519.0,13599.0,13575.0,13640.0,13814.0,13883.0,13835.0,13829.0,13775.0,13814.0,13838.0,13852.0,13814.0,13825.0,13762.0,13910.0,13834.0,13757.0,13836.0,13833.0,13856.0,13928.0,13847.0,13879.0,13941.0,14029.0,14070.0,14320.0,14432.0,14642.0,14974.0,15209.0,15405.0,15595.0,15677.0,15806.0,15777.0,15661.0
316,M,False,13372.0,13290.0,13199.0,13034.0,13000.0,12881.0,12927.0,12967.0,13094.0,13074.0,13096.0,13114.0,13188.0,13303.0,13512.0,13524.0,13759.0,13977.0,14125.0,14292.0,14583.0,14731.0,14862.0,15005.0,14870.0,14732.0,14486.0,14220.0,13894.0,13710.0,13370.0,13322.0,13144.0,13098.0,13222.0,13254.0,13189.0,13196.0,13294.0,13390.0,13322.0,13362.0,13341.0,13297.0,13369.0,13343.0,13376.0,13391.0,13441.0,13388.0,13358.0,13374.0,13277.0,13314.0,13249.0,13279.0,13254.0,13082.0,13252.0,13142.0,13186.0,13098.0,13113.0,13032.0,13010.0,13014.0,12991.0,12948.0,13012.0,12847.0,12852.0,12777.0,12797.0,12806.0,12785.0,12837.0,13044.0,13251.0,13619.0,13790.0,14065.0,14285.0,14241.0,14109.0,13989.0,13737.0,13497.0,13351.0,13137.0,13015.0,12972.0,12879.0,12742.0,12737.0,12702.0,12561.0,12505.0,12439.0,12398.0,12415.0,12374.0,12282.0,12223.0,12163.0,12258.0,12266.0,12282.0,12272.0,12333.0,12288.0
317,M,False,9944.8,9794.9,9557.5,9484.8,9449.3,9373.5,9356.2,9351.9,9451.3,9631.0,9783.9,10055.0,10145.0,10352.0,10584.0,10886.0,11084.0,11258.0,11397.0,11630.0,11542.0,11510.0,11459.0,11175.0,10946.0,10844.0,10650.0,10635.0,10503.0,10412.0,10393.0,10269.0,10370.0,10320.0,10360.0,10400.0,10426.0,10476.0,10480.0,10590.0,10587.0,10553.0,10690.0,10707.0,10701.0,10662.0,10736.0,10723.0,10722.0,10706.0,10610.0,10610.0,10620.0,10645.0,10693.0,10608.0,10571.0,10597.0,10628.0,10510.0,10580.0,10546.0,10614.0,10804.0,10888.0,10996.0,10866.0,11245.0,11618.0,11899.0,12220.0,12183.0,12232.0,12247.0,12050.0,11960.0,11773.0,11586.0,11283.0,11020.0,10810.0,10583.0,10385.0,10279.0,10253.0,10113.0,10108.0,10160.0,10197.0,10290.0,10451.0,10615.0,10841.0,10908.0,11244.0,11384.0,11616.0,11798.0,11815.0,12010.0,12089.0,12044.0,12198.0,12140.0,12232.0,12126.0,12181.0,12201.0,12213.0,12158.0
318,M,False,6682.9,6656.7,6600.5,6565.0,6559.6,6428.2,6610.9,6634.7,6506.3,6547.9,6589.1,6482.5,6400.1,6362.7,6285.6,6174.8,6168.9,6152.4,6098.5,6073.9,6090.1,5941.6,5973.5,5828.5,5965.7,6024.0,6061.3,6191.1,6414.2,6598.2,6703.3,6774.8,6759.7,6816.4,6667.4,6691.0,6557.1,6442.5,6255.5,6259.7,6176.3,6140.1,5982.5,5928.3,5899.3,5869.0,5735.5,5709.3,5711.1,5700.3,5624.7,5652.0,5595.4,5554.9,5558.9,5549.8,5531.3,5574.4,5579.0,5597.3,5640.0,5645.7,5660.3,5611.5,5710.0,5658.8,5691.6,5756.8,5810.0,5881.0,5842.3,5885.2,5889.4,6034.4,6113.3,6227.0,6261.1,6341.7,6386.9,6459.4,6513.1,6503.6,6468.5,6525.5,6433.0,6276.8,6030.0,5808.4,5667.8,5599.4,5566.0,5575.4,5620.4,5682.3,5729.2,5830.5,5852.3,5909.9,5900.3,5942.2,6021.8,6031.1,6120.6,6229.4,6193.7,6197.7,6212.1,6108.5,6118.6,6037.5
