,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10,ABSNJZH_11,ABSNJZH_12,ABSNJZH_13,ABSNJZH_14,ABSNJZH_15,ABSNJZH_16,ABSNJZH_17,ABSNJZH_18,ABSNJZH_19,ABSNJZH_20,ABSNJZH_21,ABSNJZH_22,ABSNJZH_23,ABSNJZH_24,ABSNJZH_25,ABSNJZH_26,ABSNJZH_27,ABSNJZH_28,ABSNJZH_29,ABSNJZH_30,ABSNJZH_31,ABSNJZH_32,ABSNJZH_33,ABSNJZH_34,ABSNJZH_35,ABSNJZH_36,ABSNJZH_37,ABSNJZH_38,ABSNJZH_39,ABSNJZH_40,ABSNJZH_41,ABSNJZH_42,ABSNJZH_43,ABSNJZH_44,ABSNJZH_45,ABSNJZH_46,ABSNJZH_47,ABSNJZH_48,ABSNJZH_49,ABSNJZH_50,ABSNJZH_51,ABSNJZH_52,ABSNJZH_53,ABSNJZH_54,ABSNJZH_55,ABSNJZH_56,ABSNJZH_57,ABSNJZH_58,ABSNJZH_59,ABSNJZH_60,ABSNJZH_61,ABSNJZH_62,ABSNJZH_63,ABSNJZH_64,ABSNJZH_65,ABSNJZH_66,ABSNJZH_67,ABSNJZH_68,ABSNJZH_69,ABSNJZH_70,ABSNJZH_71,ABSNJZH_72,ABSNJZH_73,ABSNJZH_74,ABSNJZH_75,ABSNJZH_76,ABSNJZH_77,ABSNJZH_78,ABSNJZH_79,ABSNJZH_80,ABSNJZH_81,ABSNJZH_82,ABSNJZH_83,ABSNJZH_84,ABSNJZH_85,ABSNJZH_86,ABSNJZH_87,ABSNJZH_88,ABSNJZH_89,ABSNJZH_90,ABSNJZH_91,ABSNJZH_92,ABSNJZH_93,ABSNJZH_94,ABSNJZH_95,ABSNJZH_96,ABSNJZH_97,ABSNJZH_98,ABSNJZH_99,ABSNJZH_100,ABSNJZH_101,ABSNJZH_102,ABSNJZH_103,ABSNJZH_104,ABSNJZH_105,ABSNJZH_106,ABSNJZH_107,ABSNJZH_108,ABSNJZH_109,ABSNJZH_110
0,X,False,764.14,745.29,769.27,796.42,833.26,807.49,823.0,838.58,848.0,829.88,866.7,872.58,860.06,867.4,848.23,841.44,848.64,828.53,818.45,828.21,812.3,808.52,809.8,819.73,799.24,793.95,812.98,789.51,797.36,795.91,780.3,761.33,733.78,736.71,745.64,745.17,750.03,730.12,741.92,708.42,693.79,734.77,730.57,755.25,663.98,651.0,689.87,647.52,654.27,648.22,664.06,679.84,661.02,651.29,646.09,643.17,622.68,583.28,585.15,562.45,570.66,558.12,545.61,504.75,482.89,465.46,469.15,481.63,486.28,492.85,526.54,550.47,550.31,552.51,546.39,586.02,556.76,571.52,551.89,544.08,530.65,538.15,546.0,574.17,589.99,599.23,621.89,613.09,595.25,570.66,561.67,562.51,562.0,569.04,578.45,574.06,614.56,620.47,622.63,640.21,658.84,659.3,658.2,630.05,651.73,632.65,639.34,676.64,696.22,703.87
1,X,False,170.57,177.31,175.42,145.16,127.4,150.63,165.21,161.44,156.94,172.37,170.26,186.81,181.56,174.99,204.02,259.95,238.31,227.57,257.53,246.01,254.9,217.6,200.82,210.44,184.94,212.22,223.93,186.39,177.13,166.06,177.84,182.17,140.17,152.45,129.66,90.933,90.055,90.383,122.35,143.44,150.27,156.47,149.4,171.1,195.44,189.66,210.63,196.01,223.53,190.97,188.63,164.91,142.09,121.66,128.34,130.82,127.59,107.97,116.32,110.75,60.454,80.973,64.136,41.307,33.995,24.972,3.5841,8.9445,5.6763,14.078,0.48529,12.639,13.745,5.6005,9.3769,13.712,51.95,34.412,56.018,2.8322,19.133,0.99737,40.346,44.213,41.218,13.877,19.701,29.39,29.815,14.861,21.356,31.827,13.548,2.4322,6.9587,24.425,21.578,46.543,89.306,76.028,112.3,85.417,74.433,111.68,100.15,75.387,81.505,84.538,76.153,43.266
2,X,False,817.87,813.65,792.8,796.06,799.03,802.45,795.17,802.91,789.0,783.48,781.65,788.88,774.86,768.46,780.87,775.61,776.4,791.26,801.02,802.05,794.55,791.72,786.67,773.87,789.89,776.95,808.42,799.13,807.34,819.84,796.92,777.95,799.16,815.54,816.77,823.27,810.28,828.31,846.81,843.17,836.86,849.8,861.54,847.62,868.05,880.77,896.14,906.37,920.01,927.67,941.42,948.37,978.15,1017.8,1025.2,1046.6,1055.3,1041.0,1072.3,1049.8,1061.4,1038.6,1041.9,1042.1,1029.8,1053.5,1042.7,1054.8,1057.9,1052.7,1057.9,1062.7,1092.9,1111.1,1098.5,1067.6,1093.0,1075.0,1110.6,1128.1,1075.2,1099.5,1061.1,1038.0,1050.3,1055.7,1064.7,1112.3,1099.1,1123.7,1173.9,1169.1,1132.0,1044.2,1104.9,1120.6,1231.5,1053.9,946.66,1062.9,1296.0,1320.6,1234.1,1156.4,980.34,1033.3,1018.6,996.62,979.39,928.59
3,X,False,223.28,196.5,192.04,198.23,207.29,183.63,184.9,173.73,181.85,153.82,160.85,216.65,178.23,212.77,167.86,147.77,151.0,180.93,157.45,207.03,216.6,220.31,216.68,209.99,206.44,202.66,212.41,196.74,234.43,249.1,276.81,284.44,281.25,299.84,302.55,313.64,291.55,299.55,274.04,276.28,259.15,273.46,237.42,212.92,214.28,222.28,239.74,225.63,219.82,222.9,216.94,221.25,233.64,239.34,249.0,253.04,246.39,251.34,240.07,233.48,240.8,226.1,237.39,244.08,232.89,221.58,201.77,218.06,211.41,230.86,228.83,230.14,238.31,232.42,237.06,246.78,234.8,243.64,242.02,261.75,263.73,263.15,253.02,265.95,251.03,246.99,235.59,268.66,267.41,266.23,294.01,296.32,289.32,289.95,267.29,269.72,267.87,276.27,265.46,250.57,246.62,244.03,222.66,241.6,230.58,232.84,227.15,238.44,258.02,261.66
4,X,True,360.82,397.61,404.05,398.52,402.7,390.82,403.82,407.98,421.46,423.6,434.72,428.12,428.1,422.22,408.79,408.51,391.21,385.47,384.81,382.53,394.91,395.41,393.15,374.29,377.66,379.38,392.68,398.49,387.66,407.9,397.53,384.78,394.21,391.3,379.28,394.45,405.38,396.68,400.38,389.1,398.73,379.74,356.15,351.23,358.56,333.33,353.45,353.22,346.63,353.42,357.87,356.63,349.98,354.21,351.75,358.46,348.14,330.14,344.28,339.1,327.19,332.41,321.53,327.91,317.3,320.73,322.83,313.63,329.31,315.66,303.12,296.9,312.25,304.92,276.28,280.31,296.25,291.05,287.43,282.4,303.54,288.18,294.08,279.69,267.48,282.0,287.01,271.78,267.21,244.31,235.15,233.12,244.21,231.6,236.29,217.53,223.87,222.79,201.04,202.83,204.88,201.53,191.16,214.8,242.59,198.8,188.3,209.12,220.9,206.21
5,X,False,123.83,227.95,40.131,122.73,117.55,59.184,26.548,85.885,79.975,54.714,135.23,83.837,91.206,141.23,168.51,185.34,171.4,181.27,275.81,214.47,260.54,189.15,315.12,223.62,318.12,317.37,298.47,272.83,206.38,293.46,186.31,247.03,255.98,220.76,215.12,63.224,264.11,50.527,237.57,156.41,179.98,25.463,24.255,170.31,51.765,3.4551,31.268,39.604,53.225,40.846,27.855,67.743,51.959,19.89,4.5936,25.886,26.484,19.867,85.226,17.467,20.13,22.349,55.719,162.17,180.0,151.1,92.184,6.9595,65.735,82.487,74.347,54.989,102.71,136.42,29.57,146.45,154.06,139.2,59.641,194.77,166.11,3.259,34.281,11.459,59.103,67.311,48.962,29.783,46.627,74.129,55.26,81.348,102.02,10.574,1.403,98.145,84.315,12.286,14.842,36.203,22.005,46.611,61.931,49.961,41.012,99.388,93.415,73.532,220.41,56.918
6,X,True,925.63,901.3,929.44,923.21,977.85,925.81,981.07,952.25,947.59,1029.6,990.87,965.98,951.94,975.69,991.37,948.7,962.29,972.98,955.2,958.45,921.32,888.17,887.58,909.81,924.92,888.88,907.43,897.74,883.99,879.26,884.86,864.95,866.89,908.17,845.28,859.27,838.4,846.02,847.89,852.54,855.11,884.8,883.57,918.37,893.51,848.24,897.06,897.92,921.64,943.6,962.5,942.98,948.26,967.34,987.47,962.58,980.97,977.15,1006.9,1002.7,1031.6,1045.4,1009.6,1057.2,959.09,997.26,1010.4,1008.2,985.38,1017.2,992.66,975.3,1001.4,949.17,1008.4,1022.7,999.04,1014.7,1027.6,1016.4,1070.4,1048.6,1047.4,1037.8,1083.9,1059.5,1118.5,1097.5,1100.9,1127.1,1178.0,1168.9,1229.1,1227.1,1249.0,1249.8,1255.4,1264.7,1296.6,1277.1,1291.4,1310.5,1276.6,1281.0,1288.9,1307.2,1346.1,1291.9,1330.6,1427.0
7,X,False,1375.0,1362.7,1361.6,1395.0,1349.4,1370.0,1364.1,1385.6,1396.0,1373.6,1347.6,1423.1,1409.3,1437.9,1462.0,1444.3,1486.7,1484.5,1476.6,1511.6,1509.9,1480.3,1525.9,1514.1,1525.5,1487.6,1530.9,1476.1,1471.1,1442.9,1460.7,1451.8,1491.6,1419.4,1450.4,1442.9,1455.8,1451.0,1430.0,1420.9,1390.3,1395.1,1346.5,1428.0,1420.6,1371.7,1434.8,1407.6,1384.2,1406.4,1403.0,1401.5,1400.2,1386.9,1433.8,1441.4,1373.9,1355.5,1372.2,1363.1,1342.6,1388.1,1390.6,1356.5,1386.5,1392.5,1390.3,1316.3,1346.4,1377.0,1305.6,1313.6,1313.6,1263.7,1269.9,1299.4,1277.9,1277.5,1275.4,1285.0,1277.5,1298.0,1336.2,1341.2,1314.5,1312.2,1292.5,1279.0,1238.1,1252.2,1224.3,1236.9,1240.7,1197.1,1215.1,1226.6,1210.5,1177.0,1175.4,1187.5,1186.5,1171.4,1188.4,1199.5,1171.3,1200.4,1162.3,1201.6,1199.9,1213.2
8,X,False,156.65,301.92,274.58,237.84,306.6,326.54,680.34,344.43,349.04,694.7,346.9,688.25,357.72,302.69,237.61,255.74,238.3,247.93,346.2,254.98,397.36,403.04,419.52,417.58,415.99,449.3,499.7,557.67,481.37,568.97,612.99,620.82,593.28,554.09,558.39,544.19,589.94,490.77,432.98,540.11,529.17,527.96,576.04,463.29,487.43,519.1,508.65,503.62,513.72,485.94,513.31,505.21,516.22,543.75,553.5,537.45,557.57,528.39,526.84,506.3,506.51,517.27,662.76,689.52,491.53,486.77,456.74,493.68,548.13,410.57,422.27,530.67,526.96,539.45,430.4,420.77,440.87,717.01,664.33,579.02,651.84,651.53,617.01,620.71,611.09,620.41,600.88,614.69,605.05,578.7,622.92,741.26,615.87,605.0,602.55,606.03,595.31,749.67,598.92,596.04,613.08,629.11,583.13,620.78,610.16,759.7,623.8,611.95,605.63,601.46
9,X,True,798.16,793.8,822.06,818.54,848.69,788.07,769.68,759.26,766.73,747.13,877.12,812.89,753.7,771.78,728.36,743.33,775.05,760.68,768.62,797.3,751.25,755.23,717.19,735.98,759.29,760.12,774.34,781.59,769.83,790.59,804.12,804.78,812.6,853.63,845.38,813.98,797.88,818.33,798.1,795.39,766.07,763.73,770.62,525.12,742.53,731.14,740.29,475.61,705.73,697.67,677.2,673.45,479.37,494.81,478.9,691.52,708.77,713.0,738.58,705.94,735.09,710.45,733.7,526.71,543.65,560.32,779.88,569.45,608.33,857.7,868.28,845.19,646.94,833.89,633.95,625.93,853.36,625.08,645.46,602.28,584.85,609.45,638.78,694.79,725.79,684.71,742.98,756.54,784.22,771.61,762.44,796.8,787.69,736.01,800.87,824.79,734.38,751.0,779.33,769.85,735.23,725.17,751.79,717.93,715.98,746.75,755.87,767.07,755.04,797.24
10,X,False,417.83,384.62,189.77,261.9,167.13,240.92,132.32,170.56,162.45,263.54,339.79,322.42,167.27,233.91,283.18,278.02,26.974,185.98,98.737,64.504,223.08,128.01,190.58,270.92,227.36,268.21,75.468,108.39,183.18,97.257,133.93,49.086,138.06,200.44,189.57,207.49,463.93,656.68,312.29,356.35,379.03,419.45,455.83,422.68,385.47,331.75,295.93,336.07,296.22,305.72,134.62,267.81,268.44,276.22,298.61,80.794,244.17,246.24,252.81,212.84,256.75,253.17,200.44,241.78,44.814,142.56,238.21,223.53,238.2,230.17,149.03,133.59,30.936,21.659,132.16,2.6718,5.6169,45.904,74.695,2.5676,2.8449,85.563,11.732,106.75,25.865,92.763,25.841,94.488,77.276,89.311,42.216,94.76,96.351,100.7,107.86,96.907,93.427,41.478,84.272,83.162,93.448,52.409,72.614,5.7999,62.627,47.35,67.235,51.266,50.658,26.561
11,X,False,1034.8,1055.9,1052.0,1064.9,1171.9,1173.2,1211.2,1251.4,1164.4,1128.3,1223.9,1181.3,1192.2,1187.8,1213.8,1232.6,1089.5,1265.9,1303.7,1289.3,1315.8,1118.5,1099.6,1142.7,1144.5,1158.9,1292.8,1142.8,1027.0,1035.0,1038.4,1072.5,1136.7,1013.3,1041.2,994.16,995.8,1034.7,1048.6,1059.0,1023.5,1097.9,1072.6,1136.9,1101.8,1043.6,1260.4,1169.5,1303.2,1237.7,1277.7,1169.5,1314.2,1269.2,535.79,1237.9,1279.2,1291.4,1275.1,1298.3,1262.3,1241.7,1274.0,1240.4,1269.3,1212.3,1168.4,1204.6,1239.5,1181.8,1156.8,1203.1,1185.7,1197.3,1157.5,1192.9,1174.3,1095.1,1159.6,1152.5,1162.7,1241.2,1205.4,1232.6,1218.6,1272.1,1155.5,1090.1,1209.5,1112.3,1150.7,1058.5,1068.3,1075.3,1047.7,1056.2,1133.0,1081.4,1049.1,1050.9,1069.5,1075.5,1067.1,1034.8,1035.3,974.37,891.12,933.08,976.08,959.11
12,X,False,523.13,596.73,610.09,598.4,631.2,637.59,630.4,618.89,609.97,618.33,613.96,606.51,628.78,606.33,603.16,639.54,624.14,618.29,571.12,594.86,624.24,612.75,581.39,580.3,575.07,581.49,603.93,594.74,614.6,613.6,625.48,653.11,676.9,680.72,672.04,678.9,682.43,677.86,710.56,727.47,730.47,733.43,763.96,745.38,740.63,737.19,763.76,791.37,765.91,767.89,792.72,789.31,818.97,833.2,844.68,836.57,832.83,812.88,832.36,807.49,844.51,818.89,811.92,837.37,832.02,821.0,811.84,809.49,781.95,782.96,763.66,769.9,783.96,774.76,772.41,762.01,752.26,756.04,735.58,745.35,738.4,731.71,728.81,705.97,711.95,728.31,717.83,707.0,704.52,660.48,676.89,662.68,669.44,653.96,619.8,638.77,653.17,648.45,619.91,624.53,598.26,605.34,590.78,581.19,594.61,578.15,566.44,572.92,583.35,563.91
13,X,False,605.94,621.78,643.87,618.71,617.49,613.3,593.58,610.37,607.19,619.83,607.9,565.59,588.46,616.28,622.16,638.08,653.13,626.68,665.91,654.91,701.61,683.71,676.86,671.96,681.68,683.15,680.1,703.22,722.4,743.12,740.21,757.19,791.54,806.31,793.73,831.64,792.52,801.91,804.79,759.72,784.29,782.41,776.65,761.77,779.85,789.23,792.61,777.7,771.15,771.06,793.15,788.34,794.64,805.17,824.98,826.56,845.52,834.63,836.43,829.38,842.99,818.31,819.85,824.41,862.69,809.83,808.77,831.94,838.61,843.95,815.44,827.23,842.54,827.38,850.5,810.7,851.57,820.54,841.97,820.89,904.56,850.06,815.84,831.83,879.1,893.34,894.08,934.38,910.48,859.84,880.11,901.33,880.18,885.48,879.25,871.57,913.53,910.01,907.18,939.52,935.74,916.0,930.42,904.02,913.64,893.79,892.72,904.34,907.65,947.5
14,X,False,1934.9,1954.5,1955.7,1990.9,2021.4,2073.7,2087.5,2072.9,2061.6,2055.7,2094.2,2030.4,2039.8,1973.9,2007.2,2037.2,2013.0,2012.4,1989.2,1966.5,2003.1,2019.0,2019.1,1986.7,2040.7,2025.5,2038.3,2108.4,2051.9,2049.5,2083.1,2123.6,2079.6,2096.5,2102.8,2084.8,2091.5,2100.6,2095.4,2097.4,2092.5,2117.7,2067.4,2098.2,2089.7,2084.5,2091.4,2018.8,2026.5,2024.1,2011.5,2003.3,2037.5,2061.7,2043.8,2011.5,2005.4,2011.9,2006.8,1964.3,1956.2,1985.6,1977.9,2040.2,2024.1,2033.7,2064.6,2046.3,2049.1,2076.5,2090.3,2082.8,2035.8,2076.3,2097.7,2053.1,2033.4,2030.6,2002.1,1991.1,1970.5,2017.6,2034.8,2043.3,2036.6,2002.5,2011.0,1978.9,2005.5,1974.2,1978.2,1979.1,1984.2,1976.8,1975.7,2017.7,2003.0,1999.2,1987.5,1988.6,1953.4,1978.6,1940.5,1942.5,1938.8,1940.8,1894.8,1909.0,1960.0,1961.1
