parameter,f_score,f_score_norm
TOTUSJZ,741.513962724433,1.0000000000000002
TOTUSJH,726.3962148843234,0.979604526988921
SAVNCPP,617.6774202271126,0.8329311424557313
AREA_ACR,540.9102437371745,0.7293639383459206
USFLUX,444.86898388051134,0.599793916139332
ABSNJZH,431.7926783075858,0.5821525690142239
MEANPOT,424.40476472445147,0.5721854764494687
TOTPOT,423.95689123382203,0.5715812467859552
R_VALUE,338.65186608423846,0.45649556361747995
d_l_f,317.8520076671913,0.42843431034973944
SHRGT45,215.32849760182077,0.29011903318976523
MEANSHR,214.56039377036643,0.2890827782442653
g_s,208.82466673334076,0.2813446635978363
MEANGAM,128.80622620350664,0.17339115349331538
MEANGBT,107.9672850348305,0.14527717337667664
MEANGBZ,46.62686410621563,0.06252232703517778
MEANJZD,10.268677679869976,0.013471210570402854
MEANJZH,5.790959472561846,0.00743028557190067
MEANGBH,1.5672062620974911,0.0017319867564562178
slf,0.2834047522089465,0.0
