parameter,f_score,f_score_norm
TOTUSJZ,796.1390670833579,1.0
TOTUSJH,795.8241910243726,0.9996041603810634
SAVNCPP,701.7911861835669,0.8813926046228884
AREA_ACR,574.258243603202,0.7210673275739863
R_VALUE,503.8220341471259,0.6325199721469459
USFLUX,499.0486966837766,0.6265192743211497
ABSNJZH,496.2335194136823,0.6229802351784965
MEANPOT,492.45948005939186,0.6182357833307806
TOTPOT,458.10236035492005,0.5750444742950725
d_l_f,405.43661140029263,0.5088368684694813
MEANSHR,255.8425132468445,0.3207778874244943
SHRGT45,250.41200407111592,0.31395104041148314
g_s,225.3070961692804,0.2823909490875287
MEANGAM,143.49640651137375,0.17954441218824566
MEANGBT,121.63024703626556,0.1520558433141049
MEANGBZ,50.89609744936433,0.06313393890346816
MEANJZD,16.13724434273157,0.019437599420739297
MEANJZH,4.550100579479798,0.004871072557468952
MEANGBH,1.64855142626798,0.001223452872331116
slf,0.6753390433622296,0.0
