parameter,f_score,f_score_norm
TOTUSJZ,732.841243258477,1.0
TOTUSJH,728.4582818720146,0.9940158763301605
SAVNCPP,681.8776241069693,0.9304185976615751
AREA_ACR,533.2443267986981,0.7274873021005615
ABSNJZH,479.43007984545477,0.6540138943808075
MEANPOT,464.35661119535746,0.6334338589704489
USFLUX,457.29298327447714,0.6237897806158377
R_VALUE,422.4064618316018,0.5761586836662996
TOTPOT,417.21668217896536,0.5690729987783342
d_l_f,365.71922987308074,0.49876274593606523
MEANSHR,241.35308419251152,0.3289637606216
SHRGT45,232.90707817301566,0.3174323004784694
g_s,225.26955996680067,0.3070046810114565
MEANGAM,132.72960612530704,0.1806584782136957
MEANGBT,113.58835528301891,0.15452463806866035
MEANGBZ,47.68188051414933,0.0645415282748517
MEANJZD,13.809830185427508,0.018295504126850305
MEANGBH,1.504833812563229,0.0014953059139296444
MEANJZH,1.0435815096133263,0.0008655511475801521
slf,0.4096244814568881,0.0
